scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-16,20:00,1,USA,331245770,5530028,239,172608,2.0,2904130,,2453290,17186,16695,521,70228171,212012,1.0
2020-08-16,20:00,2,Brazil,212747790,3317832,,107297,,2404272,,806263,8318,15595,504,13464336,63288,2.0
2020-08-16,20:00,3,India,1381678359,2594112,4904,50122,38.0,1862937,2265,681053,8944,1878,36,29309703,21213,3.0
2020-08-16,20:00,4,Russia,145942457,922853,4969,15685,68.0,732968,3557,174200,2300,6323,107,32500000,222691,4.0
2020-08-16,20:00,5,South Africa,59399953,583653,,11677,,466941,,105035,539,9826,197,3378029,56869,5.0
2020-08-16,20:00,6,Peru,33027616,525803,,26075,,359781,,139947,1540,15920,789,2738229,82907,2.0
2020-08-16,20:00,7,Mexico,129099449,517714,6345,56543,635.0,351372,5719,109799,3653,4010,438,1171007,9071,1.0
2020-08-16,20:00,8,Colombia,50949591,456689,,14810,,274420,,167459,1493,8964,291,2143097,42063,2.0
2020-08-16,20:00,10,Chile,19136544,383902,,10395,,356951,,16556,1207,20061,543,1988709,103922,2.0
2020-08-16,20:00,9,Spain,46757092,358843,,28617,,,,,617,7675,612,7472031,159805,4.0
2020-08-16,20:00,11,Iran,84124058,343203,2133,19639,147.0,297486,1856,26078,3881,4080,233,2861825,34019,3.0
2020-08-16,20:00,13,UK,67930780,317379,,41361,,,,,73,4672,609,14320621,210812,4.0
2020-08-16,20:00,14,Saudi Arabia,34879260,297315,,3369,,264487,,29459,1766,8524,97,4202076,120475,3.0
2020-08-16,20:00,12,Argentina,45247072,289100,,5637,,205697,,77766,1716,6389,125,949170,20977,2.0
2020-08-16,20:00,16,Pakistan,221401496,288717,670,6168,6.0,266301,677,16248,769,1304,28,2277153,10285,3.0
2020-08-16,20:00,15,Bangladesh,164891717,276549,2024,3657,32.0,158950,1315,113942,,1677,22,1351666,8197,3.0
2020-08-16,20:00,17,Italy,60450390,253438,,35392,,203640,,14406,55,4192,585,7520610,124410,4.0
2020-08-16,20:00,18,Turkey,84450635,248117,,5955,,229972,,12190,668,2938,71,5659286,67013,3.0
2020-08-16,20:00,20,Germany,83817831,224478,,9290,,202900,,12288,224,2678,111,9265361,110542,4.0
2020-08-16,20:00,19,France,65291847,215521,,30409,,83848,,101264,367,3301,466,6000000,91895,4.0
2020-08-16,20:00,21,Iraq,40328274,172583,,5785,,122700,,44098,590,4279,143,1263650,31334,3.0
2020-08-16,20:00,22,Philippines,109758588,157918,,2600,,72209,,83109,461,1439,24,2003875,18257,3.0
2020-08-16,20:00,23,Indonesia,273879444,139549,2081,6150,79.0,93103,1782,40296,,510,22,1888215,6894,3.0
2020-08-16,20:00,24,Canada,37783150,121889,,9024,,108218,,4647,2296,3226,239,4741146,125483,1.0
2020-08-16,20:00,25,Qatar,2807805,115080,271,193,1.0,111794,289,3093,74,40986,69,551273,196336,3.0
2020-08-16,20:00,29,Kazakhstan,18804188,102696,409,1269,,81558,842,19869,221,5461,67,2252153,119769,3.0
2020-08-16,20:00,27,Ecuador,17675416,100688,,6065,,79354,,15269,352,5696,343,284704,16107,2.0
2020-08-16,20:00,26,Bolivia,11692375,99146,1196,4003,64.0,35638,915,59505,71,8480,342,212019,18133,2.0
2020-08-16,20:00,31,Egypt,102564059,96336,,5141,,58835,,32360,41,939,50,135000,1316,5.0
2020-08-16,20:00,30,Israel,9197590,92404,171,679,5.0,68400,450,23325,396,10047,74,2071380,225209,3.0
2020-08-16,20:00,28,Ukraine,43699431,91356,1637,2070,26.0,47822,392,41464,138,2091,47,1289589,29510,4.0
2020-08-16,20:00,32,Dominican Republic,10861321,85545,,1438,,51356,,32751,303,7876,132,317643,29245,1.0
2020-08-16,20:00,33,Sweden,10107142,84294,,5783,,,,,31,8340,572,917036,90731,4.0
2020-08-16,20:00,35,Oman,5121650,82924,,562,,77550,,4812,158,16191,110,309212,60374,3.0
2020-08-16,20:00,34,Panama,4322953,80665,,1746,,53857,,25062,156,18660,404,268180,62036,1.0
2020-08-16,20:00,36,Belgium,11595976,77869,756,9935,11.0,17981,40,49953,82,6715,857,1983514,171052,4.0
2020-08-16,20:00,37,Kuwait,4278212,76205,508,501,3.0,68135,616,7569,117,17812,117,558800,130615,3.0
2020-08-16,20:00,38,Romania,19220885,70461,1087,2991,37.0,32587,253,34883,479,3666,156,1513888,78763,4.0
2020-08-16,20:00,39,Belarus,9448925,69424,,607,,66747,,2070,,7347,64,1412589,149497,4.0
2020-08-16,20:00,41,UAE,9905017,64312,210,364,3.0,57694,123,6254,,6493,37,5990528,604797,3.0
2020-08-16,20:00,42,Netherlands,17139685,62495,,6169,,,,,39,3646,360,1195475,69749,4.0
2020-08-16,20:00,40,Guatemala,17955060,62313,,2355,,50183,,9775,5,3470,131,200558,11170,1.0
2020-08-16,20:00,43,Poland,37841286,56684,594,1877,8.0,39130,277,15677,81,1498,50,2307735,60985,4.0
2020-08-16,20:00,45,Singapore,5856062,55747,86,27,,51521,,4199,,9520,5,1610906,275083,3.0
2020-08-16,20:00,46,Portugal,10192865,53981,,1775,,39585,,12621,37,5296,174,1799226,176518,4.0
2020-08-16,20:00,44,Japan,126426380,53577,,1085,,38945,,13547,229,424,9,1164029,9207,3.0
2020-08-16,20:00,47,Honduras,9923580,49979,512,1567,19.0,7255,127,41157,37,5036,158,122434,12338,1.0
2020-08-16,20:00,48,Nigeria,206732316,48770,,974,,36290,,11506,7,236,5,347545,1681,5.0
2020-08-16,20:00,50,Bahrain,1708132,46430,,170,,42806,,3454,35,27182,100,962334,563384,3.0
2020-08-16,20:00,51,Ghana,31149465,42210,,231,,40147,,1832,5,1355,7,424315,13622,5.0
2020-08-16,20:00,52,Kyrgyzstan,6537128,41856,211,1495,2.0,34276,325,6085,24,6403,229,267718,40953,3.0
2020-08-16,20:00,53,Armenia,2963947,41663,168,818,1.0,34584,100,6261,,14057,276,185310,62521,3.0
2020-08-16,20:00,49,Morocco,36964114,41017,,632,,28566,,11819,31,1110,17,1583234,42832,5.0
2020-08-16,20:00,54,Algeria,43945575,38133,,1360,,26644,,10129,44,868,31,,,5.0
2020-08-16,20:00,55,Switzerland,8662507,38124,200,1991,,33200,,2933,26,4401,230,881683,101782,4.0
2020-08-16,20:00,59,Afghanistan,39031058,37596,45,1375,5.0,27166,,9055,31,963,35,98718,2529,3.0
2020-08-16,20:00,58,Uzbekistan,33527959,34701,173,226,1.0,30043,715,4432,410,1035,7,1377915,41097,3.0
