,scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
0,2020-08-18,20:00,1,USA,331256357.0,5625057,13030.0,174191.0,475.0,2975698.0,2111.0,2475168.0,17291.0,16981.0,526.0,71796772.0,216741.0,1.0
1,2020-08-18,20:00,2,Brazil,212756034.0,3363235,,108654.0,,2478494.0,,776087.0,8318.0,15808.0,511.0,13729872.0,64533.0,2.0
2,2020-08-18,20:00,3,India,1381752440.0,2763985,62381.0,53018.0,1093.0,2035143.0,58895.0,675824.0,8944.0,2000.0,38.0,30941264.0,22393.0,3.0
3,2020-08-18,20:00,4,Russia,145942798.0,932493,4748.0,15872.0,132.0,742628.0,6527.0,173993.0,2300.0,6389.0,109.0,32968759.0,225902.0,4.0
4,2020-08-18,20:00,5,South Africa,59404038.0,589886,,11982.0,,477671.0,,100233.0,539.0,9930.0,202.0,3415670.0,57499.0,5.0
5,2020-08-18,20:00,6,Peru,33030127.0,541493,,26481.0,,370717.0,,144295.0,1524.0,16394.0,802.0,2793614.0,84578.0,2.0
6,2020-08-18,20:00,7,Mexico,129106847.0,525733,3571.0,57023.0,266.0,359347.0,4246.0,109363.0,3536.0,4072.0,442.0,1181695.0,9153.0,1.0
7,2020-08-18,20:00,8,Colombia,50952553.0,476660,,15372.0,,301525.0,,159763.0,1493.0,9355.0,302.0,2259743.0,44350.0,2.0
8,2020-08-18,20:00,10,Chile,19137440.0,388855,1353.0,10546.0,33.0,362440.0,2055.0,15869.0,1157.0,20319.0,551.0,2068079.0,108065.0,2.0
9,2020-08-18,20:00,9,Spain,46757191.0,384270,2128.0,28670.0,24.0,,,,617.0,8218.0,613.0,7955615.0,170147.0,4.0
10,2020-08-18,20:00,11,Iran,84129933.0,347835,2385.0,19972.0,168.0,300881.0,1724.0,26982.0,3882.0,4134.0,237.0,2914049.0,34637.0,3.0
11,2020-08-18,20:00,13,UK,67932724.0,320286,1089.0,41381.0,12.0,,,,73.0,4715.0,609.0,14825051.0,218231.0,4.0
12,2020-08-18,20:00,14,Saudi Arabia,34882225.0,301323,1409.0,3470.0,34.0,272911.0,4526.0,24942.0,1716.0,8638.0,99.0,4378417.0,125520.0,3.0
13,2020-08-18,20:00,12,Argentina,45249337.0,299126,,5877.0,63.0,223531.0,5681.0,69718.0,1749.0,6611.0,130.0,994942.0,21988.0,2.0
14,2020-08-18,20:00,16,Pakistan,221424972.0,289832,617.0,6190.0,15.0,270009.0,922.0,13633.0,759.0,1309.0,28.0,2317213.0,10465.0,3.0
15,2020-08-18,20:00,15,Bangladesh,164900676.0,282344,3200.0,3740.0,46.0,162825.0,2234.0,115779.0,,1712.0,23.0,1378819.0,8362.0,3.0
16,2020-08-18,20:00,17,Italy,60449906.0,254636,401.0,35405.0,5.0,204142.0,174.0,15089.0,58.0,4212.0,586.0,7642059.0,126420.0,4.0
17,2020-08-18,20:00,18,Turkey,84455591.0,251805,1263.0,6016.0,20.0,232913.0,942.0,12876.0,703.0,2982.0,71.0,5882406.0,69651.0,3.0
18,2020-08-18,20:00,20,Germany,83819291.0,227868,1182.0,9305.0,9.0,202900.0,,15663.0,224.0,2719.0,111.0,9265361.0,110540.0,4.0
19,2020-08-18,20:00,19,France,65292634.0,221267,2238.0,30429.0,,84065.0,,106773.0,384.0,3389.0,466.0,6000000.0,91894.0,4.0
20,2020-08-18,20:00,21,Iraq,40333218.0,184709,4576.0,6036.0,82.0,131840.0,2895.0,46833.0,574.0,4580.0,150.0,1304331.0,32339.0,3.0
21,2020-08-18,20:00,22,Philippines,109766558.0,169213,4836.0,2687.0,6.0,112861.0,182.0,53665.0,489.0,1542.0,24.0,2108597.0,19210.0,3.0
22,2020-08-18,20:00,23,Indonesia,273895240.0,143043,1673.0,6277.0,70.0,96306.0,1848.0,40460.0,,522.0,23.0,1915039.0,6992.0,3.0
23,2020-08-18,20:00,24,Canada,37784956.0,123046,174.0,9042.0,10.0,109308.0,249.0,4696.0,67.0,3256.0,239.0,4840043.0,128094.0,1.0
24,2020-08-18,20:00,25,Qatar,2807805.0,115368,,193.0,,112088.0,,3087.0,69.0,41088.0,69.0,555970.0,198009.0,3.0
25,2020-08-18,20:00,29,Kazakhstan,18805415.0,103300,267.0,1269.0,,84445.0,1668.0,17586.0,221.0,5493.0,67.0,2291327.0,121844.0,3.0
26,2020-08-18,20:00,27,Ecuador,17676881.0,102941,1190.0,6105.0,22.0,87183.0,63.0,9653.0,366.0,5823.0,345.0,289213.0,16361.0,2.0
27,2020-08-18,20:00,26,Bolivia,11693245.0,101223,879.0,4123.0,65.0,37471.0,980.0,59629.0,71.0,8657.0,353.0,216774.0,18538.0,2.0
28,2020-08-18,20:00,31,Egypt,102574622.0,96590,,5173.0,,60651.0,,30766.0,41.0,942.0,50.0,135000.0,1316.0,5.0
29,2020-08-18,20:00,30,Israel,9197590.0,96093,1342.0,705.0,13.0,71971.0,1680.0,23417.0,404.0,10448.0,77.0,2079941.0,226140.0,3.0
30,2020-08-18,20:00,28,Ukraine,43698003.0,94436,1616.0,2116.0,27.0,48925.0,761.0,43395.0,138.0,2161.0,48.0,1315409.0,30102.0,4.0
31,2020-08-18,20:00,32,Dominican Republic,10861915.0,86737,,1481.0,,54108.0,,31148.0,295.0,7985.0,136.0,324463.0,29872.0,1.0
32,2020-08-18,20:00,33,Sweden,10107485.0,85219,,5790.0,6.0,,,,27.0,8431.0,573.0,917036.0,90728.0,4.0
33,2020-08-18,20:00,35,Oman,5122362.0,83418,192.0,597.0,9.0,77977.0,165.0,4844.0,154.0,16285.0,117.0,309212.0,60365.0,3.0
34,2020-08-18,20:00,34,Panama,4323325.0,82543,,1788.0,,55845.0,,24910.0,159.0,19092.0,414.0,273685.0,63304.0,1.0
35,2020-08-18,20:00,36,Belgium,11596251.0,78534,211.0,9944.0,5.0,18003.0,9.0,50587.0,90.0,6772.0,858.0,2008070.0,173165.0,4.0
36,2020-08-18,20:00,37,Kuwait,4278558.0,77470,643.0,505.0,3.0,69243.0,610.0,7722.0,101.0,18107.0,118.0,568440.0,132858.0,3.0
37,2020-08-18,20:00,38,Romania,19220188.0,72208,1014.0,3074.0,45.0,33135.0,376.0,35999.0,479.0,3757.0,160.0,1542094.0,80233.0,4.0
38,2020-08-18,20:00,39,Belarus,9448908.0,69673,84.0,617.0,4.0,67339.0,190.0,1717.0,,7374.0,65.0,1429532.0,151291.0,4.0
39,2020-08-18,20:00,41,UAE,9905669.0,64906,365.0,366.0,2.0,57909.0,115.0,6631.0,,6552.0,37.0,6121609.0,617990.0,3.0
40,2020-08-18,20:00,42,Netherlands,17139892.0,63973,489.0,6175.0,3.0,,,,52.0,3732.0,360.0,1312787.0,76592.0,4.0
41,2020-08-18,20:00,40,Guatemala,17956873.0,62944,,2389.0,,51530.0,,9025.0,5.0,3505.0,133.0,200984.0,11193.0,1.0
42,2020-08-18,20:00,43,Poland,37841061.0,57876,597.0,1896.0,11.0,39643.0,284.0,16337.0,82.0,1529.0,50.0,2409394.0,63671.0,4.0
