Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Continent_id,scrap_date,scrap_time
1,USA,"331,298,704","5,982,635","+26,907","183,195",+791,"3,267,225","+12,943","2,532,215","16,511","18,058",553,"78,452,879","236,804",1.0,26.08.20,22:59
2,Brazil,"212,789,010","3,683,224","+9,048","116,964",+298,"2,848,395",,"717,865","8,318","17,309",550,"14,172,764","66,605",2.0,26.08.20,22:59
3,India,"1,382,048,762","3,307,749","+75,995","60,629","+1,017","2,523,443","+56,191","723,677","8,944","2,393",44,"37,651,512","27,243",3.0,26.08.20,22:59
4,Russia,"145,944,161","970,865","+4,676","16,683",+115,"786,150","+6,403","168,032","2,300","6,652",114,"35,100,000","240,503",4.0,26.08.20,22:59
5,South Africa,"59,420,382","615,701","+2,684","13,502",+194,"525,242","+4,861","76,957",539,"10,362",227,"3,598,973","60,568",5.0,26.08.20,22:59
6,Peru,"33,040,169","607,382",,"28,001",,"414,577",,"164,804","1,522","18,383",847,"3,032,744","91,790",2.0,26.08.20,22:59
7,Mexico,"129,136,438","568,621","+4,916","61,450",+650,"393,101","+3,977","114,070","3,442","4,403",476,"1,278,436","9,900",1.0,26.08.20,22:59
8,Colombia,"50,964,400","562,128",,"17,889",,"395,470",,"148,769","1,493","11,030",351,"2,546,147","49,959",2.0,26.08.20,22:59
9,Spain,"46,757,585","426,818","+3,594","28,971",+47,,,,697,"9,128",620,"8,517,446","182,162",4.0,26.08.20,22:59
10,Chile,"19,141,022","402,365","+1,380","10,990",+32,"376,268","+1,805","15,107","1,004","21,021",574,"2,276,223","118,919",2.0,26.08.20,22:59
11,Iran,"84,153,431","365,606","+2,243","21,020",+119,"314,870","+1,812","29,716","3,831","4,345",250,"3,113,806","37,002",3.0,26.08.20,22:59
12,Argentina,"45,258,393","359,638",,"7,661",+98,"268,801","+5,599","83,176","1,990","7,946",169,"1,148,574","25,378",2.0,26.08.20,22:59
13,UK,"67,940,503","328,846","+1,048","41,465",+16,,,,68,"4,840",610,"15,177,265","223,391",4.0,26.08.20,22:59
14,Saudi Arabia,"34,894,083","310,836","+1,068","3,755",+33,"284,945","+1,013","22,136","1,601","8,908",108,"4,792,192","137,335",3.0,26.08.20,22:59
15,Bangladesh,"164,936,512","302,147","+2,519","4,082",+54,"190,183","+3,427","107,882",,"1,832",25,"1,485,261","9,005",3.0,26.08.20,22:59
16,Pakistan,"221,518,879","294,193",+482,"6,267",+12,"278,939",+514,"8,987",669,"1,328",28,"2,512,337","11,341",3.0,26.08.20,22:59
17,Italy,"60,447,970","262,540","+1,366","35,458",+13,"206,329",+314,"20,753",69,"4,343",587,"8,219,421","135,975",4.0,26.08.20,22:59
18,Turkey,"84,475,417","262,507","+1,313","6,183",+20,"239,797","+1,002","16,527",841,"3,107",73,"6,621,749","78,387",3.0,26.08.20,22:59
19,France,"65,295,782","253,587","+5,429","30,544",,"85,524",,"137,519",410,"3,884",468,"6,000,000","91,890",4.0,26.08.20,22:59
20,Germany,"83,825,131","238,895","+1,323","9,351",+6,"209,600",,"19,944",245,"2,850",112,"11,208,091","133,708",4.0,26.08.20,22:59
21,Iraq,"40,352,994","215,784","+3,837","6,668",+72,"157,215","+3,454","51,901",595,"5,347",165,"1,502,546","37,235",3.0,26.08.20,22:59
22,Philippines,"109,798,441","202,361","+5,277","3,137",+99,"133,460","+1,131","65,764",717,"1,843",29,"2,406,194","21,915",3.0,26.08.20,22:59
23,Indonesia,"273,958,422","160,165","+2,306","6,944",+86,"115,409","+2,542","37,812",,585,25,"2,106,753","7,690",3.0,26.08.20,22:59
24,Canada,"37,792,182","126,225",+256,"9,093",+3,"112,255",+205,"4,877",44,"3,340",241,"5,205,086","137,729",1.0,26.08.20,22:59
25,Qatar,"2,807,805","117,742",+244,194,,"114,558",+240,"2,990",63,"41,934",69,"604,112","215,155",3.0,26.08.20,22:59
26,Bolivia,"11,696,726","110,999",+851,"4,664",+86,"48,875","+1,825","57,460",71,"9,490",399,"236,863","20,250",2.0,26.08.20,22:59
27,Ecuador,"17,682,740","110,549","+1,519","6,410",+42,"95,097",+72,"9,042",370,"6,252",363,"315,924","17,866",2.0,26.08.20,22:59
28,Ukraine,"43,692,290","110,085","+1,670","2,354",+36,"53,454",+584,"54,277",177,"2,520",54,"1,452,006","33,233",4.0,26.08.20,22:59
30,Israel,"9,197,590","108,054","+1,594",875,+16,"86,450","+2,628","20,729",404,"11,748",95,"2,180,096","237,029",3.0,26.08.20,22:59
29,Kazakhstan,"18,810,323","105,075",+173,"1,523",,"93,990",+585,"9,562",221,"5,586",81,"2,291,327","121,812",3.0,26.08.20,22:59
31,Egypt,"102,616,874","97,619",,"5,298",,"67,717",,"24,604",41,951,52,"135,000","1,316",5.0,26.08.20,22:59
32,Dominican Republic,"10,864,291","92,557",+340,"1,613",+28,"63,478","+1,018","27,466",249,"8,519",148,"355,839","32,753",1.0,26.08.20,22:59
34,Panama,"4,324,810","88,381",,"1,919",,"62,759",,"23,703",153,"20,436",444,"313,342","72,452",1.0,26.08.20,22:59
33,Sweden,"10,108,859","87,072",,"5,817",+5,,,,21,"8,613",575,"1,094,856","108,307",4.0,26.08.20,22:59
35,Oman,"5,125,210","84,818",+166,646,+4,"79,409",+262,"4,763",148,"16,549",126,"309,212","60,332",3.0,26.08.20,22:59
36,Belgium,"11,597,351","82,447",+355,"9,996",,"18,291",+49,"54,160",85,"7,109",862,"2,144,563","184,918",4.0,26.08.20,22:59
37,Kuwait,"4,279,939","82,271",+698,521,+2,"73,906",+504,"7,844",92,"19,222",122,"599,413","140,052",3.0,26.08.20,22:59
38,Romania,"19,217,398","81,646","+1,256","3,421",+54,"36,286",+470,"41,939",502,"4,249",178,"1,705,368","88,741",4.0,26.08.20,22:59
39,Belarus,"9,448,840","70,974",+247,657,+5,"69,378",+281,939,,"7,511",70,"1,487,902","157,469",4.0,26.08.20,22:59
40,Guatemala,"17,964,128","69,651",,"2,630",,"57,891",,"9,130",5,"3,877",146,"225,758","12,567",1.0,26.08.20,22:59
42,Netherlands,"17,140,718","68,114",+571,"6,215",+8,,,,47,"3,974",363,"1,455,274","84,902",4.0,26.08.20,22:59
41,UAE,"9,908,281","68,020",+399,378,+1,"59,070",+316,"8,572",,"6,865",38,"6,687,414","674,932",3.0,26.08.20,22:59
43,Poland,"37,840,158","63,802",+729,"1,994",+17,"43,399",+615,"18,409",79,"1,686",53,"2,577,726","68,121",4.0,26.08.20,22:59
44,Japan,"126,415,848","63,121",,"1,196",,"50,431",,"11,494",252,499,9,"1,357,628","10,739",3.0,26.08.20,22:59
45,Singapore,"5,857,317","56,495",+60,27,,"54,971",+155,"1,497",,"9,645",5,"1,832,813","312,910",3.0,26.08.20,22:59
46,Portugal,"10,192,057","56,274",+362,"1,807",+2,"41,184",+163,"13,283",38,"5,521",177,"1,958,651","192,174",4.0,26.08.20,22:59
47,Honduras,"9,927,888","55,877",+398,"1,703",+20,"9,124",+568,"45,050",47,"5,628",172,"135,216","13,620",1.0,26.08.20,22:59
49,Morocco,"36,976,064","55,864","+1,336",984,+29,"40,586","+2,293","14,294",31,"1,511",27,"1,824,251","49,336",5.0,26.08.20,22:59
48,Nigeria,"206,872,333","52,800",,"1,007",,"39,964",,"11,829",7,255,5,"379,542","1,835",5.0,26.08.20,22:59
50,Bahrain,"1,709,757","50,076",,186,,"46,673",,"3,217",32,"29,288",109,"1,058,509","619,099",3.0,26.08.20,22:59
56,Ethiopia,"115,372,012","45,221","+1,533",725,+16,"16,311",+515,"28,185",327,392,6,"813,410","7,050",5.0,26.08.20,22:59
51,Ghana,"31,167,222","43,717",,270,,"41,843",,"1,604",5,"1,403",9,"436,253","13,997",5.0,26.08.20,22:59
52,Kyrgyzstan,"6,540,072","43,358",+113,"1,057",,"37,217",+292,"5,084",24,"6,630",162,"267,718","40,935",3.0,26.08.20,22:59
53,Armenia,"2,964,098","43,067",+131,861,+3,"36,726",+251,"5,480",,"14,530",290,"198,569","66,991",3.0,26.08.20,22:59
54,Algeria,"43,967,239","42,619",+391,"1,465",+9,"29,886",+299,"11,268",28,969,33,,,5.0,26.08.20,22:59
57,Venezuela,"28,423,335","41,158",,343,,"32,015",,"8,800",86,"1,448",12,"1,706,093","60,024",2.0,26.08.20,22:59
55,Switzerland,"8,664,233","40,645",+383,"2,003",+1,"34,800",+400,"3,842",18,"4,691",231,"962,895","111,134",4.0,26.08.20,22:59
58,Uzbekistan,"33,541,218","39,964",+323,291,+7,"36,402",+533,"3,271",249,"1,191",9,"1,377,915","41,081",3.0,26.08.20,22:59
59,Afghanistan,"39,055,070","38,113",+43,"1,401",+4,"29,042",+602,"7,670",31,976,36,"101,893","2,609",3.0,26.08.20,22:59
60,Azerbaijan,"10,152,983","35,707",+148,522,+1,"33,281",+91,"1,904",,"3,517",51,"892,070","87,863",3.0,26.08.20,22:59
61,Costa Rica,"5,101,142","35,305",,376,,"13,073",+1,"21,856",144,"6,921",74,"136,154","26,691",1.0,26.08.20,22:59
62,Moldova,"4,032,498","34,982",+624,967,+7,"24,156",+287,"9,859",575,"8,675",240,"183,923","45,610",4.0,26.08.20,22:59
64,Nepal,"29,213,726","34,418",+885,175,+11,"19,504",+385,"14,739",,"1,178",6,"635,252","21,745",3.0,26.08.20,22:59
63,Kenya,"53,942,790","33,016",+213,564,+5,"19,296",+241,"13,156",44,612,10,"429,513","7,962",5.0,26.08.20,22:59
65,Serbia,"8,731,846","30,974",+154,707,+2,"29,343",+211,924,37,"3,547",81,"895,507","102,556",4.0,26.08.20,22:59
66,Ireland,"4,946,062","28,363",+162,"1,777",,"23,364",,"3,222",5,"5,734",359,"790,298","159,783",4.0,26.08.20,22:59
67,Austria,"9,014,240","26,033",+327,733,,"22,145",+257,"3,155",23,"2,888",81,"1,110,089","123,148",4.0,26.08.20,22:59
68,Australia,"25,544,218","25,204",+151,549,+24,"20,100",+286,"4,555",46,987,21,"5,886,412","230,440",,26.08.20,22:59
