scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-10-01,21:31,2020-10-01,,1,USA,331489264.0,7471839,24557.0,212184.0,444.0,4716143.0,16437.0,2543512.0,14192.0,22540.0,640.0,107928169.0,325586.0,1.0
2020-10-01,21:31,2020-10-01,,3,India,1383382213.0,6368363,58096.0,99298.0,590.0,5323669.0,53662.0,945396.0,8944.0,4603.0,72.0,75619781.0,54663.0,3.0
2020-10-01,21:31,2020-10-01,,2,Brazil,212937402.0,4820116,6530.0,144103.0,141.0,4180376.0,,495637.0,8318.0,22636.0,677.0,17900000.0,84062.0,2.0
2020-10-01,21:31,2020-10-01,,4,Russia,145950295.0,1185231,8945.0,20891.0,169.0,964242.0,5985.0,200098.0,2300.0,8121.0,143.0,46000000.0,315176.0,4.0
2020-10-01,21:31,2020-10-01,,8,Colombia,51017714.0,829679,,25998.0,,743653.0,,60028.0,2220.0,16263.0,510.0,3737898.0,73267.0,2.0
2020-10-01,21:31,2020-10-01,,6,Peru,33085358.0,814829,,32463.0,,683815.0,,98551.0,1358.0,24628.0,981.0,3892353.0,117646.0,2.0
2020-10-01,21:31,2020-10-01,,9,Spain,46759360.0,778607,9419.0,31973.0,182.0,,,,1561.0,16651.0,684.0,12723989.0,272116.0,4.0
2020-10-01,21:31,2020-10-01,,12,Argentina,45299146.0,751001,,16937.0,,594645.0,,139419.0,3792.0,16579.0,374.0,1951789.0,43087.0,2.0
2020-10-01,21:31,2020-10-01,,7,Mexico,129269596.0,743216,5053.0,77646.0,483.0,533886.0,2941.0,131684.0,2458.0,5749.0,601.0,1952221.0,15102.0,1.0
2020-10-01,21:31,2020-10-01,,5,South Africa,59493927.0,674339,,16734.0,,608112.0,,49493.0,539.0,11335.0,281.0,4187917.0,70392.0,5.0
2020-10-01,21:31,2020-10-01,,19,France,65309948.0,577505,13970.0,32019.0,63.0,96797.0,,448689.0,1238.0,8843.0,490.0,10841327.0,165998.0,4.0
2020-10-01,21:31,2020-10-01,,10,Chile,19157144.0,464750,1759.0,12822.0,81.0,438148.0,1559.0,13780.0,849.0,24260.0,669.0,3355848.0,175175.0,2.0
2020-10-01,21:31,2020-10-01,,11,Iran,84259172.0,461044,3825.0,26380.0,211.0,383368.0,2412.0,51296.0,4121.0,5472.0,313.0,4043130.0,47984.0,3.0
2020-10-01,21:31,2020-10-01,,13,UK,67975508.0,460178,6914.0,42202.0,59.0,,,,332.0,6770.0,621.0,24771732.0,364421.0,4.0
2020-10-01,21:31,2020-10-01,,21,Iraq,40441989.0,367474,4493.0,9231.0,50.0,295882.0,3685.0,62361.0,550.0,9086.0,228.0,2289877.0,56621.0,3.0
2020-10-01,21:31,2020-10-01,,15,Bangladesh,165097774.0,364987,1508.0,5272.0,21.0,277078.0,1591.0,82637.0,,2211.0,32.0,1959075.0,11866.0,3.0
2020-10-01,21:31,2020-10-01,,14,Saudi Arabia,34947448.0,335097,492.0,4794.0,26.0,319746.0,592.0,10557.0,993.0,9589.0,137.0,6541028.0,187168.0,3.0
2020-10-01,21:31,2020-10-01,,18,Turkey,84564632.0,320070,1407.0,8262.0,67.0,281151.0,1402.0,30657.0,1507.0,3785.0,98.0,10493807.0,124092.0,3.0
2020-10-01,21:31,2020-10-01,,17,Italy,60439260.0,317409,2548.0,35918.0,24.0,228844.0,1140.0,52647.0,291.0,5252.0,594.0,11452158.0,189482.0,4.0
2020-10-01,21:31,2020-10-01,,22,Philippines,109941915.0,314079,2415.0,5562.0,59.0,254223.0,771.0,54294.0,1758.0,2857.0,51.0,3754317.0,34148.0,3.0
2020-10-01,21:31,2020-10-01,,16,Pakistan,221941458.0,312806,543.0,6484.0,5.0,297497.0,616.0,8825.0,490.0,1409.0,29.0,3548476.0,15988.0,3.0
2020-10-01,21:31,2020-10-01,,20,Germany,83851413.0,294834,1923.0,9581.0,10.0,257900.0,1900.0,27353.0,362.0,3516.0,114.0,16999253.0,202731.0,4.0
2020-10-01,21:31,2020-10-01,,23,Indonesia,274242741.0,291182,4174.0,10856.0,116.0,218487.0,3540.0,61839.0,,1062.0,40.0,3365490.0,12272.0,3.0
2020-10-01,21:31,2020-10-01,,30,Israel,9197590.0,252533,7039.0,1600.0,31.0,178976.0,4470.0,71957.0,817.0,27456.0,174.0,3562512.0,387331.0,3.0
2020-10-01,21:31,2020-10-01,,28,Ukraine,43666583.0,213028,4069.0,4193.0,64.0,94443.0,2083.0,114392.0,177.0,4879.0,96.0,2278248.0,52174.0,4.0
2020-10-01,21:31,2020-10-01,,24,Canada,37824695.0,160229,1471.0,9316.0,19.0,136066.0,1095.0,14847.0,110.0,4236.0,246.0,7355960.0,194475.0,1.0
2020-10-01,21:31,2020-10-01,,27,Ecuador,17709107.0,137047,,11355.0,,112296.0,,13396.0,355.0,7739.0,641.0,432319.0,24412.0,2.0
2020-10-01,21:31,2020-10-01,,26,Bolivia,11712391.0,135311,670.0,7965.0,34.0,95529.0,634.0,31817.0,71.0,11553.0,680.0,301890.0,25775.0,2.0
2020-10-01,21:31,2020-10-01,,38,Romania,19204844.0,129658,2086.0,4862.0,37.0,103994.0,1518.0,20802.0,557.0,6751.0,253.0,2445488.0,127337.0,4.0
2020-10-01,21:31,2020-10-01,,49,Morocco,37019085.0,126044,2391.0,2229.0,35.0,104136.0,1421.0,19679.0,437.0,3405.0,60.0,2643860.0,71419.0,5.0
2020-10-01,21:31,2020-10-01,,25,Qatar,2807805.0,125959,199.0,214.0,,122911.0,212.0,2834.0,58.0,44860.0,76.0,781128.0,278199.0,3.0
2020-10-01,21:31,2020-10-01,,42,Netherlands,17144436.0,124097,3252.0,6419.0,13.0,,,,169.0,7238.0,374.0,2449577.0,142879.0,4.0
2020-10-01,21:31,2020-10-01,,36,Belgium,11602301.0,118452,1337.0,10016.0,15.0,19454.0,68.0,88982.0,157.0,10209.0,863.0,3236127.0,278921.0,4.0
2020-10-01,21:31,2020-10-01,,32,Dominican Republic,10874983.0,112728,519.0,2108.0,3.0,88205.0,576.0,22415.0,178.0,10366.0,194.0,481002.0,44230.0,1.0
2020-10-01,21:31,2020-10-01,,34,Panama,4331496.0,112595,,2372.0,,89061.0,,21162.0,116.0,25994.0,548.0,482245.0,111335.0,1.0
2020-10-01,21:31,2020-10-01,,29,Kazakhstan,18832409.0,107979,71.0,1725.0,,102937.0,63.0,3317.0,221.0,5734.0,92.0,2964281.0,157403.0,3.0
2020-10-01,21:31,2020-10-01,,37,Kuwait,4286154.0,105676,494.0,612.0,2.0,97197.0,509.0,7867.0,139.0,24655.0,143.0,751163.0,175253.0,3.0
2020-10-01,21:31,2020-10-01,,31,Egypt,102807009.0,103198,,5930.0,,96494.0,,774.0,41.0,1004.0,58.0,135000.0,1313.0,5.0
2020-10-01,21:31,2020-10-01,,35,Oman,5138025.0,98585,,935.0,,88528.0,,9122.0,190.0,19187.0,182.0,376700.0,73316.0,3.0
2020-10-01,21:31,2020-10-01,,41,UAE,9920032.0,95348,1158.0,421.0,2.0,84903.0,1179.0,10024.0,,9612.0,42.0,9798960.0,987795.0,3.0
2020-10-01,21:31,2020-10-01,,33,Sweden,10115042.0,93615,,5893.0,5.0,,,,20.0,9255.0,583.0,1661484.0,164259.0,4.0
2020-10-01,21:31,2020-10-01,,43,Poland,37836096.0,93481,1967.0,2543.0,30.0,70401.0,706.0,20537.0,159.0,2471.0,67.0,3362066.0,88859.0,4.0
2020-10-01,21:31,2020-10-01,,40,Guatemala,17996771.0,92409,663.0,3261.0,15.0,80800.0,544.0,8348.0,5.0,5135.0,181.0,327947.0,18223.0,1.0
2020-10-01,21:31,2020-10-01,,44,Japan,126377933.0,83563,553.0,1571.0,7.0,76590.0,565.0,5402.0,151.0,661.0,12.0,2105963.0,16664.0,3.0
2020-10-01,21:31,2020-10-01,,64,Nepal,29265339.0,79728,1911.0,509.0,11.0,57389.0,961.0,21830.0,,2724.0,17.0,1033947.0,35330.0,3.0
2020-10-01,21:31,2020-10-01,,39,Belarus,9448536.0,79019,388.0,839.0,6.0,74777.0,252.0,3403.0,,8363.0,89.0,1877440.0,198702.0,4.0
2020-10-01,21:31,2020-10-01,,47,Honduras,9943394.0,76900,802.0,2353.0,30.0,27922.0,539.0,46625.0,21.0,7734.0,237.0,179028.0,18005.0,1.0
2020-10-01,21:31,2020-10-01,,46,Portugal,10189145.0,76396,854.0,1977.0,6.0,48937.0,407.0,25482.0,107.0,7498.0,194.0,2599777.0,255152.0,4.0
2020-10-01,21:31,2020-10-01,,56,Ethiopia,115652955.0,76098,730.0,1205.0,7.0,31430.0,226.0,43463.0,255.0,658.0,10.0,1278827.0,11057.0,5.0
2020-10-01,21:31,2020-10-01,,61,Costa Rica,5105713.0,75760,,904.0,,37841.0,,37015.0,222.0,14838.0,177.0,229178.0,44887.0,1.0
2020-10-01,21:31,2020-10-01,,57,Venezuela,28415444.0,75122,,628.0,,65225.0,,9269.0,208.0,2644.0,22.0,1948148.0,68559.0,2.0
2020-10-01,21:31,2020-10-01,,70,Czechia,10713996.0,72162,1391.0,676.0,21.0,34093.0,540.0,37393.0,198.0,6735.0,63.0,1386145.0,129377.0,4.0
2020-10-01,21:31,2020-10-01,,50,Bahrain,1715608.0,70864,,253.0,2.0,64838.0,,5773.0,60.0,41305.0,147.0,1439332.0,838963.0,3.0
2020-10-01,21:31,2020-10-01,,48,Nigeria,207376396.0,58848,,1112.0,,50358.0,,7378.0,7.0,284.0,5.0,509555.0,2457.0,5.0
2020-10-01,21:31,2020-10-01,,45,Singapore,5861837.0,57784,19.0,27.0,,57512.0,24.0,245.0,,9858.0,5.0,2885545.0,492260.0,3.0
2020-10-01,21:31,2020-10-01,,58,Uzbekistan,33588948.0,56997,280.0,471.0,1.0,53457.0,91.0,3069.0,283.0,1697.0,14.0,1377915.0,41023.0,3.0
2020-10-01,21:31,2020-10-01,,62,Moldova,4031580.0,54064,1022.0,1336.0,16.0,39499.0,502.0,13229.0,649.0,13410.0,331.0,286312.0,71017.0,4.0
2020-10-01,21:31,2020-10-01,,55,Switzerland,8670450.0,53832,550.0,2074.0,,45300.0,2600.0,6458.0,31.0,6209.0,239.0,1380083.0,159171.0,4.0
2020-10-01,21:31,2020-10-01,,54,Algeria,44045226.0,51690,160.0,1741.0,5.0,36282.0,108.0,13667.0,22.0,1174.0,40.0,,,5.0
2020-10-01,21:31,2020-10-01,,53,Armenia,2964641.0,50850,491.0,963.0,4.0,44219.0,218.0,5668.0,,17152.0,325.0,296327.0,99954.0,3.0
2020-10-01,21:31,2020-10-01,,52,Kyrgyzstan,6550669.0,46841,172.0,1065.0,1.0,42983.0,104.0,2793.0,24.0,7151.0,163.0,267718.0,40869.0,3.0
2020-10-01,21:31,2020-10-01,,51,Ghana,31231149.0,46656,30.0,301.0,,45942.0,185.0,413.0,6.0,1494.0,10.0,483540.0,15483.0,5.0
2020-10-01,21:31,2020-10-01,,67,Austria,9019285.0,45686,873.0,802.0,3.0,36476.0,832.0,8408.0,98.0,5065.0,89.0,1636573.0,181453.0,4.0
2020-10-01,21:31,2020-10-01,,83,Lebanon,6817649.0,40882,1248.0,374.0,7.0,17565.0,,22943.0,167.0,5996.0,55.0,850720.0,124782.0,3.0
2020-10-01,21:31,2020-10-01,,80,Paraguay,7154254.0,40758,,857.0,,24449.0,,15452.0,152.0,5697.0,120.0,277492.0,38787.0,2.0
2020-10-01,21:31,2020-10-01,,71,Palestine,5130208.0,40322,423.0,318.0,7.0,32577.0,834.0,7427.0,,7860.0,62.0,422361.0,82328.0,3.0
2020-10-01,21:31,2020-10-01,,60,Azerbaijan,10161963.0,40309,80.0,593.0,2.0,38068.0,114.0,1648.0,,3967.0,58.0,1121290.0,110342.0,3.0
2020-10-01,21:31,2020-10-01,,59,Afghanistan,39141514.0,39285,17.0,1458.0,,32842.0,53.0,4985.0,93.0,1004.0,37.0,111310.0,2844.0,3.0
2020-10-01,21:31,2020-10-01,,63,Kenya,54059561.0,38713,184.0,711.0,,24908.0,,13094.0,44.0,716.0,13.0,552646.0,10223.0,5.0
2020-10-01,21:31,2020-10-01,,66,Ireland,4951485.0,36597,442.0,1806.0,2.0,23364.0,,11427.0,20.0,7391.0,365.0,1195508.0,241444.0,4.0
2020-10-01,21:31,2020-10-01,,85,Libya,6894396.0,34525,,551.0,,19361.0,,14613.0,,5008.0,80.0,210475.0,30528.0,5.0
2020-10-01,21:31,2020-10-01,,65,Serbia,8728401.0,33662,111.0,750.0,1.0,31536.0,,1376.0,23.0,3857.0,86.0,1140378.0,130651.0,4.0
2020-10-01,21:31,2020-10-01,,69,El Salvador,6494422.0,29175,98.0,848.0,5.0,23930.0,117.0,4397.0,40.0,4492.0,131.0,398401.0,61345.0,1.0
2020-10-01,21:31,2020-10-01,,76,Denmark,5797336.0,28396,398.0,651.0,1.0,21309.0,555.0,6436.0,22.0,4898.0,112.0,3909185.0,674307.0,4.0
2020-10-01,21:31,2020-10-01,,73,Bosnia and Herzegovina,3275599.0,27749,280.0,861.0,5.0,20947.0,331.0,5941.0,,8471.0,263.0,243411.0,74310.0,4.0
