,scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
0,2020-10-10,23:00,1.0,USA,331536904.0,7927436,32958.0,219038.0,391.0,5079011.0,14711.0,2629387.0,14781.0,23911.0,661.0,117221287.0,353569.0,1.0
1,2020-10-10,23:00,3.0,India,1383715576.0,7037694,60686.0,108047.0,597.0,6046028.0,60523.0,883619.0,8944.0,5086.0,78.0,85798698.0,62006.0,3.0
2,2020-10-10,23:00,2.0,Brazil,212974500.0,5073483,16293.0,150023.0,331.0,4433595.0,,489865.0,8318.0,23822.0,704.0,17900000.0,84048.0,2.0
3,2020-10-10,23:00,4.0,Russia,145951829.0,1285084,12846.0,22454.0,197.0,1016202.0,6781.0,246428.0,2300.0,8805.0,154.0,50305243.0,344670.0,4.0
4,2020-10-10,23:00,8.0,Colombia,51031042.0,894300,,27495.0,,780547.0,,86258.0,2220.0,17525.0,539.0,4097223.0,80289.0,2.0
5,2020-10-10,23:00,9.0,Spain,46759804.0,890367,,32929.0,,,,,1590.0,19041.0,704.0,13689776.0,292768.0,4.0
6,2020-10-10,23:00,12.0,Argentina,45309334.0,871468,,23225.0,,697141.0,,151102.0,4092.0,19234.0,513.0,2191450.0,48366.0,2.0
7,2020-10-10,23:00,6.0,Peru,33096655.0,843355,,33158.0,,733000.0,,77197.0,1235.0,25482.0,1002.0,4027591.0,121692.0,2.0
8,2020-10-10,23:00,7.0,Mexico,129302885.0,809751,5263.0,83507.0,411.0,588085.0,4482.0,138159.0,2537.0,6262.0,646.0,2068647.0,15998.0,1.0
9,2020-10-10,23:00,19.0,France,65313489.0,718873,26896.0,32637.0,54.0,100828.0,,585408.0,1448.0,11007.0,500.0,12061094.0,184665.0,4.0
10,2020-10-10,23:00,5.0,South Africa,59512313.0,688352,,17547.0,,620081.0,,50724.0,546.0,11567.0,295.0,4360105.0,73264.0,5.0
11,2020-10-10,23:00,13.0,UK,67984259.0,590844,15166.0,42760.0,81.0,,,,442.0,8691.0,629.0,26987470.0,396966.0,4.0
12,2020-10-10,23:00,11.0,Iran,84285608.0,496253,3875.0,28293.0,195.0,403950.0,2571.0,64010.0,4439.0,5888.0,336.0,4284413.0,50832.0,3.0
13,2020-10-10,23:00,10.0,Chile,19161175.0,479595,1826.0,13272.0,52.0,452054.0,1757.0,14269.0,817.0,25030.0,693.0,3654041.0,190700.0,2.0
14,2020-10-10,23:00,21.0,Iraq,40464237.0,400124,2344.0,9790.0,55.0,332330.0,4233.0,58004.0,530.0,9888.0,242.0,2470645.0,61057.0,3.0
15,2020-10-10,23:00,15.0,Bangladesh,165138090.0,377073,1203.0,5500.0,23.0,291365.0,1453.0,80208.0,,2283.0,33.0,2061528.0,12484.0,3.0
16,2020-10-10,23:00,17.0,Italy,60437083.0,349494,5724.0,36140.0,29.0,238525.0,976.0,74829.0,390.0,5783.0,598.0,12460055.0,206166.0,4.0
17,2020-10-10,23:00,14.0,Saudi Arabia,34960790.0,338944,405.0,5018.0,22.0,324737.0,455.0,9189.0,842.0,9695.0,144.0,6976541.0,199553.0,3.0
18,2020-10-10,23:00,22.0,Philippines,109977783.0,336926,2249.0,6238.0,87.0,276094.0,842.0,54594.0,1758.0,3064.0,57.0,4091156.0,37200.0,3.0
19,2020-10-10,23:00,18.0,Turkey,84586936.0,334031,1649.0,8778.0,56.0,293145.0,1391.0,32108.0,1414.0,3949.0,104.0,11506414.0,136031.0,3.0
