scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-09-09,22:01,1,USA,331372810,6529429,15198.0,194629,599.0,3817407.0,20647.0,2517393.0,14453.0,19704,587,89001488.0,268584.0,1.0
2020-09-09,22:01,3,India,1382567327,4462965,95529.0,75091,1168.0,3466819.0,70792.0,921055.0,8944.0,3228,54,51804677.0,37470.0,3.0
2020-09-09,22:01,2,Brazil,212846718,4179471,14347.0,128119,602.0,3397234.0,,654118.0,8318.0,19636,602,14408116.0,67692.0,2.0
2020-09-09,22:01,4,Russia,145946547,1041007,5218.0,18135,142.0,856458.0,6409.0,166414.0,2300.0,7133,124,39289176.0,269203.0,4.0
2020-09-09,22:01,6,Peru,33057742,696190,,30123,,529751.0,,136316.0,1499.0,21060,911,3403397.0,102953.0,2.0
2020-09-09,22:01,8,Colombia,50985133,679513,,21817,,541462.0,,116234.0,863.0,13328,428,2996911.0,58780.0,2.0
2020-09-09,22:01,7,Mexico,129188221,642860,5351.0,68484,703.0,451159.0,4444.0,123217.0,3030.0,4976,530,1450397.0,11227.0,1.0
2020-09-09,22:01,5,South Africa,59448983,640441,,15086,,567729.0,,57626.0,539.0,10773,254,3821162.0,64276.0,5.0
2020-09-09,22:01,9,Spain,46758276,543379,8866.0,29628,34.0,,,,1051.0,11621,634,9987326.0,213595.0,4.0
2020-09-09,22:01,12,Argentina,45274241,500034,,10457,52.0,382490.0,15900.0,107087.0,2719.0,11045,231,1458619.0,32217.0,2.0
2020-09-09,22:01,10,Chile,19147292,427027,1486.0,11702,20.0,399555.0,1825.0,15770.0,942.0,22302,611,2691374.0,140562.0,2.0
2020-09-09,22:01,11,Iran,84194553,393425,2313.0,22669,127.0,339111.0,1697.0,31645.0,3735.0,4673,269,3431646.0,40759.0,3.0
2020-09-09,22:01,13,UK,67954116,355219,2659.0,41594,8.0,,,,80.0,5227,612,17619897.0,259291.0,4.0
2020-09-09,22:01,19,France,65301291,344101,8577.0,30794,30.0,88226.0,,225081.0,574.0,5269,472,8500000.0,130166.0,4.0
2020-09-09,22:01,15,Bangladesh,164999225,331078,1827.0,4593,41.0,230804.0,2995.0,95681.0,,2007,28,1674452.0,10148.0,3.0
2020-09-09,22:01,14,Saudi Arabia,34914836,323012,775.0,4165,28.0,298966.0,720.0,19881.0,1386.0,9251,119,5548202.0,158907.0,3.0
2020-09-09,22:01,16,Pakistan,221683215,299659,426.0,6359,9.0,286506.0,349.0,6794.0,544.0,1352,29,2825040.0,12744.0,3.0
2020-09-09,22:01,18,Turkey,84510112,284943,1673.0,6837,55.0,254188.0,943.0,23918.0,1181.0,3372,81,8105222.0,95908.0,3.0
2020-09-09,22:01,17,Italy,60444583,281583,1434.0,35577,14.0,211272.0,471.0,34734.0,150.0,4659,589,9460203.0,156510.0,4.0
2020-09-09,22:01,21,Iraq,40387603,269578,,7657,,206324.0,,55597.0,505.0,6675,190,1718157.0,42542.0,3.0
2020-09-09,22:01,20,Germany,83835352,255681,725.0,9409,,230600.0,,15672.0,227.0,3050,112,12383035.0,147707.0,4.0
2020-09-09,22:01,22,Philippines,109854237,245143,3176.0,3986,70.0,185543.0,376.0,55614.0,990.0,2232,36,2908407.0,26475.0,3.0
2020-09-09,22:01,23,Indonesia,274068991,203342,3307.0,8336,106.0,145200.0,2242.0,49806.0,,742,30,2514670.0,9175.0,3.0
2020-09-09,22:01,28,Ukraine,43682293,143030,2551.0,2979,45.0,64703.0,1157.0,75348.0,177.0,3274,68,1751931.0,40106.0,4.0
2020-09-09,22:01,30,Israel,9197590,140658,3093.0,1053,13.0,108339.0,1336.0,31266.0,478.0,15293,114,2574145.0,279872.0,3.0
2020-09-09,22:01,24,Canada,37804826,134093,345.0,9154,1.0,117945.0,380.0,6994.0,54.0,3547,242,5891121.0,155830.0,1.0
2020-09-09,22:01,26,Bolivia,11702818,122308,704.0,7097,43.0,75098.0,1948.0,40113.0,71.0,10451,606,259924.0,22210.0,2.0
2020-09-09,22:01,25,Qatar,2807805,120846,267.0,205,,117746.0,249.0,2895.0,51.0,43039,73,672099.0,239368.0,3.0
2020-09-09,22:01,27,Ecuador,17692994,112166,1409.0,10701,74.0,91242.0,,10223.0,374.0,6340,605,333977.0,18876.0,2.0
2020-09-09,22:01,29,Kazakhstan,18818912,106498,73.0,1634,,100042.0,149.0,4822.0,221.0,5659,87,2571562.0,136648.0,3.0
2020-09-09,22:01,32,Dominican Republic,10868449,100937,806.0,1914,25.0,74305.0,510.0,24718.0,210.0,9287,176,403755.0,37149.0,1.0
2020-09-09,22:01,31,Egypt,102690815,100228,,5560,,79886.0,,14782.0,41.0,976,54,135000.0,1315.0,5.0
2020-09-09,22:01,34,Panama,4327410,98407,,2107,,70751.0,,25549.0,132.0,22740,487,374599.0,86564.0,1.0
2020-09-09,22:01,38,Romania,19212516,98304,1271.0,4018,51.0,41002.0,164.0,53284.0,459.0,5117,209,1990587.0,103609.0,4.0
2020-09-09,22:01,37,Kuwait,4282356,92082,838.0,552,4.0,82222.0,568.0,9308.0,89.0,21503,129,657751.0,153596.0,3.0
2020-09-09,22:01,36,Belgium,11599276,89141,372.0,9912,3.0,18602.0,26.0,60627.0,59.0,7685,855,2466280.0,212624.0,4.0
2020-09-09,22:01,35,Oman,5130194,87939,349.0,751,9.0,83115.0,142.0,4073.0,167.0,17141,146,309212.0,60273.0,3.0
2020-09-09,22:01,33,Sweden,10111264,85880,,5842,4.0,,,,13.0,8493,578,1250488.0,123673.0,4.0
2020-09-09,22:01,40,Guatemala,17976822,78721,,2890,,67462.0,,8369.0,5.0,4379,161,263085.0,14635.0,1.0
2020-09-09,22:01,49,Morocco,36992794,77878,2157.0,1453,26.0,59723.0,2484.0,16702.0,240.0,2105,39,2115390.0,57184.0,5.0
2020-09-09,22:01,42,Netherlands,17142164,77688,1140.0,6246,2.0,,,,43.0,4532,364,1832451.0,106897.0,4.0
2020-09-09,22:01,41,UAE,9912851,75981,883.0,393,2.0,67359.0,416.0,8229.0,,7665,40,7790235.0,785872.0,3.0
2020-09-09,22:01,39,Belarus,9448722,73402,194.0,726,5.0,71999.0,83.0,677.0,,7768,77,1605547.0,169922.0,4.0
2020-09-09,22:01,44,Japan,126401103,72234,,1377,,63282.0,,7575.0,202.0,571,11,1622149.0,12833.0,3.0
