Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id,scrap_date,scrap_time
1,USA,"331,399,277","6,725,904","+17,446","198,725",+205,"4,001,853","+26,904","2,525,326","14,113","20,295",600,"92,727,545","279,806",1.0,14.09.20,22:04
3,India,"1,382,752,528","4,926,734","+81,731","80,827","+1,073","3,855,983","+78,939","989,924","8,944","3,563",58,"57,239,428","41,395",3.0,14.09.20,22:04
2,Brazil,"212,867,328","4,335,066","+4,611","131,736",+73,"3,573,958",,"629,372","8,318","20,365",619,"14,505,652","68,144",2.0,14.09.20,22:04
4,Russia,"145,947,399","1,068,320","+5,509","18,635",+57,"878,700","+2,475","170,985","2,300","7,320",128,"40,903,551","280,262",4.0,14.09.20,22:04
6,Peru,"33,064,018","729,619",,"30,710",,"566,796",,"132,113","1,448","22,067",929,"3,534,937","106,912",2.0,14.09.20,22:04
8,Colombia,"50,992,538","716,319",,"22,924",,"599,385",,"94,010",863,"14,048",450,"3,164,001","62,048",2.0,14.09.20,22:04
7,Mexico,"129,206,715","668,381","+4,408","70,821",+217,"471,623","+4,098","125,937","2,672","5,173",548,"1,516,588","11,738",1.0,14.09.20,22:04
5,South Africa,"59,459,197","649,793",,"15,447",,"577,906",,"56,440",539,"10,928",260,"3,918,478","65,902",5.0,14.09.20,22:04
9,Spain,"46,758,522","593,730","+3,023","29,848",+33,,,,"1,136","12,698",638,"10,756,835","230,051",4.0,14.09.20,22:04
12,Argentina,"45,279,901","555,537",,"11,412",+60,"428,953","+9,440","115,172","2,984","12,269",252,"1,563,241","34,524",2.0,14.09.20,22:04
10,Chile,"19,149,531","436,433","+1,685","12,013",+64,"407,725","+1,399","16,695",906,"22,791",627,"2,860,706","149,388",2.0,14.09.20,22:04
11,Iran,"84,209,239","404,648","+2,619","23,313",+156,"348,013","+1,771","33,322","3,798","4,805",277,"3,586,848","42,594",3.0,14.09.20,22:04
19,France,"65,303,258","387,252","+6,158","30,950",+34,"89,507",+448,"266,795",712,"5,930",474,"10,000,000","153,132",4.0,14.09.20,22:04
13,UK,"67,958,978","371,125","+2,621","41,637",+9,,,,79,"5,461",613,"19,293,329","283,897",4.0,14.09.20,22:04
15,Bangladesh,"165,021,623","339,332","+1,812","4,759",+26,"243,155","+2,512","91,418",,"2,056",29,"1,742,696","10,560",3.0,14.09.20,22:04
14,Saudi Arabia,"34,922,248","326,258",+607,"4,305",+37,"303,930","+1,060","18,023","1,293","9,342",123,"5,766,502","165,124",3.0,14.09.20,22:04
16,Pakistan,"221,741,906","302,020",+539,"6,383",+4,"289,806",+377,"5,831",551,"1,362",29,"2,968,613","13,388",3.0,14.09.20,22:04
21,Iraq,"40,399,964","294,478","+4,169","8,086",+72,"229,132","+4,427","57,260",539,"7,289",200,"1,926,390","47,683",3.0,14.09.20,22:04
