scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,133,Angola,32942268,1164,,54,,460,,650,5,35,2.0,64109,1946,5
2020-08-08,20:00:00,2020-08-08,,133,Angola,32959107,1538,,67,,544,,927,20,47,2.0,64747,1964,5
2020-08-12,20:00:00,2020-08-12,,133,Angola,32970333,1735,,80,,575,,1080,20,53,2.0,64747,1964,5
2020-08-16,20:00:00,2020-08-16,,133,Angola,32981559,1879,,86,,628,,1165,20,57,3.0,64747,1963,5
2020-08-17,20:00:00,2020-08-17,,133,Angola,32984365,1906,,88,,628,,1190,20,58,3.0,64747,1963,5
2020-08-18,20:00:00,2020-08-18,,133,Angola,32987172,1935,,88,,632,,1215,24,59,3.0,64747,1963,5
2020-08-19,20:00:00,2020-08-19,,133,Angola,32989978,1966,,90,,667,,1209,24,60,3.0,64747,1963,5
2020-08-20,17:53:00,2020-08-20,,133,Angola,32992785,2015,,92,,698,,1225,24,61,3.0,64747,1962,5
2020-08-23,21:09:00,2020-08-23,,133,Angola,33001204,2134,,94,,814,,1226,24,65,3.0,64747,1962,5
2020-08-24,17:10:00,2020-08-24,,133,Angola,33004010,2171,,96,,818,,1257,24,66,3.0,64747,1962,5
2020-08-25,23:00:00,2020-08-25,,133,Angola,33006817,2222,,100,,877,,1245,24,67,3.0,64747,1962,5
2020-08-26,22:59:00,2020-08-26,,133,Angola,33009623,2283,,102,,977,,1204,24,69,3.0,64747,1961,5
2020-08-27,23:00:00,2020-08-27,,133,Angola,33012430,2415,83.0,105,2.0,1335,358.0,975,24,73,3.0,64747,1961,5
2020-08-28,23:01:00,2020-08-28,,133,Angola,33015236,2415,,105,,1335,,975,24,73,3.0,64747,1961,5
2020-08-29,12:29:00,2020-08-29,,133,Angola,33018043,2471,,106,,1028,,1337,24,75,3.0,64747,1961,5
2020-08-30,23:00:00,2020-08-30,,133,Angola,33020849,2624,73.0,107,,1063,22.0,1454,24,79,3.0,64747,1961,5
2020-08-31,18:58:00,2020-08-31,,133,Angola,33023656,2624,,107,,1063,,1454,24,79,3.0,64747,1961,5
2020-09-01,23:00:00,2020-09-01,,133,Angola,33026462,2654,,108,,1071,,1475,24,80,3.0,64747,1960,5
2020-09-02,23:01:00,2020-09-02,,133,Angola,33029269,2729,,109,,1084,,1536,24,83,3.0,64747,1960,5
2020-09-03,23:01:00,2020-09-03,,133,Angola,33032075,2805,28.0,113,1.0,1144,29.0,1548,24,85,3.0,64747,1960,5
2020-09-04,07:01:00,2020-09-04,,133,Angola,33034882,2805,,113,,1144,,1548,24,85,3.0,64747,1960,5
2020-09-05,23:31:00,2020-09-05,,133,Angola,33037688,2876,,115,,1167,,1594,24,87,3.0,64747,1960,5
2020-09-06,18:30:00,2020-09-06,,133,Angola,33040494,2935,,117,,1192,,1626,24,89,4.0,64747,1960,5
2020-09-07,23:39:00,2020-09-07,,133,Angola,33043301,2981,16.0,120,3.0,1215,17.0,1646,24,90,4.0,64747,1959,5
2020-09-08,22:10:00,2020-09-08,,133,Angola,33046107,2981,,120,,1215,,1646,24,90,4.0,64747,1959,5
2020-09-10,22:01:00,2020-09-10,,133,Angola,33051720,3092,,126,,1245,,1721,24,94,4.0,64747,1959,5
2020-09-11,22:00:00,2020-09-11,,133,Angola,33054527,3217,,130,,1277,,1810,24,97,4.0,64747,1959,5
2020-09-12,22:22:00,2020-09-12,,133,Angola,33057333,3279,,131,,1288,,1860,24,99,4.0,64747,1959,5
2020-09-13,22:01:00,2020-09-13,,133,Angola,33060140,3335,,132,,1289,,1914,24,101,4.0,64747,1958,5
2020-09-14,22:04:00,2020-09-14,,133,Angola,33062946,3388,,134,,1301,,1953,24,102,4.0,64747,1958,5
2020-09-15,21:00:00,2020-09-15,,133,Angola,33065753,3439,,136,,1324,,1979,16,104,4.0,65951,1995,5
2020-09-16,21:01:00,2020-09-16,,133,Angola,33068559,3569,,139,,1332,,2098,16,108,4.0,65951,1994,5
2020-09-18,20:01:00,2020-09-18,,133,Angola,33074172,3789,,144,,1405,,2240,16,115,4.0,65951,1994,5
2020-09-19,21:00:00,2020-09-19,,133,Angola,33076979,3848,,147,,1443,,2258,16,116,4.0,65951,1994,5
2020-09-20,22:31:00,2020-09-20,,133,Angola,33079785,3901,,147,,1445,,2309,13,118,4.0,65951,1994,5
2020-09-21,21:01:00,2020-09-21,,133,Angola,33082591,3991,,152,,1445,,2394,13,121,5.0,65951,1994,5
2020-09-22,21:01:00,2020-09-22,,133,Angola,33085398,4117,,154,,1449,,2514,8,124,5.0,65951,1993,5
2020-09-23,19:58:00,2020-09-23,,133,Angola,33088204,4236,,155,,1462,,2619,8,128,5.0,65951,1993,5
2020-09-24,21:00:00,2020-09-24,,133,Angola,33091011,4363,,159,,1473,,2731,8,132,5.0,65951,1993,5
2020-09-25,21:00:00,2020-09-25,,133,Angola,33093817,4475,,162,,1503,,2810,8,135,5.0,65951,1993,5
