scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,12,Argentina,45231224,196543,,3612,16.0,89026,2527.0,103905,1128,4345,80.0,736007,16272,2
2020-08-08,20:00:00,2020-08-08,,12,Argentina,45238016,235677,,4450,39.0,108242,4945.0,122985,1293,5210,98.0,830057,18349,2
2020-08-12,20:00:00,2020-08-12,,12,Argentina,45242544,260911,,5004,,181389,,74518,1585,5767,111.0,872643,19288,2
2020-08-16,20:00:00,2020-08-16,,12,Argentina,45247072,289100,,5637,,205697,,77766,1716,6389,125.0,949170,20977,2
2020-08-17,20:00:00,2020-08-17,,12,Argentina,45248204,294569,,5750,47.0,217850,6148.0,70969,1708,6510,127.0,966926,21369,2
2020-08-18,20:00:00,2020-08-18,,12,Argentina,45249337,299126,,5877,63.0,223531,5681.0,69718,1749,6611,130.0,994942,21988,2
2020-08-19,20:00:00,2020-08-19,,12,Argentina,45250469,305966,,6048,,223531,,76387,1799,6762,134.0,994942,21987,2
2020-08-20,17:53:00,2020-08-20,,12,Argentina,45251601,312659,,6406,76.0,233651,4926.0,72602,1795,6909,142.0,1030992,22784,2
2020-08-23,21:09:00,2020-08-23,,12,Argentina,45254997,336802,,6947,99.0,251400,5619.0,78455,1907,7442,154.0,1092556,24142,2
2020-08-24,17:10:00,2020-08-24,,12,Argentina,45256129,342154,,7079,94.0,256789,5389.0,78286,1922,7560,156.0,1105878,24436,2
2020-08-25,23:00:00,2020-08-25,,12,Argentina,45257261,350867,,7402,36.0,263202,6413.0,80263,1960,7753,164.0,1127098,24904,2
2020-08-26,22:59:00,2020-08-26,,12,Argentina,45258393,359638,,7661,98.0,268801,5599.0,83176,1990,7946,169.0,1148574,25378,2
2020-08-27,23:00:00,2020-08-27,,12,Argentina,45259525,370188,,7944,105.0,274458,5657.0,87786,2022,8179,176.0,1172811,25913,2
2020-08-28,23:01:00,2020-08-28,,12,Argentina,45260657,380292,,8129,79.0,280165,5707.0,91998,2075,8402,180.0,1196878,26444,2
2020-08-29,12:29:00,2020-08-29,,12,Argentina,45261789,392009,,8271,,280165,,103573,2114,8661,183.0,1196878,26443,2
2020-08-30,23:00:00,2020-08-30,,12,Argentina,45262921,401239,,8401,48.0,294007,6787.0,98831,2192,8865,186.0,1242269,27446,2
2020-08-31,18:58:00,2020-08-31,,12,Argentina,45264053,408426,,8498,41.0,301195,7188.0,98733,2232,9023,188.0,1257906,27790,2
2020-09-01,23:00:00,2020-09-01,,12,Argentina,45265185,417735,,8730,70.0,308376,7181.0,100629,2273,9229,193.0,1277751,28228,2
2020-09-02,23:01:00,2020-09-02,,12,Argentina,45266317,428239,,8971,52.0,315530,7154.0,103738,2314,9460,198.0,1300866,28738,2
2020-09-03,23:01:00,2020-09-03,,12,Argentina,45267449,439172,,9155,37.0,322461,6931.0,107556,2359,9702,202.0,1324687,29264,2
2020-09-04,07:01:00,2020-09-04,,12,Argentina,45268581,451198,,9361,,322461,,119376,2394,9967,207.0,1324687,29263,2
2020-09-05,23:31:00,2020-09-05,,12,Argentina,45269713,461882,,9685,62.0,340381,8760.0,111816,2425,10203,214.0,1374524,30363,2
2020-09-06,18:30:00,2020-09-06,,12,Argentina,45270845,471806,,9807,68.0,349132,8751.0,112867,2456,10422,217.0,1396887,30856,2
2020-09-07,23:39:00,2020-09-07,,12,Argentina,45271977,478792,,9912,53.0,357388,8256.0,111492,2512,10576,219.0,1412149,31193,2
2020-09-08,22:10:00,2020-09-08,,12,Argentina,45273109,488007,,10179,50.0,366590,9202.0,111238,2698,10779,225.0,1412149,31192,2
2020-09-09,22:01:00,2020-09-09,,12,Argentina,45274241,500034,,10457,52.0,382490,15900.0,107087,2719,11045,231.0,1458619,32217,2
2020-09-10,22:01:00,2020-09-10,,12,Argentina,45275373,512293,,10713,55.0,390098,7608.0,111482,2719,11315,237.0,1485790,32817,2
2020-09-11,22:00:00,2020-09-11,,12,Argentina,45276505,524198,,10994,87.0,400121,10023.0,113083,2880,11578,243.0,1513847,33436,2
2020-09-12,22:22:00,2020-09-12,,12,Argentina,45277637,535705,,11206,58.0,409771,9650.0,114728,3093,11832,247.0,1540101,34015,2
2020-09-13,22:01:00,2020-09-13,,12,Argentina,45278769,546481,,11307,44.0,419513,9742.0,115661,2962,12069,250.0,1563241,34525,2
2020-09-14,22:04:00,2020-09-14,,12,Argentina,45279901,555537,,11412,60.0,428953,9440.0,115172,2984,12269,252.0,1563241,34524,2
2020-09-15,21:00:00,2020-09-15,,12,Argentina,45281033,565446,,11710,43.0,438883,9930.0,114853,2992,12487,259.0,1602403,35388,2
2020-09-16,21:01:00,2020-09-16,,12,Argentina,45282165,577338,,11910,58.0,448263,9380.0,117165,3049,12750,263.0,1628194,35957,2
2020-09-18,20:01:00,2020-09-18,,12,Argentina,45284429,601713,,12491,31.0,467286,10939.0,121936,3108,13287,276.0,1682249,37149,2
2020-09-19,21:00:00,2020-09-19,,12,Argentina,45285561,613658,,12705,49.0,478077,10791.0,122876,3225,13551,281.0,1707947,37715,2
2020-09-20,22:31:00,2020-09-20,,12,Argentina,45286693,622934,,12909,110.0,488231,10154.0,121794,3213,13755,285.0,1729040,38180,2
2020-09-21,21:01:00,2020-09-21,,12,Argentina,45287825,631365,,13053,,488231,,130081,3261,13941,288.0,1729040,38179,2
2020-09-22,21:01:00,2020-09-22,,12,Argentina,45288957,640147,,13482,,508563,,118102,3387,14135,298.0,1765069,38973,2
2020-09-23,19:58:00,2020-09-23,,12,Argentina,45290090,652174,,13952,,517228,,120994,3362,14400,308.0,1790835,39541,2
2020-09-24,21:00:00,2020-09-24,,12,Argentina,45291222,664799,,14376,,525486,,124937,3511,14678,317.0,1815738,40090,2
2020-09-25,21:00:00,2020-09-25,,12,Argentina,45292354,678266,,14766,,536589,,126911,3527,14975,326.0,1842991,40691,2
2020-09-26,21:00:00,2020-09-26,,12,Argentina,45293486,691235,,15208,,546924,,129103,3595,15261,336.0,1868089,41244,2
2020-09-27,22:45:00,2020-09-27,,12,Argentina,45294618,702484,,15543,,556489,,130452,3633,15509,343.0,1890190,41731,2
2020-09-28,22:00:00,2020-09-28,,12,Argentina,45295750,711325,,15749,,565935,,129641,3604,15704,348.0,1905361,42065,2
2020-09-29,21:35:00,2020-09-29,,12,Argentina,45296882,723132,,16113,,576715,,130304,3678,15964,356.0,1926717,42535,2
2020-09-30,22:00:00,2020-09-30,,12,Argentina,45298014,736609,,16519,,585857,,134233,3768,16261,365.0,1951789,43088,2
2020-10-01,21:31:00,2020-10-01,,12,Argentina,45299146,751001,,16937,,594645,,139419,3792,16579,374.0,1951789,43087,2
2020-10-02,22:36:00,2020-10-02,,12,Argentina,45300278,765002,,20288,,603140,,141574,3799,16887,448.0,2002975,44216,2
2020-10-03,22:24:00,2020-10-03,,12,Argentina,45301410,779689,,20599,,614515,,144575,3828,17211,455.0,2030512,44822,2
2020-10-04,21:01:00,2020-10-04,,12,Argentina,45302542,790818,,20795,,626114,,143909,3820,17456,459.0,2051037,45274,2
2020-10-05,22:13:00,2020-10-05,,12,Argentina,45303674,798486,,21018,,636672,,140796,3950,17625,464.0,2064250,45565,2
2020-10-06,23:01:00,2020-10-06,,12,Argentina,45304806,809728,,21468,,649017,,139243,3978,17873,474.0,2084513,46011,2
2020-10-07,23:01:00,2020-10-07,,12,Argentina,45305938,824468,,21827,,660272,,142369,4007,18198,482.0,2110994,46594,2
