scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,61,Costa Rica,5098095,18187,,154,,4531,,13502,94,3567,30.0,88861,17430,1
2020-08-08,20:00:00,2020-08-08,,61,Costa Rica,5098857,22081,,218,,7266,,14597,89,4331,43.0,100050,19622,1
2020-08-12,20:00:00,2020-08-12,,61,Costa Rica,5099365,24508,,255,,7971,,16282,85,4806,50.0,108819,21340,1
2020-08-16,20:00:00,2020-08-16,,61,Costa Rica,5099873,27737,,291,,9010,,18436,104,5439,57.0,117914,23121,1
2020-08-17,20:00:00,2020-08-17,,61,Costa Rica,5100000,28465,,294,,9062,,19109,102,5581,58.0,120435,23615,1
2020-08-18,20:00:00,2020-08-18,,61,Costa Rica,5100127,29084,,304,,9233,,19547,106,5703,60.0,120435,23614,1
2020-08-19,20:00:00,2020-08-19,,61,Costa Rica,5100254,29643,,314,,9462,,19867,110,5812,62.0,123223,24160,1
2020-08-20,17:53:00,2020-08-20,,61,Costa Rica,5100381,30409,,321,,9660,,20428,126,5962,63.0,123223,24160,1
2020-08-23,21:09:00,2020-08-23,,61,Costa Rica,5100762,33084,,348,,10372,,22364,131,6486,68.0,130867,25656,1
2020-08-24,17:10:00,2020-08-24,,61,Costa Rica,5100889,33820,,355,,10518,,22947,131,6630,70.0,133005,26075,1
2020-08-25,23:00:00,2020-08-25,,61,Costa Rica,5101016,35305,842.0,376,14.0,13072,314.0,21857,144,6921,74.0,133005,26074,1
2020-08-26,22:59:00,2020-08-26,,61,Costa Rica,5101142,35305,,376,,13073,1.0,21856,144,6921,74.0,136154,26691,1
2020-08-27,23:00:00,2020-08-27,,61,Costa Rica,5101269,37292,985.0,397,11.0,14471,1154.0,22424,132,7310,78.0,136154,26690,1
2020-08-28,23:01:00,2020-08-28,,61,Costa Rica,5101396,37292,,397,,14471,,22424,132,7310,78.0,136154,26690,1
2020-08-29,12:29:00,2020-08-29,,61,Costa Rica,5101523,38485,,407,,14664,,23414,140,7544,80.0,143049,28040,1
2020-08-30,23:00:00,2020-08-30,,61,Costa Rica,5101650,39699,,418,,15737,,23544,133,7782,82.0,146047,28627,1
2020-08-31,18:58:00,2020-08-31,,61,Costa Rica,5101777,39699,,418,,15737,,23544,133,7781,82.0,146047,28627,1
2020-09-01,23:00:00,2020-09-01,,61,Costa Rica,5101904,42184,897.0,443,7.0,16270,214.0,25471,149,8268,87.0,150106,29422,1
2020-09-02,23:01:00,2020-09-02,,61,Costa Rica,5102031,42184,,443,,16270,,25471,149,8268,87.0,150106,29421,1
2020-09-03,23:01:00,2020-09-03,,61,Costa Rica,5102158,43305,,453,,16512,,26340,154,8488,89.0,153884,30161,1
2020-09-04,07:01:00,2020-09-04,,61,Costa Rica,5102285,44458,,460,,17855,,26143,161,8713,90.0,156466,30666,1
2020-09-05,23:31:00,2020-09-05,,61,Costa Rica,5102412,46920,1240.0,478,9.0,18211,158.0,28231,200,9196,94.0,156466,30665,1
2020-09-06,18:30:00,2020-09-06,,61,Costa Rica,5102539,46920,,478,,18211,,28231,200,9195,94.0,162780,31902,1
2020-09-07,23:39:00,2020-09-07,,61,Costa Rica,5102666,48780,833.0,510,32.0,19083,872.0,29187,213,9560,100.0,162780,31901,1
2020-09-08,22:10:00,2020-09-08,,61,Costa Rica,5102793,48780,,510,,19083,,29187,213,9559,100.0,166786,32685,1
2020-09-09,22:01:00,2020-09-09,,61,Costa Rica,5102920,49897,,531,,19285,,30081,236,9778,104.0,166786,32684,1
2020-09-10,22:01:00,2020-09-10,,61,Costa Rica,5103047,51224,,543,,19544,,31137,237,10038,106.0,172011,33708,1
2020-09-11,22:00:00,2020-09-11,,61,Costa Rica,5103174,52549,,567,,20322,,31660,219,10297,111.0,175050,34302,1
2020-09-12,22:22:00,2020-09-12,,61,Costa Rica,5103301,53969,,583,,20710,,32676,221,10575,114.0,175050,34301,1
2020-09-13,22:01:00,2020-09-13,,61,Costa Rica,5103428,55454,,590,,20928,,33936,225,10866,116.0,181763,35616,1
2020-09-14,22:04:00,2020-09-14,,61,Costa Rica,5103555,55454,,590,,20928,,33936,225,10866,116.0,181763,35615,1
