scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,97,Croatia,4102921,5260,36.0,149,4.0,4373,32.0,738,6,1282,36.0,121320,29569,4
2020-08-08,20:00:00,2020-08-08,,97,Croatia,4102508,5543,77.0,157,2.0,4817,59.0,569,8,1351,38.0,126410,30813,4
2020-08-12,20:00:00,2020-08-12,,97,Croatia,4102233,5740,,160,,4962,,618,5,1399,39.0,130688,31858,4
2020-08-16,20:00:00,2020-08-16,,97,Croatia,4101957,6420,,165,,5193,,1062,10,1565,40.0,136280,33223,4
2020-08-17,20:00:00,2020-08-17,,97,Croatia,4101888,6656,85.0,166,,5254,34.0,1236,11,1623,40.0,138647,33801,4
2020-08-18,20:00:00,2020-08-18,,97,Croatia,4101820,6855,199.0,166,,5318,64.0,1371,11,1671,40.0,140471,34246,4
2020-08-19,20:00:00,2020-08-19,,97,Croatia,4101751,6855,,166,,5318,,1371,11,1671,40.0,140471,34247,4
2020-08-20,17:53:00,2020-08-20,,97,Croatia,4101682,7329,255.0,168,,5472,86.0,1689,13,1787,41.0,144521,35235,4
2020-08-23,21:09:00,2020-08-23,,97,Croatia,4101476,8175,275.0,171,1.0,5801,123.0,2203,12,1993,42.0,148742,36265,4
2020-08-24,17:10:00,2020-08-24,,97,Croatia,4101407,8311,136.0,173,2.0,5926,125.0,2212,12,2026,42.0,152824,37261,4
2020-08-25,23:00:00,2020-08-25,,97,Croatia,4101338,8530,219.0,175,2.0,6124,198.0,2231,9,2080,43.0,154159,37587,4
2020-08-26,22:59:00,2020-08-26,,97,Croatia,4101269,8888,358.0,175,,6362,238.0,2351,10,2167,43.0,157387,38375,4
2020-08-27,23:00:00,2020-08-27,,97,Croatia,4101200,9192,304.0,177,2.0,6595,233.0,2420,13,2241,43.0,160236,39071,4
2020-08-28,23:01:00,2020-08-28,,97,Croatia,4101132,9549,357.0,180,3.0,6809,214.0,2560,11,2328,44.0,162301,39575,4
2020-08-29,12:29:00,2020-08-29,,97,Croatia,4101063,9549,,180,,6809,,2560,11,2328,44.0,162301,39575,4
2020-08-30,23:00:00,2020-08-30,,97,Croatia,4100994,10123,262.0,184,1.0,7212,188.0,2727,13,2468,45.0,166638,40634,4
2020-08-31,18:58:00,2020-08-31,,97,Croatia,4100925,10269,146.0,186,2.0,7434,222.0,2649,14,2504,45.0,168229,41022,4
2020-09-01,23:00:00,2020-09-01,,97,Croatia,4100856,10414,145.0,187,1.0,7735,301.0,2492,14,2539,46.0,171224,41753,4
2020-09-02,23:01:00,2020-09-02,,97,Croatia,4100788,10725,311.0,191,4.0,7968,233.0,2566,15,2615,47.0,175346,42759,4
2020-09-03,23:01:00,2020-09-03,,97,Croatia,4100719,11094,369.0,194,3.0,8266,298.0,2634,15,2705,47.0,179838,43855,4
2020-09-04,07:01:00,2020-09-04,,97,Croatia,4100650,11094,,194,,8266,,2634,15,2705,47.0,179838,43856,4
