scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,18,Turkey,84415940,231869,,5710,,215516,,10643,586,2747,68.0,4845669,57402,3
2020-08-08,20:00:00,2020-08-08,,18,Turkey,84430809,239622,1172.0,5829,16.0,222656,1082.0,11137,587,2838,69.0,5202370,61617,3
2020-08-12,20:00:00,2020-08-12,,18,Turkey,84440722,243180,,5873,,226155,,11152,617,2880,70.0,5387751,63805,3
2020-08-16,20:00:00,2020-08-16,,18,Turkey,84450635,248117,,5955,,229972,,12190,668,2938,71.0,5659286,67013,3
2020-08-17,20:00:00,2020-08-17,,18,Turkey,84453113,249309,,5974,,230969,,12366,679,2952,71.0,5725242,67792,3
2020-08-18,20:00:00,2020-08-18,,18,Turkey,84455591,251805,1263.0,6016,20.0,232913,942.0,12876,703,2982,71.0,5882406,69651,3
2020-08-19,20:00:00,2020-08-19,,18,Turkey,84458069,251805,,6016,,232913,,12876,703,2981,71.0,5882406,69649,3
2020-08-20,17:53:00,2020-08-20,,18,Turkey,84460548,253108,,6039,,233915,,13154,719,2997,72.0,5969629,70679,3
2020-08-23,21:09:00,2020-08-23,,18,Turkey,84467982,258249,1217.0,6121,19.0,237165,795.0,14963,783,3057,72.0,6327466,74910,3
2020-08-24,17:10:00,2020-08-24,,18,Turkey,84470460,258249,,6121,,237165,,14963,783,3057,72.0,6327466,74907,3
2020-08-25,23:00:00,2020-08-25,,18,Turkey,84472939,261194,1502.0,6163,24.0,238795,887.0,16236,811,3092,73.0,6521640,77204,3
2020-08-26,22:59:00,2020-08-26,,18,Turkey,84475417,262507,1313.0,6183,20.0,239797,1002.0,16527,841,3107,73.0,6621749,78387,3
2020-08-27,23:00:00,2020-08-27,,18,Turkey,84477895,263998,1491.0,6209,26.0,240792,995.0,16997,862,3125,73.0,6727860,79640,3
2020-08-28,23:01:00,2020-08-28,,18,Turkey,84480373,265515,1517.0,6245,36.0,241809,1017.0,17461,896,3143,74.0,6835674,80914,3
2020-08-29,12:29:00,2020-08-29,,18,Turkey,84482851,265515,,6245,,241809,,17461,896,3143,74.0,6835674,80912,3
