,_id,first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_newly_tested,weekly_cases,weekly_deceased
0,1,3/15/2020,3/21/2020,0-19,,44,44,0,0
1,2,3/15/2020,3/21/2020,0-19,male,1112,1055,40,0
2,3,3/15/2020,3/21/2020,0-19,female,926,889,41,0
3,4,3/15/2020,3/21/2020,20-24,,<15,<15,0,0
4,5,3/15/2020,3/21/2020,20-24,male,684,638,107,0
5,6,3/15/2020,3/21/2020,20-24,female,643,622,39,0
6,7,3/15/2020,3/21/2020,25-29,male,590,558,55,0
7,8,3/15/2020,3/21/2020,25-29,,<15,<15,<15,0
8,9,3/15/2020,3/21/2020,25-29,female,740,700,50,0
9,10,3/15/2020,3/21/2020,30-34,female,669,617,36,0
10,11,3/15/2020,3/21/2020,30-34,,<15,<15,0,0
11,12,3/15/2020,3/21/2020,30-34,male,647,595,64,0
12,13,3/15/2020,3/21/2020,35-39,,<15,<15,0,0
13,14,3/15/2020,3/21/2020,35-39,female,512,485,29,0
14,15,3/15/2020,3/21/2020,35-39,male,565,518,53,0
15,16,3/15/2020,3/21/2020,40-44,female,450,408,22,0
16,17,3/15/2020,3/21/2020,40-44,,<15,<15,0,0
17,18,3/15/2020,3/21/2020,40-44,male,406,374,38,0
18,19,3/15/2020,3/21/2020,45-49,,<15,<15,0,0
19,20,3/15/2020,3/21/2020,45-49,female,383,365,17,0
20,21,3/15/2020,3/21/2020,45-49,male,367,324,44,0
21,22,3/15/2020,3/21/2020,50-54,,<15,<15,0,0
22,23,3/15/2020,3/21/2020,50-54,male,295,264,36,0
23,24,3/15/2020,3/21/2020,50-54,female,378,355,28,0
24,25,3/15/2020,3/21/2020,55-59,female,351,325,26,0
25,26,3/15/2020,3/21/2020,55-59,male,204,178,24,0
26,27,3/15/2020,3/21/2020,55-59,,<15,<15,0,0
27,28,3/15/2020,3/21/2020,60-64,,0,0,0,0
28,29,3/15/2020,3/21/2020,60-64,female,306,285,26,0
29,30,3/15/2020,3/21/2020,60-64,male,250,225,25,0
30,31,3/15/2020,3/21/2020,65-69,,<15,<15,0,0
31,32,3/15/2020,3/21/2020,65-69,female,207,184,16,0
32,33,3/15/2020,3/21/2020,65-69,male,256,223,33,0
33,34,3/15/2020,3/21/2020,70-74,female,157,136,21,0
34,35,3/15/2020,3/21/2020,70-74,male,212,177,31,0
35,36,3/15/2020,3/21/2020,70-74,,<15,<15,0,0
