,_id,test_date,age_60_and_above,male,female,NULL
0,1,2020-03-11,,10,11,0
1,2,2020-03-11,No,145,136,1
2,3,2020-03-11,Yes,36,25,0
3,4,2020-03-12,,12,11,0
4,5,2020-03-12,No,250,251,5
5,6,2020-03-12,Yes,52,53,2
6,7,2020-03-13,,20,19,6
7,8,2020-03-13,No,273,293,7
8,9,2020-03-13,Yes,57,62,3
9,10,2020-03-14,,19,17,3
10,11,2020-03-14,No,278,269,1
11,12,2020-03-14,Yes,61,84,0
12,13,2020-03-15,,33,46,9
13,14,2020-03-15,No,414,416,16
14,15,2020-03-15,Yes,85,91,2
15,16,2020-03-16,,77,77,15
16,17,2020-03-16,No,522,541,15
17,18,2020-03-16,Yes,107,109,0
18,19,2020-03-17,,44,39,1
19,20,2020-03-17,No,578,641,3
20,21,2020-03-17,Yes,104,124,0
21,22,2020-03-18,,43,42,15
22,23,2020-03-18,No,830,883,19
23,24,2020-03-18,Yes,144,118,2
24,25,2020-03-19,,48,50,3
25,26,2020-03-19,No,868,978,7
26,27,2020-03-19,Yes,158,157,2
27,28,2020-03-20,,60,76,7
28,29,2020-03-20,No,705,759,16
29,30,2020-03-20,Yes,154,135,1
30,31,2020-03-21,,58,46,5
31,32,2020-03-21,No,721,678,8
32,33,2020-03-21,Yes,124,120,0
33,34,2020-03-22,,94,78,14
34,35,2020-03-22,No,1277,1562,25
35,36,2020-03-22,Yes,274,280,3
36,37,2020-03-23,,58,68,35
37,38,2020-03-23,No,1356,1432,50
38,39,2020-03-23,Yes,307,319,4
39,40,2020-03-24,,105,86,29
40,41,2020-03-24,No,1973,2042,47
41,42,2020-03-24,Yes,352,343,1
42,43,2020-03-25,,126,80,33
43,44,2020-03-25,No,2178,2336,58
44,45,2020-03-25,Yes,421,412,0
45,46,2020-03-26,,91,86,82
46,47,2020-03-26,No,2449,2763,268
47,48,2020-03-26,Yes,436,451,9
48,49,2020-03-27,,85,77,34
49,50,2020-03-27,No,2471,2375,43
50,51,2020-03-27,Yes,424,450,2
51,52,2020-03-28,,99,99,44
52,53,2020-03-28,No,2392,2255,87
53,54,2020-03-28,Yes,423,444,3
54,55,2020-03-29,,109,102,17
55,56,2020-03-29,No,2182,2157,23
56,57,2020-03-29,Yes,390,334,2
57,58,2020-03-30,,101,110,23
58,59,2020-03-30,No,2553,2407,35
59,60,2020-03-30,Yes,413,364,2
60,61,2020-03-31,,128,102,15
61,62,2020-03-31,No,3155,3014,56
62,63,2020-03-31,Yes,557,523,8
63,64,2020-04-01,,95,105,37
64,65,2020-04-01,No,3648,3596,121
65,66,2020-04-01,Yes,704,763,25
66,67,2020-04-02,,124,124,24
67,68,2020-04-02,No,3670,3456,58
68,69,2020-04-02,Yes,630,647,10
69,70,2020-04-03,,148,146,12
70,71,2020-04-03,No,3781,3095,161
71,72,2020-04-03,Yes,555,468,25
72,73,2020-04-04,,112,122,22
73,74,2020-04-04,No,2351,1939,64
74,75,2020-04-04,Yes,413,545,8
75,76,2020-04-05,,103,76,24
76,77,2020-04-05,No,3405,2969,94
77,78,2020-04-05,Yes,606,742,9
78,79,2020-04-06,,134,85,6
79,80,2020-04-06,No,2319,2161,57
80,81,2020-04-06,Yes,415,484,6
81,82,2020-04-07,,118,116,11
82,83,2020-04-07,No,2394,2161,84
83,84,2020-04-07,Yes,486,448,8
84,85,2020-04-08,,86,70,43
85,86,2020-04-08,No,1863,1433,77
86,87,2020-04-08,Yes,315,357,7
87,88,2020-04-09,,77,68,22
88,89,2020-04-09,No,2128,1606,161
89,90,2020-04-09,Yes,336,366,14
90,91,2020-04-10,,93,83,18
91,92,2020-04-10,No,2484,1919,73
92,93,2020-04-10,Yes,556,766,23
93,94,2020-04-11,,83,86,10
94,95,2020-04-11,No,1764,1528,88
95,96,2020-04-11,Yes,503,703,6
96,97,2020-04-12,,165,146,98
97,98,2020-04-12,No,1992,1967,77
98,99,2020-04-12,Yes,672,1004,34
99,100,2020-04-13,,170,222,294
100,101,2020-04-13,No,2957,3007,126
101,102,2020-04-13,Yes,822,1098,17
102,103,2020-04-14,,158,199,23
103,104,2020-04-14,No,2396,2172,25
104,105,2020-04-14,Yes,712,1194,6
105,106,2020-04-15,,113,165,5
106,107,2020-04-15,No,2595,2368,11
107,108,2020-04-15,Yes,805,1497,10
108,109,2020-04-16,,175,281,29
109,110,2020-04-16,No,3252,3035,60
110,111,2020-04-16,Yes,1036,1716,17
111,112,2020-04-17,,133,161,23
112,113,2020-04-17,No,2422,2395,52
113,114,2020-04-17,Yes,921,1574,10
114,115,2020-04-18,,119,168,11
115,116,2020-04-18,No,2136,1789,37
116,117,2020-04-18,Yes,864,1606,4
117,118,2020-04-19,,189,352,36
118,119,2020-04-19,No,3748,3428,121
119,120,2020-04-19,Yes,1013,1757,22
120,121,2020-04-20,,210,209,23
121,122,2020-04-20,No,3689,3654,99
122,123,2020-04-20,Yes,1074,1855,13
123,124,2020-04-21,,172,194,89
124,125,2020-04-21,No,3639,3349,61
125,126,2020-04-21,Yes,937,1232,1
126,127,2020-04-22,,200,220,47
127,128,2020-04-22,No,3772,3260,174
128,129,2020-04-22,Yes,851,1161,10
129,130,2020-04-23,,199,288,28
130,131,2020-04-23,No,3796,3229,73
131,132,2020-04-23,Yes,901,1347,7
132,133,2020-04-24,,159,223,18
133,134,2020-04-24,No,2540,2391,48
134,135,2020-04-24,Yes,782,1253,4
135,136,2020-04-25,,98,175,13
136,137,2020-04-25,No,1469,1413,25
137,138,2020-04-25,Yes,573,1085,1
138,139,2020-04-26,,209,200,21
139,140,2020-04-26,No,2886,2357,19
140,141,2020-04-26,Yes,735,990,1
141,142,2020-04-27,,167,170,14
142,143,2020-04-27,No,2686,2336,92
