scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-12-04,23:00,20:57,1.0,USA,331828037,14703168,239239.0,284826,2887.0,8624929,99142.0,5793413,26182,44310,858,202848144,611305
2020-12-04,23:00,20:57,3.0,India,1385752793,9607632,43067.0,139714,612.0,9057282,49035.0,410636,8944,6933,101,144727749,104440
2020-12-04,23:00,20:57,2.0,Brazil,213201210,6496050,8966.0,175432,162.0,5725010,26657.0,595608,8318,30469,823,25700000,120543
2020-12-04,23:00,20:57,4.0,Russia,145961200,2402949,27403.0,42176,569.0,1888752,28901.0,472021,2300,16463,289,78227415,535947
2020-12-04,23:00,20:57,19.0,France,65335131,2268552,11221.0,54140,0.0,168352,1412.0,2046060,3293,34722,829,20879180,319570
2020-12-04,23:00,20:57,9.0,Spain,46762516,1699145,5554.0,46252,214.0,,,,2371,36336,989,22992742,491692
2020-12-04,23:00,20:57,13.0,UK,68037738,1690432,16298.0,60617,504.0,,,,1261,24846,891,44812139,658637
2020-12-04,23:00,20:57,17.0,Italy,60423775,1688939,24110.0,58852,814.0,872385,25576.0,757702,3567,27952,974,22767130,376791
2020-12-04,23:00,20:57,12.0,Argentina,45371596,1447732,7629.0,39305,149.0,1274675,6317.0,133752,3916,31908,866,4022872,88665
2020-12-04,23:00,20:57,8.0,Colombia,51112494,1343322,9233.0,37305,188.0,1233115,7480.0,72902,2376,26282,730,6592775,128986
2020-12-04,23:00,20:57,20.0,Germany,83898137,1146641,19946.0,18568,342.0,820600,20600.0,307473,4011,13667,221,29141172,347340
2020-12-04,23:00,20:57,7.0,Mexico,129506321,1144643,11030.0,108173,608.0,843231,6664.0,193239,3377,8839,835,2948516,22767
2020-12-04,23:00,20:57,43.0,Poland,37828876,1041846,13236.0,19359,531.0,666413,19853.0,356074,1961,27541,512,6396712,169096
2020-12-04,23:00,20:57,11.0,Iran,84447157,1016835,13341.0,49695,347.0,708106,8791.0,259034,5824,12041,588,6256715,74090
2020-12-04,23:00,20:57,6.0,Peru,33165694,968846,1771.0,36104,28.0,901544,2331.0,31198,957,29212,1089,5119245,154354
2020-12-04,23:00,20:57,5.0,South Africa,59624674,800872,0.0,21803,0.0,739367,0.0,39702,546,13432,366,5500669,92255
2020-12-04,23:00,20:57,28.0,Ukraine,43620881,787891,15131.0,13195,235.0,397809,13383.0,376887,177,18062,302,4528772,103821
2020-12-04,23:00,20:57,18.0,Turkey,84723237,765997,32736.0,14509,193.0,423142,4811.0,328346,5703,9041,171,19338181,228251
2020-12-04,23:00,20:57,36.0,Belgium,11611101,584857,2605.0,17033,122.0,38577,316.0,529247,788,50371,1467,6012323,517808
2020-12-04,23:00,20:57,23.0,Indonesia,274748198,563680,5803.0,17479,124.0,466178,3625.0,80023,,2052,64,5926986,21572
2020-12-04,23:00,20:57,21.0,Iraq,40600201,560622,1855.0,12387,26.0,489772,1909.0,58463,256,13808,305,3609466,88903
2020-12-04,23:00,20:57,10.0,Chile,19185805,557135,1729.0,15558,39.0,531543,1073.0,10034,683,29039,811,5455436,284348
2020-12-04,23:00,20:57,42.0,Netherlands,17151047,543924,5874.0,9623,58.0,,,,488,31714,561,4043482,235757
2020-12-04,23:00,20:57,70.0,Czechia,10717460,540094,4334.0,8718,93.0,468812,6855.0,62564,586,50394,813,3152545,294150
2020-12-04,23:00,20:57,38.0,Romania,19182526,500273,8062.0,12052,176.0,390212,9211.0,98009,1275,26080,628,4205480,219235
2020-12-04,23:00,20:57,15.0,Bangladesh,165384463,473991,2252.0,6772,24.0,390951,2572.0,76268,,2866,41,2836411,17150
2020-12-04,23:00,20:57,22.0,Philippines,110196978,436345,932.0,8509,63.0,399345,20.0,28491,1401,3960,77,5906862,53603
2020-12-04,23:00,20:57,16.0,Pakistan,222692708,410072,3262.0,8260,55.0,350305,3354.0,51507,2395,1841,37,5672166,25471
2020-12-04,23:00,20:57,24.0,Canada,37882498,400023,6942.0,12470,101.0,318021,5593.0,69532,530,10560,329,11739689,309897
2020-12-04,23:00,20:57,49.0,Morocco,37095566,372620,3996.0,6136,73.0,323814,4827.0,42670,955,10045,165,4038601,108870
2020-12-04,23:00,20:57,14.0,Saudi Arabia,35042319,358336,234.0,5940,10.0,348238,357.0,4158,596,10226,170,9796082,279550
2020-12-04,23:00,20:57,55.0,Switzerland,8681501,344497,4382.0,5292,150.0,260600,3000.0,78605,479,39682,610,2836245,326700
2020-12-04,23:00,20:57,30.0,Israel,9197590,342101,1234.0,2896,6.0,327162,707.0,12043,324,37195,315,5605071,609406
2020-12-04,23:00,20:57,46.0,Portugal,10183969,312553,4935.0,4803,79.0,234038,5020.0,73712,526,30691,472,4675744,459128
2020-12-04,23:00,20:57,67.0,Austria,9028254,297245,3815.0,3651,113.0,243775,5648.0,49819,642,32924,404,3209340,355477
2020-12-04,23:00,20:57,33.0,Sweden,10126035,278912,6269.0,7067,60.0,,,,249,27544,698,3457247,341422
2020-12-04,23:00,20:57,64.0,Nepal,29357095,238861,1272.0,1567,16.0,221847,1575.0,15447,,8136,53,1771950,60358
2020-12-04,23:00,20:57,105.0,Hungary,9649843,238056,6212.0,5513,189.0,68525,1492.0,164018,639,24669,571,1876274,194436
2020-12-04,23:00,20:57,141.0,Jordan,10246046,234353,3116.0,2960,51.0,177195,3826.0,54198,409,22873,289,2648917,258531
2020-12-04,23:00,20:57,65.0,Serbia,8722276,206940,7782.0,1834,69.0,31536,0.0,173570,270,23725,210,1867228,214076
2020-12-04,23:00,20:57,27.0,Ecuador,17755981,195884,1008.0,13612,50.0,169804,0.0,12468,350,11032,767,662183,37294
2020-12-04,23:00,20:57,41.0,UAE,9940924,174062,1311.0,586,1.0,157828,793.0,15648,,17510,59,17240432,1734289
2020-12-04,23:00,20:57,34.0,Panama,4343382,171219,1880.0,3141,27.0,148396,1820.0,19682,161,39421,723,942262,216942
2020-12-04,23:00,20:57,44.0,Japan,126310527,155232,2405.0,2240,27.0,131176,1935.0,21816,505,1229,18,3675244,29097
2020-12-04,23:00,20:57,77.0,Bulgaria,6925945,155193,3280.0,4503,156.0,57141,1935.0,93549,523,22407,650,999867,144365
2020-12-04,23:00,20:57,146.0,Georgia,3985889,152704,5068.0,1425,38.0,126904,2336.0,24375,,38311,358,1207234,302877
2020-12-04,23:00,20:57,32.0,Dominican Republic,10893991,146680,671.0,2343,8.0,116169,177.0,28168,182,13464,215,738156,67758
2020-12-04,23:00,20:57,26.0,Bolivia,11740239,145186,192.0,8982,10.0,124015,342.0,12189,71,12367,765,365758,31154
2020-12-04,23:00,20:57,37.0,Kuwait,4297203,143917,343.0,886,2.0,139148,474.0,3883,84,33491,206,1130744,263135
2020-12-04,23:00,20:57,61.0,Costa Rica,5113840,143685,2345.0,1773,34.0,95789,7563.0,46123,212,28097,347,404440,79087
2020-12-04,23:00,20:57,39.0,Belarus,9447994,143383,1774.0,1190,9.0,120571,1647.0,21622,,15176,126,3367889,356466
2020-12-04,23:00,20:57,97.0,Croatia,4094389,143370,3955.0,2032,68.0,117148,3639.0,24190,262,35016,496,790883,193163
2020-12-04,23:00,20:57,53.0,Armenia,2965607,139692,1184.0,2277,23.0,114990,1762.0,22425,,47104,768,522843,176302
2020-12-04,23:00,20:57,25.0,Qatar,2807805,139643,166.0,239,0.0,136872,131.0,2532,33,49734,85,1129685,402337
2020-12-04,23:00,20:57,60.0,Azerbaijan,10177927,138000,4267.0,1551,41.0,83800,2566.0,52649,,13559,152,1797026,176561
2020-12-04,23:00,20:57,29.0,Kazakhstan,18871673,134706,819.0,1990,0.0,118643,639.0,14073,221,7138,105,4206738,222913
2020-12-04,23:00,20:57,83.0,Lebanon,6812330,134295,1478.0,1078,11.0,86019,1877.0,47198,374,19714,158,1672623,245529
2020-12-04,23:00,20:57,40.0,Guatemala,18054804,124805,752.0,4224,15.0,113273,554.0,7308,5,6913,234,551173,30528
2020-12-04,23:00,20:57,35.0,Oman,5160808,124329,0.0,1435,0.0,115866,0.0,7028,106,24091,278,571472,110733
2020-12-04,23:00,20:57,31.0,Egypt,103145026,117156,432.0,6713,19.0,103082,133.0,7361,46,1136,65,1000000,9695
2020-12-04,23:00,20:57,62.0,Moldova,4029947,113829,1522.0,2384,21.0,98276,727.0,13169,267,28246,592,476316,118194
2020-12-04,23:00,20:57,117.0,Slovakia,5460772,113392,2184.0,957,27.0,77142,2869.0,35293,246,20765,175,1115246,204229
2020-12-04,23:00,20:57,92.0,Greece,10401201,113185,1648.0,2804,98.0,9989,0.0,100392,612,10882,270,2450855,235632
2020-12-04,23:00,20:57,56.0,Ethiopia,116152410,112091,512.0,1734,10.0,78619,1234.0,31738,317,965,15,1658190,14276
2020-12-04,23:00,20:57,47.0,Honduras,9970961,109760,616.0,2938,8.0,48953,76.0,57869,121,11008,295,271223,27201
2020-12-04,23:00,20:57,57.0,Venezuela,28401417,103548,481.0,909,4.0,98521,491.0,4118,117,3646,32,2317442,81596
2020-12-04,23:00,20:57,123.0,Tunisia,11870983,100683,1403.0,3415,56.0,74513,906.0,22755,309,8481,288,473398,39879
2020-12-04,23:00,20:57,168.0,Myanmar,54564789,96520,1502.0,2059,31.0,74973,1225.0,19488,,1769,38,1246524,22845
2020-12-04,23:00,20:57,71.0,Palestine,5150999,94676,1968.0,797,17.0,70206,1956.0,23673,71,18380,155,714525,138716
2020-12-04,23:00,20:57,73.0,Bosnia and Herzegovina,3272050,92793,1254.0,2865,53.0,57545,1495.0,32383,,28359,876,432980,132327
2020-12-04,23:00,20:57,50.0,Bahrain,1726009,87432,162.0,341,0.0,85598,135.0,1493,12,50656,198,2088613,1210082
2020-12-04,23:00,20:57,63.0,Kenya,54267154,87249,866.0,1506,6.0,68110,11646.0,17633,77,1608,28,919411,16942
2020-12-04,23:00,20:57,76.0,Denmark,5800894,86743,1603.0,867,9.0,68632,1216.0,17244,40,14953,149,7731119,1332746
2020-12-04,23:00,20:57,54.0,Algeria,44183870,86730,1646.0,2492,28.0,56079,1089.0,28159,46,1963,56,,
2020-12-04,23:00,20:57,85.0,Libya,6910738,85529,680.0,1219,7.0,56048,744.0,28262,,12376,176,450525,65192
2020-12-04,23:00,20:57,80.0,Paraguay,7169572,85477,995.0,1796,13.0,60086,621.0,23595,145,11922,251,461111,64315
2020-12-04,23:00,20:57,126.0,Slovenia,2079060,83133,1784.0,1653,61.0,60957,1488.0,20523,199,39986,795,538770,259141
2020-12-04,23:00,20:57,52.0,Kyrgyzstan,6569508,74373,440.0,1285,4.0,66113,524.0,6975,133,11321,196,509160,77504
2020-12-04,23:00,20:57,58.0,Uzbekistan,33673801,73592,161.0,611,0.0,70861,149.0,2120,174,2185,18,1377915,40919
2020-12-04,23:00,20:57,66.0,Ireland,4961126,73491,263.0,2086,6.0,23364,0.0,48041,29,14813,420,2010334,405217
2020-12-04,23:00,20:57,88.0,Malaysia,32541198,70236,1141.0,376,0.0,59061,1144.0,10799,129,2158,12,2748881,84474
2020-12-04,23:00,20:57,125.0,Lithuania,2705865,69582,2516.0,590,26.0,27760,924.0,41232,132,25715,218,1304400,482064
2020-12-04,23:00,20:57,48.0,Nigeria,208272507,68303,343.0,1179,2.0,64291,452.0,2833,10,328,6,779708,3744
2020-12-04,23:00,20:57,79.0,North Macedonia,2083337,65231,0.0,1847,0.0,41656,0.0,21728,138,31311,887,341261,163805
2020-12-04,23:00,20:57,45.0,Singapore,5869872,58242,3.0,29,0.0,58152,7.0,61,,9922,5,4658858,793690
2020-12-04,23:00,20:57,51.0,Ghana,31344797,52096,429.0,325,2.0,50924,377.0,847,19,1662,10,601007,19174
2020-12-04,23:00,20:57,59.0,Afghanistan,39295192,47388,130.0,1847,6.0,37347,45.0,8194,93,1206,47,155916,3968
2020-12-04,23:00,20:57,94.0,Albania,2876453,41302,801.0,870,18.0,20974,490.0,19458,27,14359,302,192663,66979
2020-12-04,23:00,20:57,69.0,El Salvador,6500132,39718,588.0,1142,8.0,36286,447.0,2290,48,6110,176,560018,86155
2020-12-04,23:00,20:57,109.0,Montenegro,628100,37467,535.0,522,6.0,26414,548.0,10531,68,59651,831,140874,224286
2020-12-04,23:00,20:57,86.0,Norway,5439235,37371,235.0,354,1.0,27414,0.0,9603,38,6871,65,2350736,432181
2020-12-04,23:00,20:57,98.0,Luxembourg,630266,37017,588.0,345,6.0,28029,673.0,8643,41,58732,547,1418680,2250923
2020-12-04,23:00,20:57,74.0,S. Korea,51288031,36332,629.0,536,7.0,28611,259.0,7185,116,708,10,3157410,61562
2020-12-04,23:00,20:57,68.0,Australia,25625028,27949,10.0,908,0.0,25629,11.0,1412,,1091,35,10133929,395470
2020-12-04,23:00,20:57,96.0,Finland,5544394,26758,336.0,408,0.0,18100,0.0,8250,21,4826,74,2033123,366699
2020-12-04,23:00,20:57,121.0,Sri Lanka,21451486,26559,521.0,129,0.0,19438,406.0,6992,,1238,6,876044,40838
2020-12-04,23:00,20:57,72.0,Cameroon,26821689,24560,73.0,441,0.0,23344,1167.0,775,52,916,16,149000,5555
2020-12-04,23:00,20:57,130.0,Uganda,46339794,21898,489.0,206,0.0,9117,73.0,12575,,473,4,637124,13749
2020-12-04,23:00,20:57,75.0,Ivory Coast,26650970,21412,51.0,132,0.0,21054,44.0,226,,803,5,222462,8347
2020-12-04,23:00,20:57,147.0,Latvia,1877202,19993,686.0,242,7.0,1849,1.0,17902,46,10650,129,658086,350567
2020-12-04,23:00,20:57,82.0,Sudan,44277296,18535,281.0,1271,6.0,10672,179.0,6592,,419,29,,
2020-12-04,23:00,20:57,84.0,Zambia,18598175,17857,127.0,364,7.0,17145,43.0,348,,960,20,430655,23156
2020-12-04,23:00,20:57,78.0,Madagascar,27987921,17513,172.0,255,4.0,16657,0.0,601,16,626,9,93734,3349
2020-12-04,23:00,20:57,81.0,Senegal,16927832,16297,80.0,336,1.0,15707,10.0,254,7,963,20,234564,13857
2020-12-04,23:00,20:57,118.0,Mozambique,31619776,16038,120.0,133,1.0,14160,130.0,1745,,507,4,236555,7481
2020-12-04,23:00,20:57,133.0,Angola,33290270,15493,174.0,353,2.0,8299,160.0,6841,14,465,11,171247,5144
2020-12-04,23:00,20:57,179.0,French Polynesia,281599,14897,181.0,78,1.0,4842,0.0,9977,26,52901,277,26355,93591
2020-12-04,23:00,20:57,102.0,Namibia,2560245,14599,122.0,151,0.0,13774,77.0,674,8,5702,59,159915,62461
2020-12-04,23:00,20:57,129.0,Estonia,1326916,13939,470.0,125,2.0,8549,367.0,5265,17,10505,94,499566,376487
2020-12-04,23:00,20:57,87.0,DRC,90691470,13281,294.0,337,1.0,11753,59.0,1191,,146,4,,
2020-12-04,23:00,20:57,89.0,Guinea,13281146,13186,19.0,76,0.0,12270,66.0,840,24,993,6,78418,5904
2020-12-04,23:00,20:57,100.0,Maldives,544547,13143,37.0,47,0.0,12199,45.0,897,12,24136,86,248889,457057
2020-12-04,23:00,20:57,93.0,Tajikistan,9627289,12349,80.0,87,0.0,11758,81.0,504,,1283,9,,
2020-12-04,23:00,20:57,148.0,Botswana,2371542,11531,789.0,34,0.0,8978,1066.0,2519,1,4862,14,438332,184830
2020-12-04,23:00,20:57,144.0,Cyprus,1211092,11523,348.0,54,2.0,2057,0.0,9412,15,9515,45,629102,519450
2020-12-04,23:00,20:57,90.0,French Guiana,301910,11334,51.0,71,1.0,9995,0.0,1268,1,37541,235,84570,280117
2020-12-04,23:00,20:57,115.0,Cabo Verde,558543,10996,129.0,108,2.0,10496,74.0,392,23,19687,193,105008,188003
2020-12-04,23:00,20:57,145.0,Jamaica,2966671,10987,76.0,260,1.0,6730,116.0,3997,10,3703,88,117668,39663
2020-12-04,23:00,20:57,101.0,Zimbabwe,14954180,10424,295.0,280,3.0,8754,111.0,1390,,697,19,183098,12244
2020-12-04,23:00,20:57,140.0,Malta,442044,10320,123.0,149,1.0,8120,105.0,2051,18,23346,337,439477,994193
2020-12-04,23:00,20:57,95.0,Haiti,11461290,9331,18.0,233,0.0,8114,23.0,984,,814,20,34734,3031
2020-12-04,23:00,20:57,91.0,Gabon,2247685,9239,0.0,60,0.0,9089,0.0,90,7,4110,27,303373,134971
2020-12-04,23:00,20:57,99.0,Mauritania,4700601,9005,142.0,181,2.0,7785,5.0,1039,10,1916,39,106996,22762
2020-12-04,23:00,20:57,113.0,Cuba,11323659,8531,75.0,136,0.0,7770,56.0,625,4,753,12,1146603,101257
2020-12-04,23:00,20:57,161.0,Guadeloupe,400153,8427,0.0,149,0.0,2242,0.0,6036,7,21059,372,77192,192906
2020-12-04,23:00,20:57,132.0,Syria,17678226,8233,174.0,437,11.0,3811,122.0,3985,,466,25,,
2020-12-04,23:00,20:57,153.0,Réunion,898026,8200,98.0,41,1.0,7729,557.0,430,17,9131,46,48859,54407
2020-12-04,23:00,20:57,138.0,Bahamas,394836,7549,6.0,163,0.0,5934,0.0,1452,,19119,413,43794,110917
2020-12-04,23:00,20:57,164.0,Belize,400662,7236,1382.0,164,16.0,3571,420.0,3501,3,18060,409,41035,102418
2020-12-04,23:00,20:57,154.0,Andorra,77318,6955,51.0,77,0.0,6130,64.0,748,20,89953,996,168635,2181057
2020-12-04,23:00,20:57,158.0,Trinidad and Tobago,1401420,6735,31.0,121,0.0,5884,41.0,730,38,4806,86,37279,26601
2020-12-04,23:00,20:57,107.0,Hong Kong,7522792,6702,112.0,112,2.0,5465,42.0,1125,23,891,15,4382709,582591
2020-12-04,23:00,20:57,111.0,Eswatini,1165251,6480,25.0,122,0.0,6066,34.0,292,11,5561,105,63144,54189
2020-12-04,23:00,20:57,143.0,Uruguay,3478860,6455,230.0,80,0.0,4707,123.0,1668,23,1855,23,448386,128889
2020-12-04,23:00,20:57,103.0,Malawi,19336091,6043,3.0,185,0.0,5472,1.0,386,4,313,10,75150,3887
2020-12-04,23:00,20:57,122.0,Rwanda,13086253,6011,0.0,50,0.0,5596,0.0,365,,459,4,635310,48548
2020-12-04,23:00,20:57,110.0,Nicaragua,6657882,5838,0.0,161,0.0,4225,0.0,1452,,877,24,,
2020-12-04,23:00,20:57,112.0,Congo,5574798,5774,0.0,94,0.0,4988,0.0,692,,1036,17,,
2020-12-04,23:00,20:57,104.0,Djibouti,994060,5690,8.0,61,0.0,5592,5.0,37,,5724,61,93060,93616
2020-12-04,23:00,20:57,159.0,Guyana,788167,5601,152.0,151,0.0,4695,165.0,755,5,7106,192,31270,39674
2020-12-04,23:00,20:57,177.0,Martinique,375141,5520,0.0,41,0.0,98,0.0,5381,9,14714,109,65748,175262
2020-12-04,23:00,20:57,135.0,Iceland,342184,5462,14.0,27,0.0,5223,7.0,212,2,15962,79,396283,1158099
2020-12-04,23:00,20:57,114.0,Suriname,588861,5322,2.0,117,0.0,5203,3.0,2,2,9038,199,21961,37294
2020-12-04,23:00,20:57,120.0,Mayotte,275565,5181,0.0,49,0.0,2964,0.0,2168,4,18801,178,25231,91561
2020-12-04,23:00,20:57,106.0,Equatorial Guinea,1422065,5159,0.0,85,0.0,5023,0.0,51,,3628,60,70998,49926
2020-12-04,23:00,20:57,142.0,Aruba,106959,4923,21.0,45,0.0,4733,15.0,145,4,46027,421,51383,480399
2020-12-04,23:00,20:57,108.0,CAR,4865086,4918,0.0,63,0.0,1924,0.0,2931,2,1011,13,32711,6724
