scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-10-04,21:01,,1.0,USA,331505144.0,7617110,15333.0,214424.0,147.0,4832989.0,14480.0,2569697.0,14185.0,22977.0,647.0,111016917.0,334887.0
2020-10-04,21:01,,3.0,India,1383493334.0,6573678,26265.0,101997.0,185.0,5527934.0,21202.0,943747.0,8944.0,4752.0,74.0,78992534.0,57096.0
2020-10-04,21:01,,2.0,Brazil,212949768.0,4906833,,146011.0,,4248574.0,,512248.0,8318.0,23042.0,686.0,17900000.0,84057.0
2020-10-04,21:01,,4.0,Russia,145950806.0,1215001,10499.0,21358.0,107.0,979143.0,3284.0,214500.0,2300.0,8325.0,146.0,47683832.0,326712.0
2020-10-04,21:01,,8.0,Colombia,51022157.0,848147,,26556.0,,757801.0,,63790.0,2220.0,16623.0,520.0,3861628.0,75685.0
2020-10-04,21:01,,6.0,Peru,33089123.0,824985,,32665.0,,700868.0,,91452.0,1311.0,24932.0,987.0,3939873.0,119069.0
2020-10-04,21:01,,9.0,Spain,46759508.0,810807,,32086.0,,,,,1566.0,17340.0,686.0,12723989.0,272116.0
2020-10-04,21:01,,12.0,Argentina,45302542.0,790818,,20795.0,,626114.0,,143909.0,3820.0,17456.0,459.0,2051037.0,45274.0
2020-10-04,21:01,,7.0,Mexico,129280692.0,757953,4863.0,78880.0,388.0,545530.0,4012.0,133543.0,2324.0,5863.0,610.0,1997375.0,15450.0
2020-10-04,21:01,,5.0,South Africa,59500056.0,679716,,16938.0,,612763.0,,50015.0,539.0,11424.0,285.0,4251513.0,71454.0
2020-10-04,21:01,,19.0,France,65311128.0,606625,,32198.0,,97778.0,,476649.0,1276.0,9288.0,493.0,11174392.0,171095.0
2020-10-04,21:01,,13.0,UK,67978425.0,480017,,42317.0,,,,,368.0,7061.0,623.0,25048460.0,368477.0
2020-10-04,21:01,,11.0,Iran,84267984.0,471772,3653.0,26957.0,211.0,389966.0,2291.0,54849.0,4154.0,5598.0,320.0,4123173.0,48929.0
2020-10-04,21:01,,10.0,Chile,19158488.0,470179,1708.0,12979.0,60.0,442070.0,1189.0,15130.0,856.0,24542.0,677.0,3466553.0,180941.0
2020-10-04,21:01,,21.0,Iraq,40449405.0,379141,3210.0,9399.0,52.0,307482.0,3817.0,62260.0,523.0,9373.0,232.0,2349433.0,58083.0
2020-10-04,21:01,,15.0,Bangladesh,165111213.0,368690,1125.0,5348.0,23.0,281656.0,1587.0,81686.0,,2233.0,32.0,1989664.0,12050.0
2020-10-04,21:01,,14.0,Saudi Arabia,34951895.0,336387,390.0,4875.0,25.0,321485.0,511.0,10027.0,955.0,9624.0,139.0,6678019.0,191063.0
2020-10-04,21:01,,17.0,Italy,60438534.0,325329,2578.0,35986.0,18.0,231914.0,697.0,57429.0,303.0,5383.0,595.0,11784105.0,194977.0
2020-10-04,21:01,,18.0,Turkey,84572067.0,324443,1429.0,8441.0,57.0,285050.0,1182.0,30952.0,1475.0,3836.0,100.0,10806285.0,127776.0
2020-10-04,21:01,,22.0,Philippines,109953871.0,322497,3190.0,5776.0,100.0,273079.0,18065.0,43642.0,1758.0,2933.0,53.0,3873843.0,35232.0
2020-10-04,21:01,,16.0,Pakistan,221976672.0,314616,632.0,6513.0,6.0,298968.0,375.0,9135.0,513.0,1417.0,29.0,3644762.0,16420.0
2020-10-04,21:01,,23.0,Indonesia,274266435.0,303498,3992.0,11151.0,96.0,228453.0,3401.0,63894.0,,1107.0,41.0,3488141.0,12718.0
2020-10-04,21:01,,20.0,Germany,83853604.0,300850,822.0,9599.0,2.0,261900.0,1100.0,29351.0,373.0,3588.0,114.0,16999253.0,202725.0
2020-10-04,21:01,,30.0,Israel,9197590.0,265932,1489.0,1707.0,25.0,194976.0,3725.0,69249.0,890.0,28913.0,186.0,3703125.0,402619.0
2020-10-04,21:01,,28.0,Ukraine,43664440.0,226462,4140.0,4397.0,44.0,100107.0,1370.0,121958.0,177.0,5186.0,101.0,2362857.0,54114.0
2020-10-04,21:01,,24.0,Canada,37827405.0,166116,1645.0,9480.0,18.0,140230.0,1363.0,16406.0,126.0,4391.0,251.0,7563615.0,199951.0
2020-10-04,21:01,,27.0,Ecuador,17711304.0,140351,,11597.0,,112296.0,,16458.0,366.0,7924.0,655.0,451098.0,25469.0
2020-10-04,21:01,,26.0,Bolivia,11713696.0,136569,350.0,8073.0,28.0,97105.0,451.0,31391.0,71.0,11659.0,689.0,306481.0,26164.0
2020-10-04,21:01,,38.0,Romania,19203798.0,135900,1835.0,5003.0,56.0,108135.0,1077.0,22762.0,598.0,7077.0,261.0,2510209.0,130714.0
2020-10-04,21:01,,42.0,Netherlands,17144746.0,135892,4003.0,6454.0,5.0,,,,174.0,7926.0,376.0,2449577.0,142876.0
2020-10-04,21:01,,49.0,Morocco,37022670.0,131228,,2293.0,,108687.0,,20248.0,440.0,3545.0,62.0,2689136.0,72635.0
2020-10-04,21:01,,36.0,Belgium,11602714.0,127623,3389.0,10044.0,7.0,19645.0,74.0,97934.0,184.0,10999.0,866.0,3368218.0,290296.0
2020-10-04,21:01,,25.0,Qatar,2807805.0,126498,159.0,216.0,,123475.0,173.0,2807.0,58.0,45052.0,77.0,795768.0,283413.0
2020-10-04,21:01,,34.0,Panama,4332053.0,114653,,2414.0,,91195.0,,21044.0,112.0,26466.0,557.0,499050.0,115199.0
2020-10-04,21:01,,32.0,Dominican Republic,10875874.0,114480,554.0,2134.0,6.0,90366.0,731.0,21980.0,170.0,10526.0,196.0,493091.0,45338.0
2020-10-04,21:01,,29.0,Kazakhstan,18834250.0,108177,71.0,1725.0,,103205.0,95.0,3247.0,221.0,5744.0,92.0,2964281.0,157388.0
2020-10-04,21:01,,37.0,Kuwait,4286672.0,107025,567.0,624.0,4.0,99040.0,605.0,7361.0,142.0,24967.0,146.0,757815.0,176784.0
2020-10-04,21:01,,31.0,Egypt,102822853.0,103575,,5970.0,,97274.0,,331.0,41.0,1007.0,58.0,135000.0,1313.0
2020-10-04,21:01,,35.0,Oman,5139093.0,101270,2685.0,977.0,42.0,90296.0,1768.0,9997.0,210.0,19706.0,190.0,376700.0,73301.0
2020-10-04,21:01,,43.0,Poland,37835758.0,100074,1934.0,2630.0,26.0,73003.0,794.0,24441.0,191.0,2645.0,70.0,3447281.0,91112.0
2020-10-04,21:01,,41.0,UAE,9921012.0,98801,1041.0,426.0,,88123.0,1001.0,10252.0,,9959.0,43.0,10132865.0,1021354.0
2020-10-04,21:01,,33.0,Sweden,10115558.0,94283,,5895.0,,,,,20.0,9321.0,583.0,1661484.0,164250.0
2020-10-04,21:01,,40.0,Guatemala,17999491.0,93963,215.0,3293.0,8.0,82454.0,414.0,8216.0,5.0,5220.0,183.0,337896.0,18773.0
2020-10-04,21:01,,64.0,Nepal,29269640.0,86823,2253.0,535.0,7.0,64069.0,1329.0,22219.0,,2966.0,18.0,1074448.0,36709.0
2020-10-04,21:01,,44.0,Japan,126374773.0,85339,571.0,1597.0,7.0,78315.0,508.0,5427.0,133.0,675.0,13.0,2166131.0,17141.0
2020-10-04,21:01,,70.0,Czechia,10714158.0,81711,1106.0,722.0,11.0,43991.0,4918.0,36998.0,245.0,7626.0,67.0,1449352.0,135274.0
2020-10-04,21:01,,39.0,Belarus,9448510.0,79852,,851.0,,75148.0,,3853.0,,8451.0,90.0,1897263.0,200800.0
2020-10-04,21:01,,61.0,Costa Rica,5106094.0,79182,,950.0,,45007.0,,33225.0,213.0,15507.0,186.0,238248.0,46660.0
2020-10-04,21:01,,46.0,Portugal,10188902.0,79151,904.0,2005.0,10.0,50207.0,362.0,26939.0,105.0,7768.0,197.0,2647756.0,259867.0
2020-10-04,21:01,,47.0,Honduras,9944686.0,78788,519.0,2399.0,13.0,29187.0,209.0,47202.0,26.0,7923.0,241.0,184962.0,18599.0
2020-10-04,21:01,,56.0,Ethiopia,115676367.0,77860,,1214.0,,32325.0,,44321.0,278.0,673.0,10.0,1293469.0,11182.0
2020-10-04,21:01,,57.0,Venezuela,28414787.0,77646,,649.0,,68098.0,,8899.0,215.0,2733.0,23.0,1957439.0,68888.0
2020-10-04,21:01,,50.0,Bahrain,1716095.0,72310,,259.0,1.0,66813.0,,5238.0,55.0,42136.0,151.0,1468655.0,855812.0
2020-10-04,21:01,,48.0,Nigeria,207418401.0,59287,,1113.0,,50718.0,,7456.0,7.0,286.0,5.0,532765.0,2569.0
2020-10-04,21:01,,58.0,Uzbekistan,33592925.0,58421,183.0,479.0,2.0,54854.0,,3088.0,252.0,1739.0,14.0,1377915.0,41018.0
2020-10-04,21:01,,45.0,Singapore,5862214.0,57812,12.0,27.0,,57575.0,13.0,210.0,,9862.0,5.0,2885545.0,492228.0
2020-10-04,21:01,,62.0,Moldova,4031503.0,56579,691.0,1366.0,13.0,40955.0,480.0,14258.0,685.0,14034.0,339.0,292588.0,72575.0
2020-10-04,21:01,,55.0,Switzerland,8670968.0,54384,,2077.0,1.0,45800.0,,6507.0,33.0,6272.0,240.0,1391498.0,160478.0
2020-10-04,21:01,,53.0,Armenia,2964686.0,52496,571.0,977.0,5.0,44672.0,89.0,6847.0,,17707.0,330.0,306965.0,103540.0
2020-10-04,21:01,,54.0,Algeria,44051725.0,51995,,1756.0,,36482.0,,13757.0,23.0,1180.0,40.0,,
2020-10-04,21:01,,67.0,Austria,9019705.0,48146,714.0,813.0,4.0,38629.0,584.0,8704.0,103.0,5338.0,90.0,1686373.0,186965.0
2020-10-04,21:01,,52.0,Kyrgyzstan,6551552.0,47428,244.0,1066.0,,43418.0,140.0,2944.0,24.0,7239.0,163.0,267718.0,40863.0
2020-10-04,21:01,,51.0,Ghana,31236477.0,46829,26.0,303.0,,46060.0,54.0,466.0,4.0,1499.0,10.0,488427.0,15636.0
2020-10-04,21:01,,83.0,Lebanon,6817400.0,44482,988.0,406.0,8.0,19782.0,523.0,24294.0,161.0,6525.0,60.0,889920.0,130537.0
2020-10-04,21:01,,80.0,Paraguay,7154972.0,43452,,913.0,,26512.0,,16027.0,143.0,6073.0,128.0,286262.0,40009.0
2020-10-04,21:01,,71.0,Palestine,5131182.0,41498,420.0,330.0,1.0,34698.0,1256.0,6470.0,,8087.0,64.0,433343.0,84453.0
2020-10-04,21:01,,60.0,Azerbaijan,10162711.0,40691,130.0,596.0,1.0,38496.0,142.0,1599.0,,4004.0,59.0,1137121.0,111892.0
2020-10-04,21:01,,63.0,Kenya,54069292.0,39427,243.0,731.0,3.0,25659.0,233.0,13037.0,,729.0,14.0,563483.0,10421.0
2020-10-04,21:01,,59.0,Afghanistan,39148717.0,39341,44.0,1462.0,,32852.0,10.0,5027.0,93.0,1005.0,37.0,111937.0,2859.0
2020-10-04,21:01,,66.0,Ireland,4951937.0,38032,364.0,1810.0,,23364.0,,12858.0,20.0,7680.0,366.0,1221801.0,246732.0
2020-10-04,21:01,,85.0,Libya,6895162.0,36809,722.0,592.0,14.0,21429.0,540.0,14788.0,,5338.0,86.0,218698.0,31718.0
2020-10-04,21:01,,65.0,Serbia,8728114.0,33901,59.0,754.0,1.0,31536.0,,1611.0,21.0,3884.0,86.0,1154457.0,132269.0
2020-10-04,21:01,,105.0,Hungary,9653914.0,30575,858.0,822.0,10.0,7470.0,646.0,22283.0,42.0,3167.0,85.0,759174.0,78639.0
2020-10-04,21:01,,76.0,Denmark,5797503.0,29680,378.0,658.0,4.0,22716.0,419.0,6306.0,33.0,5119.0,113.0,4048223.0,698270.0
2020-10-04,21:01,,69.0,El Salvador,6494689.0,29450,92.0,863.0,6.0,24296.0,121.0,4291.0,38.0,4534.0,133.0,405807.0,62483.0
2020-10-04,21:01,,73.0,Bosnia and Herzegovina,3275433.0,28354,379.0,879.0,8.0,21859.0,751.0,5616.0,,8657.0,268.0,247897.0,75684.0
2020-10-04,21:01,,68.0,Australia,25575734.0,27136,15.0,894.0,1.0,24866.0,16.0,1376.0,6.0,1061.0,35.0,7772438.0,303899.0
2020-10-04,21:01,,74.0,S. Korea,51280702.0,24091,64.0,421.0,1.0,21845.0,58.0,1825.0,105.0,470.0,8.0,2346345.0,45755.0
2020-10-04,21:01,,123.0,Tunisia,11850385.0,22230,1286.0,321.0,45.0,5032.0,,16877.0,116.0,1876.0,27.0,250479.0,21137.0
2020-10-04,21:01,,77.0,Bulgaria,6934613.0,21518,,841.0,,14984.0,,5693.0,54.0,3103.0,121.0,541798.0,78130.0
2020-10-04,21:01,,72.0,Cameroon,26711222.0,20924,,420.0,,19764.0,,740.0,30.0,783.0,16.0,149000.0,5578.0
2020-10-04,21:01,,75.0,Ivory Coast,26541775.0,19882,33.0,120.0,,19449.0,28.0,313.0,,749.0,5.0,166529.0,6274.0
2020-10-04,21:01,,92.0,Greece,10409645.0,19842,229.0,409.0,4.0,9989.0,,9444.0,82.0,1906.0,39.0,1349123.0,129603.0
2020-10-04,21:01,,79.0,North Macedonia,2083352.0,18790,188.0,756.0,3.0,15341.0,77.0,2693.0,3.0,9019.0,363.0,195002.0,93600.0
2020-10-04,21:01,,168.0,Myanmar,54504097.0,17794,1291.0,412.0,41.0,5195.0,400.0,12187.0,,326.0,8.0,324590.0,5955.0
2020-10-04,21:01,,97.0,Croatia,4098586.0,17659,258.0,298.0,5.0,15849.0,188.0,1512.0,25.0,4309.0,73.0,326159.0,79578.0
2020-10-04,21:01,,78.0,Madagascar,27868887.0,16558,29.0,232.0,,15486.0,6.0,840.0,13.0,594.0,8.0,72572.0,2604.0
2020-10-04,21:01,,141.0,Jordan,10229177.0,15640,891.0,101.0,13.0,5240.0,139.0,10299.0,48.0,1529.0,10.0,1291402.0,126247.0
2020-10-04,21:01,,81.0,Senegal,16854040.0,15094,26.0,312.0,,12805.0,54.0,1977.0,7.0,896.0,19.0,182186.0,10810.0
2020-10-04,21:01,,84.0,Zambia,18512034.0,14974,,333.0,,14094.0,,547.0,,809.0,18.0,160387.0,8664.0
2020-10-04,21:01,,86.0,Norway,5432179.0,14421,59.0,275.0,,11190.0,,2956.0,3.0,2655.0,51.0,1075807.0,198043.0
2020-10-04,21:01,,94.0,Albania,2876974.0,14266,149.0,396.0,4.0,8675.0,139.0,5195.0,23.0,4959.0,138.0,87710.0,30487.0
2020-10-04,21:01,,82.0,Sudan,44106209.0,13653,,836.0,,6764.0,,6053.0,,310.0,19.0,,
2020-10-04,21:01,,117.0,Slovakia,5460333.0,13139,818.0,55.0,1.0,4828.0,35.0,8256.0,37.0,2406.0,10.0,492902.0,90270.0
2020-10-04,21:01,,88.0,Malaysia,32472086.0,12381,293.0,137.0,,10283.0,67.0,1961.0,28.0,381.0,4.0,1581208.0,48694.0
2020-10-04,21:01,,109.0,Montenegro,628087.0,12127,193.0,179.0,5.0,7953.0,150.0,3995.0,17.0,19308.0,285.0,71582.0,113968.0
2020-10-04,21:01,,102.0,Namibia,2552566.0,11626,54.0,123.0,,9429.0,10.0,2074.0,8.0,4555.0,48.0,103254.0,40451.0
2020-10-04,21:01,,87.0,DRC,90235617.0,10760,8.0,274.0,,10239.0,27.0,247.0,,119.0,3.0,,
2020-10-04,21:01,,89.0,Guinea,13221560.0,10754,19.0,66.0,,10098.0,32.0,590.0,24.0,813.0,5.0,33676.0,2547.0
2020-10-04,21:01,,96.0,Finland,5542964.0,10538,147.0,345.0,,8100.0,,2093.0,4.0,1901.0,62.0,1081369.0,195089.0
2020-10-04,21:01,,100.0,Maldives,542959.0,10530,65.0,34.0,,9364.0,54.0,1132.0,12.0,19394.0,63.0,149135.0,274671.0
2020-10-04,21:01,,90.0,French Guiana,300616.0,10029,,67.0,,9665.0,,297.0,4.0,33361.0,223.0,67481.0,224476.0
2020-10-04,21:01,,93.0,Tajikistan,9591498.0,9935,40.0,78.0,1.0,8749.0,42.0,1108.0,,1036.0,8.0,,
2020-10-04,21:01,,118.0,Mozambique,31473267.0,9196,147.0,66.0,2.0,5852.0,116.0,3278.0,,292.0,2.0,144618.0,4595.0
2020-10-04,21:01,,98.0,Luxembourg,628567.0,8890,93.0,126.0,1.0,7428.0,,1336.0,5.0,14143.0,200.0,856485.0,1362599.0
2020-10-04,21:01,,95.0,Haiti,11438127.0,8811,,229.0,,6949.0,,1633.0,,770.0,20.0,28702.0,2509.0
2020-10-04,21:01,,130.0,Uganda,46097874.0,8808,146.0,81.0,2.0,4736.0,190.0,3991.0,,191.0,2.0,491547.0,10663.0
2020-10-04,21:01,,91.0,Gabon,2238909.0,8797,,54.0,,8067.0,,676.0,3.0,3929.0,24.0,180173.0,80474.0
2020-10-04,21:01,,146.0,Georgia,3987160.0,8118,554.0,50.0,2.0,4244.0,252.0,3824.0,,2036.0,13.0,639816.0,160469.0
2020-10-04,21:01,,101.0,Zimbabwe,14918104.0,7885,,228.0,,6327.0,,1330.0,,529.0,15.0,160162.0,10736.0
2020-10-04,21:01,,99.0,Mauritania,4680162.0,7517,,162.0,,7174.0,,181.0,3.0,1606.0,35.0,80775.0,17259.0
2020-10-04,21:01,,145.0,Jamaica,2964521.0,6895,100.0,120.0,1.0,2460.0,115.0,4315.0,12.0,2326.0,40.0,80591.0,27185.0
2020-10-04,21:01,,126.0,Slovenia,2079013.0,6498,168.0,155.0,,4265.0,224.0,2078.0,26.0,3126.0,75.0,236511.0,113761.0
2020-10-04,21:01,,115.0,Cabo Verde,557537.0,6296,,62.0,,5409.0,,825.0,,11293.0,111.0,76576.0,137347.0
2020-10-04,21:01,,113.0,Cuba,11324807.0,5809,29.0,122.0,,5145.0,27.0,542.0,1.0,513.0,11.0,643701.0,56840.0
2020-10-04,21:01,,103.0,Malawi,19253432.0,5786,3.0,179.0,,4541.0,2.0,1066.0,4.0,301.0,9.0,54351.0,2823.0
2020-10-04,21:01,,111.0,Eswatini,1163250.0,5569,39.0,111.0,,5127.0,51.0,331.0,11.0,4787.0,95.0,32234.0,27710.0
2020-10-04,21:01,,161.0,Guadeloupe,400142.0,5528,,57.0,,2199.0,,3272.0,24.0,13815.0,142.0,55187.0,137919.0
2020-10-04,21:01,,104.0,Djibouti,991664.0,5419,1.0,61.0,,5349.0,2.0,9.0,,5465.0,62.0,77743.0,78397.0
2020-10-04,21:01,,133.0,Angola,33119075.0,5370,,193.0,,2436.0,,2741.0,15.0,162.0,6.0,85213.0,2573.0
2020-10-04,21:01,,125.0,Lithuania,2712148.0,5185,104.0,94.0,,2495.0,1.0,2596.0,,1912.0,35.0,799446.0,294765.0
2020-10-04,21:01,,110.0,Nicaragua,6644749.0,5170,,151.0,,2913.0,,2106.0,,778.0,23.0,,
2020-10-04,21:01,,107.0,Hong Kong,7512668.0,5114,5.0,105.0,,4861.0,12.0,148.0,10.0,681.0,14.0,3311279.0,440759.0
2020-10-04,21:01,,112.0,Congo,5552094.0,5089,,89.0,,3887.0,,1113.0,,917.0,16.0,,
2020-10-04,21:01,,106.0,Equatorial Guinea,1414344.0,5045,,83.0,,4879.0,,83.0,4.0,3567.0,59.0,60916.0,43070.0
2020-10-04,21:01,,114.0,Suriname,587986.0,4924,,106.0,,4723.0,,95.0,6.0,8374.0,180.0,14562.0,24766.0
2020-10-04,21:01,,122.0,Rwanda,13032580.0,4852,,29.0,,3211.0,,1612.0,,372.0,2.0,502817.0,38582.0
2020-10-04,21:01,,108.0,CAR,4851075.0,4845,,62.0,,1914.0,,2869.0,2.0,999.0,13.0,32263.0,6651.0
2020-10-04,21:01,,158.0,Trinidad and Tobago,1400666.0,4741,26.0,81.0,2.0,2843.0,41.0,1817.0,13.0,3385.0,58.0,32314.0,23070.0
2020-10-04,21:01,,138.0,Bahamas,394211.0,4409,77.0,96.0,,2375.0,,1938.0,96.0,11184.0,244.0,21445.0,54400.0
2020-10-04,21:01,,132.0,Syria,17607166.0,4329,,204.0,,1143.0,,2982.0,,246.0,12.0,,
2020-10-04,21:01,,153.0,Réunion,896963.0,4178,,16.0,,3360.0,,802.0,17.0,4658.0,18.0,35419.0,39488.0
2020-10-04,21:01,,142.0,Aruba,106884.0,4074,,30.0,,3474.0,,570.0,12.0,38116.0,281.0,32551.0,304545.0
2020-10-04,21:01,,120.0,Mayotte,274465.0,3779,,42.0,,2964.0,,773.0,2.0,13769.0,153.0,13000.0,47365.0
2020-10-04,21:01,,119.0,Somalia,16003549.0,3745,152.0,99.0,,3010.0,9.0,636.0,,234.0,6.0,,
2020-10-04,21:01,,129.0,Estonia,1326768.0,3607,30.0,67.0,,2749.0,22.0,791.0,2.0,2719.0,50.0,220977.0,166553.0
2020-10-04,21:01,,128.0,Gambia,2433555.0,3590,,115.0,,2226.0,,1249.0,,1475.0,47.0,17472.0,7180.0
