Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-10-05,22:13,,1.0,USA,331510437.0,7662630,25718.0,214843.0,232.0,4870862.0,21824.0,2576925.0,14176.0,23114.0,648.0,112032797.0,337947.0
2020-10-05,22:13,,3.0,India,1383530375.0,6681953,59773.0,103600.0,886.0,5657686.0,74233.0,920667.0,8944.0,4830.0,75.0,79982394.0,57810.0
2020-10-05,22:13,,2.0,Brazil,212953890.0,4918022,2733.0,146417.0,42.0,4263208.0,,508397.0,8318.0,23094.0,688.0,17900000.0,84056.0
2020-10-05,22:13,,4.0,Russia,145950977.0,1225889,10888.0,21475.0,117.0,982324.0,3181.0,222090.0,2300.0,8399.0,147.0,48042343.0,329168.0
2020-10-05,22:13,,8.0,Colombia,51023638.0,855052,,26712.0,,761674.0,,66666.0,2220.0,16758.0,524.0,3894289.0,76323.0
2020-10-05,22:13,,9.0,Spain,46759558.0,852838,2099.0,32225.0,46.0,,,,1580.0,18239.0,689.0,13689776.0,292770.0
2020-10-05,22:13,,6.0,Peru,33090379.0,828169,,32742.0,,706223.0,,89204.0,1287.0,25027.0,989.0,3952298.0,119439.0
2020-10-05,22:13,,12.0,Argentina,45303674.0,798486,,21018.0,,636672.0,,140796.0,3950.0,17625.0,464.0,2064250.0,45565.0
2020-10-05,22:13,,7.0,Mexico,129284391.0,761665,3712.0,79088.0,208.0,550053.0,4523.0,132524.0,2401.0,5891.0,612.0,2003141.0,15494.0
2020-10-05,22:13,,5.0,South Africa,59502099.0,681289,,16976.0,,614781.0,,49532.0,539.0,11450.0,285.0,4269626.0,71756.0
2020-10-05,22:13,,19.0,France,65311522.0,624274,5084.0,32299.0,69.0,98680.0,902.0,493295.0,1415.0,9558.0,495.0,11616000.0,177855.0
2020-10-05,22:13,,13.0,UK,67979397.0,515571,12594.0,42369.0,19.0,,,,368.0,7584.0,623.0,25865851.0,380495.0
2020-10-05,22:13,,11.0,Iran,84270921.0,475674,3902.0,27192.0,235.0,392293.0,2327.0,56189.0,4167.0,5645.0,323.0,4151445.0,49263.0
2020-10-05,22:13,,10.0,Chile,19158936.0,471746,1567.0,13037.0,58.0,443453.0,1383.0,15256.0,853.0,24623.0,680.0,3502751.0,182826.0
2020-10-05,22:13,,21.0,Iraq,40451877.0,382949,3808.0,9464.0,65.0,312158.0,4676.0,61327.0,556.0,9467.0,234.0,2371348.0,58621.0
2020-10-05,22:13,,15.0,Bangladesh,165115692.0,370132,1442.0,5375.0,27.0,283182.0,1526.0,81575.0,,2242.0,33.0,2001431.0,12121.0
2020-10-05,22:13,,14.0,Saudi Arabia,34953378.0,336766,379.0,4898.0,23.0,322055.0,570.0,9813.0,938.0,9635.0,140.0,6725148.0,192403.0
2020-10-05,22:13,,17.0,Italy,60438292.0,327586,2257.0,36002.0,16.0,232681.0,767.0,58903.0,323.0,5420.0,596.0,11844346.0,195974.0
2020-10-05,22:13,,18.0,Turkey,84574545.0,326046,1603.0,8498.0,57.0,286370.0,1320.0,31178.0,1412.0,3855.0,100.0,10931917.0,129258.0
2020-10-05,22:13,,22.0,Philippines,109957856.0,324762,2291.0,5840.0,64.0,273123.0,87.0,45799.0,1758.0,2954.0,53.0,3914732.0,35602.0
