Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-09-12,22:22,,1,USA,331388690.0,6658405,22158.0,197762.0,341.0,3928107.0,10145.0,2532536.0,14347.0,20092.0,597.0,91269119.0,275414.0
2020-09-12,22:22,,3,India,1382678448.0,4751788,94409.0,78614.0,1108.0,3699306.0,77868.0,973868.0,8944.0,3437.0,57.0,55189226.0,39915.0
2020-09-12,22:22,,2,Brazil,212859084.0,4297949,13971.0,130870.0,396.0,3530655.0,,636424.0,8318.0,20192.0,615.0,14505652.0,68147.0
2020-09-12,22:22,,4,Russia,145947058.0,1057362,5488.0,18484.0,119.0,873535.0,5428.0,165343.0,2300.0,7245.0,127.0,40200000.0,275442.0
2020-09-12,22:22,,6,Peru,33061508.0,716670,,30470.0,,552214.0,,133986.0,1469.0,21677.0,922.0,3482894.0,105346.0
2020-09-12,22:22,,8,Colombia,50989576.0,702088,,22518.0,,582694.0,,96876.0,863.0,13769.0,442.0,3100659.0,60810.0
2020-09-12,22:22,,7,Mexico,129199318.0,658299,5935.0,70183.0,534.0,463764.0,4914.0,124352.0,2892.0,5095.0,543.0,1496322.0,11582.0
2020-09-12,22:22,,5,South Africa,59455111.0,646398,,15378.0,,574587.0,,56433.0,539.0,10872.0,259.0,3884166.0,65329.0
2020-09-12,22:22,,9,Spain,46758424.0,576697,,29747.0,,,,,1136.0,12334.0,636.0,9987326.0,213594.0
2020-09-12,22:22,,12,Argentina,45277637.0,535705,,11206.0,58.0,409771.0,9650.0,114728.0,3093.0,11832.0,247.0,1540101.0,34015.0
2020-09-12,22:22,,10,Chile,19148635.0,432666,2131.0,11895.0,45.0,404919.0,1855.0,15852.0,918.0,22595.0,621.0,2791831.0,145798.0
2020-09-12,22:22,,11,Iran,84203364.0,399940,2139.0,23029.0,116.0,344516.0,1977.0,32395.0,3768.0,4750.0,273.0,3532873.0,41956.0
2020-09-12,22:22,,19,France,65302471.0,373911,10561.0,30910.0,17.0,89059.0,,253942.0,635.0,5726.0,473.0,10000000.0,153134.0
2020-09-12,22:22,,13,UK,67957033.0,365174,3497.0,41623.0,9.0,,,,79.0,5374.0,612.0,19293329.0,283905.0
2020-09-12,22:22,,15,Bangladesh,165012664.0,336044,1282.0,4702.0,34.0,238271.0,2247.0,93071.0,,2036.0,28.0,1715481.0,10396.0
2020-09-12,22:22,,14,Saudi Arabia,34919284.0,325050,643.0,4240.0,27.0,301836.0,903.0,18974.0,1343.0,9309.0,121.0,5686255.0,162840.0
2020-09-12,22:22,,16,Pakistan,221718430.0,300955,584.0,6373.0,3.0,288536.0,330.0,6046.0,534.0,1357.0,29.0,2908379.0,13117.0
2020-09-12,22:22,,18,Turkey,84517546.0,289635,1509.0,6999.0,48.0,257731.0,1207.0,24905.0,1241.0,3427.0,83.0,8423463.0,99665.0
2020-09-12,22:22,,21,Iraq,40395020.0,286778,4106.0,7941.0,60.0,221283.0,3887.0,57554.0,575.0,7099.0,197.0,1883048.0,46616.0
2020-09-12,22:22,,17,Italy,60443857.0,286297,1501.0,35603.0,6.0,213191.0,759.0,37503.0,182.0,4737.0,589.0,9745975.0,161240.0
2020-09-12,22:22,,20,Germany,83837542.0,260443,718.0,9427.0,4.0,234850.0,1550.0,16166.0,233.0,3107.0,112.0,13436301.0,160266.0
2020-09-12,22:22,,22,Philippines,109866193.0,257863,4935.0,4292.0,186.0,187116.0,659.0,66455.0,990.0,2347.0,39.0,3040790.0,27677.0
2020-09-12,22:22,,23,Indonesia,274092684.0,214746,3806.0,8650.0,106.0,152458.0,2241.0,53638.0,,783.0,32.0,2620004.0,9559.0
2020-09-12,22:22,,30,Israel,9197590.0,152525,3961.0,1101.0,11.0,113494.0,1766.0,37930.0,495.0,16583.0,120.0,2710687.0,294717.0
2020-09-12,22:22,,28,Ukraine,43680151.0,151859,3103.0,3148.0,72.0,68346.0,1341.0,80365.0,177.0,3477.0,72.0,1806428.0,41356.0
2020-09-12,22:22,,24,Canada,37807535.0,136119,493.0,9170.0,7.0,120071.0,397.0,6878.0,53.0,3600.0,243.0,6046330.0,159924.0
2020-09-12,22:22,,26,Bolivia,11704123.0,125172,967.0,7250.0,57.0,81240.0,1757.0,36682.0,71.0,10695.0,619.0,269472.0,23024.0
2020-09-12,22:22,,25,Qatar,2807805.0,121523,236.0,205.0,,118475.0,276.0,2843.0,48.0,43280.0,73.0,685839.0,244262.0
2020-09-12,22:22,,27,Ecuador,17695191.0,114732,,10836.0,,91242.0,,12654.0,367.0,6484.0,612.0,348099.0,19672.0
2020-09-12,22:22,,29,Kazakhstan,18820753.0,106729,68.0,1634.0,,100518.0,109.0,4577.0,221.0,5671.0,87.0,2571562.0,136634.0
2020-09-12,22:22,,38,Romania,19211470.0,102386,1311.0,4127.0,27.0,42811.0,1801.0,55448.0,467.0,5329.0,215.0,2066860.0,107585.0
2020-09-12,22:22,,32,Dominican Republic,10869340.0,102232,,1941.0,,75747.0,,24544.0,210.0,9406.0,179.0,408014.0,37538.0
2020-09-12,22:22,,31,Egypt,102706660.0,100708,,5607.0,,82473.0,,12628.0,41.0,981.0,55.0,135000.0,1314.0
2020-09-12,22:22,,34,Panama,4327967.0,100330,,2140.0,,72858.0,,25332.0,135.0,23182.0,494.0,389532.0,90003.0
2020-09-12,22:22,,37,Kuwait,4282874.0,94211,736.0,558.0,1.0,84404.0,744.0,9249.0,94.0,21997.0,130.0,673003.0,157138.0
2020-09-12,22:22,,36,Belgium,11599689.0,91537,969.0,9919.0,2.0,18689.0,30.0,62929.0,67.0,7891.0,855.0,2566088.0,221220.0
2020-09-12,22:22,,35,Oman,5131262.0,88337,,762.0,,83325.0,,4250.0,161.0,17215.0,149.0,309212.0,60260.0
2020-09-12,22:22,,33,Sweden,10111779.0,86505,,5846.0,,,,,13.0,8555.0,578.0,1250488.0,123666.0
2020-09-12,22:22,,49,Morocco,36996380.0,84435,2238.0,1553.0,29.0,65867.0,1673.0,17015.0,252.0,2282.0,42.0,2207396.0,59665.0
2020-09-12,22:22,,42,Netherlands,17142474.0,81012,1231.0,6253.0,1.0,,,,50.0,4726.0,365.0,1832451.0,106895.0
2020-09-12,22:22,,40,Guatemala,17979543.0,81009,,2929.0,,69703.0,,8377.0,5.0,4506.0,163.0,273067.0,15188.0
2020-09-12,22:22,,41,UAE,9913830.0,78849,1007.0,399.0,1.0,68983.0,521.0,9467.0,,7953.0,40.0,8042775.0,811268.0
2020-09-12,22:22,,39,Belarus,9448696.0,73975,191.0,744.0,6.0,72547.0,178.0,684.0,,7829.0,79.0,1642109.0,173792.0
2020-09-12,22:22,,44,Japan,126397943.0,73901,,1412.0,,65590.0,,6899.0,191.0,585.0,11.0,1685711.0,13337.0
2020-09-12,22:22,,43,Poland,37838240.0,73650,603.0,2182.0,13.0,59725.0,877.0,11743.0,85.0,1946.0,58.0,2970888.0,78515.0
2020-09-12,22:22,,47,Honduras,9935210.0,66049,247.0,2058.0,9.0,16613.0,1036.0,47378.0,31.0,6648.0,207.0,157292.0,15832.0
2020-09-12,22:22,,56,Ethiopia,115504680.0,63888,521.0,996.0,10.0,24493.0,469.0,38399.0,330.0,553.0,9.0,1130850.0,9791.0
2020-09-12,22:22,,46,Portugal,10190682.0,63310,497.0,1860.0,5.0,43894.0,250.0,17556.0,59.0,6213.0,183.0,2229753.0,218803.0
2020-09-12,22:22,,50,Bahrain,1712520.0,58839,,210.0,2.0,52776.0,,5853.0,27.0,34358.0,123.0,1230227.0,718372.0
2020-09-12,22:22,,57,Venezuela,28419609.0,58663,,468.0,,46960.0,,11235.0,111.0,2064.0,16.0,1824287.0,64191.0
2020-09-12,22:22,,45,Singapore,5859452.0,57357,42.0,27.0,,56699.0,92.0,631.0,,9789.0,5.0,2281104.0,389303.0
2020-09-12,22:22,,48,Nigeria,207110363.0,56017,,1076.0,,43998.0,,10943.0,7.0,270.0,5.0,433206.0,2092.0
2020-09-12,22:22,,61,Costa Rica,5103301.0,53969,,583.0,,20710.0,,32676.0,221.0,10575.0,114.0,175050.0,34301.0
2020-09-12,22:22,,64,Nepal,29238099.0,53120,1202.0,336.0,14.0,37524.0,852.0,15260.0,,1817.0,11.0,831362.0,28434.0
2020-09-12,22:22,,54,Algeria,44004066.0,48007,255.0,1605.0,6.0,33875.0,152.0,12527.0,32.0,1091.0,36.0,,
2020-09-12,22:22,,58,Uzbekistan,33563757.0,46721,561.0,384.0,7.0,43359.0,502.0,2978.0,224.0,1392.0,11.0,1377915.0,41054.0
2020-09-12,22:22,,55,Switzerland,8667169.0,46704,465.0,2020.0,,38500.0,400.0,6184.0,26.0,5389.0,233.0,1173798.0,135430.0
2020-09-12,22:22,,53,Armenia,2964354.0,45675,172.0,911.0,2.0,41605.0,171.0,3159.0,,15408.0,307.0,234631.0,79151.0
2020-09-12,22:22,,51,Ghana,31197410.0,45434,46.0,286.0,1.0,44342.0,75.0,806.0,5.0,1456.0,9.0,450872.0,14452.0
2020-09-12,22:22,,52,Kyrgyzstan,6545076.0,44828,67.0,1063.0,,40779.0,148.0,2986.0,24.0,6849.0,162.0,267718.0,40904.0
2020-09-12,22:22,,62,Moldova,4032065.0,42714,531.0,1117.0,3.0,30437.0,,11160.0,549.0,10594.0,277.0,210553.0,52220.0
2020-09-12,22:22,,59,Afghanistan,39095891.0,38641,35.0,1420.0,,31234.0,80.0,5987.0,93.0,988.0,36.0,106270.0,2718.0
2020-09-12,22:22,,60,Azerbaijan,10157223.0,38172,135.0,559.0,2.0,35607.0,167.0,2006.0,,3758.0,55.0,1002727.0,98721.0
2020-09-12,22:22,,63,Kenya,53997932.0,35969,176.0,619.0,3.0,22771.0,329.0,12579.0,44.0,666.0,11.0,481982.0,8926.0
2020-09-12,22:22,,70,Czechia,10712968.0,34744,884.0,453.0,3.0,21150.0,10.0,13141.0,69.0,3243.0,42.0,1030511.0,96193.0
2020-09-12,22:22,,67,Austria,9016622.0,32696,869.0,754.0,4.0,26579.0,322.0,5363.0,42.0,3626.0,84.0,1331493.0,147671.0
2020-09-12,22:22,,65,Serbia,8730219.0,32300,72.0,731.0,1.0,31100.0,,469.0,29.0,3700.0,84.0,1024976.0,117406.0
