scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-09-19,21:00,2020-09-19,,1,USA,331425744.0,6948843,22902.0,203482.0,315.0,4202422.0,10528.0,2542939.0,14156.0,20967.0,614.0,96660894.0,291652.0,1.0
2020-09-19,21:00,2020-09-19,,3,India,1382937730.0,5369293,63818.0,86229.0,604.0,4268128.0,62927.0,1014936.0,8944.0,3883.0,62.0,62454254.0,45161.0,3.0
2020-09-19,21:00,2020-09-19,,2,Brazil,212887938.0,4503002,5568.0,136035.0,178.0,3789139.0,,577828.0,8318.0,21152.0,639.0,14617980.0,68665.0,2.0
2020-09-19,21:00,2020-09-19,,4,Russia,145948250.0,1097251,6065.0,19339.0,144.0,906462.0,5255.0,171450.0,2300.0,7518.0,133.0,42400000.0,290514.0,4.0
2020-09-19,21:00,2020-09-19,,6,Peru,33070295.0,756412,,31283.0,,600795.0,,124334.0,1449.0,22873.0,946.0,3640863.0,110095.0,2.0
2020-09-19,21:00,2020-09-19,,8,Colombia,50999943.0,750471,,23850.0,,621521.0,,105100.0,863.0,14715.0,468.0,3332152.0,65336.0,2.0
2020-09-19,21:00,2020-09-19,,7,Mexico,129225210.0,688954,4841.0,72803.0,624.0,492192.0,3776.0,123959.0,2657.0,5331.0,563.0,1565452.0,12114.0,1.0
2020-09-19,21:00,2020-09-19,,9,Spain,46758769.0,659334,,30495.0,,,,,1345.0,14101.0,652.0,10756835.0,230050.0,4.0
2020-09-19,21:00,2020-09-19,,5,South Africa,59469412.0,657627,,15857.0,,586844.0,,54926.0,539.0,11058.0,267.0,4003590.0,67322.0,5.0
2020-09-19,21:00,2020-09-19,,12,Argentina,45285561.0,613658,,12705.0,49.0,478077.0,10791.0,122876.0,3225.0,13551.0,281.0,1707947.0,37715.0,2.0
