Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2021-01-09,23:00,20:55,1.0,USA,332018597,22626084,282053.0,380654,4192.0,13364779,170263.0,8880651,29083,68147,1146,269183144,810747
2021-01-09,23:00,20:55,3.0,India,1387086244,10451339,18814.0,151048,213.0,10075381,19459.0,224910,8944,7535,109,180253315,129951
2021-01-09,23:00,20:55,2.0,Brazil,213349602,8034358,20650.0,201843,383.0,7114474,17543.0,718041,8318,37658,946,28600000,134052
2021-01-09,23:00,20:55,4.0,Russia,145967334,3379103,23309.0,61381,470.0,2754809,23680.0,562913,2300,23150,421,92900000,636444
2021-01-09,23:00,20:55,13.0,UK,68072743,3017409,59937.0,80868,1035.0,1406967,42146.0,1529574,3098,44326,1188,58860706,864674
2021-01-09,23:00,20:55,19.0,France,65349297,2767312,20177.0,67599,758.0,202165,3409.0,2497548,2609,42346,1034,37557884,574725
2021-01-09,23:00,20:55,18.0,Turkey,84812453,2317118,9537.0,22631,181.0,2190047,7902.0,104440,2903,27320,267,26033695,306956
2021-01-09,23:00,20:55,17.0,Italy,60415065,2257866,19976.0,78394,483.0,1606630,17040.0,572842,2593,37373,1298,27751635,459350
2021-01-09,23:00,20:55,9.0,Spain,46764292,2050360,0.0,51874,0.0,,,,2318,43845,1109,27839319,595311
2021-01-09,23:00,20:55,20.0,Germany,83924420,1914060,28887.0,41053,1128.0,1511800,17700.0,361207,5414,22807,489,35118592,418455
2021-01-09,23:00,20:55,8.0,Colombia,51165808,1755568,18221.0,45431,364.0,1597160,16875.0,112977,3482,34311,888,8556831,167237
2021-01-09,23:00,20:55,12.0,Argentina,45412349,1703352,13346.0,44273,151.0,1494896,10102.0,164183,3602,37509,975,5157845,113578
2021-01-09,23:00,20:55,7.0,Mexico,129639479,1507931,14362.0,132069,1038.0,1134877,7406.0,240985,3913,11632,1019,3818542,29455
2021-01-09,23:00,20:55,43.0,Poland,37824814,1376389,10744.0,31011,437.0,1113738,9139.0,231640,1596,36389,820,7598884,200897
2021-01-09,23:00,20:55,11.0,Iran,84552899,1280438,5924.0,56100,82.0,1067466,8812.0,156872,4686,15144,663,7993502,94538
2021-01-09,23:00,20:55,5.0,South Africa,59698219,1214176,21606.0,32824,399.0,956712,8793.0,224640,546,20339,550,7120847,119281
2021-01-09,23:00,20:55,28.0,Ukraine,43595173,1110015,4846.0,19668,80.0,786306,7961.0,304041,177,25462,451,5733555,131518
