Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2021-03-03 12:00:13,00:00:00,2021-03-02,1.0,USA,332299143,29370705,56451.0,529214,1988.0,19905322,87790.0,8936169,15088,88386,1593,361948812,1089226
2021-03-03 12:00:13,00:00:00,2021-03-02,3.0,India,1389049380,11139323,15704.0,157385,110.0,10810162,13604.0,171776,8944,8019,113,217618057,156667
2021-03-03 12:00:13,00:00:00,2021-03-02,2.0,Brazil,213568068,10647845,58237.0,257562,1726.0,9527173,70073.0,863110,8318,49857,1206,28600000,133915
2021-03-03 12:00:13,00:00:00,2021-03-02,4.0,Russia,145976365,4268215,10565.0,86896,441.0,3838040,14966.0,343279,2300,29239,595,111500000,763822
2021-03-03 12:00:13,00:00:00,2021-03-02,13.0,UK,68124277,4188400,6391.0,123296,343.0,3005720,45836.0,1059384,1806,61482,1810,91520691,1343437
2021-03-03 12:00:13,00:00:00,2021-03-02,19.0,France,65370152,3783528,22857.0,87220,417.0,259893,1509.0,3436415,3586,57879,1334,53496344,818360
2021-03-03 12:00:13,00:00:00,2021-03-02,9.0,Spain,46766905,3130184,-74347.0,69801,192.0,2722304,0.0,338079,2796,66932,1493,39313189,840620
2021-03-03 12:00:13,00:00:00,2021-03-02,17.0,Italy,60402241,2955434,17063.0,98288,343.0,2426150,10057.0,430996,2327,48929,1627,40639503,672814
2021-03-03 12:00:13,00:00:00,2021-03-02,18.0,Turkey,84943797,2723316,11837.0,28706,68.0,2586073,7892.0,108537,1227,32060,338,33440843,393682
2021-03-03 12:00:13,00:00:00,2021-03-02,20.0,Germany,83963113,2462061,6492.0,71325,401.0,2264600,9100.0,126136,2848,29323,849,43950029,523444
2021-03-03 12:00:13,00:00:00,2021-03-02,8.0,Colombia,51244298,2259599,4339.0,59972,106.0,2156057,4424.0,43570,2240,44095,1170,11528886,224979
2021-03-03 12:00:13,00:00:00,2021-03-02,12.0,Argentina,45472346,2118676,6653.0,52192,115.0,1916936,5598.0,149548,3505,46593,1148,7510854,165174
2021-03-03 12:00:13,00:00:00,2021-03-02,7.0,Mexico,129835517,2089281,2343.0,186152,437.0,1639943,6043.0,263186,4798,16092,1434,5460692,42059
2021-03-03 12:00:13,00:00:00,2021-03-02,43.0,Poland,37818835,1719708,7937.0,44051,259.0,1438032,7171.0,237625,1540,45472,1165,9945404,262975
2021-03-03 12:00:13,00:00:00,2021-03-02,11.0,Iran,84708574,1648174,8495.0,60267,86.0,1406845,6911.0,181062,3738,19457,711,10972109,129528
