scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,59,Afghanistan,38997440,36710,,1283,,25509,,9918,31,941,33.0,89255,2289
2020-08-08,20:00:00,,59,Afghanistan,39011848,37054,344.0,1312,29.0,25960,451.0,9782,31,950,34.0,92710,2376
2020-08-12,20:00:00,,59,Afghanistan,39021453,37345,291.0,1354,42.0,26694,734.0,9297,31,957,35.0,97199,2491
2020-08-16,20:00:00,,59,Afghanistan,39031058,37596,251.0,1375,21.0,27166,472.0,9055,31,963,35.0,98718,2529
2020-08-17,20:00:00,,59,Afghanistan,39033459,37599,3.0,1375,0.0,27166,0.0,9058,31,963,35.0,98772,2530
2020-08-18,20:00:00,,59,Afghanistan,39035860,37599,0.0,1375,0.0,27166,0.0,9058,31,963,35.0,98772,2530
2020-08-19,20:00:00,,59,Afghanistan,39038261,37599,0.0,1375,0.0,27166,0.0,9058,31,963,35.0,98772,2530
2020-08-20,17:53:00,,59,Afghanistan,39040662,37856,257.0,1385,10.0,27681,515.0,8790,31,970,35.0,100138,2565
2020-08-23,21:09:00,,59,Afghanistan,39047866,37999,143.0,1387,2.0,28180,499.0,8432,31,973,36.0,100960,2586
2020-08-24,17:10:00,,59,Afghanistan,39050267,38054,55.0,1389,2.0,28360,180.0,8305,31,974,36.0,101208,2592
2020-08-25,23:00:00,,59,Afghanistan,39052669,38070,16.0,1397,8.0,28440,80.0,8233,31,975,36.0,101377,2596
2020-08-26,22:59:00,,59,Afghanistan,39055070,38113,43.0,1401,4.0,29042,602.0,7670,31,976,36.0,101893,2609
2020-08-27,23:00:00,,59,Afghanistan,39057471,38129,16.0,1401,0.0,29046,4.0,7682,31,976,36.0,102168,2616
2020-08-28,23:01:00,,59,Afghanistan,39059872,38140,11.0,1402,1.0,29059,13.0,7679,31,976,36.0,102321,2620
