scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,94,Albania,2877513,5519,123.0,166,5.0,3018,57.0,2335,16.0,1918.0,58.0,37503,13033.0
2020-08-08,20:00:00,,94,Albania,2877462,6275,124.0,193,4.0,3268,41.0,2814,20.0,2181.0,67.0,40675,14136.0
2020-08-12,20:00:00,,94,Albania,2877428,6676,,205,,3480,,2991,20.0,2320.0,71.0,42854,14893.0
2020-08-16,20:00:00,,94,Albania,2877393,7260,,225,,3746,,3289,16.0,2523.0,78.0,45402,15779.0
2020-08-17,20:00:00,,94,Albania,2877385,7380,,228,,3794,,3358,15.0,2565.0,79.0,46028,15996.0
2020-08-18,20:00:00,,94,Albania,2877376,7499,,230,,3816,,3453,15.0,2606.0,80.0,46529,16171.0
2020-08-19,20:00:00,,94,Albania,2877368,7654,,232,,3871,,3551,15.0,2660.0,81.0,47461,16495.0
2020-08-20,17:53:00,,94,Albania,2877359,7967,155.0,238,4.0,3986,58.0,3743,15.0,2769.0,83.0,49172,17089.0
2020-08-23,21:09:00,,94,Albania,2877333,8427,152.0,250,5.0,4332,148.0,3845,15.0,2929.0,87.0,51658,17953.0
2020-08-24,17:10:00,,94,Albania,2877325,8427,,250,,4332,,3845,19.0,2929.0,87.0,51658,17953.0
2020-08-25,23:00:00,,94,Albania,2877316,8759,154.0,259,5.0,4530,117.0,3970,19.0,3044.0,90.0,53475,18585.0
2020-08-26,22:59:00,,94,Albania,2877308,8927,168.0,263,4.0,4633,103.0,4031,19.0,3103.0,91.0,54353,18890.0
2020-08-27,23:00:00,,94,Albania,2877299,9083,156.0,266,3.0,4791,158.0,4026,19.0,3157.0,92.0,54353,18890.0
2020-08-28,23:01:00,,94,Albania,2877291,9195,112.0,271,5.0,4923,132.0,4001,19.0,3196.0,94.0,56019,19469.0
2020-08-29,12:29:00,,94,Albania,2877282,9195,,271,,4923,,4001,19.0,3196.0,94.0,56019,19469.0
2020-08-30,23:00:00,,94,Albania,2877274,9380,101.0,280,5.0,5139,119.0,3961,19.0,3260.0,97.0,57618,20025.0
2020-08-31,18:58:00,,94,Albania,2877265,9380,,280,,5139,,3961,19.0,3260.0,97.0,57618,20025.0
2020-09-01,23:00:00,,94,Albania,2877257,9606,93.0,290,6.0,5441,227.0,3875,22.0,3339.0,101.0,59250,20593.0
2020-09-02,23:01:00,,94,Albania,2877248,9728,122.0,296,6.0,5582,141.0,3850,22.0,3381.0,103.0,60106,20890.0
2020-09-03,23:01:00,,94,Albania,2877239,9844,116.0,301,5.0,5732,150.0,3811,22.0,3421.0,105.0,60941,21180.0
2020-09-04,07:01:00,,94,Albania,2877231,9844,,301,,5732,,3811,22.0,3421.0,105.0,60941,21180.0
2020-09-05,23:31:00,,94,Albania,2877222,10102,135.0,312,6.0,5976,94.0,3814,12.0,3511.0,108.0,62658,21777.0
2020-09-06,18:30:00,,94,Albania,2877214,10102,,312,,5976,,3814,12.0,3511.0,108.0,62658,21777.0
2020-09-07,23:39:00,,94,Albania,2877205,10406,151.0,319,3.0,6186,80.0,3901,21.0,3617.0,111.0,64329,22358.0
2020-09-08,22:10:00,,94,Albania,2877197,10553,147.0,321,2.0,6239,53.0,3993,21.0,3668.0,112.0,65159,22647.0
2020-09-09,22:01:00,,94,Albania,2877188,10704,151.0,322,1.0,6284,45.0,4098,19.0,3720.0,112.0,66011,22943.0
2020-09-10,22:01:00,,94,Albania,2877180,10860,156.0,324,2.0,6346,62.0,4190,20.0,3775.0,113.0,66881,23245.0
2020-09-11,22:00:00,,94,Albania,2877171,11021,161.0,327,3.0,6443,97.0,4251,20.0,3830.0,114.0,66881,23245.0
2020-09-12,22:22:00,,94,Albania,2877162,11185,164.0,330,3.0,6494,51.0,4361,21.0,3888.0,115.0,68628,23853.0
2020-09-13,22:01:00,,94,Albania,2877154,11353,168.0,334,4.0,6569,75.0,4450,21.0,3946.0,116.0,69505,24158.0
2020-09-14,22:04:00,,94,Albania,2877145,11520,167.0,338,4.0,6615,46.0,4567,18.0,4004.0,117.0,70367,24457.0
2020-09-15,21:00:00,,94,Albania,2877137,11672,152.0,340,2.0,6668,53.0,4664,18.0,4057.0,118.0,71177,24739.0
2020-09-16,21:01:00,,94,Albania,2877128,11816,144.0,343,3.0,6733,65.0,4740,18.0,4107.0,119.0,72001,25025.0
