scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,154,Andorra,77276,925,,52,,807,,66,,11970,673.0,3750,48527,4
2020-08-08,20:00:00,2020-08-08,,154,Andorra,77278,955,,52,,839,,64,1.0,12358,673.0,3750,48526,4
2020-08-12,20:00:00,2020-08-12,,154,Andorra,77279,963,,52,,839,,72,1.0,12461,673.0,3750,48525,4
2020-08-16,20:00:00,2020-08-16,,154,Andorra,77281,989,,53,,863,,73,1.0,12797,686.0,3750,48524,4
2020-08-17,20:00:00,2020-08-17,,154,Andorra,77281,1005,16.0,53,,869,6.0,83,1.0,13004,686.0,3750,48524,4
2020-08-18,20:00:00,2020-08-18,,154,Andorra,77281,1005,,53,,869,,83,1.0,13004,686.0,3750,48524,4
2020-08-19,20:00:00,2020-08-19,,154,Andorra,77282,1005,,53,,869,,83,1.0,13004,686.0,3750,48524,4
2020-08-20,17:53:00,2020-08-20,,154,Andorra,77282,1024,,53,,875,,96,1.0,13250,686.0,137457,1778642,4
2020-08-23,21:09:00,2020-08-23,,154,Andorra,77283,1045,,53,,875,,117,1.0,13522,686.0,137457,1778619,4
2020-08-24,17:10:00,2020-08-24,,154,Andorra,77283,1045,,53,,875,,117,1.0,13522,686.0,137457,1778619,4
2020-08-25,23:00:00,2020-08-25,,154,Andorra,77284,1060,,53,,877,,130,1.0,13716,686.0,137457,1778596,4
2020-08-26,22:59:00,2020-08-26,,154,Andorra,77284,1098,38.0,53,,893,16.0,152,3.0,14207,686.0,137457,1778596,4
2020-08-27,23:00:00,2020-08-27,,154,Andorra,77284,1098,,53,,893,,152,3.0,14207,686.0,137457,1778596,4
2020-08-28,23:01:00,2020-08-28,,154,Andorra,77285,1124,26.0,53,,902,9.0,169,3.0,14544,686.0,137457,1778573,4
2020-08-29,12:29:00,2020-08-29,,154,Andorra,77285,1124,,53,,902,,169,3.0,14544,686.0,137457,1778573,4
2020-08-30,23:00:00,2020-08-30,,154,Andorra,77285,1124,,53,,902,,169,3.0,14544,686.0,137457,1778573,4
2020-08-31,18:58:00,2020-08-31,,154,Andorra,77286,1124,,53,,902,,169,3.0,14543,686.0,137457,1778550,4
2020-09-01,23:00:00,2020-09-01,,154,Andorra,77286,1176,,53,,908,,215,3.0,15216,686.0,137457,1778550,4
2020-09-02,23:01:00,2020-09-02,,154,Andorra,77286,1199,15.0,53,,909,1.0,237,3.0,15514,686.0,137457,1778550,4
2020-09-03,23:01:00,2020-09-03,,154,Andorra,77287,1199,,53,,909,,237,3.0,15514,686.0,137457,1778527,4
2020-09-04,07:01:00,2020-09-04,,154,Andorra,77287,1199,,53,,909,,237,3.0,15514,686.0,137457,1778527,4
2020-09-05,23:31:00,2020-09-05,,154,Andorra,77287,1215,,53,,928,,234,3.0,15721,686.0,137457,1778527,4
2020-09-06,18:30:00,2020-09-06,,154,Andorra,77288,1215,,53,,928,,234,3.0,15720,686.0,137457,1778504,4
2020-09-07,23:39:00,2020-09-07,,154,Andorra,77288,1261,46.0,53,,934,6.0,274,3.0,16316,686.0,137457,1778504,4
2020-09-08,22:10:00,2020-09-08,,154,Andorra,77288,1261,,53,,934,,274,3.0,16316,686.0,137457,1778504,4
2020-09-10,22:01:00,2020-09-10,,154,Andorra,77289,1301,,53,,938,,310,3.0,16833,686.0,137457,1778481,4
2020-09-11,22:00:00,2020-09-11,,154,Andorra,77289,1344,43.0,53,,943,5.0,348,4.0,17389,686.0,137457,1778481,4
2020-09-12,22:22:00,2020-09-12,,154,Andorra,77290,1344,,53,,943,,348,4.0,17389,686.0,137457,1778458,4
2020-09-13,22:01:00,2020-09-13,,154,Andorra,77290,1344,,53,,943,,348,4.0,17389,686.0,137457,1778458,4
2020-09-14,22:04:00,2020-09-14,,154,Andorra,77290,1438,94.0,53,,945,2.0,440,4.0,18605,686.0,137457,1778458,4
2020-09-15,21:00:00,2020-09-15,,154,Andorra,77291,1438,,53,,945,,440,4.0,18605,686.0,137457,1778435,4
2020-09-16,21:01:00,2020-09-16,,154,Andorra,77291,1438,,53,,945,,440,4.0,18605,686.0,137457,1778435,4
2020-09-18,20:01:00,2020-09-18,,154,Andorra,77292,1483,,53,,1054,,376,4.0,19187,686.0,137457,1778412,4
2020-09-19,21:00:00,2020-09-19,,154,Andorra,77292,1564,,53,,1164,,347,4.0,20235,686.0,137457,1778412,4
2020-09-20,22:31:00,2020-09-20,,154,Andorra,77293,1564,,53,,1164,,347,4.0,20235,686.0,137457,1778389,4
2020-09-21,21:01:00,2020-09-21,,154,Andorra,77293,1681,117.0,53,,1199,35.0,429,4.0,21748,686.0,137457,1778389,4
2020-09-22,21:01:00,2020-09-22,,154,Andorra,77293,1681,,53,,1199,,429,4.0,21748,686.0,137457,1778389,4
