scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,154,Andorra,77276,925,,52,,807,,66,,11970,673.0,3750,48527
2020-08-08,20:00:00,,154,Andorra,77278,955,30.0,52,0.0,839,32.0,64,1.0,12358,673.0,3750,48526
2020-08-12,20:00:00,,154,Andorra,77279,963,8.0,52,0.0,839,0.0,72,1.0,12461,673.0,3750,48525
2020-08-16,20:00:00,,154,Andorra,77281,989,26.0,53,1.0,863,24.0,73,1.0,12797,686.0,3750,48524
2020-08-17,20:00:00,,154,Andorra,77281,1005,16.0,53,0.0,869,6.0,83,1.0,13004,686.0,3750,48524
2020-08-18,20:00:00,,154,Andorra,77281,1005,0.0,53,0.0,869,0.0,83,1.0,13004,686.0,3750,48524
2020-08-19,20:00:00,,154,Andorra,77282,1005,0.0,53,0.0,869,0.0,83,1.0,13004,686.0,3750,48524
2020-08-20,17:53:00,,154,Andorra,77282,1024,19.0,53,0.0,875,6.0,96,1.0,13250,686.0,137457,1778642
2020-08-23,21:09:00,,154,Andorra,77283,1045,21.0,53,0.0,875,0.0,117,1.0,13522,686.0,137457,1778619
2020-08-24,17:10:00,,154,Andorra,77283,1045,0.0,53,0.0,875,0.0,117,1.0,13522,686.0,137457,1778619
2020-08-25,23:00:00,,154,Andorra,77284,1060,15.0,53,0.0,877,2.0,130,1.0,13716,686.0,137457,1778596
2020-08-26,22:59:00,,154,Andorra,77284,1098,38.0,53,0.0,893,16.0,152,3.0,14207,686.0,137457,1778596
2020-08-27,23:00:00,,154,Andorra,77284,1098,0.0,53,0.0,893,0.0,152,3.0,14207,686.0,137457,1778596
2020-08-28,23:01:00,,154,Andorra,77285,1124,26.0,53,0.0,902,9.0,169,3.0,14544,686.0,137457,1778573
2020-08-29,12:29:00,,154,Andorra,77285,1124,0.0,53,0.0,902,0.0,169,3.0,14544,686.0,137457,1778573
2020-08-30,23:00:00,,154,Andorra,77285,1124,0.0,53,0.0,902,0.0,169,3.0,14544,686.0,137457,1778573
2020-08-31,18:58:00,,154,Andorra,77286,1124,0.0,53,0.0,902,0.0,169,3.0,14543,686.0,137457,1778550
2020-09-01,23:00:00,,154,Andorra,77286,1176,52.0,53,0.0,908,6.0,215,3.0,15216,686.0,137457,1778550
2020-09-02,23:01:00,,154,Andorra,77286,1199,23.0,53,0.0,909,1.0,237,3.0,15514,686.0,137457,1778550
2020-09-03,23:01:00,,154,Andorra,77287,1199,0.0,53,0.0,909,0.0,237,3.0,15514,686.0,137457,1778527
2020-09-04,07:01:00,,154,Andorra,77287,1199,0.0,53,0.0,909,0.0,237,3.0,15514,686.0,137457,1778527
2020-09-05,23:31:00,,154,Andorra,77287,1215,16.0,53,0.0,928,19.0,234,3.0,15721,686.0,137457,1778527
2020-09-06,18:30:00,,154,Andorra,77288,1215,0.0,53,0.0,928,0.0,234,3.0,15720,686.0,137457,1778504
2020-09-07,23:39:00,,154,Andorra,77288,1261,46.0,53,0.0,934,6.0,274,3.0,16316,686.0,137457,1778504
2020-09-08,22:10:00,,154,Andorra,77288,1261,0.0,53,0.0,934,0.0,274,3.0,16316,686.0,137457,1778504
2020-09-10,22:01:00,,154,Andorra,77289,1301,40.0,53,0.0,938,4.0,310,3.0,16833,686.0,137457,1778481
2020-09-11,22:00:00,,154,Andorra,77289,1344,43.0,53,0.0,943,5.0,348,4.0,17389,686.0,137457,1778481
2020-09-12,22:22:00,,154,Andorra,77290,1344,0.0,53,0.0,943,0.0,348,4.0,17389,686.0,137457,1778458
2020-09-13,22:01:00,,154,Andorra,77290,1344,0.0,53,0.0,943,0.0,348,4.0,17389,686.0,137457,1778458
2020-09-14,22:04:00,,154,Andorra,77290,1438,94.0,53,0.0,945,2.0,440,4.0,18605,686.0,137457,1778458
2020-09-15,21:00:00,,154,Andorra,77291,1438,0.0,53,0.0,945,0.0,440,4.0,18605,686.0,137457,1778435
2020-09-16,21:01:00,,154,Andorra,77291,1438,0.0,53,0.0,945,0.0,440,4.0,18605,686.0,137457,1778435
2020-09-18,20:01:00,,154,Andorra,77292,1483,45.0,53,0.0,1054,109.0,376,4.0,19187,686.0,137457,1778412
2020-09-19,21:00:00,,154,Andorra,77292,1564,81.0,53,0.0,1164,110.0,347,4.0,20235,686.0,137457,1778412
2020-09-20,22:31:00,,154,Andorra,77293,1564,0.0,53,0.0,1164,0.0,347,4.0,20235,686.0,137457,1778389
2020-09-21,21:01:00,,154,Andorra,77293,1681,117.0,53,0.0,1199,35.0,429,4.0,21748,686.0,137457,1778389
2020-09-22,21:01:00,,154,Andorra,77293,1681,0.0,53,0.0,1199,0.0,429,4.0,21748,686.0,137457,1778389
2020-09-23,19:58:00,,154,Andorra,77294,1681,0.0,53,0.0,1199,0.0,429,4.0,21748,686.0,137457,1778366
2020-09-24,21:00:00,,154,Andorra,77294,1753,72.0,53,0.0,1203,4.0,497,4.0,22680,686.0,137457,1778366
