scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,53,Armenia,2963736,39050,,754,,29750,,8546,10.0,13176,254.0,166701,56247
2020-08-08,20:00:00,,53,Armenia,2963826,40185,1135.0,785,31.0,32395,2645.0,7005,,13558,265.0,174438,58856
2020-08-12,20:00:00,,53,Armenia,2963887,40794,609.0,806,21.0,33492,1097.0,6496,,13764,272.0,179032,60404
2020-08-16,20:00:00,,53,Armenia,2963947,41663,869.0,818,12.0,34584,1092.0,6261,,14057,276.0,185310,62521
2020-08-17,20:00:00,,53,Armenia,2963962,41701,38.0,824,6.0,34655,71.0,6222,,14069,278.0,185594,62617
2020-08-18,20:00:00,,53,Armenia,2963977,41846,145.0,832,8.0,34982,327.0,6032,,14118,281.0,186661,62977
2020-08-19,20:00:00,,53,Armenia,2963992,42056,210.0,833,1.0,35226,244.0,5997,,14189,281.0,188567,63619
2020-08-20,17:53:00,,53,Armenia,2964007,42319,263.0,836,3.0,35476,250.0,6007,,14278,282.0,190560,64291
2020-08-23,21:09:00,,53,Armenia,2964053,42792,473.0,852,16.0,35991,515.0,5949,,14437,287.0,195194,65854
2020-08-24,17:10:00,,53,Armenia,2964068,42825,33.0,854,2.0,36049,58.0,5922,,14448,288.0,195574,65982
2020-08-25,23:00:00,,53,Armenia,2964083,42936,111.0,858,4.0,36475,426.0,5603,,14485,289.0,196873,66420
2020-08-26,22:59:00,,53,Armenia,2964098,43067,131.0,861,3.0,36726,251.0,5480,,14530,290.0,198569,66991
2020-08-27,23:00:00,,53,Armenia,2964113,43270,203.0,864,3.0,36988,262.0,5418,,14598,291.0,200507,67645
2020-08-28,23:01:00,,53,Armenia,2964128,43451,181.0,869,5.0,37264,276.0,5318,,14659,293.0,202253,68234
2020-08-29,12:29:00,,53,Armenia,2964143,43626,175.0,872,3.0,37563,299.0,5191,,14718,294.0,203979,68816
2020-08-30,23:00:00,,53,Armenia,2964158,43750,124.0,877,5.0,37650,87.0,5223,,14760,296.0,205450,69311
2020-08-31,18:58:00,,53,Armenia,2964173,43781,31.0,879,2.0,37722,72.0,5180,,14770,297.0,205940,69476
2020-09-01,23:00:00,,53,Armenia,2964188,43878,97.0,881,2.0,38356,634.0,4641,,14803,297.0,206929,69810
2020-09-02,23:01:00,,53,Armenia,2964203,44075,197.0,884,3.0,38631,275.0,4560,,14869,298.0,209389,70639
2020-09-03,23:01:00,,53,Armenia,2964219,44271,196.0,887,3.0,38855,224.0,4529,,14935,299.0,211281,71277
2020-09-04,07:01:00,,53,Armenia,2964234,44271,0.0,887,0.0,38855,0.0,4529,,14935,299.0,211281,71277
2020-09-05,23:31:00,,53,Armenia,2964249,44649,378.0,895,8.0,39823,968.0,3931,,15062,302.0,215810,72804
2020-09-06,18:30:00,,53,Armenia,2964264,44783,134.0,897,2.0,40089,266.0,3797,,15108,303.0,218139,73590
2020-09-07,23:39:00,,53,Armenia,2964279,44845,62.0,900,3.0,40121,32.0,3824,,15128,304.0,219177,73939
2020-09-08,22:10:00,,53,Armenia,2964294,44953,108.0,903,3.0,40592,471.0,3458,,15165,305.0,221041,74568
2020-09-09,22:01:00,,53,Armenia,2964309,45152,199.0,905,2.0,41023,431.0,3224,,15232,305.0,224559,75754
2020-09-10,22:01:00,,53,Armenia,2964324,45326,174.0,906,1.0,41233,210.0,3187,,15291,306.0,227809,76850
2020-09-11,22:00:00,,53,Armenia,2964339,45503,177.0,909,3.0,41434,201.0,3160,,15350,307.0,231259,78014
2020-09-12,22:22:00,,53,Armenia,2964354,45675,172.0,911,2.0,41605,171.0,3159,,15408,307.0,234631,79151
2020-09-13,22:01:00,,53,Armenia,2964369,45862,187.0,916,5.0,41659,54.0,3287,,15471,309.0,238312,80392
2020-09-14,22:04:00,,53,Armenia,2964385,45969,107.0,919,3.0,41693,34.0,3357,,15507,310.0,240943,81279
2020-09-15,21:00:00,,53,Armenia,2964400,46119,150.0,920,1.0,41941,248.0,3258,,15558,310.0,243704,82210
2020-09-16,21:01:00,,53,Armenia,2964415,46376,257.0,923,3.0,42069,128.0,3384,,15644,311.0,247839,83605
2020-09-18,20:01:00,,53,Armenia,2964445,46910,534.0,926,3.0,42369,300.0,3615,,15824,312.0,255927,86332
2020-09-19,21:00:00,,53,Armenia,2964460,47154,244.0,928,2.0,42551,182.0,3675,,15906,313.0,259664,87592
