scrap_date,scrap_time,update_time_GMT,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
2020-08-02,20:00:00,,3,Asia,4422098,,98815,,3271998,,1051285,19080
2020-08-08,20:00:00,,3,Asia,4952344,530246.0,108049,9234.0,3734818,462820.0,1109477,18725
2020-08-12,20:00:00,,3,Asia,5221611,269267.0,112834,4785.0,3965536,230718.0,1143241,18873
2020-08-16,20:00:00,,3,Asia,5593009,371398.0,118990,6156.0,4282593,317057.0,1191426,18931
2020-08-17,20:00:00,,3,Asia,5723906,130897.0,121347,2357.0,4453388,170795.0,1149171,18845
2020-08-18,20:00:00,,3,Asia,5826494,102588.0,123117,1770.0,4547577,94189.0,1155800,18929
2020-08-19,20:00:00,,3,Asia,5849583,23089.0,123575,458.0,4564561,16984.0,1161447,18918
2020-08-20,17:53:00,,3,Asia,5973153,123570.0,125693,2118.0,4670379,105818.0,1177081,19111
2020-08-23,21:09:00,,3,Asia,6296289,323136.0,130228,4535.0,4978725,308346.0,1187336,18992
2020-08-24,17:10:00,,3,Asia,6336744,40455.0,130818,590.0,5018266,39541.0,1187660,18994
2020-08-25,23:00:00,,3,Asia,6474168,137424.0,133282,2464.0,5159676,141410.0,1181210,18937
2020-08-26,22:59:00,,3,Asia,6577413,103245.0,134877,1595.0,5240533,80857.0,1202003,18902
2020-08-27,23:00:00,,3,Asia,6680411,102998.0,136532,1655.0,5323647,83114.0,1220232,18867
2020-08-28,23:01:00,,3,Asia,6783852,103441.0,138128,1596.0,5411575,87928.0,1234149,18911
2020-08-29,12:29:00,,3,Asia,6802622,18770.0,138412,284.0,5421761,10186.0,1242449,18639
2020-08-30,23:00:00,,3,Asia,6991385,188763.0,141158,2746.0,5598323,176562.0,1251904,18820
2020-08-31,18:58:00,,3,Asia,7039215,47830.0,141826,668.0,5640144,41821.0,1257245,18828
2020-09-01,23:00:00,,3,Asia,7187049,147834.0,144061,2235.0,5765264,125120.0,1277724,18797
2020-09-02,23:01:00,,3,Asia,7296376,109327.0,145640,1579.0,5854882,89618.0,1295854,18842
2020-09-03,23:01:00,,3,Asia,7407501,111125.0,147322,1682.0,5943174,88292.0,1317005,18909
2020-09-04,07:01:00,,3,Asia,7410094,2593.0,147343,21.0,5947859,4685.0,1314892,18920
2020-09-05,23:31:00,,3,Asia,7639420,229326.0,150487,3144.0,6131826,183967.0,1357107,18971
