scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,138,Bahamas,393564,599,,14,,91,,494,1,1522,36.0,4361,11081
2020-08-08,20:00:00,,138,Bahamas,393626,830,231.0,14,0.0,95,4.0,721,1,2109,36.0,6084,15456
2020-08-12,20:00:00,,138,Bahamas,393667,989,159.0,15,1.0,116,21.0,858,1,2512,38.0,6938,17624
2020-08-16,20:00:00,,138,Bahamas,393708,1252,263.0,17,2.0,160,44.0,1075,1,3180,43.0,7533,19133
2020-08-17,20:00:00,,138,Bahamas,393718,1315,63.0,18,1.0,189,29.0,1108,1,3340,46.0,7639,19402
2020-08-18,20:00:00,,138,Bahamas,393729,1329,14.0,19,1.0,191,2.0,1119,1,3375,48.0,7690,19531
2020-08-19,20:00:00,,138,Bahamas,393739,1424,95.0,20,1.0,203,12.0,1201,1,3617,51.0,7971,20244
2020-08-20,17:53:00,,138,Bahamas,393749,1531,107.0,22,2.0,209,6.0,1300,61,3888,56.0,8320,21130
2020-08-23,21:09:00,,138,Bahamas,393780,1765,234.0,29,7.0,227,18.0,1509,61,4482,74.0,9068,23028
2020-08-24,17:10:00,,138,Bahamas,393790,1765,0.0,29,0.0,227,0.0,1509,83,4482,74.0,9068,23028
2020-08-25,23:00:00,,138,Bahamas,393800,1798,33.0,46,17.0,634,407.0,1118,83,4566,117.0,10170,25825
2020-08-26,22:59:00,,138,Bahamas,393811,1813,15.0,48,2.0,634,0.0,1131,83,4604,122.0,10192,25880
2020-08-27,23:00:00,,138,Bahamas,393821,1923,110.0,48,0.0,733,99.0,1142,83,4883,122.0,10484,26621
2020-08-28,23:01:00,,138,Bahamas,393831,2020,97.0,50,2.0,742,9.0,1228,83,5129,127.0,10625,26979
2020-08-29,12:29:00,,138,Bahamas,393841,2057,37.0,50,0.0,755,13.0,1252,83,5223,127.0,10917,27719
2020-08-30,23:00:00,,138,Bahamas,393852,2135,78.0,50,0.0,782,27.0,1303,83,5421,127.0,11037,28023
2020-08-31,18:58:00,,138,Bahamas,393862,2167,32.0,50,0.0,782,0.0,1335,83,5502,127.0,11093,28165
2020-09-01,23:00:00,,138,Bahamas,393872,2217,50.0,50,0.0,801,19.0,1366,83,5629,127.0,11165,28347
2020-09-02,23:01:00,,138,Bahamas,393882,2276,59.0,50,0.0,801,0.0,1425,83,5778,127.0,11445,29057
2020-09-03,23:01:00,,138,Bahamas,393893,2337,61.0,50,0.0,849,48.0,1438,83,5933,127.0,11871,30138
2020-09-04,07:01:00,,138,Bahamas,393903,2386,49.0,50,0.0,893,44.0,1443,83,6057,127.0,12117,30761
2020-09-05,23:31:00,,138,Bahamas,393913,2476,90.0,55,5.0,948,55.0,1473,83,6286,140.0,12541,31837
2020-09-06,18:30:00,,138,Bahamas,393924,2506,30.0,56,1.0,948,0.0,1502,83,6362,142.0,12640,32087
2020-09-07,23:39:00,,138,Bahamas,393934,2546,40.0,58,2.0,976,28.0,1512,75,6463,147.0,12833,32577
2020-09-08,22:10:00,,138,Bahamas,393944,2585,39.0,59,1.0,976,0.0,1550,75,6562,150.0,13010,33025
2020-09-10,22:01:00,,138,Bahamas,393965,2721,136.0,63,4.0,1183,207.0,1475,75,6907,160.0,13971,35463
2020-09-11,22:00:00,,138,Bahamas,393975,2814,93.0,65,2.0,1220,37.0,1529,75,7143,165.0,14383,36507
2020-09-12,22:22:00,,138,Bahamas,393985,2874,60.0,67,2.0,1285,65.0,1522,65,7295,170.0,14700,37311
2020-09-13,22:01:00,,138,Bahamas,393995,2928,54.0,67,0.0,1319,34.0,1542,65,7432,170.0,15083,38282
2020-09-14,22:04:00,,138,Bahamas,394006,2974,46.0,67,0.0,1344,25.0,1563,65,7548,170.0,15196,38568
2020-09-15,21:00:00,,138,Bahamas,394016,3008,34.0,68,1.0,1391,47.0,1549,65,7634,173.0,15418,39130
2020-09-16,21:01:00,,138,Bahamas,394026,3032,24.0,69,1.0,1482,91.0,1481,65,7695,175.0,15510,39363
