scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,50,Bahrain,1705856,41190,,147,,38211,,2832,43,24146,86.0,835211,489614,3
2020-08-08,20:00:00,2020-08-08,,50,Bahrain,1706831,43307,,159,,40276,,2872,40,25373,93.0,886095,519146,3
2020-08-12,20:00:00,2020-08-12,,50,Bahrain,1707481,44804,,165,,41504,,3135,38,26240,97.0,923342,540763,3
2020-08-16,20:00:00,2020-08-16,,50,Bahrain,1708132,46430,,170,,42806,,3454,35,27182,100.0,962334,563384,3
2020-08-17,20:00:00,2020-08-17,,50,Bahrain,1708294,46835,,173,3.0,43128,,3534,39,27416,101.0,972003,568990,3
2020-08-18,20:00:00,2020-08-18,,50,Bahrain,1708457,47185,,175,2.0,43529,,3481,41,27618,102.0,981208,574324,3
2020-08-19,20:00:00,2020-08-19,,50,Bahrain,1708619,47581,,175,,43921,,3485,45,27848,102.0,991140,580083,3
2020-08-20,17:53:00,2020-08-20,,50,Bahrain,1708782,47950,,179,1.0,44278,,3493,38,28061,105.0,1000787,585673,3
2020-08-23,21:09:00,2020-08-23,,50,Bahrain,1709269,49038,,184,1.0,45589,,3265,33,28689,108.0,1029969,602579,3
2020-08-24,17:10:00,2020-08-24,,50,Bahrain,1709432,49330,,184,,45981,,3165,34,28858,108.0,1039571,608138,3
2020-08-25,23:00:00,2020-08-25,,50,Bahrain,1709594,49719,,186,1.0,46311,,3222,33,29082,109.0,1048935,613558,3
2020-08-26,22:59:00,2020-08-26,,50,Bahrain,1709757,50076,,186,,46673,,3217,32,29288,109.0,1058509,619099,3
2020-08-27,23:00:00,2020-08-27,,50,Bahrain,1709919,50393,,187,1.0,47049,,3157,30,29471,109.0,1067907,624537,3
2020-08-28,23:01:00,2020-08-28,,50,Bahrain,1710082,50756,,189,1.0,47370,,3197,32,29680,111.0,1078767,630828,3
2020-08-29,12:29:00,2020-08-29,,50,Bahrain,1710244,51113,,189,,47760,,3164,30,29886,111.0,1088418,636411,3
2020-08-30,23:00:00,2020-08-30,,50,Bahrain,1710407,51391,,189,,48275,,2927,32,30046,111.0,1095373,640417,3
2020-08-31,18:58:00,2020-08-31,,50,Bahrain,1710569,51574,,190,1.0,48654,,2730,33,30150,111.0,1100729,643487,3
2020-09-01,23:00:00,2020-09-01,,50,Bahrain,1710732,51972,,190,,49047,,2735,36,30380,111.0,1108088,647727,3
2020-09-02,23:01:00,2020-09-02,,50,Bahrain,1710894,52440,,190,,49395,,2855,37,30651,111.0,1118837,653949,3
2020-09-03,23:01:00,2020-09-03,,50,Bahrain,1711057,52807,,190,,49645,,2972,34,30862,111.0,1128829,659726,3
2020-09-04,07:01:00,2020-09-04,,50,Bahrain,1711219,53433,,190,,50013,,3230,39,31225,111.0,1140563,666521,3
2020-09-05,23:31:00,2020-09-05,,50,Bahrain,1711382,54095,,196,1.0,50323,,3576,32,31609,115.0,1152274,673300,3
2020-09-06,18:30:00,2020-09-06,,50,Bahrain,1711544,54771,,199,3.0,50645,,3927,28,32001,116.0,1162349,679123,3
2020-09-07,23:39:00,2020-09-07,,50,Bahrain,1711707,55415,,200,1.0,50946,,4269,31,32374,117.0,1172808,685169,3
2020-09-08,22:10:00,2020-09-08,,50,Bahrain,1711870,56076,,202,2.0,51240,,4634,31,32757,118.0,1183388,691284,3
2020-09-09,22:01:00,2020-09-09,,50,Bahrain,1712032,56778,,203,1.0,51574,,5001,30,33164,119.0,1194923,697956,3
2020-09-10,22:01:00,2020-09-10,,50,Bahrain,1712195,57450,,206,3.0,51819,,5425,27,33553,120.0,1207260,705095,3
2020-09-11,22:00:00,2020-09-11,,50,Bahrain,1712357,58207,,208,1.0,52284,,5715,27,33992,121.0,1207260,705028,3
2020-09-12,22:22:00,2020-09-12,,50,Bahrain,1712520,58839,,210,2.0,52776,,5853,27,34358,123.0,1230227,718372,3
2020-09-13,22:01:00,2020-09-13,,50,Bahrain,1712682,59586,,211,,53192,,6183,26,34791,123.0,1240204,724130,3
2020-09-14,22:04:00,2020-09-14,,50,Bahrain,1712845,60307,,212,,53681,,6414,29,35209,124.0,1252898,731472,3
2020-09-15,21:00:00,2020-09-15,,50,Bahrain,1713007,60965,,213,,54204,,6548,30,35589,124.0,1264235,738021,3
2020-09-16,21:01:00,2020-09-16,,50,Bahrain,1713170,61643,,216,3.0,54831,,6596,32,35982,126.0,1276075,744862,3
2020-09-18,20:01:00,2020-09-18,,50,Bahrain,1713495,63189,,218,1.0,56087,,6884,39,36877,127.0,1301170,759366,3
2020-09-19,21:00:00,2020-09-19,,50,Bahrain,1713657,63879,,221,1.0,56700,,6958,42,37276,129.0,1313471,766473,3
2020-09-20,22:31:00,2020-09-20,,50,Bahrain,1713820,64499,,221,,57299,,6979,46,37635,129.0,1324002,772544,3
2020-09-21,21:01:00,2020-09-21,,50,Bahrain,1713982,65039,,223,2.0,57950,,6866,51,37946,130.0,1333275,777882,3
2020-09-22,21:01:00,2020-09-22,,50,Bahrain,1714145,65752,,227,3.0,58626,,6899,49,38358,132.0,1344713,784480,3
2020-09-23,19:58:00,2020-09-23,,50,Bahrain,1714307,66402,,231,4.0,59367,,6804,46,38734,135.0,1355399,790640,3
2020-09-24,21:00:00,2020-09-24,,50,Bahrain,1714470,67014,,231,,60117,,6666,54,39087,135.0,1366396,796979,3
2020-09-25,21:00:00,2020-09-25,,50,Bahrain,1714632,67701,,234,3.0,60853,,6614,56,39484,136.0,1378104,803732,3
2020-09-26,21:00:00,2020-09-26,,50,Bahrain,1714795,68190,,239,3.0,61475,,6476,55,39766,139.0,1388323,809615,3
2020-09-27,22:45:00,2020-09-27,,50,Bahrain,1714957,68775,,242,3.0,62252,,6281,58,40103,141.0,1398454,815446,3
2020-09-28,22:00:00,2020-09-28,,50,Bahrain,1715120,69361,,243,1.0,62887,,6231,60,40441,142.0,1407572,820684,3
2020-09-29,21:35:00,2020-09-29,,50,Bahrain,1715283,69848,,246,1.0,63549,,6053,60,40721,143.0,1418129,826761,3
2020-09-30,22:00:00,2020-09-30,,50,Bahrain,1715445,70422,,248,2.0,64267,,5907,57,41052,145.0,1429432,833272,3
2020-10-01,21:31:00,2020-10-01,,50,Bahrain,1715608,70864,,253,2.0,64838,,5773,60,41305,147.0,1439332,838963,3
2020-10-02,22:36:00,2020-10-02,,50,Bahrain,1715770,71374,,255,1.0,65550,,5569,60,41599,149.0,1450153,845191,3
2020-10-03,22:24:00,2020-10-03,,50,Bahrain,1715933,71803,,257,2.0,66184,,5362,57,41845,150.0,1458920,850220,3
2020-10-04,21:01:00,2020-10-04,,50,Bahrain,1716095,72310,,259,1.0,66813,,5238,55,42136,151.0,1468655,855812,3
2020-10-05,22:13:00,2020-10-05,,50,Bahrain,1716258,72662,,261,1.0,67475,,4926,63,42337,152.0,1478163,861271,3
2020-10-06,23:01:00,2020-10-06,,50,Bahrain,1716420,73116,,262,1.0,67933,,4921,60,42598,153.0,1488703,867330,3
2020-10-07,23:01:00,2020-10-07,,50,Bahrain,1716583,73476,,262,,68606,,4608,71,42804,153.0,1498843,873155,3
2020-10-08,23:59:00,2020-10-08,,50,Bahrain,1716745,73932,,264,2.0,69411,,4257,68,43065,154.0,1509071,879030,3
2020-10-09,23:00:00,2020-10-09,,50,Bahrain,1716908,74422,,266,2.0,69854,443.0,4302,64,43347,155.0,1519596,885077,3
2020-10-10,23:00:00,2020-10-10,,50,Bahrain,1717070,74860,,272,1.0,70406,,4182,61,43598,158.0,1530133,891130,3
2020-10-12,23:10:00,2020-10-12,,50,Bahrain,1717395,75614,,278,3.0,71249,,4087,57,44028,162.0,1548011,901372,3
2020-10-13,23:01:00,2020-10-13,,50,Bahrain,1717558,75948,,284,4.0,71687,,3977,57,44219,165.0,1557638,906891,3
2020-10-14,23:01:00,2020-10-14,,50,Bahrain,1717720,76272,,287,2.0,72164,,3821,51,44403,167.0,1568037,912859,3
2020-10-15,14:09:00,2020-10-15,11:06:00,50,Bahrain,1717883,76621,,287,,72561,,3773,52,44602,167.0,1577500,918281,3
2020-10-16,22:08:00,2020-10-16,19:06:00,50,Bahrain,1718045,76954,,289,,73013,,3652,47,44792,168.0,1588422,924552,3
2020-10-17,23:01:00,2020-10-17,19:58:00,50,Bahrain,1718208,77325,,293,1.0,73421,,3611,41,45003,171.0,1599549,930940,3
