scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,50,Bahrain,1705856,41190,,147,,38211,,2832,43,24146,86.0,835211,489614
2020-08-08,20:00:00,,50,Bahrain,1706831,43307,2117.0,159,12.0,40276,2065.0,2872,40,25373,93.0,886095,519146
2020-08-12,20:00:00,,50,Bahrain,1707481,44804,1497.0,165,6.0,41504,1228.0,3135,38,26240,97.0,923342,540763
2020-08-16,20:00:00,,50,Bahrain,1708132,46430,1626.0,170,5.0,42806,1302.0,3454,35,27182,100.0,962334,563384
2020-08-17,20:00:00,,50,Bahrain,1708294,46835,405.0,173,3.0,43128,322.0,3534,39,27416,101.0,972003,568990
2020-08-18,20:00:00,,50,Bahrain,1708457,47185,350.0,175,2.0,43529,401.0,3481,41,27618,102.0,981208,574324
2020-08-19,20:00:00,,50,Bahrain,1708619,47581,396.0,175,0.0,43921,392.0,3485,45,27848,102.0,991140,580083
2020-08-20,17:53:00,,50,Bahrain,1708782,47950,369.0,179,4.0,44278,357.0,3493,38,28061,105.0,1000787,585673
2020-08-23,21:09:00,,50,Bahrain,1709269,49038,1088.0,184,5.0,45589,1311.0,3265,33,28689,108.0,1029969,602579
2020-08-24,17:10:00,,50,Bahrain,1709432,49330,292.0,184,0.0,45981,392.0,3165,34,28858,108.0,1039571,608138
2020-08-25,23:00:00,,50,Bahrain,1709594,49719,389.0,186,2.0,46311,330.0,3222,33,29082,109.0,1048935,613558
2020-08-26,22:59:00,,50,Bahrain,1709757,50076,357.0,186,0.0,46673,362.0,3217,32,29288,109.0,1058509,619099
2020-08-27,23:00:00,,50,Bahrain,1709919,50393,317.0,187,1.0,47049,376.0,3157,30,29471,109.0,1067907,624537
2020-08-28,23:01:00,,50,Bahrain,1710082,50756,363.0,189,2.0,47370,321.0,3197,32,29680,111.0,1078767,630828
