scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,164,Belize,398213,56,8.0,2,,30,,24,,141.0,5.0,3483,8747.0
2020-08-08,20:00:00,,164,Belize,398331,146,32.0,2,,32,,112,2.0,367.0,5.0,4014,10077.0
2020-08-12,20:00:00,,164,Belize,398410,177,,2,,32,,143,2.0,444.0,5.0,4175,10479.0
2020-08-16,20:00:00,,164,Belize,398489,452,64.0,3,,35,,414,3.0,1134.0,8.0,5117,12841.0
2020-08-17,20:00:00,,164,Belize,398509,452,,3,,35,,414,3.0,1134.0,8.0,5117,12840.0
2020-08-18,20:00:00,,164,Belize,398529,475,23.0,4,1.0,38,3.0,433,3.0,1192.0,10.0,5281,13251.0
2020-08-19,20:00:00,,164,Belize,398549,553,78.0,4,,38,,511,3.0,1388.0,10.0,5592,14031.0
2020-08-20,17:53:00,,164,Belize,398568,553,,4,,38,,511,3.0,1387.0,10.0,5592,14030.0
2020-08-23,21:09:00,,164,Belize,398628,668,,6,,44,,618,3.0,1676.0,15.0,6293,15787.0
2020-08-24,17:10:00,,164,Belize,398647,686,,6,,44,,636,8.0,1721.0,15.0,6458,16200.0
2020-08-25,23:00:00,,164,Belize,398667,713,,10,,45,,658,8.0,1788.0,25.0,6639,16653.0
2020-08-26,22:59:00,,164,Belize,398687,730,,10,,48,,672,8.0,1831.0,25.0,6768,16976.0
2020-08-27,23:00:00,,164,Belize,398707,760,,11,,54,,695,8.0,1906.0,28.0,7034,17642.0
2020-08-28,23:01:00,,164,Belize,398726,818,,12,,54,,752,8.0,2052.0,30.0,7289,18281.0
2020-08-29,12:29:00,,164,Belize,398746,870,,12,,93,,765,8.0,2182.0,30.0,7622,19115.0
2020-08-30,23:00:00,,164,Belize,398766,964,,13,,115,,836,8.0,2417.0,33.0,7965,19974.0
2020-08-31,18:58:00,,164,Belize,398786,993,,13,,117,,863,8.0,2490.0,33.0,8050,20186.0
2020-09-01,23:00:00,,164,Belize,398805,1007,,13,,173,,821,8.0,2525.0,33.0,8143,20419.0
2020-09-02,23:01:00,,164,Belize,398825,1050,,13,,213,,824,3.0,2633.0,33.0,8460,21212.0
2020-09-03,23:01:00,,164,Belize,398845,1101,,13,,240,,848,3.0,2760.0,33.0,8721,21866.0
2020-09-04,07:01:00,,164,Belize,398865,1101,,13,,240,,848,3.0,2760.0,33.0,8721,21865.0
2020-09-05,23:31:00,,164,Belize,398884,1152,,15,,271,,866,3.0,2888.0,38.0,9073,22746.0
2020-09-06,18:30:00,,164,Belize,398904,1194,,15,,287,,892,3.0,2993.0,38.0,9421,23617.0
2020-09-07,23:39:00,,164,Belize,398924,1194,,15,,287,,892,3.0,2993.0,38.0,9421,23616.0
2020-09-08,22:10:00,,164,Belize,398944,1307,,16,,314,,977,3.0,3276.0,40.0,9863,24723.0
2020-09-10,22:01:00,,164,Belize,398983,1365,4.0,18,2.0,326,5.0,1021,3.0,3421.0,45.0,10193,25547.0
2020-09-11,22:00:00,,164,Belize,399003,1399,34.0,19,1.0,360,34.0,1020,3.0,3506.0,48.0,10510,26341.0
2020-09-12,22:22:00,,164,Belize,399023,1435,36.0,19,,404,44.0,1012,3.0,3596.0,48.0,10814,27101.0
2020-09-13,22:01:00,,164,Belize,399042,1458,23.0,19,,458,54.0,981,3.0,3654.0,48.0,11066,27731.0
2020-09-14,22:04:00,,164,Belize,399062,1480,22.0,19,,492,34.0,969,3.0,3709.0,48.0,11322,28372.0
2020-09-15,21:00:00,,164,Belize,399082,1501,21.0,19,,540,48.0,942,3.0,3761.0,48.0,11491,28794.0
2020-09-16,21:01:00,,164,Belize,399102,1528,27.0,19,,663,123.0,846,3.0,3829.0,48.0,11825,29629.0
2020-09-18,20:01:00,,164,Belize,399141,1567,31.0,19,,742,46.0,806,3.0,3926.0,48.0,12182,30521.0
2020-09-19,21:00:00,,164,Belize,399161,1590,23.0,20,1.0,812,70.0,758,3.0,3983.0,50.0,12429,31138.0
2020-09-20,22:31:00,,164,Belize,399181,1606,16.0,20,,876,64.0,710,3.0,4023.0,50.0,12685,31778.0
2020-09-21,21:01:00,,164,Belize,399200,1627,21.0,21,1.0,918,42.0,688,3.0,4076.0,53.0,12852,32194.0
2020-09-22,21:01:00,,164,Belize,399220,1635,8.0,21,,967,49.0,647,3.0,4095.0,53.0,13058,32709.0
2020-09-23,19:58:00,,164,Belize,399240,1635,,21,,967,,647,3.0,4095.0,53.0,13058,32707.0
