scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,134,Benin,12147623,1805,,36,,1036,,733,1.0,149,3.0,85863,7068,5
2020-08-08,20:00:00,2020-08-08,,134,Benin,12152847,1936,,38,,1600,,298,1.0,159,3.0,93677,7708,5
2020-08-12,20:00:00,2020-08-12,,134,Benin,12156329,2001,,38,,1681,,282,,165,3.0,101987,8390,5
2020-08-16,20:00:00,2020-08-16,,134,Benin,12159811,2063,,39,,1690,,334,,170,3.0,107057,8804,5
2020-08-17,20:00:00,2020-08-17,,134,Benin,12160681,2063,,39,,1690,,334,,170,3.0,107057,8804,5
2020-08-18,20:00:00,2020-08-18,,134,Benin,12161552,2063,,39,,1690,,334,,170,3.0,107057,8803,5
2020-08-19,20:00:00,2020-08-19,,134,Benin,12162422,2063,,39,,1690,,334,,170,3.0,107057,8802,5
2020-08-20,17:53:00,2020-08-20,,134,Benin,12163293,2095,,39,,1690,,366,,172,3.0,107057,8802,5
2020-08-23,21:09:00,2020-08-23,,134,Benin,12165905,2115,,39,,1705,,371,,174,3.0,107057,8800,5
2020-08-24,17:10:00,2020-08-24,,134,Benin,12166775,2115,,39,,1705,,371,,174,3.0,107057,8799,5
2020-08-25,23:00:00,2020-08-25,,134,Benin,12167646,2115,,39,,1705,,371,,174,3.0,107057,8798,5
2020-08-26,22:59:00,2020-08-26,,134,Benin,12168516,2115,,39,,1705,,371,,174,3.0,107057,8798,5
2020-08-27,23:00:00,2020-08-27,,134,Benin,12169387,2145,,40,,1738,,367,,176,3.0,118206,9713,5
2020-08-28,23:01:00,2020-08-28,,134,Benin,12170257,2145,,40,,1738,,367,,176,3.0,118206,9713,5
2020-08-29,12:29:00,2020-08-29,,134,Benin,12171128,2145,,40,,1738,,367,,176,3.0,118206,9712,5
2020-08-30,23:00:00,2020-08-30,,134,Benin,12171998,2145,,40,,1738,,367,,176,3.0,118206,9711,5
2020-08-31,18:58:00,2020-08-31,,134,Benin,12172869,2145,,40,,1738,,367,,176,3.0,118206,9711,5
2020-09-01,23:00:00,2020-09-01,,134,Benin,12173739,2145,,40,,1738,,367,,176,3.0,118206,9710,5
2020-09-02,23:01:00,2020-09-02,,134,Benin,12174610,2145,,40,,1738,,367,,176,3.0,118206,9709,5
2020-09-03,23:01:00,2020-09-03,,134,Benin,12175480,2194,,40,,1738,,416,,180,3.0,118206,9709,5
2020-09-04,07:01:00,2020-09-04,,134,Benin,12176351,2194,,40,,1738,,416,,180,3.0,118206,9708,5
2020-09-05,23:31:00,2020-09-05,,134,Benin,12177222,2194,,40,,1793,55.0,361,,180,3.0,131073,10764,5
2020-09-06,18:30:00,2020-09-06,,134,Benin,12178092,2213,,40,,1793,,380,,182,3.0,131073,10763,5
2020-09-07,23:39:00,2020-09-07,,134,Benin,12178963,2213,,40,,1793,,380,,182,3.0,131073,10762,5
2020-09-08,22:10:00,2020-09-08,,134,Benin,12179833,2213,,40,,1793,,380,,182,3.0,131073,10761,5
2020-09-10,22:01:00,2020-09-10,,134,Benin,12181574,2242,,40,,1793,,409,,184,3.0,131073,10760,5
2020-09-11,22:00:00,2020-09-11,,134,Benin,12182445,2242,,40,,1793,,409,,184,3.0,131073,10759,5
2020-09-12,22:22:00,2020-09-12,,134,Benin,12183315,2242,,40,,1793,,409,,184,3.0,131073,10758,5
2020-09-13,22:01:00,2020-09-13,,134,Benin,12184186,2267,25.0,40,,1942,149.0,285,,186,3.0,158881,13040,5
2020-09-14,22:04:00,2020-09-14,,134,Benin,12185056,2267,,40,,1942,,285,,186,3.0,158881,13039,5
2020-09-15,21:00:00,2020-09-15,,134,Benin,12185927,2267,,40,,1942,,285,,186,3.0,158881,13038,5
2020-09-16,21:01:00,2020-09-16,,134,Benin,12186797,2267,,40,,1942,,285,,186,3.0,158881,13037,5
2020-09-18,20:01:00,2020-09-18,,134,Benin,12188538,2280,,40,,1950,,290,,187,3.0,169063,13871,5
2020-09-19,21:00:00,2020-09-19,,134,Benin,12189409,2280,,40,,1950,,290,,187,3.0,169063,13870,5
2020-09-20,22:31:00,2020-09-20,,134,Benin,12190280,2280,,40,,1950,,290,,187,3.0,169063,13869,5
2020-09-21,21:01:00,2020-09-21,,134,Benin,12191150,2294,14.0,40,,1954,4.0,300,,188,3.0,180486,14805,5
2020-09-22,21:01:00,2020-09-22,,134,Benin,12192021,2294,,40,,1954,,300,,188,3.0,180486,14804,5
2020-09-23,19:58:00,2020-09-23,,134,Benin,12192891,2294,,40,,1954,,300,,188,3.0,180486,14803,5
2020-09-24,21:00:00,2020-09-24,,134,Benin,12193762,2325,,40,,1954,,331,,191,3.0,180486,14802,5
2020-09-25,21:00:00,2020-09-25,,134,Benin,12194632,2325,,40,,1954,,331,,191,3.0,180486,14800,5
2020-09-26,21:00:00,2020-09-26,,134,Benin,12195503,2325,,40,,1960,,325,,191,3.0,186045,15255,5
2020-09-27,22:45:00,2020-09-27,,134,Benin,12196373,2325,,40,,1960,,325,,191,3.0,186045,15254,5
2020-09-28,22:00:00,2020-09-28,,134,Benin,12197244,2340,,40,,1960,,340,,192,3.0,194235,15924,5
2020-09-29,21:35:00,2020-09-29,,134,Benin,12198114,2340,,40,,1960,,340,,192,3.0,194235,15923,5
2020-09-30,22:00:00,2020-09-30,,134,Benin,12198985,2357,17.0,41,1.0,1973,13.0,343,,193,3.0,203831,16709,5
2020-10-01,21:31:00,2020-10-01,,134,Benin,12199855,2357,,41,,1973,,343,,193,3.0,203831,16708,5
2020-10-02,22:36:00,2020-10-02,,134,Benin,12200726,2357,,41,,1973,,343,,193,3.0,203831,16706,5
2020-10-03,22:24:00,2020-10-03,,134,Benin,12201596,2357,,41,,1973,,343,,193,3.0,203831,16705,5
2020-10-04,21:01:00,2020-10-04,,134,Benin,12202467,2357,,41,,1973,,343,,193,3.0,203831,16704,5
2020-10-05,22:13:00,2020-10-05,,134,Benin,12203338,2357,,41,,1973,,343,,193,3.0,203831,16703,5
2020-10-06,23:01:00,2020-10-06,,134,Benin,12204208,2357,,41,,1973,,343,,193,3.0,203831,16702,5
2020-10-07,23:01:00,2020-10-07,,134,Benin,12205079,2357,,41,,1973,,343,,193,3.0,203831,16701,5
2020-10-08,23:59:00,2020-10-08,,134,Benin,12205949,2411,,41,,1973,,397,,198,3.0,203831,16699,5
2020-10-09,23:00:00,2020-10-09,,134,Benin,12206820,2411,,41,,1973,,397,,198,3.0,203831,16698,5
2020-10-10,23:00:00,2020-10-10,,134,Benin,12207690,2411,,41,,1973,,397,,197,3.0,203831,16697,5
2020-10-12,23:10:00,2020-10-12,,134,Benin,12209431,2411,,41,,1973,,397,,197,3.0,203831,16695,5
2020-10-13,23:01:00,2020-10-13,,134,Benin,12210302,2411,,41,,1973,,397,,197,3.0,203831,16693,5
2020-10-14,23:01:00,2020-10-14,,134,Benin,12211172,2478,67.0,41,,2330,357.0,107,,203,3.0,238105,19499,5
2020-10-15,14:09:00,2020-10-15,11:06:00,134,Benin,12212043,2478,,41,,2330,,107,,203,3.0,238105,19498,5
2020-10-16,22:08:00,2020-10-16,19:06:00,134,Benin,12212913,2496,,41,,2330,,125,,204,3.0,238105,19496,5
2020-10-17,23:01:00,2020-10-17,19:58:00,134,Benin,12213784,2496,,41,,2330,,125,,204,3.0,238105,19495,5
2020-10-18,14:32:00,2020-10-18,11:25:00,134,Benin,12214654,2496,,41,,2330,,125,,204,3.0,238105,19493,5
