scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,185,Bermuda,62257,156,,9,,141,,6,,2506,145.0,20962,336701,1
2020-08-08,20:00:00,2020-08-08,,185,Bermuda,62253,157,,9,,144,,4,,2522,145.0,26853,431353,1
2020-08-12,20:00:00,2020-08-12,,185,Bermuda,62251,159,,9,,145,1.0,5,,2554,145.0,27627,443800,1
2020-08-16,20:00:00,2020-08-16,,185,Bermuda,62248,162,,9,,147,,6,,2602,145.0,32415,520740,1
2020-08-17,20:00:00,2020-08-17,,185,Bermuda,62248,162,,9,,147,,6,,2602,145.0,32415,520740,1
2020-08-18,20:00:00,2020-08-18,,185,Bermuda,62247,166,4.0,9,,147,,10,,2667,145.0,33659,540733,1
2020-08-19,20:00:00,2020-08-19,,185,Bermuda,62246,166,,9,,147,,10,,2667,145.0,33659,540742,1
2020-08-20,17:53:00,2020-08-20,,185,Bermuda,62246,166,,9,,147,,10,,2667,145.0,35054,563153,1
2020-08-23,21:09:00,2020-08-23,,185,Bermuda,62244,167,,9,,149,,9,,2683,145.0,37879,608557,1
2020-08-24,17:10:00,2020-08-24,,185,Bermuda,62243,167,,9,,149,,9,,2683,145.0,37879,608566,1
2020-08-25,23:00:00,2020-08-25,,185,Bermuda,62243,168,,9,,150,,9,,2699,145.0,39372,632553,1
2020-08-26,22:59:00,2020-08-26,,185,Bermuda,62242,168,,9,,151,,8,,2699,145.0,40157,645175,1
2020-08-27,23:00:00,2020-08-27,,185,Bermuda,62241,168,,9,,151,,8,,2699,145.0,40926,657541,1
2020-08-28,23:01:00,2020-08-28,,185,Bermuda,62241,168,,9,,151,,8,,2699,145.0,41829,672049,1
2020-08-29,12:29:00,2020-08-29,,185,Bermuda,62240,168,,9,,151,,8,,2699,145.0,42710,686215,1
2020-08-30,23:00:00,2020-08-30,,185,Bermuda,62239,169,,9,,153,,7,,2715,145.0,43629,700991,1
2020-08-31,18:58:00,2020-08-31,,185,Bermuda,62239,169,,9,,153,,7,,2715,145.0,43629,700991,1
2020-09-01,23:00:00,2020-09-01,,185,Bermuda,62238,172,,9,,155,,8,,2764,145.0,45022,723384,1
2020-09-02,23:01:00,2020-09-02,,185,Bermuda,62238,172,,9,,157,,6,,2764,145.0,45756,735178,1
2020-09-03,23:01:00,2020-09-03,,185,Bermuda,62237,172,,9,,157,,6,,2764,145.0,46667,749827,1
2020-09-04,07:01:00,2020-09-04,,185,Bermuda,62236,174,,9,,157,,8,,2796,145.0,47557,764140,1
2020-09-05,23:31:00,2020-09-05,,185,Bermuda,62236,175,,9,,158,,8,,2812,145.0,48220,774793,1
2020-09-06,18:30:00,2020-09-06,,185,Bermuda,62235,175,,9,,158,,8,,2812,145.0,48220,774805,1
2020-09-07,23:39:00,2020-09-07,,185,Bermuda,62234,175,,9,,158,,8,,2812,145.0,48220,774818,1
2020-09-08,22:10:00,2020-09-08,,185,Bermuda,62234,175,,9,,158,,8,,2812,145.0,48220,774818,1
2020-09-10,22:01:00,2020-09-10,,185,Bermuda,62233,177,,9,,159,,9,,2844,145.0,51279,823984,1
2020-09-11,22:00:00,2020-09-11,,185,Bermuda,62232,177,,9,,160,,8,,2844,145.0,53057,852568,1
2020-09-12,22:22:00,2020-09-12,,185,Bermuda,62231,177,,9,,161,,7,,2844,145.0,53833,865051,1
2020-09-13,22:01:00,2020-09-13,,185,Bermuda,62231,177,,9,,161,,7,,2844,145.0,53833,865051,1
2020-09-14,22:04:00,2020-09-14,,185,Bermuda,62230,177,,9,,161,,7,,2844,145.0,53833,865065,1
2020-09-15,21:00:00,2020-09-15,,185,Bermuda,62229,177,,9,,161,,7,,2844,145.0,53833,865079,1
2020-09-16,21:01:00,2020-09-16,,185,Bermuda,62229,177,,9,,164,,4,,2844,145.0,55911,898472,1
2020-09-18,20:01:00,2020-09-18,,185,Bermuda,62228,178,,9,,164,,5,,2860,145.0,56728,911615,1
2020-09-19,21:00:00,2020-09-19,,185,Bermuda,62227,178,,9,,164,,5,,2860,145.0,56728,911630,1
2020-09-20,22:31:00,2020-09-20,,185,Bermuda,62226,180,,9,,166,,5,,2893,145.0,58742,944011,1
2020-09-21,21:01:00,2020-09-21,,185,Bermuda,62226,180,,9,,166,,5,,2893,145.0,58742,944011,1
2020-09-22,21:01:00,2020-09-22,,185,Bermuda,62225,180,,9,,166,,5,,2893,145.0,58742,944026,1
2020-09-23,19:58:00,2020-09-23,,185,Bermuda,62224,180,,9,,166,,5,,2893,145.0,58742,944041,1
2020-09-24,21:00:00,2020-09-24,,185,Bermuda,62224,181,,9,,167,,5,,2909,145.0,60717,975781,1
2020-09-25,21:00:00,2020-09-25,,185,Bermuda,62223,181,,9,,167,,5,,2909,145.0,61504,988445,1
2020-09-26,21:00:00,2020-09-26,,185,Bermuda,62223,181,,9,,167,,5,,2909,145.0,61848,993973,1
2020-09-27,22:45:00,2020-09-27,,185,Bermuda,62222,181,,9,,167,,5,,2909,145.0,62408,1002989,1
2020-09-28,22:00:00,2020-09-28,,185,Bermuda,62221,181,,9,,167,,5,,2909,145.0,62408,1003005,1
2020-09-29,21:35:00,2020-09-29,,185,Bermuda,62221,181,,9,,167,,5,,2909,145.0,63640,1022806,1
2020-09-30,22:00:00,2020-09-30,,185,Bermuda,62220,181,,9,,167,,5,,2909,145.0,63640,1022822,1
2020-10-01,21:31:00,2020-10-01,,185,Bermuda,62219,181,,9,,167,,5,,2909,145.0,64613,1038477,1
2020-10-02,22:36:00,2020-10-02,,185,Bermuda,62219,181,,9,,168,,4,,2909,145.0,65508,1052862,1
2020-10-03,22:24:00,2020-10-03,,185,Bermuda,62218,181,,9,,169,,3,,2909,145.0,65904,1059243,1
2020-10-04,21:01:00,2020-10-04,,185,Bermuda,62218,181,,9,,169,,3,,2909,145.0,66664,1071458,1
2020-10-05,22:13:00,2020-10-05,,185,Bermuda,62217,181,,9,,169,,3,,2909,145.0,66664,1071476,1
2020-10-06,23:01:00,2020-10-06,,185,Bermuda,62216,181,,9,,170,,2,,2909,145.0,67860,1090716,1
2020-10-07,23:01:00,2020-10-07,,185,Bermuda,62216,181,,9,,170,,2,,2909,145.0,67860,1090716,1
2020-10-08,23:59:00,2020-10-08,,185,Bermuda,62215,182,1.0,9,,170,,3,,2925,145.0,68956,1108350,1
2020-10-09,23:00:00,2020-10-09,,185,Bermuda,62214,184,2.0,9,,170,,5,,2958,145.0,69671,1119860,1
2020-10-10,23:00:00,2020-10-10,,185,Bermuda,62214,184,,9,,170,,5,,2958,145.0,69671,1119860,1
2020-10-12,23:10:00,2020-10-12,,185,Bermuda,62213,184,,9,,170,,5,,2958,145.0,71024,1141626,1
2020-10-13,23:01:00,2020-10-13,,185,Bermuda,62212,184,,9,,172,,3,,2958,145.0,72390,1163602,1
2020-10-14,23:01:00,2020-10-14,,185,Bermuda,62211,185,,9,,172,,4,,2974,145.0,72941,1172478,1
2020-10-15,14:09:00,2020-10-15,11:06:00,185,Bermuda,62211,185,,9,,172,,4,,2974,145.0,72941,1172478,1
2020-10-16,22:08:00,2020-10-16,19:06:00,185,Bermuda,62210,185,,9,,172,,4,,2974,145.0,72941,1172496,1
2020-10-17,23:01:00,2020-10-17,19:58:00,185,Bermuda,62209,185,,9,,172,,4,,2974,145.0,74353,1195213,1
