scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,185,Bermuda,62257,156,,9,,141,,6,,2506,145.0,20962,336701
2020-08-08,20:00:00,,185,Bermuda,62253,157,1.0,9,0.0,144,3.0,4,,2522,145.0,26853,431353
2020-08-12,20:00:00,,185,Bermuda,62251,159,2.0,9,0.0,145,1.0,5,,2554,145.0,27627,443800
2020-08-16,20:00:00,,185,Bermuda,62248,162,3.0,9,0.0,147,2.0,6,,2602,145.0,32415,520740
2020-08-17,20:00:00,,185,Bermuda,62248,162,0.0,9,0.0,147,0.0,6,,2602,145.0,32415,520740
2020-08-18,20:00:00,,185,Bermuda,62247,166,4.0,9,0.0,147,0.0,10,,2667,145.0,33659,540733
2020-08-19,20:00:00,,185,Bermuda,62246,166,0.0,9,0.0,147,0.0,10,,2667,145.0,33659,540742
2020-08-20,17:53:00,,185,Bermuda,62246,166,0.0,9,0.0,147,0.0,10,,2667,145.0,35054,563153
2020-08-23,21:09:00,,185,Bermuda,62244,167,1.0,9,0.0,149,2.0,9,,2683,145.0,37879,608557
2020-08-24,17:10:00,,185,Bermuda,62243,167,0.0,9,0.0,149,0.0,9,,2683,145.0,37879,608566
2020-08-25,23:00:00,,185,Bermuda,62243,168,1.0,9,0.0,150,1.0,9,,2699,145.0,39372,632553
2020-08-26,22:59:00,,185,Bermuda,62242,168,0.0,9,0.0,151,1.0,8,,2699,145.0,40157,645175
2020-08-27,23:00:00,,185,Bermuda,62241,168,0.0,9,0.0,151,0.0,8,,2699,145.0,40926,657541
2020-08-28,23:01:00,,185,Bermuda,62241,168,0.0,9,0.0,151,0.0,8,,2699,145.0,41829,672049
2020-08-29,12:29:00,,185,Bermuda,62240,168,0.0,9,0.0,151,0.0,8,,2699,145.0,42710,686215
2020-08-30,23:00:00,,185,Bermuda,62239,169,1.0,9,0.0,153,2.0,7,,2715,145.0,43629,700991
2020-08-31,18:58:00,,185,Bermuda,62239,169,0.0,9,0.0,153,0.0,7,,2715,145.0,43629,700991
2020-09-01,23:00:00,,185,Bermuda,62238,172,3.0,9,0.0,155,2.0,8,,2764,145.0,45022,723384
2020-09-02,23:01:00,,185,Bermuda,62238,172,0.0,9,0.0,157,2.0,6,,2764,145.0,45756,735178
2020-09-03,23:01:00,,185,Bermuda,62237,172,0.0,9,0.0,157,0.0,6,,2764,145.0,46667,749827
2020-09-04,07:01:00,,185,Bermuda,62236,174,2.0,9,0.0,157,0.0,8,,2796,145.0,47557,764140
2020-09-05,23:31:00,,185,Bermuda,62236,175,1.0,9,0.0,158,1.0,8,,2812,145.0,48220,774793
2020-09-06,18:30:00,,185,Bermuda,62235,175,0.0,9,0.0,158,0.0,8,,2812,145.0,48220,774805
2020-09-07,23:39:00,,185,Bermuda,62234,175,0.0,9,0.0,158,0.0,8,,2812,145.0,48220,774818
2020-09-08,22:10:00,,185,Bermuda,62234,175,0.0,9,0.0,158,0.0,8,,2812,145.0,48220,774818
2020-09-10,22:01:00,,185,Bermuda,62233,177,2.0,9,0.0,159,1.0,9,,2844,145.0,51279,823984
2020-09-11,22:00:00,,185,Bermuda,62232,177,0.0,9,0.0,160,1.0,8,,2844,145.0,53057,852568
2020-09-12,22:22:00,,185,Bermuda,62231,177,0.0,9,0.0,161,1.0,7,,2844,145.0,53833,865051
2020-09-13,22:01:00,,185,Bermuda,62231,177,0.0,9,0.0,161,0.0,7,,2844,145.0,53833,865051
2020-09-14,22:04:00,,185,Bermuda,62230,177,0.0,9,0.0,161,0.0,7,,2844,145.0,53833,865065
2020-09-15,21:00:00,,185,Bermuda,62229,177,0.0,9,0.0,161,0.0,7,,2844,145.0,53833,865079
2020-09-16,21:01:00,,185,Bermuda,62229,177,0.0,9,0.0,164,3.0,4,,2844,145.0,55911,898472
2020-09-18,20:01:00,,185,Bermuda,62228,178,1.0,9,0.0,164,0.0,5,,2860,145.0,56728,911615
2020-09-19,21:00:00,,185,Bermuda,62227,178,0.0,9,0.0,164,0.0,5,,2860,145.0,56728,911630
2020-09-20,22:31:00,,185,Bermuda,62226,180,2.0,9,0.0,166,2.0,5,,2893,145.0,58742,944011
2020-09-21,21:01:00,,185,Bermuda,62226,180,0.0,9,0.0,166,0.0,5,,2893,145.0,58742,944011
2020-09-22,21:01:00,,185,Bermuda,62225,180,0.0,9,0.0,166,0.0,5,,2893,145.0,58742,944026
2020-09-23,19:58:00,,185,Bermuda,62224,180,0.0,9,0.0,166,0.0,5,,2893,145.0,58742,944041
2020-09-24,21:00:00,,185,Bermuda,62224,181,1.0,9,0.0,167,1.0,5,,2909,145.0,60717,975781
2020-09-25,21:00:00,,185,Bermuda,62223,181,0.0,9,0.0,167,0.0,5,,2909,145.0,61504,988445
2020-09-26,21:00:00,,185,Bermuda,62223,181,0.0,9,0.0,167,0.0,5,,2909,145.0,61848,993973
2020-09-27,22:45:00,,185,Bermuda,62222,181,0.0,9,0.0,167,0.0,5,,2909,145.0,62408,1002989
2020-09-28,22:00:00,,185,Bermuda,62221,181,0.0,9,0.0,167,0.0,5,,2909,145.0,62408,1003005
2020-09-29,21:35:00,,185,Bermuda,62221,181,0.0,9,0.0,167,0.0,5,,2909,145.0,63640,1022806
2020-09-30,22:00:00,,185,Bermuda,62220,181,0.0,9,0.0,167,0.0,5,,2909,145.0,63640,1022822
2020-10-01,21:31:00,,185,Bermuda,62219,181,0.0,9,0.0,167,0.0,5,,2909,145.0,64613,1038477
2020-10-02,22:36:00,,185,Bermuda,62219,181,0.0,9,0.0,168,1.0,4,,2909,145.0,65508,1052862
2020-10-03,22:24:00,,185,Bermuda,62218,181,0.0,9,0.0,169,1.0,3,,2909,145.0,65904,1059243
2020-10-04,21:01:00,,185,Bermuda,62218,181,0.0,9,0.0,169,0.0,3,,2909,145.0,66664,1071458
2020-10-05,22:13:00,,185,Bermuda,62217,181,0.0,9,0.0,169,0.0,3,,2909,145.0,66664,1071476
2020-10-06,23:01:00,,185,Bermuda,62216,181,0.0,9,0.0,170,1.0,2,,2909,145.0,67860,1090716
2020-10-07,23:01:00,,185,Bermuda,62216,181,0.0,9,0.0,170,0.0,2,,2909,145.0,67860,1090716
2020-10-08,23:59:00,,185,Bermuda,62215,182,1.0,9,0.0,170,0.0,3,,2925,145.0,68956,1108350
2020-10-09,23:00:00,,185,Bermuda,62214,184,2.0,9,0.0,170,0.0,5,,2958,145.0,69671,1119860
2020-10-10,23:00:00,,185,Bermuda,62214,184,0.0,9,0.0,170,0.0,5,,2958,145.0,69671,1119860
2020-10-12,23:10:00,,185,Bermuda,62213,184,0.0,9,0.0,170,0.0,5,,2958,145.0,71024,1141626
2020-10-13,23:01:00,,185,Bermuda,62212,184,0.0,9,0.0,172,2.0,3,,2958,145.0,72390,1163602
2020-10-14,23:01:00,,185,Bermuda,62211,185,1.0,9,0.0,172,0.0,4,,2974,145.0,72941,1172478
2020-10-15,14:09:00,11:06:00,185,Bermuda,62211,185,0.0,9,0.0,172,0.0,4,,2974,145.0,72941,1172478
2020-10-16,22:08:00,19:06:00,185,Bermuda,62210,185,0.0,9,0.0,172,0.0,4,,2974,145.0,72941,1172496
2020-10-17,23:01:00,19:58:00,185,Bermuda,62209,185,0.0,9,0.0,172,0.0,4,,2974,145.0,74353,1195213
2020-10-18,22:05:00,19:03:00,185,Bermuda,62209,185,0.0,9,0.0,172,0.0,4,,2974,145.0,74353,1195213
2020-10-19,22:05:00,18:59:00,185,Bermuda,62208,185,0.0,9,0.0,172,0.0,4,,2974,145.0,74353,1195232
2020-10-20,22:05:00,19:04:00,185,Bermuda,62207,185,0.0,9,0.0,172,0.0,4,,2974,145.0,74353,1195251
2020-10-21,22:05:00,19:03:00,185,Bermuda,62207,188,3.0,9,0.0,174,2.0,5,,3022,145.0,77453,1245085
2020-10-22,22:05:00,19:04:00,185,Bermuda,62206,188,0.0,9,0.0,174,0.0,5,,3022,145.0,78102,1255538
2020-10-23,22:05:00,19:02:00,185,Bermuda,62206,188,0.0,9,0.0,175,1.0,4,,3022,145.0,78690,1264991
2020-10-24,23:41:00,20:40:00,185,Bermuda,62205,190,2.0,9,0.0,175,0.0,6,,3054,145.0,79686,1281022
2020-10-25,23:00:00,20:58:00,185,Bermuda,62204,190,0.0,9,0.0,175,0.0,6,,3054,145.0,79686,1281043
2020-10-26,23:00:00,20:56:00,185,Bermuda,62204,190,0.0,9,0.0,175,0.0,6,,3054,145.0,79686,1281043
2020-10-27,23:00:00,20:58:00,185,Bermuda,62203,193,3.0,9,0.0,175,0.0,9,,3103,145.0,83089,1335772
2020-10-28,23:00:00,20:58:00,185,Bermuda,62202,194,1.0,9,0.0,175,0.0,10,,3119,145.0,83853,1348076
2020-10-29,23:00:00,20:57:00,185,Bermuda,62202,198,4.0,9,0.0,176,1.0,13,,3183,145.0,84664,1361114
2020-10-30,23:00:00,20:58:00,185,Bermuda,62201,199,1.0,9,0.0,176,0.0,14,,3199,145.0,85656,1377084
2020-10-31,23:00:00,20:59:00,185,Bermuda,62201,199,0.0,9,0.0,176,0.0,14,,3199,145.0,85656,1377084
2020-11-01,23:00:00,20:59:00,185,Bermuda,62200,199,0.0,9,0.0,176,0.0,14,,3199,145.0,85656,1377106
2020-11-02,23:00:00,20:57:00,185,Bermuda,62199,199,0.0,9,0.0,176,0.0,14,,3199,145.0,85656,1377128
2020-11-03,23:00:00,20:59:00,185,Bermuda,62199,206,7.0,9,0.0,176,0.0,21,,3312,145.0,88217,1418303
2020-11-04,23:00:00,20:57:00,185,Bermuda,62198,206,0.0,9,0.0,179,3.0,18,,3312,145.0,88217,1418325
2020-11-05,23:00:00,20:59:00,185,Bermuda,62197,206,0.0,9,0.0,179,0.0,18,,3312,145.0,88217,1418348
2020-11-06,23:00:00,20:58:00,185,Bermuda,62197,207,1.0,9,0.0,179,0.0,19,,3328,145.0,89904,1445472
2020-11-07,23:00:00,20:57:00,185,Bermuda,62196,209,2.0,9,0.0,181,2.0,19,,3360,145.0,90738,1458904
2020-11-08,23:00:00,20:49:00,185,Bermuda,62196,209,0.0,9,0.0,181,0.0,19,,3360,145.0,90738,1458904
2020-11-09,23:00:00,20:59:00,185,Bermuda,62195,209,0.0,9,0.0,181,0.0,19,,3360,145.0,90738,1458928
2020-11-10,23:00:00,20:59:00,185,Bermuda,62194,214,5.0,9,0.0,182,1.0,23,,3441,145.0,92973,1494887
2020-11-11,23:00:00,20:56:00,185,Bermuda,62194,214,0.0,9,0.0,182,0.0,23,,3441,145.0,92973,1494887
2020-11-12,23:00:00,20:59:00,185,Bermuda,62193,220,6.0,9,0.0,188,6.0,23,,3537,145.0,95014,1527728
2020-11-13,23:00:00,20:58:00,185,Bermuda,62192,222,2.0,9,0.0,189,1.0,24,,3570,145.0,95919,1542304
2020-11-14,23:00:00,20:57:00,185,Bermuda,62192,222,0.0,9,0.0,189,0.0,24,,3570,145.0,95919,1542304
2020-11-15,23:00:00,20:53:00,185,Bermuda,62191,222,0.0,9,0.0,189,0.0,24,,3570,145.0,95919,1542329
2020-11-16,23:00:00,20:59:00,185,Bermuda,62191,222,0.0,9,0.0,189,0.0,24,,3570,145.0,95919,1542329
2020-11-17,23:00:00,20:58:00,185,Bermuda,62190,223,1.0,9,0.0,189,0.0,25,,3586,145.0,96975,1559334
2020-11-18,23:00:00,20:57:00,185,Bermuda,62189,223,0.0,9,0.0,189,0.0,25,,3586,145.0,96975,1559359
2020-11-19,23:00:00,20:59:00,185,Bermuda,62189,226,3.0,9,0.0,200,11.0,17,,3634,145.0,99455,1599238
2020-11-20,23:00:00,20:59:00,185,Bermuda,62188,227,1.0,9,0.0,200,0.0,18,,3650,145.0,100048,1608799
2020-11-21,23:00:00,20:58:00,185,Bermuda,62187,227,0.0,9,0.0,200,0.0,18,,3650,145.0,100048,1608825
2020-11-22,23:00:00,20:59:00,185,Bermuda,62187,227,0.0,9,0.0,200,0.0,18,,3650,145.0,100048,1608825
2020-11-23,23:00:00,20:58:00,185,Bermuda,62186,227,0.0,9,0.0,200,0.0,18,,3650,145.0,100048,1608851
2020-11-24,23:00:00,20:57:00,185,Bermuda,62186,227,0.0,9,0.0,200,0.0,18,,3650,145.0,100048,1608851
2020-11-25,23:00:00,20:58:00,185,Bermuda,62185,239,12.0,9,0.0,205,5.0,25,,3843,145.0,102900,1654740
2020-11-26,23:00:00,20:47:00,185,Bermuda,62184,241,2.0,9,0.0,206,1.0,26,,3876,145.0,103460,1663772
2020-11-27,23:00:00,20:59:00,185,Bermuda,62184,242,1.0,9,0.0,207,1.0,26,,3892,145.0,104313,1677489
2020-11-28,23:00:00,20:46:00,185,Bermuda,62183,247,5.0,9,0.0,211,4.0,27,,3972,145.0,105347,1694145
2020-11-29,23:00:00,20:51:00,185,Bermuda,62182,251,4.0,9,0.0,213,2.0,29,1.0,4037,145.0,105987,1704464
2020-11-30,23:00:00,20:57:00,185,Bermuda,62182,260,9.0,9,0.0,214,1.0,37,1.0,4181,145.0,107890,1735068
2020-12-01,23:00:00,20:55:00,185,Bermuda,62181,260,0.0,9,0.0,214,0.0,37,1.0,4181,145.0,107890,1735096
2020-12-02,23:00:00,20:58:00,185,Bermuda,62181,262,2.0,9,0.0,214,0.0,39,1.0,4214,145.0,108950,1752143
2020-12-03,23:00:00,20:59:00,185,Bermuda,62180,272,10.0,9,0.0,216,2.0,47,1.0,4374,145.0,110130,1771148
2020-12-04,23:00:00,20:57:00,185,Bermuda,62179,278,6.0,9,0.0,216,0.0,53,1.0,4471,145.0,110808,1782081
2020-12-05,23:00:00,20:58:00,185,Bermuda,62179,288,10.0,9,0.0,216,0.0,63,1.0,4632,145.0,111870,1799160
2020-12-06,23:00:00,20:51:00,185,Bermuda,62178,288,0.0,9,0.0,216,0.0,63,1.0,4632,145.0,111870,1799189
2020-12-07,23:00:00,20:57:00,185,Bermuda,62177,306,18.0,9,0.0,222,6.0,75,1.0,4921,145.0,113328,1822668
2020-12-08,23:00:00,20:59:00,185,Bermuda,62177,306,0.0,9,0.0,222,0.0,75,1.0,4921,145.0,113328,1822668
