scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,73,Bosnia and Herzegovina,3278927,12296,,352,,6312,,5632,,3750,107.0,139343,42497
2020-08-08,20:00:00,,73,Bosnia and Herzegovina,3278594,13687,1391.0,394,42.0,7373,1061.0,5920,,4175,120.0,148090,45169
2020-08-12,20:00:00,,73,Bosnia and Herzegovina,3278372,14708,1021.0,447,53.0,8411,1038.0,5850,,4486,136.0,154476,47120
2020-08-16,20:00:00,,73,Bosnia and Herzegovina,3278151,15801,1093.0,471,24.0,9619,1208.0,5711,,4820,144.0,161008,49115
2020-08-17,20:00:00,,73,Bosnia and Herzegovina,3278095,16111,310.0,486,15.0,9856,237.0,5769,,4915,148.0,163147,49769
2020-08-18,20:00:00,,73,Bosnia and Herzegovina,3278040,16351,240.0,495,9.0,10279,423.0,5577,,4988,151.0,164881,50299
2020-08-19,20:00:00,,73,Bosnia and Herzegovina,3277984,16351,0.0,495,0.0,10279,0.0,5577,,4988,151.0,164881,50300
2020-08-20,17:53:00,,73,Bosnia and Herzegovina,3277929,17029,678.0,515,20.0,10881,602.0,5633,,5195,157.0,168861,51515
2020-08-23,21:09:00,,73,Bosnia and Herzegovina,3277762,17715,686.0,532,17.0,11329,448.0,5854,,5405,162.0,172841,52731
2020-08-24,17:10:00,,73,Bosnia and Herzegovina,3277707,18029,314.0,547,15.0,11861,532.0,5621,,5500,167.0,174907,53363
2020-08-25,23:00:00,,73,Bosnia and Herzegovina,3277651,18326,297.0,560,13.0,12081,220.0,5685,,5591,171.0,174907,53364
2020-08-26,22:59:00,,73,Bosnia and Herzegovina,3277596,18609,283.0,571,11.0,12336,255.0,5702,,5678,174.0,178652,54507
2020-08-27,23:00:00,,73,Bosnia and Herzegovina,3277541,18920,311.0,582,11.0,12480,144.0,5858,,5773,178.0,180590,55099
2020-08-28,23:01:00,,73,Bosnia and Herzegovina,3277485,19214,294.0,591,9.0,12733,253.0,5890,,5862,180.0,182490,55680
2020-08-29,12:29:00,,73,Bosnia and Herzegovina,3277430,19214,0.0,591,0.0,12733,0.0,5890,,5863,180.0,182490,55681
2020-08-30,23:00:00,,73,Bosnia and Herzegovina,3277374,19793,579.0,598,7.0,12961,228.0,6234,,6039,182.0,185125,56486
2020-08-31,18:58:00,,73,Bosnia and Herzegovina,3277319,19964,171.0,609,11.0,13095,134.0,6260,,6092,186.0,186532,56916
2020-09-01,23:00:00,,73,Bosnia and Herzegovina,3277263,20234,270.0,620,11.0,13435,340.0,6179,,6174,189.0,188733,57589
2020-09-02,23:01:00,,73,Bosnia and Herzegovina,3277208,20517,283.0,627,7.0,13626,191.0,6264,,6261,191.0,190771,58211
2020-09-03,23:01:00,,73,Bosnia and Herzegovina,3277152,20804,287.0,636,9.0,14120,494.0,6048,,6348,194.0,192556,58757
2020-09-04,07:01:00,,73,Bosnia and Herzegovina,3277097,20804,0.0,636,0.0,14120,0.0,6048,,6348,194.0,192556,58758
2020-09-05,23:31:00,,73,Bosnia and Herzegovina,3277041,21439,635.0,651,15.0,14636,516.0,6152,,6542,199.0,196358,59919
2020-09-06,18:30:00,,73,Bosnia and Herzegovina,3276986,21560,121.0,655,4.0,14709,73.0,6196,,6579,200.0,197370,60229
2020-09-07,23:39:00,,73,Bosnia and Herzegovina,3276931,21660,100.0,664,9.0,14830,121.0,6166,,6610,203.0,198511,60578
2020-09-08,22:10:00,,73,Bosnia and Herzegovina,3276875,21961,301.0,669,5.0,15172,342.0,6120,,6702,204.0,198511,60579
2020-09-09,22:01:00,,73,Bosnia and Herzegovina,3276820,22258,297.0,675,6.0,15208,36.0,6375,,6793,206.0,201240,61413
2020-09-10,22:01:00,,73,Bosnia and Herzegovina,3276764,22544,286.0,680,5.0,15273,65.0,6591,,6880,208.0,201661,61543
2020-09-11,22:00:00,,73,Bosnia and Herzegovina,3276709,22834,290.0,686,6.0,15672,399.0,6476,,6969,209.0,202243,61721
2020-09-12,22:22:00,,73,Bosnia and Herzegovina,3276653,23138,304.0,690,4.0,15922,250.0,6526,,7061,211.0,202243,61722
2020-09-13,22:01:00,,73,Bosnia and Herzegovina,3276598,23465,327.0,696,6.0,16038,116.0,6731,,7161,212.0,202243,61723
2020-09-14,22:04:00,,73,Bosnia and Herzegovina,3276542,23635,170.0,705,9.0,16166,128.0,6764,,7213,215.0,202243,61725
2020-09-15,21:00:00,,73,Bosnia and Herzegovina,3276487,23929,294.0,725,20.0,16701,535.0,6503,,7303,221.0,213546,65175
2020-09-16,21:01:00,,73,Bosnia and Herzegovina,3276431,24211,282.0,736,11.0,16990,289.0,6485,,7389,225.0,215696,65833
2020-09-18,20:01:00,,73,Bosnia and Herzegovina,3276320,24897,686.0,752,16.0,17365,375.0,6780,,7599,230.0,220278,67233
2020-09-19,21:00:00,,73,Bosnia and Herzegovina,3276265,25217,320.0,758,6.0,17489,124.0,6970,,7697,231.0,220278,67234
2020-09-20,22:31:00,,73,Bosnia and Herzegovina,3276210,25428,211.0,763,5.0,17878,389.0,6787,,7761,233.0,220278,67236
2020-09-21,21:01:00,,73,Bosnia and Herzegovina,3276154,25521,93.0,770,7.0,18109,231.0,6642,,7790,235.0,224569,68547
2020-09-22,21:01:00,,73,Bosnia and Herzegovina,3276099,25737,216.0,778,8.0,18359,250.0,6600,,7856,237.0,226684,69193
2020-09-23,19:58:00,,73,Bosnia and Herzegovina,3276043,26081,344.0,790,12.0,18634,275.0,6657,,7961,241.0,228942,69884
2020-09-24,21:00:00,,73,Bosnia and Herzegovina,3275988,26316,235.0,802,12.0,19142,508.0,6372,,8033,245.0,231002,70514
2020-09-25,21:00:00,,73,Bosnia and Herzegovina,3275932,26564,248.0,808,6.0,19507,365.0,6249,,8109,247.0,232973,71117
2020-09-26,21:00:00,,73,Bosnia and Herzegovina,3275877,26797,233.0,820,12.0,19746,239.0,6231,,8180,250.0,232973,71118
2020-09-27,22:45:00,,73,Bosnia and Herzegovina,3275821,26920,123.0,822,2.0,19746,0.0,6352,,8218,251.0,232973,71119
2020-09-28,22:00:00,,73,Bosnia and Herzegovina,3275766,27001,81.0,829,7.0,20005,259.0,6167,,8243,253.0,232973,71120
2020-09-29,21:35:00,,73,Bosnia and Herzegovina,3275710,27226,225.0,843,14.0,20322,317.0,6061,,8311,257.0,239149,73007
2020-09-30,22:00:00,,73,Bosnia and Herzegovina,3275655,27469,243.0,856,13.0,20616,294.0,5997,,8386,261.0,241230,73643
2020-10-01,21:31:00,,73,Bosnia and Herzegovina,3275599,27749,280.0,861,5.0,20947,331.0,5941,,8471,263.0,243411,74310
2020-10-02,22:36:00,,73,Bosnia and Herzegovina,3275544,27975,226.0,871,10.0,21108,161.0,5996,,8541,266.0,245211,74861
2020-10-03,22:24:00,,73,Bosnia and Herzegovina,3275489,27975,0.0,871,0.0,21108,0.0,5996,,8541,266.0,245211,74862
2020-10-04,21:01:00,,73,Bosnia and Herzegovina,3275433,28354,379.0,879,8.0,21859,751.0,5616,,8657,268.0,247897,75684
2020-10-05,22:13:00,,73,Bosnia and Herzegovina,3275378,28449,95.0,888,9.0,22032,173.0,5529,,8686,271.0,248975,76014
2020-10-06,23:01:00,,73,Bosnia and Herzegovina,3275322,28710,261.0,903,15.0,22274,242.0,5533,,8766,276.0,251160,76683
2020-10-07,23:01:00,,73,Bosnia and Herzegovina,3275267,29075,365.0,908,5.0,22614,340.0,5553,,8877,277.0,253264,77326
2020-10-08,23:59:00,,73,Bosnia and Herzegovina,3275211,29528,453.0,913,5.0,22939,325.0,5676,,9016,279.0,255545,78024
2020-10-09,23:00:00,,73,Bosnia and Herzegovina,3275156,29917,389.0,926,13.0,23241,302.0,5750,,9135,283.0,257737,78695
2020-10-10,23:00:00,,73,Bosnia and Herzegovina,3275100,30345,428.0,927,1.0,23370,129.0,6048,,9265,283.0,257737,78696
2020-10-12,23:10:00,,73,Bosnia and Herzegovina,3274989,30837,492.0,936,9.0,23587,217.0,6314,,9416,286.0,262637,80195
2020-10-13,23:01:00,,73,Bosnia and Herzegovina,3274934,31173,336.0,947,11.0,23777,190.0,6449,,9519,289.0,264777,80850
2020-10-14,23:01:00,,73,Bosnia and Herzegovina,3274879,31655,482.0,958,11.0,24074,297.0,6623,,9666,293.0,267288,81618
2020-10-15,14:09:00,11:06:00,73,Bosnia and Herzegovina,3274823,31655,0.0,958,0.0,24074,0.0,6623,,9666,293.0,267288,81619
2020-10-16,22:08:00,19:06:00,73,Bosnia and Herzegovina,3274768,32845,1190.0,980,22.0,24603,529.0,7262,,10030,299.0,272139,83102
2020-10-17,23:01:00,19:58:00,73,Bosnia and Herzegovina,3274712,33561,716.0,981,1.0,24773,170.0,7807,,10249,300.0,274453,83810
2020-10-18,22:05:00,19:03:00,73,Bosnia and Herzegovina,3274657,34112,551.0,984,3.0,24995,222.0,8133,,10417,300.0,274453,83811
2020-10-19,22:05:00,18:59:00,73,Bosnia and Herzegovina,3274601,34661,549.0,997,13.0,25442,447.0,8222,,10585,304.0,277668,84794
2020-10-20,22:05:00,19:04:00,73,Bosnia and Herzegovina,3274546,35389,728.0,1017,20.0,25560,118.0,8812,,10807,311.0,283335,86526
2020-10-21,22:05:00,19:03:00,73,Bosnia and Herzegovina,3274490,36315,926.0,1031,14.0,25779,219.0,9505,,11090,315.0,283335,86528
2020-10-22,22:05:00,19:04:00,73,Bosnia and Herzegovina,3274435,37314,999.0,1051,20.0,25989,210.0,10274,,11396,321.0,286335,87446
2020-10-23,22:05:00,19:02:00,73,Bosnia and Herzegovina,3274379,38493,1179.0,1065,14.0,26260,271.0,11168,,11756,325.0,289301,88353
2020-10-24,23:41:00,20:40:00,73,Bosnia and Herzegovina,3274324,39758,1265.0,1075,10.0,26368,108.0,12315,,12142,328.0,291987,89175
2020-10-25,23:00:00,20:58:00,73,Bosnia and Herzegovina,3274268,40893,1135.0,1086,11.0,26459,91.0,13348,,12489,332.0,291987,89176
2020-10-26,23:00:00,20:56:00,73,Bosnia and Herzegovina,3274213,41596,703.0,1104,18.0,26542,83.0,13950,,12704,337.0,296339,90507
2020-10-27,23:00:00,20:58:00,73,Bosnia and Herzegovina,3274158,43151,1555.0,1125,21.0,26903,361.0,15123,,13179,344.0,299419,91449
2020-10-28,23:00:00,20:58:00,73,Bosnia and Herzegovina,3274102,44737,1586.0,1161,36.0,27087,184.0,16489,,13664,355.0,303136,92586
2020-10-29,23:00:00,20:57:00,73,Bosnia and Herzegovina,3274047,46639,1902.0,1182,21.0,27580,493.0,17877,,14245,361.0,307464,93909
2020-10-30,23:00:00,20:58:00,73,Bosnia and Herzegovina,3273991,48137,1498.0,1212,30.0,27870,290.0,19055,,14703,370.0,311309,95085
2020-10-31,23:00:00,20:59:00,73,Bosnia and Herzegovina,3273936,50090,1953.0,1234,22.0,28083,213.0,20773,,15300,377.0,315265,96295
