scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,1969-12-31 23:59:59.999999999,148,Botswana,2355426,804,,2,,63,,739,1,341,0.8,68423,29049
2020-08-08,20:00:00,1969-12-31 23:59:59.999999999,148,Botswana,2356205,804,,2,,63,,739,1,341,0.8,68423,29039
2020-08-12,20:00:00,1969-12-31 23:59:59.999999999,148,Botswana,2356725,1066,,2,,80,,984,1,452,0.8,80163,34015
2020-08-16,20:00:00,1969-12-31 23:59:59.999999999,148,Botswana,2357245,1214,,3,,120,,1091,1,515,1.0,87280,37026
2020-08-17,20:00:00,1969-12-31 23:59:59.999999999,148,Botswana,2357375,1308,94.0,3,,136,16.0,1169,1,555,1.0,87280,37024
2020-08-18,20:00:00,1969-12-31 23:59:59.999999999,148,Botswana,2357505,1308,,3,,136,,1169,1,555,1.0,87280,37022
2020-08-19,20:00:00,1969-12-31 23:59:59.999999999,148,Botswana,2357635,1308,,3,,136,,1169,1,555,1.0,93420,39624
2020-08-20,17:53:00,1969-12-31 23:59:59.999999999,148,Botswana,2357765,1308,,3,,136,,1169,1,555,1.0,93420,39622
2020-08-23,21:09:00,1969-12-31 23:59:59.999999999,148,Botswana,2358155,1308,,3,,136,,1169,1,555,1.0,93420,39616
2020-08-24,17:10:00,1969-12-31 23:59:59.999999999,148,Botswana,2358285,1308,,3,,136,,1169,1,555,1.0,93420,39614
2020-08-25,23:00:00,1969-12-31 23:59:59.999999999,148,Botswana,2358415,1562,,3,,199,,1360,1,662,1.0,106284,45066
2020-08-26,22:59:00,1969-12-31 23:59:59.999999999,148,Botswana,2358545,1562,,3,,199,,1360,1,662,1.0,106284,45063
2020-08-27,23:00:00,1969-12-31 23:59:59.999999999,148,Botswana,2358675,1633,,6,,224,,1403,1,692,3.0,109547,46444
2020-08-28,23:01:00,1969-12-31 23:59:59.999999999,148,Botswana,2358805,1633,,6,,224,,1403,1,692,3.0,109547,46442
2020-08-29,12:29:00,1969-12-31 23:59:59.999999999,148,Botswana,2358935,1633,,6,,224,,1403,1,692,3.0,109547,46439
2020-08-30,23:00:00,1969-12-31 23:59:59.999999999,148,Botswana,2359065,1633,,6,,224,,1403,1,692,3.0,109547,46437
2020-08-31,18:58:00,1969-12-31 23:59:59.999999999,148,Botswana,2359195,1633,,6,,224,,1403,1,692,3.0,109547,46434
2020-09-01,23:00:00,1969-12-31 23:59:59.999999999,148,Botswana,2359325,1724,,6,,493,,1225,1,731,3.0,116728,49475
2020-09-02,23:01:00,1969-12-31 23:59:59.999999999,148,Botswana,2359455,1724,,6,,493,,1225,1,731,3.0,116728,49472
2020-09-03,23:01:00,1969-12-31 23:59:59.999999999,148,Botswana,2359585,1724,,6,,493,,1225,1,731,3.0,116728,49470
2020-09-04,07:01:00,1969-12-31 23:59:59.999999999,148,Botswana,2359715,1724,,6,,493,,1225,1,731,3.0,116728,49467
2020-09-05,23:31:00,1969-12-31 23:59:59.999999999,148,Botswana,2359845,2002,,8,,493,,1501,1,848,3.0,128016,54248
2020-09-06,18:30:00,1969-12-31 23:59:59.999999999,148,Botswana,2359975,2002,,8,,493,,1501,1,848,3.0,128016,54245
2020-09-07,23:39:00,1969-12-31 23:59:59.999999999,148,Botswana,2360105,2126,124.0,9,1.0,493,,1624,1,901,4.0,133971,56765
2020-09-08,22:10:00,1969-12-31 23:59:59.999999999,148,Botswana,2360235,2126,,9,,493,,1624,1,901,4.0,133971,56762
2020-09-10,22:01:00,1969-12-31 23:59:59.999999999,148,Botswana,2360494,2126,,9,,493,,1624,1,901,4.0,133971,56755
2020-09-11,22:00:00,1969-12-31 23:59:59.999999999,148,Botswana,2360624,2252,,10,,546,,1696,1,954,4.0,138290,58582
2020-09-12,22:22:00,1969-12-31 23:59:59.999999999,148,Botswana,2360754,2252,,10,,546,,1696,1,954,4.0,138290,58579
2020-09-13,22:01:00,1969-12-31 23:59:59.999999999,148,Botswana,2360884,2252,,10,,546,,1696,1,954,4.0,138290,58576
2020-09-14,22:04:00,1969-12-31 23:59:59.999999999,148,Botswana,2361014,2252,,10,,546,,1696,1,954,4.0,138290,58572
2020-09-15,21:00:00,1969-12-31 23:59:59.999999999,148,Botswana,2361144,2463,,11,,575,,1877,1,1043,5.0,150407,63701
2020-09-16,21:01:00,1969-12-31 23:59:59.999999999,148,Botswana,2361274,2463,,11,,575,,1877,1,1043,5.0,150407,63697
