scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,2,Brazil,212690082,2708876,,93616,,1884051,,731209,8318,12736,440.0,13096132,61574
2020-08-08,20:00:00,,2,Brazil,212714814,2988796,279920.0,100240,6624.0,2068394,184343.0,820162,8318,14051,471.0,13206188,62084
2020-08-12,20:00:00,,2,Brazil,212731302,3112393,123597.0,103099,2859.0,2243124,174730.0,766170,8318,14631,485.0,13231548,62198
2020-08-16,20:00:00,,2,Brazil,212747790,3317832,205439.0,107297,4198.0,2404272,161148.0,806263,8318,15595,504.0,13464336,63288
2020-08-17,20:00:00,,2,Brazil,212751912,3343925,26093.0,108054,757.0,2432456,28184.0,803415,8318,15717,508.0,13464336,63287
2020-08-18,20:00:00,,2,Brazil,212756034,3363235,19310.0,108654,600.0,2478494,46038.0,776087,8318,15808,511.0,13729872,64533
2020-08-19,20:00:00,,2,Brazil,212760156,3411872,48637.0,110019,1365.0,2554179,75685.0,747674,8318,16036,517.0,13729872,64532
2020-08-20,17:53:00,,2,Brazil,212764278,3460413,48541.0,111189,1170.0,2615254,61075.0,733970,8318,16264,523.0,13729872,64531
2020-08-23,21:09:00,,2,Brazil,212776644,3589469,129056.0,114469,3280.0,2709638,94384.0,765362,8318,16870,538.0,14144344,66475
2020-08-24,17:10:00,,2,Brazil,212780766,3605783,16314.0,114772,303.0,2709638,0.0,781373,8318,16946,539.0,14144344,66474
2020-08-25,23:00:00,,2,Brazil,212784888,3636167,30384.0,115646,874.0,2778709,69071.0,741812,8318,17088,543.0,14144344,66473
2020-08-26,22:59:00,,2,Brazil,212789010,3683224,47057.0,116964,1318.0,2848395,69686.0,717865,8318,17309,550.0,14172764,66605
2020-08-27,23:00:00,,2,Brazil,212793132,3731022,47798.0,117996,1032.0,2908848,60453.0,704178,8318,17534,555.0,14172764,66603
2020-08-28,23:01:00,,2,Brazil,212797254,3772945,41923.0,118988,992.0,2947250,38402.0,706707,8318,17730,559.0,14172764,66602
2020-08-29,12:29:00,,2,Brazil,212801376,3812605,39660.0,119594,606.0,2976796,29546.0,716215,8318,17916,562.0,14172764,66601
2020-08-30,23:00:00,,2,Brazil,212805498,3847739,35134.0,120546,952.0,3006812,30016.0,720381,8318,18081,566.0,14352484,67444
2020-08-31,18:58:00,,2,Brazil,212809620,3862311,14572.0,120896,350.0,3031559,24747.0,709856,8318,18149,568.0,14352484,67443
2020-09-01,23:00:00,,2,Brazil,212813742,3919452,57141.0,121727,831.0,3097734,66175.0,699991,8318,18417,572.0,14352484,67442
2020-09-02,23:01:00,,2,Brazil,212817864,3961502,42050.0,122941,1214.0,3159096,61362.0,679465,8318,18615,578.0,14352484,67440
2020-09-03,23:01:00,,2,Brazil,212821986,4007502,46000.0,124057,1116.0,3210405,51309.0,673040,8318,18830,583.0,14352484,67439
2020-09-04,07:01:00,,2,Brazil,212826108,4046150,38648.0,124729,672.0,3247610,37205.0,673811,8318,19012,586.0,14408116,67699
2020-09-05,23:31:00,,2,Brazil,212830230,4093586,47436.0,125659,930.0,3278243,30633.0,689684,8318,19234,590.0,14408116,67698
2020-09-06,18:30:00,,2,Brazil,212834352,4123000,29414.0,126230,571.0,3296702,18459.0,700068,8318,19372,593.0,14408116,67696
