scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,202,British Virgin Islands,30248,8,,1,,7,,0,,264,33.0,1253,41424,1
2020-08-08,20:00:00,2020-08-08,,202,British Virgin Islands,30252,9,,1,,7,,1,,298,33.0,1522,50311,1
2020-08-12,20:00:00,2020-08-12,,202,British Virgin Islands,30254,9,,1,,7,,1,,297,33.0,1522,50307,1
2020-08-16,20:00:00,2020-08-16,,202,British Virgin Islands,30256,9,,1,,7,,1,,297,33.0,1522,50304,1
2020-08-17,20:00:00,2020-08-17,,202,British Virgin Islands,30257,9,,1,,7,,1,,297,33.0,1522,50302,1
2020-08-18,20:00:00,2020-08-18,,202,British Virgin Islands,30257,11,2.0,1,,8,1.0,2,,364,33.0,1890,62465,1
2020-08-19,20:00:00,2020-08-19,,202,British Virgin Islands,30258,11,,1,,8,,2,,364,33.0,1890,62463,1
2020-08-20,17:53:00,2020-08-20,,202,British Virgin Islands,30258,11,,1,,8,,2,,364,33.0,1890,62463,1
2020-08-23,21:09:00,2020-08-23,,202,British Virgin Islands,30260,21,,1,,8,,12,,694,33.0,2092,69134,1
2020-08-24,17:10:00,2020-08-24,,202,British Virgin Islands,30261,21,,1,,8,,12,,694,33.0,2092,69132,1
2020-08-25,23:00:00,2020-08-25,,202,British Virgin Islands,30261,26,5.0,1,,8,,17,,859,33.0,2092,69132,1
2020-08-26,22:59:00,2020-08-26,,202,British Virgin Islands,30262,26,,1,,8,,17,,859,33.0,2092,69130,1
2020-08-27,23:00:00,2020-08-27,,202,British Virgin Islands,30262,26,,1,,8,,17,,859,33.0,2092,69130,1
2020-08-28,23:01:00,2020-08-28,,202,British Virgin Islands,30263,26,,1,,8,,17,,859,33.0,2092,69127,1
2020-08-29,12:29:00,2020-08-29,,202,British Virgin Islands,30263,35,,1,,8,,26,,1157,33.0,2853,94274,1
2020-08-30,23:00:00,2020-08-30,,202,British Virgin Islands,30264,35,,1,,8,,26,,1156,33.0,2853,94270,1
2020-08-31,18:58:00,2020-08-31,,202,British Virgin Islands,30264,47,,1,,8,,38,,1553,33.0,2853,94270,1
2020-09-01,23:00:00,2020-09-01,,202,British Virgin Islands,30265,47,,1,,8,,38,,1553,33.0,2853,94267,1
2020-09-02,23:01:00,2020-09-02,,202,British Virgin Islands,30265,47,,1,,8,,38,,1553,33.0,2853,94267,1
2020-09-03,23:01:00,2020-09-03,,202,British Virgin Islands,30266,47,,1,,8,,38,,1553,33.0,2853,94264,1
2020-09-04,07:01:00,2020-09-04,,202,British Virgin Islands,30267,47,,1,,8,,38,,1553,33.0,2853,94261,1
2020-09-05,23:31:00,2020-09-05,,202,British Virgin Islands,30267,63,,1,,10,,52,2.0,2081,33.0,3713,122675,1
2020-09-06,18:30:00,2020-09-06,,202,British Virgin Islands,30268,63,,1,,10,,52,2.0,2081,33.0,3713,122671,1
2020-09-07,23:39:00,2020-09-07,,202,British Virgin Islands,30268,63,,1,,10,,52,2.0,2081,33.0,3713,122671,1
2020-09-08,22:10:00,2020-09-08,,202,British Virgin Islands,30269,63,,1,,10,,52,2.0,2081,33.0,3824,126334,1
2020-09-10,22:01:00,2020-09-10,,202,British Virgin Islands,30270,63,,1,,10,,52,2.0,2081,33.0,3824,126330,1
2020-09-11,22:00:00,2020-09-11,,202,British Virgin Islands,30270,63,,1,,10,,52,2.0,2081,33.0,3824,126330,1
2020-09-12,22:22:00,2020-09-12,,202,British Virgin Islands,30271,64,,1,,30,,33,2.0,2114,33.0,3824,126326,1
2020-09-13,22:01:00,2020-09-13,,202,British Virgin Islands,30271,66,,1,,37,,28,2.0,2180,33.0,3858,127449,1
2020-09-14,22:04:00,2020-09-14,,202,British Virgin Islands,30272,66,,1,,37,,28,2.0,2180,33.0,3858,127445,1
2020-09-15,21:00:00,2020-09-15,,202,British Virgin Islands,30273,66,,1,,37,,28,2.0,2180,33.0,3858,127440,1
2020-09-16,21:01:00,2020-09-16,,202,British Virgin Islands,30273,66,,1,,37,,28,2.0,2180,33.0,3858,127440,1
2020-09-18,20:01:00,2020-09-18,,202,British Virgin Islands,30274,69,,1,,40,,28,2.0,2279,33.0,3858,127436,1
2020-09-19,21:00:00,2020-09-19,,202,British Virgin Islands,30275,69,,1,,48,,20,2.0,2279,33.0,4410,145665,1
2020-09-20,22:31:00,2020-09-20,,202,British Virgin Islands,30275,69,,1,,48,,20,2.0,2279,33.0,4410,145665,1
2020-09-21,21:01:00,2020-09-21,,202,British Virgin Islands,30276,69,,1,,48,,20,2.0,2279,33.0,4410,145660,1
2020-09-22,21:01:00,2020-09-22,,202,British Virgin Islands,30276,69,,1,,48,,20,2.0,2279,33.0,4410,145660,1
2020-09-23,19:58:00,2020-09-23,,202,British Virgin Islands,30277,69,,1,,48,,20,2.0,2279,33.0,4410,145655,1
2020-09-24,21:00:00,2020-09-24,,202,British Virgin Islands,30278,71,2.0,1,,62,14.0,8,2.0,2345,33.0,4410,145650,1
2020-09-25,21:00:00,2020-09-25,,202,British Virgin Islands,30278,71,,1,,62,,8,2.0,2345,33.0,4410,145650,1
2020-09-26,21:00:00,2020-09-26,,202,British Virgin Islands,30279,71,,1,,62,,8,2.0,2345,33.0,4410,145645,1
2020-09-27,22:45:00,2020-09-27,,202,British Virgin Islands,30279,71,,1,,62,,8,2.0,2345,33.0,4410,145645,1
2020-09-28,22:00:00,2020-09-28,,202,British Virgin Islands,30280,71,,1,,62,,8,2.0,2345,33.0,4410,145641,1
2020-09-29,21:35:00,2020-09-29,,202,British Virgin Islands,30280,71,,1,,62,,8,2.0,2345,33.0,4410,145641,1
2020-09-30,22:00:00,2020-09-30,,202,British Virgin Islands,30281,71,,1,,66,,4,2.0,2345,33.0,4841,159869,1
2020-10-01,21:31:00,2020-10-01,,202,British Virgin Islands,30281,71,,1,,66,,4,2.0,2345,33.0,4841,159869,1
2020-10-02,22:36:00,2020-10-02,,202,British Virgin Islands,30282,71,,1,,66,,4,2.0,2345,33.0,4841,159864,1
2020-10-03,22:24:00,2020-10-03,,202,British Virgin Islands,30282,71,,1,,66,,4,2.0,2345,33.0,4841,159864,1
2020-10-04,21:01:00,2020-10-04,,202,British Virgin Islands,30283,71,,1,,66,,4,2.0,2345,33.0,4841,159859,1
2020-10-05,22:13:00,2020-10-05,,202,British Virgin Islands,30284,71,,1,,66,,4,2.0,2344,33.0,4841,159853,1
2020-10-06,23:01:00,2020-10-06,,202,British Virgin Islands,30284,71,,1,,66,,4,2.0,2344,33.0,4841,159853,1
2020-10-07,23:01:00,2020-10-07,,202,British Virgin Islands,30285,71,,1,,69,,1,2.0,2344,33.0,5161,170414,1
2020-10-08,23:59:00,2020-10-08,,202,British Virgin Islands,30285,71,,1,,69,,1,,2344,33.0,5161,170414,1
2020-10-09,23:00:00,2020-10-09,,202,British Virgin Islands,30286,71,,1,,70,1.0,0,,2344,33.0,5193,171465,1
2020-10-10,23:00:00,2020-10-10,,202,British Virgin Islands,30286,71,,1,,70,,0,,2344,33.0,5193,171465,1
2020-10-12,23:10:00,2020-10-12,,202,British Virgin Islands,30287,71,,1,,70,,0,,2344,33.0,5193,171460,1
2020-10-13,23:01:00,2020-10-13,,202,British Virgin Islands,30288,71,,1,,70,,0,,2344,33.0,5193,171454,1
2020-10-14,23:01:00,2020-10-14,,202,British Virgin Islands,30289,71,,1,,70,,0,,2344,33.0,5193,171448,1
2020-10-15,14:09:00,2020-10-15,11:06:00,202,British Virgin Islands,30289,71,,1,,70,,0,,2344,33.0,5193,171448,1
2020-10-16,22:08:00,2020-10-16,19:06:00,202,British Virgin Islands,30290,71,,1,,70,,0,,2344,33.0,5193,171443,1
2020-10-17,23:01:00,2020-10-17,19:58:00,202,British Virgin Islands,30290,71,,1,,70,,0,,2344,33.0,5193,171443,1
2020-10-18,14:32:00,2020-10-18,11:25:00,202,British Virgin Islands,30291,71,,1,,70,,0,,2344,33.0,5193,171437,1
