Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,77,Bulgaria,6943565,11836,,385,,6396,,5055,43,1705,55.0,271000,39029
2020-08-08 20:00:00,,2020-08-08,77,Bulgaria,6942712,13209,1373.0,442,57.0,7622,1226.0,5145,55,1903,64.0,299924,43200
2020-08-12 20:00:00,,2020-08-12,77,Bulgaria,6942144,13722,513.0,471,29.0,8154,532.0,5097,64,1977,68.0,313866,45212
2020-08-16 20:00:00,,2020-08-16,77,Bulgaria,6941575,14333,611.0,495,24.0,9161,1007.0,4677,55,2065,71.0,333530,48048
2020-08-17 20:00:00,,2020-08-17,77,Bulgaria,6941433,14365,32.0,498,3.0,9186,25.0,4681,56,2069,72.0,334311,48162
2020-08-18 20:00:00,,2020-08-18,77,Bulgaria,6941291,14500,135.0,512,14.0,9442,256.0,4546,56,2089,74.0,339563,48919
2020-08-19 20:00:00,,2020-08-19,77,Bulgaria,6941149,14669,169.0,519,7.0,9699,257.0,4451,61,2113,75.0,343230,49449
2020-08-20 17:53:00,,2020-08-20,77,Bulgaria,6941007,14820,151.0,527,8.0,9931,232.0,4362,60,2135,76.0,351879,50696
2020-08-23 21:09:00,,2020-08-23,77,Bulgaria,6940581,15227,407.0,545,18.0,10322,391.0,4360,74,2194,79.0,368498,53093
2020-08-24 17:10:00,,2020-08-24,77,Bulgaria,6940439,15287,60.0,545,0.0,10338,16.0,4404,74,2203,79.0,370786,53424
2020-08-25 23:00:00,,2020-08-25,77,Bulgaria,6940296,15386,99.0,563,18.0,10497,159.0,4326,65,2217,81.0,374374,53942
2020-08-26 22:59:00,,2020-08-26,77,Bulgaria,6940154,15589,203.0,572,9.0,10601,104.0,4416,64,2246,82.0,380606,54841
2020-08-27 23:00:00,,2020-08-27,77,Bulgaria,6940012,15751,162.0,586,14.0,10750,149.0,4415,60,2270,84.0,384450,55396
2020-08-28 23:01:00,,2020-08-28,77,Bulgaria,6939870,15908,157.0,594,8.0,11044,294.0,4270,65,2292,86.0,392089,56498
2020-08-29 12:29:00,,2020-08-29,77,Bulgaria,6939728,16065,157.0,603,9.0,11231,187.0,4231,59,2315,87.0,398426,57412
2020-08-30 23:00:00,,2020-08-30,77,Bulgaria,6939586,16164,99.0,605,2.0,11253,22.0,4306,61,2329,87.0,403213,58103
2020-08-31 18:58:00,,2020-08-31,77,Bulgaria,6939444,16190,26.0,613,8.0,11313,60.0,4264,63,2333,88.0,404683,58316
2020-09-01 23:00:00,,2020-09-01,77,Bulgaria,6939302,16266,76.0,629,16.0,11483,170.0,4154,65,2344,91.0,409013,58942
2020-09-02 23:01:00,,2020-09-02,77,Bulgaria,6939160,16454,188.0,642,13.0,11615,132.0,4197,62,2371,93.0,415797,59920
2020-09-03 23:01:00,,2020-09-03,77,Bulgaria,6939018,16617,163.0,648,6.0,11760,145.0,4209,63,2395,93.0,421240,60706
2020-09-04 07:01:00,,2020-09-04,77,Bulgaria,6938876,16775,158.0,658,10.0,11935,175.0,4182,61,2418,95.0,428266,61720
2020-09-05 23:31:00,,2020-09-05,77,Bulgaria,6938733,16954,179.0,665,7.0,12046,111.0,4243,56,2443,96.0,436395,62893
2020-09-06 18:30:00,,2020-09-06,77,Bulgaria,6938591,17050,96.0,671,6.0,12132,86.0,4247,57,2457,97.0,439753,63378
2020-09-07 23:39:00,,2020-09-07,77,Bulgaria,6938449,17089,39.0,676,5.0,12157,25.0,4256,54,2463,97.0,441160,63582
2020-09-08 22:10:00,,2020-09-08,77,Bulgaria,6938307,17146,57.0,677,1.0,12189,32.0,4280,53,2471,98.0,442380,63759
2020-09-09 22:01:00,,2020-09-09,77,Bulgaria,6938165,17313,167.0,692,15.0,12297,108.0,4324,57,2495,100.0,446303,64326
2020-09-10 22:01:00,,2020-09-10,77,Bulgaria,6938023,17435,122.0,702,10.0,12474,177.0,4259,60,2513,101.0,451448,65069
2020-09-11 22:00:00,,2020-09-11,77,Bulgaria,6937881,17598,163.0,706,4.0,12619,145.0,4273,55,2537,102.0,456538,65804
2020-09-12 22:22:00,,2020-09-12,77,Bulgaria,6937739,17799,201.0,713,7.0,12750,131.0,4336,56,2566,103.0,461403,66506
2020-09-13 22:01:00,,2020-09-13,77,Bulgaria,6937597,17891,92.0,717,4.0,12758,8.0,4416,53,2579,103.0,463733,66843
2020-09-14 22:04:00,,2020-09-14,77,Bulgaria,6937455,17918,27.0,720,3.0,12767,9.0,4431,53,2583,104.0,464657,66978
2020-09-15 21:00:00,,2020-09-15,77,Bulgaria,6937312,18061,143.0,729,9.0,12930,163.0,4402,49,2603,105.0,467820,67435
2020-09-16 21:01:00,,2020-09-16,77,Bulgaria,6937170,18216,155.0,736,7.0,13057,127.0,4423,46,2626,106.0,472132,68058
2020-09-18 20:01:00,,2020-09-18,77,Bulgaria,6936886,18544,328.0,749,13.0,13391,334.0,4404,37,2673,108.0,482823,69602
2020-09-19 21:00:00,,2020-09-19,77,Bulgaria,6936744,18733,189.0,753,4.0,13510,119.0,4470,34,2701,109.0,488865,70475
2020-09-20 22:31:00,,2020-09-20,77,Bulgaria,6936602,18819,86.0,755,2.0,13558,48.0,4506,37,2713,109.0,491780,70896
2020-09-21 21:01:00,,2020-09-21,77,Bulgaria,6936460,18863,44.0,761,6.0,13580,22.0,4522,37,2719,110.0,493029,71078
2020-09-22 21:01:00,,2020-09-22,77,Bulgaria,6936318,19014,151.0,765,4.0,13727,147.0,4522,33,2741,110.0,496017,71510
2020-09-23 19:58:00,,2020-09-23,77,Bulgaria,6936176,19123,109.0,767,2.0,13748,21.0,4608,31,2757,111.0,499066,71951
2020-09-24 21:00:00,,2020-09-24,77,Bulgaria,6936034,19283,160.0,779,12.0,13867,119.0,4637,29,2780,112.0,502592,72461
2020-09-25 21:00:00,,2020-09-25,77,Bulgaria,6935891,19573,290.0,785,6.0,14013,146.0,4775,30,2822,113.0,507451,73163
2020-09-26 21:00:00,,2020-09-26,77,Bulgaria,6935749,19828,255.0,789,4.0,14132,119.0,4907,36,2859,114.0,512498,73892
2020-09-27 22:45:00,,2020-09-27,77,Bulgaria,6935607,19997,169.0,789,0.0,14160,28.0,5048,36,2883,114.0,515208,74284
2020-09-28 22:00:00,,2020-09-28,77,Bulgaria,6935465,20055,58.0,796,7.0,14176,16.0,5083,41,2892,115.0,516311,74445
2020-09-29 21:35:00,,2020-09-29,77,Bulgaria,6935323,20271,216.0,807,11.0,14339,163.0,5125,42,2923,116.0,519613,74923
2020-09-30 22:00:00,,2020-09-30,77,Bulgaria,6935181,20547,276.0,813,6.0,14489,150.0,5245,44,2963,117.0,524349,75607
2020-10-01 21:31:00,,2020-10-01,77,Bulgaria,6935039,20833,286.0,825,12.0,14634,145.0,5374,44,3004,119.0,529292,76321
2020-10-02 22:36:00,,2020-10-02,77,Bulgaria,6934897,21096,263.0,832,7.0,14787,153.0,5477,47,3042,120.0,534135,77021
2020-10-03 22:24:00,,2020-10-03,77,Bulgaria,6934755,21336,240.0,838,6.0,14939,152.0,5559,50,3077,121.0,538955,77718
2020-10-04 21:01:00,,2020-10-04,77,Bulgaria,6934613,21518,182.0,841,3.0,14984,45.0,5693,54,3103,121.0,541798,78130
2020-10-05 22:13:00,,2020-10-05,77,Bulgaria,6934471,21587,69.0,844,3.0,15014,30.0,5729,56,3113,122.0,543076,78315
2020-10-06 23:01:00,,2020-10-06,77,Bulgaria,6934328,21870,283.0,854,10.0,15179,165.0,5837,59,3154,123.0,546789,78852
2020-10-07 23:01:00,,2020-10-07,77,Bulgaria,6934186,22306,436.0,862,8.0,15310,131.0,6134,57,3217,124.0,552220,79637
2020-10-08 23:59:00,,2020-10-08,77,Bulgaria,6934044,22743,437.0,873,11.0,15448,138.0,6422,53,3280,126.0,556761,80294
2020-10-09 23:00:00,,2020-10-09,77,Bulgaria,6933902,23259,516.0,880,7.0,15563,115.0,6816,56,3354,127.0,561970,81047
2020-10-10 23:00:00,,2020-10-10,77,Bulgaria,6933760,23871,612.0,887,7.0,15713,150.0,7271,58,3443,128.0,568018,81921
2020-10-12 23:10:00,,2020-10-12,77,Bulgaria,6933476,24402,531.0,892,5.0,15847,134.0,7663,62,3519,129.0,573004,82643
