scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,115,Cabo Verde,556498,2480,,24,,1837,,619,,4456,43.0,41634,74814
2020-08-08,20:00:00,,115,Cabo Verde,556597,2780,300.0,29,5.0,2042,205.0,709,,4995,52.0,61633,110732
2020-08-12,20:00:00,,115,Cabo Verde,556663,2920,140.0,33,4.0,2148,106.0,739,,5246,59.0,61633,110719
2020-08-16,20:00:00,,115,Cabo Verde,556729,3163,243.0,34,1.0,2302,154.0,827,,5681,61.0,61633,110706
2020-08-17,20:00:00,,115,Cabo Verde,556746,3179,16.0,35,1.0,2317,15.0,827,,5710,63.0,61633,110702
2020-08-18,20:00:00,,115,Cabo Verde,556762,3203,24.0,36,1.0,2336,19.0,831,,5753,65.0,61633,110699
2020-08-19,20:00:00,,115,Cabo Verde,556779,3253,50.0,36,0.0,2390,54.0,827,,5843,65.0,61633,110696
2020-08-20,17:53:00,,115,Cabo Verde,556795,3321,68.0,36,0.0,2442,52.0,843,,5964,65.0,73900,132724
2020-08-23,21:09:00,,115,Cabo Verde,556845,3455,134.0,37,1.0,2538,96.0,880,,6205,66.0,73900,132712
2020-08-24,17:10:00,,115,Cabo Verde,556861,3509,54.0,37,0.0,2540,2.0,932,,6301,66.0,74177,133206
2020-08-25,23:00:00,,115,Cabo Verde,556877,3532,23.0,37,0.0,2599,59.0,896,,6343,66.0,74177,133202
2020-08-26,22:59:00,,115,Cabo Verde,556894,3568,36.0,37,0.0,2673,74.0,858,,6407,66.0,76576,137506
2020-08-27,23:00:00,,115,Cabo Verde,556910,3630,62.0,38,1.0,2713,40.0,879,,6518,68.0,76576,137502
2020-08-28,23:01:00,,115,Cabo Verde,556927,3745,115.0,38,0.0,2807,94.0,900,,6724,68.0,76576,137497
2020-08-29,12:29:00,,115,Cabo Verde,556943,3745,0.0,38,0.0,2807,0.0,900,,6724,68.0,76576,137493
2020-08-30,23:00:00,,115,Cabo Verde,556960,3778,33.0,39,1.0,2855,48.0,884,,6783,70.0,76576,137489
2020-08-31,18:58:00,,115,Cabo Verde,556976,3852,74.0,40,1.0,2867,12.0,945,,6916,72.0,76576,137485
2020-09-01,23:00:00,,115,Cabo Verde,556993,3884,32.0,40,0.0,2916,49.0,928,,6973,72.0,76576,137481
2020-09-02,23:01:00,,115,Cabo Verde,557009,3970,86.0,40,0.0,3423,507.0,507,,7127,72.0,76576,137477
2020-09-03,23:01:00,,115,Cabo Verde,557026,4125,155.0,41,1.0,3502,79.0,582,,7405,74.0,76576,137473
2020-09-04,07:01:00,,115,Cabo Verde,557042,4125,0.0,41,0.0,3502,0.0,582,,7405,74.0,76576,137469
2020-09-05,23:31:00,,115,Cabo Verde,557059,4275,150.0,42,1.0,3611,109.0,622,,7674,75.0,76576,137465
2020-09-06,18:30:00,,115,Cabo Verde,557075,4275,0.0,42,0.0,3611,0.0,622,,7674,75.0,76576,137461
2020-09-07,23:39:00,,115,Cabo Verde,557092,4358,83.0,42,0.0,3790,179.0,526,,7823,75.0,76576,137457
2020-09-08,22:10:00,,115,Cabo Verde,557108,4358,0.0,42,0.0,3790,0.0,526,,7823,75.0,76576,137453
2020-09-10,22:01:00,,115,Cabo Verde,557141,4557,199.0,43,1.0,3993,203.0,521,,8179,77.0,76576,137445
2020-09-11,22:00:00,,115,Cabo Verde,557158,4557,0.0,43,0.0,3993,0.0,521,,8179,77.0,76576,137440
2020-09-12,22:22:00,,115,Cabo Verde,557174,4651,94.0,44,1.0,4076,83.0,531,,8347,79.0,76576,137436
2020-09-13,22:01:00,,115,Cabo Verde,557191,4711,60.0,44,0.0,4104,28.0,563,,8455,79.0,76576,137432
