scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,181,Cambodia,16738214,240,,,,196,,44,1.0,14,,65371,3905
2020-08-08,20:00:00,,181,Cambodia,16742008,246,6.0,,,215,19.0,31,1.0,15,,70664,4221
2020-08-12,20:00:00,,181,Cambodia,16744537,268,22.0,,,220,5.0,48,1.0,16,,75034,4481
2020-08-16,20:00:00,,181,Cambodia,16747066,273,5.0,,,238,18.0,35,1.0,16,,79860,4769
2020-08-17,20:00:00,,181,Cambodia,16747699,273,0.0,,,238,0.0,35,1.0,16,,80632,4815
2020-08-18,20:00:00,,181,Cambodia,16748331,273,0.0,,,238,0.0,35,1.0,16,,81637,4874
2020-08-19,20:00:00,,181,Cambodia,16748963,273,0.0,,,251,13.0,22,1.0,16,,82891,4949
2020-08-20,17:53:00,,181,Cambodia,16749596,273,0.0,,,253,2.0,20,1.0,16,,83626,4993
2020-08-23,21:09:00,,181,Cambodia,16751493,273,0.0,,,263,10.0,10,1.0,16,,86606,5170
2020-08-24,17:10:00,,181,Cambodia,16752125,273,0.0,,,263,0.0,10,1.0,16,,88699,5295
2020-08-25,23:00:00,,181,Cambodia,16752757,273,0.0,,,263,0.0,10,1.0,16,,89953,5369
2020-08-26,22:59:00,,181,Cambodia,16753390,273,0.0,,,264,1.0,9,1.0,16,,91159,5441
2020-08-27,23:00:00,,181,Cambodia,16754022,273,0.0,,,264,0.0,9,1.0,16,,91159,5441
2020-08-28,23:01:00,,181,Cambodia,16754654,273,0.0,,,265,1.0,8,1.0,16,,93462,5578
2020-08-29,12:29:00,,181,Cambodia,16755287,273,0.0,,,265,0.0,8,1.0,16,,94937,5666
2020-08-30,23:00:00,,181,Cambodia,16755919,273,0.0,,,265,0.0,8,1.0,16,,96451,5756
2020-08-31,18:58:00,,181,Cambodia,16756551,274,1.0,,,266,1.0,8,1.0,16,,97645,5827
2020-09-01,23:00:00,,181,Cambodia,16757184,274,0.0,,,266,0.0,8,1.0,16,,98687,5889
2020-09-02,23:01:00,,181,Cambodia,16757816,274,0.0,,,266,0.0,8,1.0,16,,100002,5967
2020-09-03,23:01:00,,181,Cambodia,16758448,274,0.0,,,271,5.0,3,1.0,16,,101262,6042
2020-09-04,07:01:00,,181,Cambodia,16759081,274,0.0,,,272,1.0,2,1.0,16,,102729,6130
2020-09-05,23:31:00,,181,Cambodia,16759713,274,0.0,,,272,0.0,2,1.0,16,,104187,6217
2020-09-06,18:30:00,,181,Cambodia,16760346,274,0.0,,,272,0.0,2,1.0,16,,105531,6296
2020-09-07,23:39:00,,181,Cambodia,16760978,274,0.0,,,272,0.0,2,1.0,16,,106529,6356
2020-09-08,22:10:00,,181,Cambodia,16761610,274,0.0,,,273,1.0,1,1.0,16,,108083,6448
2020-09-10,22:01:00,,181,Cambodia,16762875,274,0.0,,,273,0.0,1,1.0,16,,110438,6588
2020-09-11,22:00:00,,181,Cambodia,16763507,274,0.0,,,274,1.0,0,,16,,112082,6686
2020-09-12,22:22:00,,181,Cambodia,16764140,274,0.0,,,274,0.0,0,,16,,113469,6769
2020-09-13,22:01:00,,181,Cambodia,16764772,275,1.0,,,274,0.0,1,,16,,113469,6768
2020-09-14,22:04:00,,181,Cambodia,16765404,275,0.0,,,274,0.0,1,,16,,116112,6926
2020-09-15,21:00:00,,181,Cambodia,16766037,275,0.0,,,274,0.0,1,,16,,117214,6991
2020-09-16,21:01:00,,181,Cambodia,16766669,275,0.0,,,274,0.0,1,,16,,118717,7081
2020-09-18,20:01:00,,181,Cambodia,16767934,275,0.0,,,274,0.0,1,,16,,121530,7248
2020-09-19,21:00:00,,181,Cambodia,16768566,275,0.0,,,274,0.0,1,,16,,122693,7317
2020-09-20,22:31:00,,181,Cambodia,16769198,275,0.0,,,274,0.0,1,,16,,122693,7317
2020-09-21,21:01:00,,181,Cambodia,16769831,275,0.0,,,274,0.0,1,,16,,124678,7435
2020-09-22,21:01:00,,181,Cambodia,16770463,275,0.0,,,274,0.0,1,,16,,126315,7532
2020-09-23,19:58:00,,181,Cambodia,16771095,275,0.0,,,274,0.0,1,,16,,127777,7619
2020-09-24,21:00:00,,181,Cambodia,16771728,275,0.0,,,274,0.0,1,,16,,128969,7690
2020-09-25,21:00:00,,181,Cambodia,16772360,275,0.0,,,274,0.0,1,,16,,128969,7689
2020-09-26,21:00:00,,181,Cambodia,16772992,275,0.0,,,274,0.0,1,,16,,131871,7862
2020-09-27,22:45:00,,181,Cambodia,16773625,276,1.0,,,274,0.0,2,,16,,131871,7862
2020-09-28,22:00:00,,181,Cambodia,16774257,276,0.0,,,275,1.0,1,,16,,134321,8008
2020-09-29,21:35:00,,181,Cambodia,16774889,277,1.0,,,275,0.0,2,,17,,135733,8091
2020-09-30,22:00:00,,181,Cambodia,16775522,277,0.0,,,275,0.0,2,,17,,137326,8186
2020-10-01,21:31:00,,181,Cambodia,16776154,277,0.0,,,275,0.0,2,,17,,138584,8261
2020-10-02,22:36:00,,181,Cambodia,16776786,278,1.0,,,275,0.0,3,,17,,140194,8356
2020-10-03,22:24:00,,181,Cambodia,16777419,278,0.0,,,275,0.0,3,,17,,141676,8444
2020-10-04,21:01:00,,181,Cambodia,16778051,278,0.0,,,275,0.0,3,,17,,142983,8522
2020-10-05,22:13:00,,181,Cambodia,16778683,280,2.0,,,275,0.0,5,,17,,144119,8589
2020-10-06,23:01:00,,181,Cambodia,16779316,280,0.0,,,276,1.0,4,,17,,145448,8668
2020-10-07,23:01:00,,181,Cambodia,16779948,280,0.0,,,276,0.0,4,,17,,147071,8765
2020-10-08,23:59:00,,181,Cambodia,16780580,281,1.0,,,276,0.0,5,,17,,148120,8827
2020-10-09,23:00:00,,181,Cambodia,16781213,282,1.0,,,277,1.0,5,,17,,148120,8827
2020-10-10,23:00:00,,181,Cambodia,16781845,283,1.0,,,277,0.0,6,,17,,151514,9028
2020-10-12,23:10:00,,181,Cambodia,16783110,283,0.0,,,278,1.0,5,,17,,154364,9198
2020-10-13,23:01:00,,181,Cambodia,16783742,283,0.0,,,278,0.0,5,,17,,155648,9274
2020-10-14,23:01:00,,181,Cambodia,16784374,283,0.0,,,278,0.0,5,,17,,157306,9372
2020-10-15,14:09:00,11:06:00,181,Cambodia,16785007,283,0.0,,,278,0.0,5,,17,,158636,9451
2020-10-16,22:08:00,19:06:00,181,Cambodia,16785639,283,0.0,,,278,0.0,5,,17,,158636,9451
2020-10-17,23:01:00,19:58:00,181,Cambodia,16786271,283,0.0,,,280,2.0,3,,17,,161795,9639
2020-10-18,22:05:00,19:03:00,181,Cambodia,16786904,283,0.0,,,280,0.0,3,,17,,161795,9638
2020-10-19,22:05:00,18:59:00,181,Cambodia,16787536,283,0.0,,,280,0.0,3,,17,,164439,9795
2020-10-20,22:05:00,19:04:00,181,Cambodia,16788168,285,2.0,,,280,0.0,5,,17,,165994,9888
2020-10-21,22:05:00,19:03:00,181,Cambodia,16788801,286,1.0,,,280,0.0,6,,17,,167904,10001
2020-10-22,22:05:00,19:04:00,181,Cambodia,16789433,286,0.0,,,280,0.0,6,,17,,169049,10069
2020-10-23,22:05:00,19:02:00,181,Cambodia,16790066,286,0.0,,,280,0.0,6,,17,,170495,10155
2020-10-24,23:41:00,20:40:00,181,Cambodia,16790698,287,1.0,,,283,3.0,4,,17,,172232,10258
2020-10-25,23:00:00,20:58:00,181,Cambodia,16791330,287,0.0,,,283,0.0,4,,17,,173538,10335
2020-10-26,23:00:00,20:56:00,181,Cambodia,16791963,287,0.0,,,283,0.0,4,,17,,174301,10380
