scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,183,Cayman Islands,65787,203,,1,,202,,0,,3086,15.0,30122,457872,1
2020-08-08,20:00:00,2020-08-08,,183,Cayman Islands,65800,203,,1,,202,,0,,3085,15.0,31299,475669,1
2020-08-12,20:00:00,2020-08-12,,183,Cayman Islands,65808,203,,1,,202,,0,,3085,15.0,31881,484455,1
2020-08-16,20:00:00,2020-08-16,,183,Cayman Islands,65817,203,,1,,202,,0,,3084,15.0,32468,493307,1
2020-08-17,20:00:00,2020-08-17,,183,Cayman Islands,65819,203,,1,,202,,0,,3084,15.0,32468,493292,1
2020-08-18,20:00:00,2020-08-18,,183,Cayman Islands,65821,203,,1,,202,,0,,3084,15.0,33148,503608,1
2020-08-19,20:00:00,2020-08-19,,183,Cayman Islands,65823,203,,1,,202,,0,,3084,15.0,33434,507938,1
2020-08-20,17:53:00,2020-08-20,,183,Cayman Islands,65825,205,,1,,202,,2,,3114,15.0,33617,510703,1
2020-08-23,21:09:00,2020-08-23,,183,Cayman Islands,65831,205,,1,,202,,2,,3114,15.0,34208,519634,1
2020-08-24,17:10:00,2020-08-24,,183,Cayman Islands,65833,205,,1,,202,,2,,3114,15.0,34208,519618,1
2020-08-25,23:00:00,2020-08-25,,183,Cayman Islands,65835,205,,1,,202,,2,,3114,15.0,34208,519602,1
2020-08-26,22:59:00,2020-08-26,,183,Cayman Islands,65838,205,,1,,202,,2,,3114,15.0,34688,526869,1
2020-08-27,23:00:00,2020-08-27,,183,Cayman Islands,65840,205,,1,,202,,2,,3114,15.0,34815,528782,1
2020-08-28,23:01:00,2020-08-28,,183,Cayman Islands,65842,205,,1,,202,,2,,3114,15.0,34815,528766,1
2020-08-29,12:29:00,2020-08-29,,183,Cayman Islands,65844,205,,1,,202,,2,,3113,15.0,35195,534521,1
2020-08-30,23:00:00,2020-08-30,,183,Cayman Islands,65846,205,,1,,202,,2,,3113,15.0,35195,534505,1
2020-08-31,18:58:00,2020-08-31,,183,Cayman Islands,65848,205,,1,,202,,2,,3113,15.0,35195,534489,1
2020-09-01,23:00:00,2020-09-01,,183,Cayman Islands,65850,205,,1,,202,,2,,3113,15.0,35469,538633,1
2020-09-02,23:01:00,2020-09-02,,183,Cayman Islands,65852,205,,1,,204,,0,,3113,15.0,35574,540211,1
2020-09-03,23:01:00,2020-09-03,,183,Cayman Islands,65854,205,,1,,204,,0,,3113,15.0,35668,541622,1
2020-09-04,07:01:00,2020-09-04,,183,Cayman Islands,65857,205,,1,,204,,0,,3113,15.0,35840,544209,1
2020-09-05,23:31:00,2020-09-05,,183,Cayman Islands,65859,205,,1,,204,,0,,3113,15.0,36000,546622,1
2020-09-06,18:30:00,2020-09-06,,183,Cayman Islands,65861,205,,1,,204,,0,,3113,15.0,36000,546606,1
2020-09-07,23:39:00,2020-09-07,,183,Cayman Islands,65863,205,,1,,204,,0,,3113,15.0,36000,546589,1
2020-09-08,22:10:00,2020-09-08,,183,Cayman Islands,65865,205,,1,,204,,0,,3112,15.0,36000,546573,1
2020-09-10,22:01:00,2020-09-10,,183,Cayman Islands,65869,207,,1,,204,,2,,3143,15.0,36347,551807,1
