scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,10,Chile,19130274,357658,,9533,,330507,,17618,1445,18696,498.0,1648390,86167
2020-08-08,20:00:00,,10,Chile,19132961,371023,13365.0,10011,478.0,344133,13626.0,16879,1305,19392,523.0,1812895,94752
2020-08-12,20:00:00,,10,Chile,19134753,376616,5593.0,10178,167.0,349541,5408.0,16897,1268,19682,532.0,1889616,98753
2020-08-16,20:00:00,,10,Chile,19136544,383902,7286.0,10395,217.0,356951,7410.0,16556,1207,20061,543.0,1988709,103922
2020-08-17,20:00:00,,10,Chile,19136992,387502,3600.0,10513,118.0,360385,3434.0,16604,1177,20249,549.0,2044880,106855
2020-08-18,20:00:00,,10,Chile,19137440,388855,1353.0,10546,33.0,362440,2055.0,15869,1157,20319,551.0,2068079,108065
2020-08-19,20:00:00,,10,Chile,19137888,388855,0.0,10546,0.0,362440,0.0,15869,1157,20319,551.0,2068079,108062
2020-08-20,17:53:00,,10,Chile,19138335,390037,1182.0,10578,32.0,364285,1845.0,15174,1120,20380,553.0,2087354,109067
2020-08-23,21:09:00,,10,Chile,19139679,397665,7628.0,10852,274.0,371179,6894.0,15634,1027,20777,567.0,2204009,115154
2020-08-24,17:10:00,,10,Chile,19140127,397665,0.0,10852,0.0,371179,0.0,15634,1027,20777,567.0,2204009,115151
2020-08-25,23:00:00,,10,Chile,19140575,400985,3320.0,10958,106.0,374463,3284.0,15564,1011,20949,573.0,2255966,117863
2020-08-26,22:59:00,,10,Chile,19141022,402365,1380.0,10990,32.0,376268,1805.0,15107,1004,21021,574.0,2276223,118919
2020-08-27,23:00:00,,10,Chile,19141470,404102,1737.0,11072,82.0,377922,1654.0,15108,1012,21111,578.0,2303242,120327
2020-08-28,23:01:00,,10,Chile,19141918,405972,1870.0,11132,60.0,379452,1530.0,15388,1012,21209,582.0,2333516,121906
2020-08-29,12:29:00,,10,Chile,19142366,405972,0.0,11132,0.0,379452,0.0,15388,1012,21208,582.0,2333516,121903
2020-08-30,23:00:00,,10,Chile,19142814,409974,4002.0,11244,112.0,382584,3132.0,16146,960,21417,587.0,2400522,125401
2020-08-31,18:58:00,,10,Chile,19143261,411726,1752.0,11289,45.0,383879,1295.0,16558,969,21508,590.0,2400522,125398
2020-09-01,23:00:00,,10,Chile,19143709,413145,1419.0,11321,32.0,385790,1911.0,16034,962,21581,591.0,2458762,128437
2020-09-02,23:01:00,,10,Chile,19144157,414739,1594.0,11344,23.0,387683,1893.0,15712,947,21664,593.0,2481508,129622
2020-09-03,23:01:00,,10,Chile,19144605,416501,1762.0,11422,78.0,389409,1726.0,15670,940,21756,597.0,2481508,129619
2020-09-04,07:01:00,,10,Chile,19145053,416501,0.0,11422,0.0,389409,0.0,15670,940,21755,597.0,2508750,131039
2020-09-05,23:31:00,,10,Chile,19145501,420434,3933.0,11551,129.0,392967,3558.0,15916,908,21960,603.0,2575313,134513
2020-09-06,18:30:00,,10,Chile,19145948,420434,0.0,11551,0.0,392967,0.0,15916,908,21959,603.0,2575313,134510
2020-09-07,23:39:00,,10,Chile,19146396,424274,3840.0,11652,101.0,395717,2750.0,16905,930,22159,609.0,2641589,137968
2020-09-08,22:10:00,,10,Chile,19146844,425541,1267.0,11682,30.0,397730,2013.0,16129,930,22225,610.0,2669569,139426
2020-09-09,22:01:00,,10,Chile,19147292,427027,1486.0,11702,20.0,399555,1825.0,15770,942,22302,611.0,2691374,140562
2020-09-10,22:01:00,,10,Chile,19147740,428669,1642.0,11781,79.0,401356,1801.0,15532,951,22387,615.0,2719687,142037
2020-09-11,22:00:00,,10,Chile,19148188,430535,1866.0,11850,69.0,403064,1708.0,15621,918,22484,619.0,2753769,143814
2020-09-12,22:22:00,,10,Chile,19148635,432666,2131.0,11895,45.0,404919,1855.0,15852,918,22595,621.0,2791831,145798
2020-09-13,22:01:00,,10,Chile,19149083,434748,2082.0,11949,54.0,406326,1407.0,16473,906,22703,624.0,2828129,147690
2020-09-14,22:04:00,,10,Chile,19149531,436433,1685.0,12013,64.0,407725,1399.0,16695,906,22791,627.0,2860706,149388
2020-09-15,21:00:00,,10,Chile,19149979,437983,1550.0,12040,27.0,409944,2219.0,15999,905,22871,629.0,2887903,150804
2020-09-16,21:01:00,,10,Chile,19150427,439287,1304.0,12058,18.0,411853,1909.0,15376,898,22939,630.0,2991005,156185
2020-09-18,20:01:00,,10,Chile,19151322,442827,3540.0,12199,141.0,415981,4128.0,14647,902,23123,637.0,2975891,155388
2020-09-19,21:00:00,,10,Chile,19151770,444674,1847.0,12254,55.0,418101,2120.0,14319,894,23218,640.0,3010713,157203
2020-09-20,22:31:00,,10,Chile,19152218,446274,1600.0,12286,32.0,419746,1645.0,14242,901,23301,641.0,3038333,158641
2020-09-21,21:01:00,,10,Chile,19152666,447468,1194.0,12298,12.0,421111,1365.0,14059,915,23363,642.0,3055155,159516
2020-09-22,21:01:00,,10,Chile,19153114,448523,1055.0,12321,23.0,423176,2065.0,13026,918,23418,643.0,3068544,160211
2020-09-23,19:58:00,,10,Chile,19153562,449903,1380.0,12345,24.0,425165,1989.0,12393,907,23489,645.0,3084117,161021
2020-09-24,21:00:00,,10,Chile,19154009,451634,1731.0,12469,124.0,426876,1711.0,12289,890,23579,651.0,3113195,162535
2020-09-25,21:00:00,,10,Chile,19154457,453868,2234.0,12527,58.0,428580,1704.0,12761,891,23695,654.0,3150848,164497
2020-09-26,21:00:00,,10,Chile,19154905,455979,2111.0,12591,64.0,430259,1679.0,13129,895,23805,657.0,3189009,166485
2020-09-27,22:45:00,,10,Chile,19155353,457901,1922.0,12641,50.0,431704,1445.0,13556,888,23905,660.0,3228414,168538
2020-09-28,22:00:00,,10,Chile,19155801,459671,1770.0,12698,57.0,433016,1312.0,13957,884,23996,663.0,3265887,170491
2020-09-29,21:35:00,,10,Chile,19156249,461300,1629.0,12725,27.0,434794,1778.0,13781,865,24081,664.0,3294806,171996
2020-09-30,22:00:00,,10,Chile,19156696,462991,1691.0,12741,16.0,436589,1795.0,13661,849,24169,665.0,3322315,173428
2020-10-01,21:31:00,,10,Chile,19157144,464750,1759.0,12822,81.0,438148,1559.0,13780,849,24260,669.0,3355848,175175
2020-10-02,22:36:00,,10,Chile,19157592,466590,1840.0,12867,45.0,439607,1459.0,14116,868,24355,672.0,3394522,177189
2020-10-03,22:24:00,,10,Chile,19158040,468471,1881.0,12919,52.0,440881,1274.0,14671,849,24453,674.0,3430220,179049
2020-10-04,21:01:00,,10,Chile,19158488,470179,1708.0,12979,60.0,442070,1189.0,15130,856,24542,677.0,3466553,180941
2020-10-05,22:13:00,,10,Chile,19158936,471746,1567.0,13037,58.0,443453,1383.0,15256,853,24623,680.0,3502751,182826
