scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,1969-12-31 23:59:59.999999999,170,Comoros,871072,386,,7,,330,,49,,443,8.0,,
2020-08-08,20:00:00,1969-12-31 23:59:59.999999999,170,Comoros,871377,396,,7,,353,,36,,454,8.0,,
2020-08-12,20:00:00,1969-12-31 23:59:59.999999999,170,Comoros,871580,399,,7,,379,,13,,458,8.0,,
2020-08-16,20:00:00,1969-12-31 23:59:59.999999999,170,Comoros,871783,405,2.0,7,,379,,19,,465,8.0,,
2020-08-17,20:00:00,1969-12-31 23:59:59.999999999,170,Comoros,871833,405,,7,,379,,19,,465,8.0,,
2020-08-18,20:00:00,1969-12-31 23:59:59.999999999,170,Comoros,871884,405,,7,,379,,19,,465,8.0,,
2020-08-19,20:00:00,1969-12-31 23:59:59.999999999,170,Comoros,871935,406,,7,,393,,6,,466,8.0,,
2020-08-20,17:53:00,1969-12-31 23:59:59.999999999,170,Comoros,871985,406,,7,,393,,6,,466,8.0,,
2020-08-23,21:09:00,1969-12-31 23:59:59.999999999,170,Comoros,872138,417,,7,,396,,14,,478,8.0,,
2020-08-24,17:10:00,1969-12-31 23:59:59.999999999,170,Comoros,872188,417,,7,,396,,14,,478,8.0,,
2020-08-25,23:00:00,1969-12-31 23:59:59.999999999,170,Comoros,872239,417,,7,,396,,14,,478,8.0,,
2020-08-26,22:59:00,1969-12-31 23:59:59.999999999,170,Comoros,872290,417,,7,,399,,11,,478,8.0,,
2020-08-27,23:00:00,1969-12-31 23:59:59.999999999,170,Comoros,872340,417,,7,,399,,11,,478,8.0,,
2020-08-28,23:01:00,1969-12-31 23:59:59.999999999,170,Comoros,872391,422,,7,,399,,16,,484,8.0,,
2020-08-29,12:29:00,1969-12-31 23:59:59.999999999,170,Comoros,872442,422,,7,,399,,16,,484,8.0,,
2020-08-30,23:00:00,1969-12-31 23:59:59.999999999,170,Comoros,872493,423,,7,,399,,17,,485,8.0,,
2020-08-31,18:58:00,1969-12-31 23:59:59.999999999,170,Comoros,872543,423,,7,,399,,17,,485,8.0,,
2020-09-01,23:00:00,1969-12-31 23:59:59.999999999,170,Comoros,872594,423,,7,,399,,17,,485,8.0,,
2020-09-02,23:01:00,1969-12-31 23:59:59.999999999,170,Comoros,872645,427,,7,,410,,10,,489,8.0,,
2020-09-03,23:01:00,1969-12-31 23:59:59.999999999,170,Comoros,872695,427,,7,,410,,10,,489,8.0,,
2020-09-04,07:01:00,1969-12-31 23:59:59.999999999,170,Comoros,872746,448,,7,,410,,31,,513,8.0,,
2020-09-05,23:31:00,1969-12-31 23:59:59.999999999,170,Comoros,872797,448,,7,,410,,31,,513,8.0,,
2020-09-06,18:30:00,1969-12-31 23:59:59.999999999,170,Comoros,872848,452,,7,,410,,35,,518,8.0,,
2020-09-07,23:39:00,1969-12-31 23:59:59.999999999,170,Comoros,872898,452,,7,,410,,35,,518,8.0,,
2020-09-08,22:10:00,1969-12-31 23:59:59.999999999,170,Comoros,872949,452,,7,,410,,35,,518,8.0,,
2020-09-10,22:01:00,1969-12-31 23:59:59.999999999,170,Comoros,873051,456,,7,,415,,34,,522,8.0,,
2020-09-11,22:00:00,1969-12-31 23:59:59.999999999,170,Comoros,873101,456,,7,,415,,34,,522,8.0,,
2020-09-12,22:22:00,1969-12-31 23:59:59.999999999,170,Comoros,873152,456,,7,,415,,34,,522,8.0,,
2020-09-13,22:01:00,1969-12-31 23:59:59.999999999,170,Comoros,873203,456,,7,,415,,34,,522,8.0,,
2020-09-14,22:04:00,1969-12-31 23:59:59.999999999,170,Comoros,873253,456,,7,,415,,34,,522,8.0,,
2020-09-15,21:00:00,1969-12-31 23:59:59.999999999,170,Comoros,873304,457,,7,,427,,23,,523,8.0,,
2020-09-16,21:01:00,1969-12-31 23:59:59.999999999,170,Comoros,873355,467,,7,,446,,14,,535,8.0,,
2020-09-18,20:01:00,1969-12-31 23:59:59.999999999,170,Comoros,873456,470,,7,,449,,14,,538,8.0,,
2020-09-19,21:00:00,1969-12-31 23:59:59.999999999,170,Comoros,873507,470,,7,,449,,14,,538,8.0,,
2020-09-20,22:31:00,1969-12-31 23:59:59.999999999,170,Comoros,873558,470,,7,,450,,13,,538,8.0,,
2020-09-21,21:01:00,1969-12-31 23:59:59.999999999,170,Comoros,873608,470,,7,,450,,13,,538,8.0,,
2020-09-22,21:01:00,1969-12-31 23:59:59.999999999,170,Comoros,873659,470,,7,,453,3.0,10,,538,8.0,,
2020-09-23,19:58:00,1969-12-31 23:59:59.999999999,170,Comoros,873710,470,,7,,453,,10,,538,8.0,,
2020-09-24,21:00:00,1969-12-31 23:59:59.999999999,170,Comoros,873761,474,4.0,7,,453,,14,,542,8.0,,
2020-09-25,21:00:00,1969-12-31 23:59:59.999999999,170,Comoros,873811,474,,7,,453,,14,,542,8.0,,
2020-09-26,21:00:00,1969-12-31 23:59:59.999999999,170,Comoros,873862,474,,7,,453,,14,,542,8.0,,
2020-09-27,22:45:00,1969-12-31 23:59:59.999999999,170,Comoros,873913,478,,7,,458,,13,,547,8.0,,
2020-09-28,22:00:00,1969-12-31 23:59:59.999999999,170,Comoros,873963,478,,7,,458,,13,,547,8.0,,
2020-09-29,21:35:00,1969-12-31 23:59:59.999999999,170,Comoros,874014,478,,7,,458,,13,,547,8.0,,
2020-09-30,22:00:00,1969-12-31 23:59:59.999999999,170,Comoros,874065,479,,7,,464,,8,,548,8.0,,
2020-10-01,21:31:00,1969-12-31 23:59:59.999999999,170,Comoros,874116,479,,7,,464,,8,,548,8.0,,
2020-10-02,22:36:00,1969-12-31 23:59:59.999999999,170,Comoros,874166,484,,7,,466,,11,,554,8.0,,
2020-10-03,22:24:00,1969-12-31 23:59:59.999999999,170,Comoros,874217,484,,7,,466,,11,,554,8.0,,
2020-10-04,21:01:00,1969-12-31 23:59:59.999999999,170,Comoros,874268,487,,7,,466,,14,,557,8.0,,
2020-10-05,22:13:00,1969-12-31 23:59:59.999999999,170,Comoros,874319,487,,7,,466,,14,,557,8.0,,
2020-10-06,23:01:00,1969-12-31 23:59:59.999999999,170,Comoros,874369,487,,7,,466,,14,,557,8.0,,
2020-10-07,23:01:00,1969-12-31 23:59:59.999999999,170,Comoros,874420,491,,7,,468,,16,,562,8.0,,
2020-10-08,23:59:00,1969-12-31 23:59:59.999999999,170,Comoros,874471,495,4.0,7,,475,7.0,13,,566,8.0,,
2020-10-09,23:00:00,1969-12-31 23:59:59.999999999,170,Comoros,874521,495,,7,,475,,13,,566,8.0,,
2020-10-10,23:00:00,1969-12-31 23:59:59.999999999,170,Comoros,874572,495,,7,,475,,13,,566,8.0,,
2020-10-12,23:10:00,1969-12-31 23:59:59.999999999,170,Comoros,874674,495,,7,,475,,13,,566,8.0,,
2020-10-13,23:01:00,1969-12-31 23:59:59.999999999,170,Comoros,874724,495,,7,,475,,13,,566,8.0,,
2020-10-14,23:01:00,1969-12-31 23:59:59.999999999,170,Comoros,874775,496,,7,,484,,5,,567,8.0,,
2020-10-15,14:09:00,2020-10-27 11:06:00.000000000,170,Comoros,874826,496,,7,,484,,5,,567,8.0,,
2020-10-16,22:08:00,2020-10-27 19:06:00.000000000,170,Comoros,874876,502,6.0,7,,485,1.0,10,,574,8.0,,
2020-10-17,23:01:00,2020-10-27 19:58:00.000000000,170,Comoros,874927,502,,7,,485,,10,,574,8.0,,
2020-10-18,22:05:00,2020-10-27 19:03:00.000000000,170,Comoros,874978,502,,7,,485,,10,,574,8.0,,
2020-10-19,22:05:00,2020-10-27 18:59:00.000000000,170,Comoros,875029,502,,7,,485,,10,,574,8.0,,
2020-10-20,22:05:00,2020-10-27 19:04:00.000000000,170,Comoros,875079,504,2.0,7,,494,9.0,3,,576,8.0,,
2020-10-21,22:05:00,2020-10-27 19:03:00.000000000,170,Comoros,875130,504,,7,,494,,3,,576,8.0,,
2020-10-22,22:05:00,2020-10-27 19:04:00.000000000,170,Comoros,875181,504,,7,,494,,3,,576,8.0,,
2020-10-23,22:05:00,2020-10-27 19:02:00.000000000,170,Comoros,875231,517,,7,,494,,16,,591,8.0,,
2020-10-24,23:41:00,2020-10-27 20:40:00.000000000,170,Comoros,875282,517,,7,,494,,16,,591,8.0,,
2020-10-25,23:00:00,2020-10-27 20:58:00.000000000,170,Comoros,875333,517,,7,,494,,16,,591,8.0,,
2020-10-26,23:00:00,2020-10-27 20:56:00.000000000,170,Comoros,875384,517,,7,,494,,16,,591,8.0,,
2020-10-27,23:00:00,2020-10-27 20:58:00.000000000,170,Comoros,875434,517,,7,,494,,16,,591,8.0,,
