Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,112,Congo,5528645,3200,,54,,829,,2317,,579,10.0,,
2020-08-08 20:00:00,,2020-08-08,112,Congo,5530878,3637,437.0,58,4.0,1589,760.0,1990,,658,10.0,,
2020-08-12 20:00:00,,2020-08-12,112,Congo,5532367,3745,108.0,60,2.0,1625,36.0,2060,,677,11.0,,
2020-08-16 20:00:00,,2020-08-16,112,Congo,5533856,3745,0.0,60,0.0,1625,0.0,2060,,677,11.0,,
2020-08-17 20:00:00,,2020-08-17,112,Congo,5534228,3831,86.0,76,16.0,1625,0.0,2130,,692,14.0,,
2020-08-18 20:00:00,,2020-08-18,112,Congo,5534600,3831,0.0,76,0.0,1625,0.0,2130,,692,14.0,,
2020-08-19 20:00:00,,2020-08-19,112,Congo,5534972,3831,0.0,76,0.0,1625,0.0,2130,,692,14.0,,
2020-08-20 17:53:00,,2020-08-20,112,Congo,5535345,3850,19.0,77,1.0,1625,0.0,2148,,696,14.0,,
2020-08-23 21:09:00,,2020-08-23,112,Congo,5536461,3850,0.0,77,0.0,1625,0.0,2148,,695,14.0,,
2020-08-24 17:10:00,,2020-08-24,112,Congo,5536833,3850,0.0,77,0.0,1625,0.0,2148,,695,14.0,,
2020-08-25 23:00:00,,2020-08-25,112,Congo,5537206,3979,129.0,78,1.0,1742,117.0,2159,,719,14.0,,
2020-08-26 22:59:00,,2020-08-26,112,Congo,5537578,3979,0.0,78,0.0,1742,0.0,2159,,719,14.0,,
2020-08-27 23:00:00,,2020-08-27,112,Congo,5537950,3979,0.0,78,0.0,1742,0.0,2159,,718,14.0,,
2020-08-28 23:01:00,,2020-08-28,112,Congo,5538322,3979,0.0,78,0.0,1742,0.0,2159,,718,14.0,,
2020-08-29 12:29:00,,2020-08-29,112,Congo,5538694,3979,0.0,78,0.0,1742,0.0,2159,,718,14.0,,
2020-08-30 23:00:00,,2020-08-30,112,Congo,5539067,3979,0.0,78,0.0,1742,0.0,2159,,718,14.0,,
2020-08-31 18:58:00,,2020-08-31,112,Congo,5539439,3979,0.0,78,0.0,1742,0.0,2159,,718,14.0,,
2020-09-01 23:00:00,,2020-09-01,112,Congo,5539811,3979,0.0,78,0.0,1742,0.0,2159,,718,14.0,,
2020-09-02 23:01:00,,2020-09-02,112,Congo,5540183,3979,0.0,78,0.0,1742,0.0,2159,,718,14.0,,
