scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,61,Costa Rica,5098095,18187,,154,,4531,,13502,94,3567,30.0,88861,17430
2020-08-08,20:00:00,,61,Costa Rica,5098857,22081,3894.0,218,64.0,7266,2735.0,14597,89,4331,43.0,100050,19622
2020-08-12,20:00:00,,61,Costa Rica,5099365,24508,2427.0,255,37.0,7971,705.0,16282,85,4806,50.0,108819,21340
2020-08-16,20:00:00,,61,Costa Rica,5099873,27737,3229.0,291,36.0,9010,1039.0,18436,104,5439,57.0,117914,23121
2020-08-17,20:00:00,,61,Costa Rica,5100000,28465,728.0,294,3.0,9062,52.0,19109,102,5581,58.0,120435,23615
2020-08-18,20:00:00,,61,Costa Rica,5100127,29084,619.0,304,10.0,9233,171.0,19547,106,5703,60.0,120435,23614
2020-08-19,20:00:00,,61,Costa Rica,5100254,29643,559.0,314,10.0,9462,229.0,19867,110,5812,62.0,123223,24160
2020-08-20,17:53:00,,61,Costa Rica,5100381,30409,766.0,321,7.0,9660,198.0,20428,126,5962,63.0,123223,24160
2020-08-23,21:09:00,,61,Costa Rica,5100762,33084,2675.0,348,27.0,10372,712.0,22364,131,6486,68.0,130867,25656
2020-08-24,17:10:00,,61,Costa Rica,5100889,33820,736.0,355,7.0,10518,146.0,22947,131,6630,70.0,133005,26075
2020-08-25,23:00:00,,61,Costa Rica,5101016,35305,1485.0,376,21.0,13072,2554.0,21857,144,6921,74.0,133005,26074
2020-08-26,22:59:00,,61,Costa Rica,5101142,35305,0.0,376,0.0,13073,1.0,21856,144,6921,74.0,136154,26691
2020-08-27,23:00:00,,61,Costa Rica,5101269,37292,1987.0,397,21.0,14471,1398.0,22424,132,7310,78.0,136154,26690
2020-08-28,23:01:00,,61,Costa Rica,5101396,37292,0.0,397,0.0,14471,0.0,22424,132,7310,78.0,136154,26690
2020-08-29,12:29:00,,61,Costa Rica,5101523,38485,1193.0,407,10.0,14664,193.0,23414,140,7544,80.0,143049,28040
2020-08-30,23:00:00,,61,Costa Rica,5101650,39699,1214.0,418,11.0,15737,1073.0,23544,133,7782,82.0,146047,28627
2020-08-31,18:58:00,,61,Costa Rica,5101777,39699,0.0,418,0.0,15737,0.0,23544,133,7781,82.0,146047,28627
2020-09-01,23:00:00,,61,Costa Rica,5101904,42184,2485.0,443,25.0,16270,533.0,25471,149,8268,87.0,150106,29422
2020-09-02,23:01:00,,61,Costa Rica,5102031,42184,0.0,443,0.0,16270,0.0,25471,149,8268,87.0,150106,29421
2020-09-03,23:01:00,,61,Costa Rica,5102158,43305,1121.0,453,10.0,16512,242.0,26340,154,8488,89.0,153884,30161
2020-09-04,07:01:00,,61,Costa Rica,5102285,44458,1153.0,460,7.0,17855,1343.0,26143,161,8713,90.0,156466,30666
2020-09-05,23:31:00,,61,Costa Rica,5102412,46920,2462.0,478,18.0,18211,356.0,28231,200,9196,94.0,156466,30665
2020-09-06,18:30:00,,61,Costa Rica,5102539,46920,0.0,478,0.0,18211,0.0,28231,200,9195,94.0,162780,31902
2020-09-07,23:39:00,,61,Costa Rica,5102666,48780,1860.0,510,32.0,19083,872.0,29187,213,9560,100.0,162780,31901
2020-09-08,22:10:00,,61,Costa Rica,5102793,48780,0.0,510,0.0,19083,0.0,29187,213,9559,100.0,166786,32685
2020-09-09,22:01:00,,61,Costa Rica,5102920,49897,1117.0,531,21.0,19285,202.0,30081,236,9778,104.0,166786,32684
2020-09-10,22:01:00,,61,Costa Rica,5103047,51224,1327.0,543,12.0,19544,259.0,31137,237,10038,106.0,172011,33708
2020-09-11,22:00:00,,61,Costa Rica,5103174,52549,1325.0,567,24.0,20322,778.0,31660,219,10297,111.0,175050,34302
2020-09-12,22:22:00,,61,Costa Rica,5103301,53969,1420.0,583,16.0,20710,388.0,32676,221,10575,114.0,175050,34301
2020-09-13,22:01:00,,61,Costa Rica,5103428,55454,1485.0,590,7.0,20928,218.0,33936,225,10866,116.0,181763,35616
2020-09-14,22:04:00,,61,Costa Rica,5103555,55454,0.0,590,0.0,20928,0.0,33936,225,10866,116.0,181763,35615
2020-09-15,21:00:00,,61,Costa Rica,5103682,57361,1907.0,621,31.0,21206,278.0,35534,243,11239,122.0,186456,36534
2020-09-16,21:01:00,,61,Costa Rica,5103809,58137,776.0,633,12.0,21536,330.0,35968,249,11391,124.0,186456,36533
2020-09-18,20:01:00,,61,Costa Rica,5104063,60818,2681.0,666,33.0,22662,1126.0,37490,245,11916,130.0,193045,37822
2020-09-19,21:00:00,,61,Costa Rica,5104190,62374,1556.0,686,20.0,23160,498.0,38528,245,12220,134.0,196377,38474
2020-09-20,22:31:00,,61,Costa Rica,5104317,63712,1338.0,706,20.0,23552,392.0,39454,247,12482,138.0,199713,39126
2020-09-21,21:01:00,,61,Costa Rica,5104444,63712,0.0,706,0.0,23552,0.0,39454,247,12482,138.0,199713,39125
2020-09-22,21:01:00,,61,Costa Rica,5104571,65602,1890.0,745,39.0,25127,1575.0,39730,254,12852,146.0,204765,40114
2020-09-23,19:58:00,,61,Costa Rica,5104698,66689,1087.0,760,15.0,25706,579.0,40223,260,13064,149.0,204765,40113
2020-09-24,21:00:00,,61,Costa Rica,5104825,68059,1370.0,781,21.0,26136,430.0,41142,249,13332,153.0,210057,41149
2020-09-25,21:00:00,,61,Costa Rica,5104952,69459,1400.0,795,14.0,26554,418.0,42110,253,13606,156.0,213404,41803
2020-09-26,21:00:00,,61,Costa Rica,5105079,70816,1357.0,812,17.0,27023,469.0,42981,237,13872,159.0,216356,42381
2020-09-27,22:45:00,,61,Costa Rica,5105206,72049,1233.0,828,16.0,27760,737.0,43461,238,14113,162.0,219823,43059
2020-09-28,22:00:00,,61,Costa Rica,5105333,72049,0.0,828,0.0,27760,0.0,43461,238,14112,162.0,219823,43058
2020-09-29,21:35:00,,61,Costa Rica,5105459,73714,1665.0,861,33.0,29420,1660.0,43433,228,14438,169.0,224515,43975
2020-09-30,22:00:00,,61,Costa Rica,5105586,74604,890.0,880,19.0,30703,1283.0,43021,230,14612,172.0,224515,43974
2020-10-01,21:31:00,,61,Costa Rica,5105713,75760,1156.0,904,24.0,37841,7138.0,37015,222,14838,177.0,229178,44887
2020-10-02,22:36:00,,61,Costa Rica,5105840,76828,1068.0,917,13.0,39843,2002.0,36068,221,15047,180.0,229178,44885
2020-10-03,22:24:00,,61,Costa Rica,5105967,77829,1001.0,930,13.0,42621,2778.0,34278,224,15243,182.0,234624,45951
2020-10-04,21:01:00,,61,Costa Rica,5106094,79182,1353.0,950,20.0,45007,2386.0,33225,213,15507,186.0,238248,46660
2020-10-05,22:13:00,,61,Costa Rica,5106221,79182,0.0,950,0.0,45007,0.0,33225,213,15507,186.0,238248,46658
2020-10-06,23:01:00,,61,Costa Rica,5106348,82142,2960.0,1004,54.0,50020,5013.0,31118,214,16086,197.0,243276,47642
2020-10-07,23:01:00,,61,Costa Rica,5106475,83497,1355.0,1024,20.0,50295,275.0,32178,203,16351,201.0,245115,48001
2020-10-08,23:59:00,,61,Costa Rica,5106602,84828,1331.0,1040,16.0,51782,1487.0,32006,197,16611,204.0,245115,48000
2020-10-09,23:00:00,,61,Costa Rica,5106729,86053,1225.0,1055,15.0,52327,545.0,32671,197,16851,207.0,251285,49207
2020-10-10,23:00:00,,61,Costa Rica,5106856,87439,1386.0,1076,21.0,52669,342.0,33694,195,17122,211.0,254262,49788
2020-10-12,23:10:00,,61,Costa Rica,5107110,89223,1784.0,1108,32.0,53247,578.0,34868,185,17470,217.0,257549,50429
2020-10-13,23:01:00,,61,Costa Rica,5107237,89223,0.0,1108,0.0,53247,0.0,34868,185,17470,217.0,262281,51355
2020-10-14,23:01:00,,61,Costa Rica,5107364,91780,2557.0,1134,26.0,54155,908.0,36491,203,17970,222.0,264549,51798
2020-10-15,14:09:00,11:06:00,61,Costa Rica,5107491,91780,0.0,1134,0.0,54155,0.0,36491,203,17970,222.0,267827,52438
2020-10-16,22:08:00,19:06:00,61,Costa Rica,5107618,93152,1372.0,1159,25.0,57731,3576.0,34262,206,18238,227.0,271394,53135
2020-10-17,23:01:00,19:58:00,61,Costa Rica,5107745,94348,1196.0,1168,9.0,58269,538.0,34911,217,18472,229.0,271394,53134
2020-10-18,22:05:00,19:03:00,61,Costa Rica,5107872,95514,1166.0,1183,15.0,58816,547.0,35515,217,18699,232.0,271394,53132
2020-10-19,22:05:00,18:59:00,61,Costa Rica,5107999,95514,0.0,1183,0.0,58816,0.0,35515,217,18699,232.0,271394,53131
2020-10-20,22:05:00,19:04:00,61,Costa Rica,5108126,97075,1561.0,1204,21.0,59580,764.0,36291,214,19004,236.0,271394,53130
2020-10-21,22:05:00,19:03:00,61,Costa Rica,5108253,97922,847.0,1222,18.0,60109,529.0,36591,215,19169,239.0,271394,53129
2020-10-22,22:05:00,19:04:00,61,Costa Rica,5108380,99425,1503.0,1236,14.0,60738,629.0,37451,206,19463,242.0,271394,53127
