scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,97,Croatia,4102921,5260,,149,,4373,,738,6,1282,36.0,121320,29569
2020-08-08,20:00:00,,97,Croatia,4102508,5543,283.0,157,8.0,4817,444.0,569,8,1351,38.0,126410,30813
2020-08-12,20:00:00,,97,Croatia,4102233,5740,197.0,160,3.0,4962,145.0,618,5,1399,39.0,130688,31858
2020-08-16,20:00:00,,97,Croatia,4101957,6420,680.0,165,5.0,5193,231.0,1062,10,1565,40.0,136280,33223
2020-08-17,20:00:00,,97,Croatia,4101888,6656,236.0,166,1.0,5254,61.0,1236,11,1623,40.0,138647,33801
2020-08-18,20:00:00,,97,Croatia,4101820,6855,199.0,166,0.0,5318,64.0,1371,11,1671,40.0,140471,34246
2020-08-19,20:00:00,,97,Croatia,4101751,6855,0.0,166,0.0,5318,0.0,1371,11,1671,40.0,140471,34247
2020-08-20,17:53:00,,97,Croatia,4101682,7329,474.0,168,2.0,5472,154.0,1689,13,1787,41.0,144521,35235
2020-08-23,21:09:00,,97,Croatia,4101476,8175,846.0,171,3.0,5801,329.0,2203,12,1993,42.0,148742,36265
2020-08-24,17:10:00,,97,Croatia,4101407,8311,136.0,173,2.0,5926,125.0,2212,12,2026,42.0,152824,37261
2020-08-25,23:00:00,,97,Croatia,4101338,8530,219.0,175,2.0,6124,198.0,2231,9,2080,43.0,154159,37587
2020-08-26,22:59:00,,97,Croatia,4101269,8888,358.0,175,0.0,6362,238.0,2351,10,2167,43.0,157387,38375
2020-08-27,23:00:00,,97,Croatia,4101200,9192,304.0,177,2.0,6595,233.0,2420,13,2241,43.0,160236,39071
2020-08-28,23:01:00,,97,Croatia,4101132,9549,357.0,180,3.0,6809,214.0,2560,11,2328,44.0,162301,39575
2020-08-29,12:29:00,,97,Croatia,4101063,9549,0.0,180,0.0,6809,0.0,2560,11,2328,44.0,162301,39575
2020-08-30,23:00:00,,97,Croatia,4100994,10123,574.0,184,4.0,7212,403.0,2727,13,2468,45.0,166638,40634
2020-08-31,18:58:00,,97,Croatia,4100925,10269,146.0,186,2.0,7434,222.0,2649,14,2504,45.0,168229,41022
2020-09-01,23:00:00,,97,Croatia,4100856,10414,145.0,187,1.0,7735,301.0,2492,14,2539,46.0,171224,41753
2020-09-02,23:01:00,,97,Croatia,4100788,10725,311.0,191,4.0,7968,233.0,2566,15,2615,47.0,175346,42759
2020-09-03,23:01:00,,97,Croatia,4100719,11094,369.0,194,3.0,8266,298.0,2634,15,2705,47.0,179838,43855
2020-09-04,07:01:00,,97,Croatia,4100650,11094,0.0,194,0.0,8266,0.0,2634,15,2705,47.0,179838,43856
2020-09-05,23:31:00,,97,Croatia,4100581,11739,645.0,197,3.0,8771,505.0,2771,19,2863,48.0,187851,45811
2020-09-06,18:30:00,,97,Croatia,4100512,11964,225.0,198,1.0,9008,237.0,2758,21,2918,48.0,191360,46667
2020-09-07,23:39:00,,97,Croatia,4100444,12081,117.0,201,3.0,9266,258.0,2614,19,2946,49.0,193153,47105
2020-09-08,22:10:00,,97,Croatia,4100375,12285,204.0,203,2.0,9553,287.0,2529,23,2996,50.0,196966,48036
2020-09-09,22:01:00,,97,Croatia,4100306,12626,341.0,206,3.0,9833,280.0,2587,24,3079,50.0,201138,49054
2020-09-10,22:01:00,,97,Croatia,4100237,12917,291.0,208,2.0,10142,309.0,2567,24,3150,51.0,201138,49055
2020-09-11,22:00:00,,97,Croatia,4100168,13107,190.0,211,3.0,10466,324.0,2430,26,3197,51.0,210805,51414
2020-09-12,22:22:00,,97,Croatia,4100100,13368,261.0,218,7.0,10721,255.0,2429,24,3260,53.0,216495,52802
2020-09-13,22:01:00,,97,Croatia,4100031,13533,165.0,224,6.0,10899,178.0,2410,22,3301,55.0,221834,54105
2020-09-14,22:04:00,,97,Croatia,4099962,13598,65.0,227,3.0,11151,252.0,2220,22,3317,55.0,225014,54882
2020-09-15,21:00:00,,97,Croatia,4099893,13749,151.0,230,3.0,11412,261.0,2107,22,3354,56.0,230585,56242
2020-09-16,21:01:00,,97,Croatia,4099824,14029,280.0,236,6.0,11690,278.0,2103,20,3422,58.0,236938,57792
2020-09-18,20:01:00,,97,Croatia,4099687,14513,484.0,244,8.0,12169,479.0,2100,21,3540,60.0,249023,60742
2020-09-19,21:00:00,,97,Croatia,4099618,14725,212.0,244,0.0,12353,184.0,2128,24,3592,60.0,254480,62074
2020-09-20,22:31:00,,97,Croatia,4099549,14922,197.0,248,4.0,12536,183.0,2138,21,3640,60.0,258864,63145
2020-09-21,21:01:00,,97,Croatia,4099480,14992,70.0,253,5.0,12737,201.0,2002,24,3657,62.0,262132,63943
2020-09-22,21:01:00,,97,Croatia,4099412,15136,144.0,255,2.0,12987,250.0,1894,24,3692,62.0,267297,65204
2020-09-23,19:58:00,,97,Croatia,4099343,15340,204.0,257,2.0,13815,828.0,1268,27,3742,63.0,273684,66763
2020-09-24,21:00:00,,97,Croatia,4099274,15572,232.0,261,4.0,14111,296.0,1200,24,3799,64.0,279035,68069
2020-09-25,21:00:00,,97,Croatia,4099205,15795,223.0,266,5.0,14303,192.0,1226,22,3853,65.0,284449,69391
2020-09-26,21:00:00,,97,Croatia,4099136,16007,212.0,269,3.0,14405,102.0,1333,25,3905,66.0,289024,70509
2020-09-27,22:45:00,,97,Croatia,4099068,16197,190.0,272,3.0,14609,204.0,1316,23,3951,66.0,292969,71472
2020-09-28,22:00:00,,97,Croatia,4098999,16245,48.0,272,0.0,14793,184.0,1180,24,3963,66.0,295998,72212
2020-09-29,21:35:00,,97,Croatia,4098930,16380,135.0,275,3.0,14947,154.0,1158,26,3996,67.0,300492,73310
