scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,195,Curaçao,164152,29,,1,,24,,4,,177,6.0,1080,6579
2020-08-08,20:00:00,,195,Curaçao,164163,31,2.0,1,0.0,30,6.0,0,,189,6.0,1080,6579
2020-08-12,20:00:00,,195,Curaçao,164170,32,1.0,1,0.0,30,0.0,1,,195,6.0,1080,6579
2020-08-16,20:00:00,,195,Curaçao,164178,34,2.0,1,0.0,31,1.0,2,,207,6.0,1080,6578
2020-08-17,20:00:00,,195,Curaçao,164179,34,0.0,1,0.0,31,0.0,2,,207,6.0,1080,6578
2020-08-18,20:00:00,,195,Curaçao,164181,36,2.0,1,0.0,31,0.0,4,,219,6.0,1080,6578
2020-08-19,20:00:00,,195,Curaçao,164183,36,0.0,1,0.0,31,0.0,4,,219,6.0,1080,6578
2020-08-20,17:53:00,,195,Curaçao,164185,36,0.0,1,0.0,31,0.0,4,,219,6.0,1080,6578
2020-08-23,21:09:00,,195,Curaçao,164190,39,3.0,1,0.0,33,2.0,5,,238,6.0,1080,6578
2020-08-24,17:10:00,,195,Curaçao,164192,43,4.0,1,0.0,34,1.0,8,,262,6.0,1080,6578
2020-08-25,23:00:00,,195,Curaçao,164194,47,4.0,1,0.0,34,0.0,12,,286,6.0,1080,6578
2020-08-26,22:59:00,,195,Curaçao,164196,49,2.0,1,0.0,34,0.0,14,,298,6.0,1080,6578
2020-08-27,23:00:00,,195,Curaçao,164198,53,4.0,1,0.0,34,0.0,18,,323,6.0,1080,6577
2020-08-28,23:01:00,,195,Curaçao,164200,55,2.0,1,0.0,35,1.0,19,,335,6.0,1080,6577
2020-08-29,12:29:00,,195,Curaçao,164201,62,7.0,1,0.0,35,0.0,26,,378,6.0,1080,6577
2020-08-30,23:00:00,,195,Curaçao,164203,67,5.0,1,0.0,35,0.0,31,,408,6.0,1080,6577
2020-08-31,18:58:00,,195,Curaçao,164205,68,1.0,1,0.0,35,0.0,32,,414,6.0,1080,6577
2020-09-01,23:00:00,,195,Curaçao,164207,69,1.0,1,0.0,35,0.0,33,,420,6.0,1080,6577
2020-09-02,23:01:00,,195,Curaçao,164209,71,2.0,1,0.0,35,0.0,35,,432,6.0,1080,6577
2020-09-03,23:01:00,,195,Curaçao,164211,75,4.0,1,0.0,39,4.0,35,,457,6.0,1080,6577
2020-09-04,07:01:00,,195,Curaçao,164212,78,3.0,1,0.0,39,0.0,38,,475,6.0,1080,6577
2020-09-05,23:31:00,,195,Curaçao,164214,88,10.0,1,0.0,39,0.0,48,,536,6.0,1080,6577
2020-09-06,18:30:00,,195,Curaçao,164216,92,4.0,1,0.0,45,6.0,46,,560,6.0,1080,6577
2020-09-07,23:39:00,,195,Curaçao,164218,102,10.0,1,0.0,45,0.0,56,,621,6.0,1080,6577
2020-09-08,22:10:00,,195,Curaçao,164220,102,0.0,1,0.0,45,0.0,56,,621,6.0,1080,6577
2020-09-10,22:01:00,,195,Curaçao,164223,131,29.0,1,0.0,55,10.0,75,1.0,798,6.0,1080,6576
2020-09-11,22:00:00,,195,Curaçao,164225,135,4.0,1,0.0,55,0.0,79,1.0,822,6.0,1080,6576
2020-09-12,22:22:00,,195,Curaçao,164227,135,0.0,1,0.0,55,0.0,79,1.0,822,6.0,1080,6576
2020-09-13,22:01:00,,195,Curaçao,164229,145,10.0,1,0.0,56,1.0,88,1.0,883,6.0,1080,6576
2020-09-14,22:04:00,,195,Curaçao,164231,157,12.0,1,0.0,57,1.0,99,1.0,956,6.0,1080,6576
2020-09-15,21:00:00,,195,Curaçao,164232,169,12.0,1,0.0,61,4.0,107,1.0,1029,6.0,1080,6576
2020-09-16,21:01:00,,195,Curaçao,164234,192,23.0,1,0.0,61,0.0,130,1.0,1169,6.0,1080,6576
2020-09-18,20:01:00,,195,Curaçao,164238,210,18.0,1,0.0,74,13.0,135,1.0,1279,6.0,1080,6576
2020-09-19,21:00:00,,195,Curaçao,164240,228,18.0,1,0.0,83,9.0,144,1.0,1388,6.0,1080,6576
2020-09-20,22:31:00,,195,Curaçao,164242,247,19.0,1,0.0,88,5.0,158,1.0,1504,6.0,1080,6576
2020-09-21,21:01:00,,195,Curaçao,164243,282,35.0,1,0.0,102,14.0,179,1.0,1717,6.0,1080,6576
2020-09-22,21:01:00,,195,Curaçao,164245,282,0.0,1,0.0,102,0.0,179,1.0,1717,6.0,1080,6576
2020-09-23,19:58:00,,195,Curaçao,164247,291,9.0,1,0.0,103,1.0,187,1.0,1772,6.0,1080,6575
2020-09-24,21:00:00,,195,Curaçao,164249,315,24.0,1,0.0,115,12.0,199,1.0,1918,6.0,1080,6575
2020-09-25,21:00:00,,195,Curaçao,164251,315,0.0,1,0.0,115,0.0,199,1.0,1918,6.0,1080,6575
2020-09-26,21:00:00,,195,Curaçao,164253,329,14.0,1,0.0,124,9.0,204,1.0,2003,6.0,1080,6575
2020-09-27,22:45:00,,195,Curaçao,164254,360,31.0,1,0.0,141,17.0,218,1.0,2192,6.0,1080,6575
2020-09-28,22:00:00,,195,Curaçao,164256,364,4.0,1,0.0,148,7.0,215,1.0,2216,6.0,1080,6575
2020-09-29,21:35:00,,195,Curaçao,164258,364,0.0,1,0.0,148,0.0,215,1.0,2216,6.0,1080,6575
2020-09-30,22:00:00,,195,Curaçao,164260,392,28.0,1,0.0,171,23.0,220,1.0,2386,6.0,7442,45306
2020-10-01,21:31:00,,195,Curaçao,164262,392,0.0,1,0.0,171,0.0,220,1.0,2386,6.0,7442,45306
2020-10-02,22:36:00,,195,Curaçao,164264,399,7.0,1,0.0,185,14.0,213,1.0,2429,6.0,7553,45981
2020-10-03,22:24:00,,195,Curaçao,164265,411,12.0,1,0.0,197,12.0,213,2.0,2502,6.0,7730,47058
2020-10-04,21:01:00,,195,Curaçao,164267,429,18.0,1,0.0,213,16.0,215,2.0,2612,6.0,7895,48062
2020-10-05,22:13:00,,195,Curaçao,164269,462,33.0,1,0.0,242,29.0,219,2.0,2812,6.0,8045,48975
2020-10-06,23:01:00,,195,Curaçao,164271,476,14.0,1,0.0,262,20.0,213,2.0,2898,6.0,8404,51159
2020-10-07,23:01:00,,195,Curaçao,164273,476,0.0,1,0.0,262,0.0,213,2.0,2898,6.0,8404,51159
2020-10-08,23:59:00,,195,Curaçao,164275,532,56.0,1,0.0,281,19.0,250,2.0,3238,6.0,8745,53234
