scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208118,1139,15.0,19,,856,4.0,264,,943,16.0,208031,172194
2020-08-08,20:00:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208262,1222,,19,,856,,347,,1011,16.0,220136,182192
2020-08-12,20:00:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208358,1277,,20,,870,,387,5.0,1057,17.0,239630,198310
2020-08-16,20:00:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208454,1332,,20,,870,,442,5.0,1102,17.0,239630,198295
2020-08-17,20:00:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208478,1351,12.0,20,,870,,461,5.0,1118,17.0,239630,198291
2020-08-18,20:00:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208502,1351,,20,,870,,461,5.0,1118,17.0,239630,198287
2020-08-19,20:00:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208526,1359,,20,,878,,461,5.0,1125,17.0,263943,218401
2020-08-20,17:53:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208550,1385,,20,,878,,487,5.0,1146,17.0,263943,218396
2020-08-23,21:09:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208622,1417,,20,,878,,519,5.0,1172,17.0,263943,218383
2020-08-24,17:10:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208646,1421,,20,,878,,523,5.0,1176,17.0,280445,232032
2020-08-25,23:00:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208670,1451,,20,,878,,553,5.0,1200,17.0,280445,232028
2020-08-26,22:59:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208694,1484,10.0,20,,935,,529,5.0,1228,17.0,286736,237228
2020-08-27,23:00:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208718,1484,,20,,935,,529,5.0,1228,17.0,286736,237223
2020-08-28,23:01:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208742,1481,14.0,20,,935,,526,5.0,1225,17.0,286736,237219
2020-08-29,12:29:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208766,1481,,20,,935,,526,5.0,1225,17.0,286736,237214
2020-08-30,23:00:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208790,1487,4.0,20,,935,,532,5.0,1230,17.0,286736,237209
2020-08-31,18:58:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208814,1487,,20,,1139,204.0,328,5.0,1230,17.0,286736,237204
2020-09-01,23:00:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208838,1488,,20,,1139,,329,5.0,1231,17.0,286736,237200
2020-09-02,23:01:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208862,1495,5.0,21,,1139,,335,5.0,1237,17.0,286736,237195
2020-09-03,23:01:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208886,1498,3.0,21,,1139,,338,5.0,1239,17.0,286736,237190
2020-09-04,07:01:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208910,1498,,21,,1139,,338,5.0,1239,17.0,286736,237186
2020-09-05,23:31:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208934,1507,5.0,21,,1237,98.0,249,5.0,1247,17.0,312813,258751
2020-09-06,18:30:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208958,1507,,21,,1237,,249,5.0,1247,17.0,312813,258746
2020-09-07,23:39:00,1969-12-31 23:59:59.999999999,144,Cyprus,1208982,1510,1.0,22,1.0,1237,,251,5.0,1249,18.0,312813,258741
2020-09-08,22:10:00,1969-12-31 23:59:59.999999999,144,Cyprus,1209006,1510,,22,,1237,,251,5.0,1249,18.0,312813,258736
2020-09-10,22:01:00,1969-12-31 23:59:59.999999999,144,Cyprus,1209053,1517,3.0,22,,1237,,258,5.0,1255,18.0,312813,258726
2020-09-11,22:00:00,1969-12-31 23:59:59.999999999,144,Cyprus,1209077,1520,3.0,22,,1237,,261,5.0,1257,18.0,312813,258720
2020-09-12,22:22:00,1969-12-31 23:59:59.999999999,144,Cyprus,1209101,1520,,22,,1237,,261,5.0,1257,18.0,312813,258715
2020-09-13,22:01:00,1969-12-31 23:59:59.999999999,144,Cyprus,1209125,1523,,22,,1281,,220,5.0,1260,18.0,329476,272491
2020-09-14,22:04:00,1969-12-31 23:59:59.999999999,144,Cyprus,1209149,1526,,22,,1281,,223,2.0,1262,18.0,332286,274810
2020-09-15,21:00:00,1969-12-31 23:59:59.999999999,144,Cyprus,1209173,1534,,22,,1282,,230,2.0,1269,18.0,335314,277309
