Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,70,Czechia,10710749,16699,,383,,11587,,4729,19,1559,36.0,698635,65227
2020-08-08,20:00:00,,70,Czechia,10711073,18146,1447.0,389,6.0,12764,1177.0,4993,17,1694,36.0,743589,69422
2020-08-12,20:00:00,,70,Czechia,10711290,18783,637.0,391,2.0,13222,458.0,5170,17,1754,37.0,757957,70762
2020-08-16,20:00:00,,70,Czechia,10711506,19891,1108.0,395,4.0,13763,541.0,5733,24,1857,37.0,791082,73853
2020-08-17,20:00:00,,70,Czechia,10711561,20098,207.0,399,4.0,14523,760.0,5176,26,1876,37.0,798770,74571
2020-08-18,20:00:00,,70,Czechia,10711615,20393,295.0,401,2.0,15146,623.0,4846,29,1904,37.0,805609,75209
2020-08-19,20:00:00,,70,Czechia,10711669,20483,90.0,401,0.0,15146,0.0,4936,29,1912,37.0,805609,75209
2020-08-20,17:53:00,,70,Czechia,10711723,20798,315.0,404,3.0,15615,469.0,4779,23,1942,38.0,812835,75883
2020-08-23,21:09:00,,70,Czechia,10711885,21790,992.0,411,7.0,16087,472.0,5292,22,2034,38.0,834547,77909
2020-08-24,17:10:00,,70,Czechia,10711939,21923,133.0,412,1.0,16125,38.0,5386,22,2047,38.0,840008,78418
2020-08-25,23:00:00,,70,Czechia,10711994,22414,491.0,416,4.0,16650,525.0,5348,22,2092,39.0,852414,79576
2020-08-26,22:59:00,,70,Czechia,10712048,22790,376.0,418,2.0,16939,289.0,5433,31,2128,39.0,861392,80413
2020-08-27,23:00:00,,70,Czechia,10712102,23169,379.0,418,0.0,17190,251.0,5561,31,2163,39.0,871133,81322
2020-08-28,23:01:00,,70,Czechia,10712156,23582,413.0,419,1.0,17447,257.0,5716,32,2201,39.0,880717,82217
2020-08-29,12:29:00,,70,Czechia,10712210,23777,195.0,419,0.0,17497,50.0,5861,32,2220,39.0,880717,82216
2020-08-30,23:00:00,,70,Czechia,10712264,24198,421.0,423,4.0,17546,49.0,6229,33,2259,39.0,896813,83718
2020-08-31,18:58:00,,70,Czechia,10712318,24367,169.0,423,0.0,17547,1.0,6397,33,2275,39.0,896813,83718
2020-09-01,23:00:00,,70,Czechia,10712372,24832,465.0,425,2.0,18088,541.0,6319,34,2318,40.0,910872,85030
2020-09-02,23:01:00,,70,Czechia,10712426,25579,747.0,425,0.0,18307,219.0,6847,40,2388,40.0,923220,86182
2020-09-03,23:01:00,,70,Czechia,10712481,26127,548.0,426,1.0,18663,356.0,7038,40,2439,40.0,934453,87230
2020-09-04,07:01:00,,70,Czechia,10712535,26452,325.0,426,0.0,18663,0.0,7363,40,2469,40.0,934453,87230
2020-09-05,23:31:00,,70,Czechia,10712589,27560,1108.0,431,5.0,19033,370.0,8096,50,2573,40.0,958802,89502
2020-09-06,18:30:00,,70,Czechia,10712643,27752,192.0,431,0.0,19039,6.0,8282,50,2591,40.0,958802,89502
2020-09-07,23:39:00,,70,Czechia,10712697,28374,622.0,436,5.0,19053,14.0,8885,52,2649,41.0,966174,90190
2020-09-08,22:10:00,,70,Czechia,10712751,29368,994.0,440,4.0,20139,1086.0,8789,62,2741,41.0,982811,91742
2020-09-09,22:01:00,,70,Czechia,10712805,30576,1208.0,444,4.0,20365,226.0,9767,57,2854,41.0,982811,91742
2020-09-10,22:01:00,,70,Czechia,10712859,31759,1183.0,447,3.0,20724,359.0,10588,64,2965,42.0,1014369,94687
2020-09-11,22:00:00,,70,Czechia,10712914,33322,1563.0,450,3.0,21140,416.0,11732,65,3110,42.0,1030511,96193
2020-09-12,22:22:00,,70,Czechia,10712968,34744,1422.0,453,3.0,21150,10.0,13141,69,3243,42.0,1030511,96193
2020-09-13,22:01:00,,70,Czechia,10713022,35933,1189.0,456,3.0,21209,59.0,14268,69,3354,43.0,1049146,97932
2020-09-14,22:04:00,,70,Czechia,10713076,36722,789.0,465,9.0,22020,811.0,14237,69,3428,43.0,1070382,99914
2020-09-15,21:00:00,,70,Czechia,10713130,38187,1465.0,476,11.0,22526,506.0,15185,78,3565,44.0,1086466,101414
2020-09-16,21:01:00,,70,Czechia,10713184,40186,1999.0,481,5.0,22896,370.0,16809,78,3751,45.0,1104893,103134
2020-09-18,20:01:00,,70,Czechia,10713292,45228,5042.0,494,13.0,23652,756.0,21082,91,4222,46.0,1148880,107239
