scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,87,DRC,89764818,9115,,215,,7319,,1581,,102,2.0,,
2020-08-08,20:00:00,,87,DRC,89809656,9436,321.0,218,3.0,8275,956.0,943,,105,2.0,,
2020-08-12,20:00:00,,87,DRC,89839548,9538,102.0,225,7.0,8421,146.0,892,,106,3.0,,
2020-08-16,20:00:00,,87,DRC,89869440,9676,138.0,240,15.0,8705,284.0,731,,108,3.0,,
2020-08-17,20:00:00,,87,DRC,89876913,9706,30.0,243,3.0,8705,0.0,758,,108,3.0,,
2020-08-18,20:00:00,,87,DRC,89884386,9721,15.0,243,0.0,8882,177.0,596,,108,3.0,,
2020-08-19,20:00:00,,87,DRC,89891859,9741,20.0,246,3.0,8895,13.0,600,,108,3.0,,
2020-08-20,17:53:00,,87,DRC,89899332,9757,16.0,247,1.0,8895,0.0,615,,109,3.0,,
2020-08-23,21:09:00,,87,DRC,89921751,9830,73.0,251,4.0,8934,39.0,645,,109,3.0,,
2020-08-24,17:10:00,,87,DRC,89929224,9830,0.0,251,0.0,8934,0.0,645,,109,3.0,,
2020-08-25,23:00:00,,87,DRC,89936697,9891,61.0,251,0.0,8972,38.0,668,,110,3.0,,
2020-08-26,22:59:00,,87,DRC,89944170,9912,21.0,254,3.0,8987,15.0,671,,110,3.0,,
2020-08-27,23:00:00,,87,DRC,89951643,9915,3.0,255,1.0,9020,33.0,640,,110,3.0,,
2020-08-28,23:01:00,,87,DRC,89959116,9994,79.0,255,0.0,9035,15.0,704,,111,3.0,,
2020-08-29,12:29:00,,87,DRC,89966589,9994,0.0,255,0.0,9035,0.0,704,,111,3.0,,
2020-08-30,23:00:00,,87,DRC,89974062,10045,51.0,258,3.0,9103,68.0,684,,112,3.0,,
2020-08-31,18:58:00,,87,DRC,89981535,10097,52.0,258,0.0,9133,30.0,706,,112,3.0,,
2020-09-01,23:00:00,,87,DRC,89989008,10104,7.0,259,1.0,9322,189.0,523,,112,3.0,,
2020-09-02,23:01:00,,87,DRC,89996481,10114,10.0,259,0.0,9347,25.0,508,,112,3.0,,
2020-09-03,23:01:00,,87,DRC,90003954,10125,11.0,259,0.0,9367,20.0,499,,112,3.0,,
