Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,104,Djibouti,989190,5161,,59,,5019,,83,,5217,60.0,57575,58204
2020-08-08,20:00:00,,104,Djibouti,989426,5338,177.0,59,0.0,5083,64.0,196,,5395,60.0,59909,60549
2020-08-12,20:00:00,,104,Djibouti,989583,5348,10.0,59,0.0,5133,50.0,156,,5404,60.0,61199,61843
2020-08-16,20:00:00,,104,Djibouti,989740,5367,19.0,59,0.0,5181,48.0,127,,5423,60.0,62731,63381
2020-08-17,20:00:00,,104,Djibouti,989779,5369,2.0,59,0.0,5202,21.0,108,,5424,60.0,63001,63652
2020-08-18,20:00:00,,104,Djibouti,989819,5372,3.0,59,0.0,5211,9.0,102,,5427,60.0,63299,63950
2020-08-19,20:00:00,,104,Djibouti,989858,5374,2.0,59,0.0,5216,5.0,99,,5429,60.0,63299,63948
2020-08-20,17:53:00,,104,Djibouti,989897,5374,0.0,59,0.0,5216,0.0,99,,5429,60.0,63471,64119
2020-08-23,21:09:00,,104,Djibouti,990015,5382,8.0,60,1.0,5254,38.0,68,,5436,61.0,64670,65322
2020-08-24,17:10:00,,104,Djibouti,990054,5382,0.0,60,0.0,5254,0.0,68,,5436,61.0,64670,65320
2020-08-25,23:00:00,,104,Djibouti,990093,5383,1.0,60,0.0,5282,28.0,41,,5437,61.0,65651,66308
2020-08-26,22:59:00,,104,Djibouti,990133,5383,0.0,60,0.0,5297,15.0,26,,5437,61.0,66035,66693
2020-08-27,23:00:00,,104,Djibouti,990172,5383,0.0,60,0.0,5307,10.0,16,,5436,61.0,66447,67107
2020-08-28,23:01:00,,104,Djibouti,990211,5383,0.0,60,0.0,5307,0.0,16,,5436,61.0,66447,67104
2020-08-29,12:29:00,,104,Djibouti,990251,5383,0.0,60,0.0,5307,0.0,16,,5436,61.0,66447,67101
2020-08-30,23:00:00,,104,Djibouti,990290,5385,2.0,60,0.0,5319,12.0,6,,5438,61.0,66859,67515
2020-08-31,18:58:00,,104,Djibouti,990329,5387,2.0,60,0.0,5323,4.0,4,,5440,61.0,67370,68028
2020-09-01,23:00:00,,104,Djibouti,990368,5387,0.0,60,0.0,5327,4.0,0,,5439,61.0,67780,68439
2020-09-02,23:01:00,,104,Djibouti,990408,5387,0.0,60,0.0,5327,0.0,0,,5439,61.0,67780,68436
2020-09-03,23:01:00,,104,Djibouti,990447,5387,0.0,60,0.0,5327,0.0,0,,5439,61.0,68142,68799
2020-09-04,07:01:00,,104,Djibouti,990486,5387,0.0,60,0.0,5327,0.0,0,,5439,61.0,68142,68797
2020-09-05,23:31:00,,104,Djibouti,990525,5387,0.0,60,0.0,5327,0.0,0,,5439,61.0,68856,69515
2020-09-06,18:30:00,,104,Djibouti,990565,5387,0.0,60,0.0,5327,0.0,0,,5438,61.0,68856,69512
2020-09-07,23:39:00,,104,Djibouti,990604,5388,1.0,61,1.0,5327,0.0,0,,5439,62.0,69405,70063
2020-09-08,22:10:00,,104,Djibouti,990643,5388,0.0,61,0.0,5327,0.0,0,,5439,62.0,69405,70061
2020-09-09,22:01:00,,104,Djibouti,990683,5391,3.0,61,0.0,5327,0.0,3,,5442,62.0,70111,70770
2020-09-10,22:01:00,,104,Djibouti,990722,5391,0.0,61,0.0,5327,0.0,3,,5441,62.0,70111,70768
2020-09-11,22:00:00,,104,Djibouti,990761,5394,3.0,61,0.0,5327,0.0,6,,5444,62.0,70954,71616
2020-09-12,22:22:00,,104,Djibouti,990800,5394,0.0,61,0.0,5327,0.0,6,,5444,62.0,70954,71613
2020-09-13,22:01:00,,104,Djibouti,990840,5395,1.0,61,0.0,5330,3.0,4,,5445,62.0,71757,72420
2020-09-14,22:04:00,,104,Djibouti,990879,5396,1.0,61,0.0,5331,1.0,4,,5446,62.0,72143,72807
2020-09-15,21:00:00,,104,Djibouti,990918,5396,0.0,61,0.0,5331,0.0,4,,5445,62.0,72143,72804
2020-09-16,21:01:00,,104,Djibouti,990957,5396,0.0,61,0.0,5331,0.0,4,,5445,62.0,72143,72801
2020-09-18,20:01:00,,104,Djibouti,991036,5399,3.0,61,0.0,5333,2.0,5,,5448,62.0,73416,74080
2020-09-19,21:00:00,,104,Djibouti,991075,5403,4.0,61,0.0,5333,0.0,9,,5452,62.0,73804,74469
2020-09-20,22:31:00,,104,Djibouti,991115,5403,0.0,61,0.0,5333,0.0,9,,5451,62.0,73804,74466
2020-09-21,21:01:00,,104,Djibouti,991154,5404,1.0,61,0.0,5336,3.0,7,,5452,62.0,74456,75121
2020-09-22,21:01:00,,104,Djibouti,991193,5404,0.0,61,0.0,5336,0.0,7,,5452,62.0,74456,75118
2020-09-23,19:58:00,,104,Djibouti,991232,5407,3.0,61,0.0,5338,2.0,8,,5455,62.0,75166,75831
2020-09-24,21:00:00,,104,Djibouti,991272,5407,0.0,61,0.0,5338,0.0,8,,5455,62.0,75166,75828
2020-09-25,21:00:00,,104,Djibouti,991311,5407,0.0,61,0.0,5339,1.0,7,,5454,62.0,75534,76196
2020-09-26,21:00:00,,104,Djibouti,991350,5409,2.0,61,0.0,5340,1.0,8,,5456,62.0,75899,76561
2020-09-27,22:45:00,,104,Djibouti,991389,5409,0.0,61,0.0,5340,0.0,8,,5456,62.0,76076,76737
2020-09-28,22:00:00,,104,Djibouti,991429,5410,1.0,61,0.0,5340,0.0,9,,5457,62.0,76292,76952
2020-09-29,21:35:00,,104,Djibouti,991468,5416,6.0,61,0.0,5344,4.0,11,,5463,62.0,76498,77156
2020-09-30,22:00:00,,104,Djibouti,991507,5416,0.0,61,0.0,5344,0.0,11,,5462,62.0,76791,77449
2020-10-01,21:31:00,,104,Djibouti,991547,5417,1.0,61,0.0,5346,2.0,10,,5463,62.0,77126,77784
2020-10-02,22:36:00,,104,Djibouti,991586,5417,0.0,61,0.0,5346,0.0,10,,5463,62.0,77126,77780
2020-10-03,22:24:00,,104,Djibouti,991625,5417,0.0,61,0.0,5346,0.0,10,,5463,62.0,77365,78018
2020-10-04,21:01:00,,104,Djibouti,991664,5419,2.0,61,0.0,5349,3.0,9,,5465,62.0,77743,78397
2020-10-05,22:13:00,,104,Djibouti,991704,5419,0.0,61,0.0,5349,0.0,9,,5464,62.0,77743,78393
2020-10-06,23:01:00,,104,Djibouti,991743,5421,2.0,61,0.0,5352,3.0,8,,5466,62.0,78079,78729
2020-10-07,23:01:00,,104,Djibouti,991782,5423,2.0,61,0.0,5353,1.0,9,,5468,62.0,78533,79184
2020-10-08,23:59:00,,104,Djibouti,991821,5423,0.0,61,0.0,5353,0.0,9,,5468,62.0,78860,79510
2020-10-09,23:00:00,,104,Djibouti,991861,5423,0.0,61,0.0,5355,2.0,7,,5467,62.0,79257,79907
2020-10-10,23:00:00,,104,Djibouti,991900,5423,0.0,61,0.0,5355,0.0,7,,5467,61.0,79257,79904
2020-10-12,23:10:00,,104,Djibouti,991979,5423,0.0,61,0.0,5355,0.0,7,,5467,61.0,79257,79898
