scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,32,Dominican Republic,10857163,71415,,1170,,37509,,32736,284,6578,108.0,260171,23963
2020-08-08,20:00:00,,32,Dominican Republic,10858945,78778,7363.0,1289,119.0,42538,5029.0,34951,317,7255,119.0,290267,26731
2020-08-12,20:00:00,,32,Dominican Republic,10860133,81094,2316.0,1346,57.0,45666,3128.0,34082,293,7467,124.0,300134,27636
2020-08-16,20:00:00,,32,Dominican Republic,10861321,85545,4451.0,1438,92.0,51356,5690.0,32751,303,7876,132.0,317643,29245
2020-08-17,20:00:00,,32,Dominican Republic,10861618,86309,764.0,1453,15.0,52905,1549.0,31951,303,7946,134.0,322056,29651
2020-08-18,20:00:00,,32,Dominican Republic,10861915,86737,428.0,1481,28.0,54108,1203.0,31148,295,7985,136.0,324463,29872
2020-08-19,20:00:00,,32,Dominican Republic,10862212,87123,386.0,1489,8.0,55504,1396.0,30130,296,8021,137.0,326644,30072
2020-08-20,17:53:00,,32,Dominican Republic,10862509,89010,1887.0,1505,16.0,57734,2230.0,29771,288,8194,139.0,335478,30884
2020-08-23,21:09:00,,32,Dominican Republic,10863400,90561,1551.0,1554,49.0,59949,2215.0,29058,273,8336,143.0,343796,31647
2020-08-24,17:10:00,,32,Dominican Republic,10863697,91161,600.0,1567,13.0,60670,721.0,28924,273,8391,144.0,343796,31646
2020-08-25,23:00:00,,32,Dominican Republic,10863994,92217,1056.0,1585,18.0,62460,1790.0,28172,242,8488,146.0,350033,32220
2020-08-26,22:59:00,,32,Dominican Republic,10864291,92557,340.0,1613,28.0,63478,1018.0,27466,249,8519,148.0,355839,32753
2020-08-27,23:00:00,,32,Dominican Republic,10864588,92964,407.0,1630,17.0,64347,869.0,26987,226,8557,150.0,358533,33000
2020-08-28,23:01:00,,32,Dominican Republic,10864885,92964,0.0,1630,0.0,64347,0.0,26987,226,8556,150.0,358533,32999
2020-08-29,12:29:00,,32,Dominican Republic,10865182,93390,426.0,1648,18.0,65285,938.0,26457,233,8595,152.0,360999,33225
2020-08-30,23:00:00,,32,Dominican Republic,10865479,94241,851.0,1681,33.0,66776,1491.0,25784,220,8673,155.0,367146,33790
2020-08-31,18:58:00,,32,Dominican Republic,10865776,94241,0.0,1681,0.0,66776,0.0,25784,220,8673,155.0,367146,33789
2020-09-01,23:00:00,,32,Dominican Republic,10866073,94715,474.0,1710,29.0,68082,1306.0,24923,217,8717,157.0,370875,34131
2020-09-02,23:01:00,,32,Dominican Republic,10866370,95627,912.0,1765,55.0,69519,1437.0,24343,217,8800,162.0,376121,34613
2020-09-03,23:01:00,,32,Dominican Republic,10866667,95627,0.0,1765,0.0,69519,0.0,24343,217,8800,162.0,376121,34612
2020-09-04,07:01:00,,32,Dominican Republic,10866964,96629,1002.0,1801,36.0,70871,1352.0,23957,199,8892,166.0,379929,34962
2020-09-05,23:31:00,,32,Dominican Republic,10867261,98776,2147.0,1840,39.0,71901,1030.0,25035,210,9089,169.0,391190,35997
2020-09-06,18:30:00,,32,Dominican Republic,10867558,98776,0.0,1840,0.0,71901,0.0,25035,210,9089,169.0,391190,35996
2020-09-07,23:39:00,,32,Dominican Republic,10867855,99333,557.0,1845,5.0,72567,666.0,24921,210,9140,170.0,394791,36326
2020-09-08,22:10:00,,32,Dominican Republic,10868152,99898,565.0,1864,19.0,73228,661.0,24806,210,9192,172.0,394791,36325
2020-09-09,22:01:00,,32,Dominican Republic,10868449,100937,1039.0,1914,50.0,74305,1077.0,24718,210,9287,176.0,403755,37149
2020-09-10,22:01:00,,32,Dominican Republic,10868746,101716,779.0,1926,12.0,75034,729.0,24756,210,9359,177.0,408014,37540
2020-09-11,22:00:00,,32,Dominican Republic,10869043,101716,0.0,1926,0.0,75034,0.0,24756,210,9358,177.0,408014,37539
2020-09-12,22:22:00,,32,Dominican Republic,10869340,102232,516.0,1941,15.0,75747,713.0,24544,210,9406,179.0,408014,37538
2020-09-13,22:01:00,,32,Dominican Republic,10869637,103660,1428.0,1968,27.0,77182,1435.0,24510,210,9537,181.0,419327,38578
2020-09-14,22:04:00,,32,Dominican Republic,10869934,104110,450.0,1984,16.0,77790,608.0,24336,210,9578,183.0,422070,38829
2020-09-15,21:00:00,,32,Dominican Republic,10870231,104110,0.0,1984,0.0,77790,0.0,24336,210,9578,183.0,422070,38828
2020-09-16,21:01:00,,32,Dominican Republic,10870528,105521,1411.0,2009,25.0,78891,1101.0,24621,210,9707,185.0,422070,38827
2020-09-18,20:01:00,,32,Dominican Republic,10871122,106732,1211.0,2034,25.0,80179,1288.0,24519,210,9818,187.0,422070,38825
2020-09-19,21:00:00,,32,Dominican Republic,10871419,107700,968.0,2044,10.0,80820,641.0,24836,210,9907,188.0,442354,40690
2020-09-20,22:31:00,,32,Dominican Republic,10871716,108289,589.0,2047,3.0,81668,848.0,24574,210,9961,188.0,446239,41046
2020-09-21,21:01:00,,32,Dominican Republic,10872013,108783,494.0,2054,7.0,82274,606.0,24455,210,10006,189.0,446239,41045
2020-09-22,21:01:00,,32,Dominican Republic,10872310,109269,486.0,2064,10.0,82741,467.0,24464,213,10050,190.0,452188,41591
2020-09-23,19:58:00,,32,Dominican Republic,10872607,109737,468.0,2074,10.0,83434,693.0,24229,208,10093,191.0,455525,41897
2020-09-24,21:00:00,,32,Dominican Republic,10872904,110122,385.0,2076,2.0,84018,584.0,24028,213,10128,191.0,458581,42176
2020-09-25,21:00:00,,32,Dominican Republic,10873201,110597,475.0,2087,11.0,84610,592.0,23900,214,10172,192.0,462287,42516
2020-09-26,21:00:00,,32,Dominican Republic,10873498,110957,360.0,2093,6.0,85220,610.0,23644,214,10204,192.0,462287,42515
2020-09-27,22:45:00,,32,Dominican Republic,10873795,111386,429.0,2095,2.0,85965,745.0,23326,205,10244,193.0,470261,43247
2020-09-28,22:00:00,,32,Dominican Republic,10874092,111666,280.0,2098,3.0,86422,457.0,23146,194,10269,193.0,472421,43445
2020-09-29,21:35:00,,32,Dominican Republic,10874389,111900,234.0,2101,3.0,86998,576.0,22801,185,10290,193.0,474030,43591
