Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,106,Equatorial Guinea,1406368,4821,,83,,2182,,2556,,3428,59.0,44356,31539
2020-08-08,20:00:00,,106,Equatorial Guinea,1407128,4821,0.0,83,0.0,2182,0.0,2556,,3426,59.0,44356,31522
2020-08-12,20:00:00,,106,Equatorial Guinea,1407634,4821,0.0,83,0.0,2182,0.0,2556,,3425,59.0,44356,31511
2020-08-16,20:00:00,,106,Equatorial Guinea,1408141,4821,0.0,83,0.0,2182,0.0,2556,,3424,59.0,44356,31500
2020-08-17,20:00:00,,106,Equatorial Guinea,1408267,4821,0.0,83,0.0,2182,0.0,2556,,3423,59.0,44356,31497
2020-08-18,20:00:00,,106,Equatorial Guinea,1408394,4821,0.0,83,0.0,2182,0.0,2556,,3423,59.0,44356,31494
2020-08-19,20:00:00,,106,Equatorial Guinea,1408520,4821,0.0,83,0.0,2182,0.0,2556,,3423,59.0,44356,31491
2020-08-20,17:53:00,,106,Equatorial Guinea,1408647,4892,71.0,83,0.0,2713,531.0,2096,,3473,59.0,49215,34938
2020-08-23,21:09:00,,106,Equatorial Guinea,1409027,4926,34.0,83,0.0,3795,1082.0,1048,2.0,3496,59.0,50481,35827
2020-08-24,17:10:00,,106,Equatorial Guinea,1409153,4926,0.0,83,0.0,3795,0.0,1048,2.0,3496,59.0,50481,35824
2020-08-25,23:00:00,,106,Equatorial Guinea,1409280,4926,0.0,83,0.0,3795,0.0,1048,2.0,3495,59.0,50481,35820
2020-08-26,22:59:00,,106,Equatorial Guinea,1409407,4926,0.0,83,0.0,3795,0.0,1048,2.0,3495,59.0,50481,35817
2020-08-27,23:00:00,,106,Equatorial Guinea,1409533,4928,2.0,83,0.0,3798,3.0,1047,1.0,3496,59.0,51597,36606
2020-08-28,23:01:00,,106,Equatorial Guinea,1409660,4928,0.0,83,0.0,3798,0.0,1047,1.0,3496,59.0,51597,36602
2020-08-29,12:29:00,,106,Equatorial Guinea,1409786,4941,13.0,83,0.0,3884,86.0,974,1.0,3505,59.0,51944,36845
2020-08-30,23:00:00,,106,Equatorial Guinea,1409913,4941,0.0,83,0.0,3884,0.0,974,1.0,3504,59.0,51944,36842
2020-08-31,18:58:00,,106,Equatorial Guinea,1410040,4941,0.0,83,0.0,3884,0.0,974,1.0,3504,59.0,51944,36839
2020-09-01,23:00:00,,106,Equatorial Guinea,1410166,4965,24.0,83,0.0,3884,0.0,998,1.0,3521,59.0,51944,36835
2020-09-02,23:01:00,,106,Equatorial Guinea,1410293,4965,0.0,83,0.0,3884,0.0,998,1.0,3521,59.0,51944,36832
2020-09-03,23:01:00,,106,Equatorial Guinea,1410419,4965,0.0,83,0.0,4390,506.0,492,1.0,3520,59.0,53443,37892
2020-09-04,07:01:00,,106,Equatorial Guinea,1410546,4965,0.0,83,0.0,4390,0.0,492,1.0,3520,59.0,53443,37888
2020-09-05,23:31:00,,106,Equatorial Guinea,1410672,4972,7.0,83,0.0,4413,23.0,476,,3525,59.0,54174,38403
