scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,111,Eswatini,1161184,2706,,43,,1214,,1449,5,2330,37.0,20784,17899
2020-08-08,20:00:00,,111,Eswatini,1161381,3128,422.0,56,13.0,1565,351.0,1507,10,2693,48.0,27428,23617
2020-08-12,20:00:00,,111,Eswatini,1161512,3410,282.0,63,7.0,1720,155.0,1627,10,2936,54.0,27837,23966
2020-08-16,20:00:00,,111,Eswatini,1161643,3745,335.0,69,6.0,2268,548.0,1408,10,3224,59.0,28380,24431
2020-08-17,20:00:00,,111,Eswatini,1161676,3839,94.0,70,1.0,2268,0.0,1501,11,3305,60.0,28380,24430
2020-08-18,20:00:00,,111,Eswatini,1161709,3894,55.0,73,3.0,2371,103.0,1450,11,3352,63.0,28380,24430
2020-08-19,20:00:00,,111,Eswatini,1161741,3989,95.0,76,3.0,2587,216.0,1326,11,3434,65.0,28380,24429
2020-08-20,17:53:00,,111,Eswatini,1161774,4058,69.0,79,3.0,2611,24.0,1368,11,3493,68.0,28380,24428
2020-08-23,21:09:00,,111,Eswatini,1161873,4189,131.0,83,4.0,2762,151.0,1344,11,3605,71.0,28380,24426
2020-08-24,17:10:00,,111,Eswatini,1161905,4225,36.0,85,2.0,2898,136.0,1242,11,3636,73.0,28694,24696
2020-08-25,23:00:00,,111,Eswatini,1161938,4304,79.0,85,0.0,2936,38.0,1283,11,3704,73.0,28694,24695
2020-08-26,22:59:00,,111,Eswatini,1161971,4327,23.0,86,1.0,2959,23.0,1282,11,3724,74.0,29019,24974
2020-08-27,23:00:00,,111,Eswatini,1162004,4387,60.0,88,2.0,3078,119.0,1221,11,3775,76.0,29339,25249
2020-08-28,23:01:00,,111,Eswatini,1162037,4433,46.0,89,1.0,3115,37.0,1229,11,3815,77.0,29679,25540
2020-08-29,12:29:00,,111,Eswatini,1162069,4461,28.0,91,2.0,3210,95.0,1160,11,3839,78.0,29679,25540
2020-08-30,23:00:00,,111,Eswatini,1162102,4561,100.0,91,0.0,3478,268.0,992,11,3925,78.0,30007,25821
2020-08-31,18:58:00,,111,Eswatini,1162135,4561,0.0,91,0.0,3478,0.0,992,11,3925,78.0,30007,25821
2020-09-01,23:00:00,,111,Eswatini,1162168,4577,16.0,91,0.0,3529,51.0,957,11,3938,78.0,30007,25820
2020-09-02,23:01:00,,111,Eswatini,1162201,4668,91.0,94,3.0,3585,56.0,989,11,4017,81.0,30327,26094
2020-09-03,23:01:00,,111,Eswatini,1162233,4668,0.0,94,0.0,3585,0.0,989,11,4016,81.0,30327,26094
2020-09-04,07:01:00,,111,Eswatini,1162266,4720,52.0,94,0.0,3789,204.0,837,11,4061,81.0,30327,26093
2020-09-05,23:31:00,,111,Eswatini,1162299,4780,60.0,94,0.0,3844,55.0,842,11,4113,81.0,30327,26092
2020-09-06,18:30:00,,111,Eswatini,1162332,4819,39.0,94,0.0,3903,59.0,822,11,4146,81.0,30327,26092
2020-09-07,23:39:00,,111,Eswatini,1162365,4853,34.0,94,0.0,3951,48.0,808,11,4175,81.0,30327,26091
2020-09-08,22:10:00,,111,Eswatini,1162397,4884,31.0,94,0.0,4029,78.0,761,11,4202,81.0,30327,26090
2020-09-09,22:01:00,,111,Eswatini,1162430,4904,20.0,96,2.0,4059,30.0,749,11,4219,83.0,30635,26354
2020-09-10,22:01:00,,111,Eswatini,1162463,4936,32.0,97,1.0,4077,18.0,762,11,4246,83.0,30843,26532
2020-09-11,22:00:00,,111,Eswatini,1162496,4994,58.0,98,1.0,4103,26.0,793,11,4296,84.0,30843,26532
2020-09-12,22:22:00,,111,Eswatini,1162529,5050,56.0,98,0.0,4188,85.0,764,11,4344,84.0,30843,26531
2020-09-13,22:01:00,,111,Eswatini,1162561,5050,0.0,98,0.0,4188,0.0,764,11,4344,84.0,30843,26530
