scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,56,Ethiopia,115184716,17999,,284,,7195,,10520,138.0,156.0,2.0,429712,3731.0
2020-08-08,20:00:00,,56,Ethiopia,115231540,22253,801.0,390,10.0,9707,292.0,12156,185.0,193.0,3.0,488936,4243.0
2020-08-12,20:00:00,,56,Ethiopia,115262756,24175,,440,,10696,,13039,190.0,210.0,4.0,520891,4519.0
2020-08-16,20:00:00,,56,Ethiopia,115293972,28894,,509,,12037,,16348,195.0,251.0,4.0,589694,5115.0
2020-08-17,20:00:00,,56,Ethiopia,115301776,31336,1460.0,544,16.0,12524,165.0,18268,213.0,272.0,5.0,629210,5457.0
2020-08-18,20:00:00,,56,Ethiopia,115309580,31336,,544,,12524,,18268,213.0,272.0,5.0,629210,5457.0
2020-08-19,20:00:00,,56,Ethiopia,115317384,32722,,572,,12938,,19212,216.0,284.0,5.0,651311,5648.0
2020-08-20,17:53:00,,56,Ethiopia,115325188,34058,,600,,13308,,20150,216.0,295.0,5.0,672637,5833.0
2020-08-23,21:09:00,,56,Ethiopia,115348600,40671,1638.0,678,16.0,14995,515.0,24998,248.0,353.0,6.0,757057,6563.0
2020-08-24,17:10:00,,56,Ethiopia,115356404,40671,,678,,14995,,24998,248.0,353.0,6.0,757057,6563.0
2020-08-25,23:00:00,,56,Ethiopia,115364208,43688,1545.0,709,17.0,15796,534.0,27183,290.0,379.0,6.0,794686,6888.0
2020-08-26,22:59:00,,56,Ethiopia,115372012,45221,1533.0,725,16.0,16311,515.0,28185,327.0,392.0,6.0,813410,7050.0
2020-08-27,23:00:00,,56,Ethiopia,115379816,46407,1186.0,745,20.0,16829,518.0,28833,330.0,402.0,6.0,831470,7206.0
2020-08-28,23:01:00,,56,Ethiopia,115387620,48140,1733.0,758,13.0,17415,586.0,29967,357.0,417.0,7.0,850236,7369.0
2020-08-29,12:29:00,,56,Ethiopia,115395424,48140,,758,,17415,,29967,357.0,417.0,7.0,850236,7368.0
2020-08-30,23:00:00,,56,Ethiopia,115403228,51122,1468.0,793,23.0,18382,266.0,31947,344.0,443.0,7.0,890929,7720.0
2020-08-31,18:58:00,,56,Ethiopia,115411032,51122,,793,,18382,,31947,344.0,443.0,7.0,890929,7720.0
2020-09-01,23:00:00,,56,Ethiopia,115418836,53304,1173.0,828,19.0,19487,493.0,32989,344.0,462.0,7.0,928453,8044.0
2020-09-02,23:01:00,,56,Ethiopia,115426640,54409,1105.0,846,18.0,19903,416.0,33660,344.0,471.0,7.0,949813,8229.0
2020-09-03,23:01:00,,56,Ethiopia,115434444,55213,804.0,856,10.0,20283,380.0,34074,344.0,478.0,7.0,970591,8408.0
2020-09-04,07:01:00,,56,Ethiopia,115442248,55213,,856,,20283,,34074,344.0,478.0,7.0,970591,8408.0
2020-09-05,23:31:00,,56,Ethiopia,115450052,57466,950.0,897,17.0,20776,164.0,35793,326.0,498.0,8.0,1018847,8825.0
2020-09-06,18:30:00,,56,Ethiopia,115457856,57466,,897,,20776,,35793,326.0,498.0,8.0,1018847,8824.0
2020-09-07,23:39:00,,56,Ethiopia,115465660,59648,976.0,933,15.0,21789,482.0,36926,309.0,517.0,8.0,1063454,9210.0
2020-09-08,22:10:00,,56,Ethiopia,115473464,60784,1136.0,949,16.0,22677,888.0,37158,309.0,526.0,8.0,1078269,9338.0
2020-09-09,22:01:00,,56,Ethiopia,115481268,61700,916.0,966,17.0,23054,377.0,37680,309.0,534.0,8.0,1093830,9472.0
2020-09-10,22:01:00,,56,Ethiopia,115489072,62578,878.0,974,8.0,23640,586.0,37964,330.0,542.0,8.0,1110495,9616.0
2020-09-11,22:00:00,,56,Ethiopia,115496876,63367,789.0,986,12.0,24024,384.0,38357,330.0,549.0,9.0,1122659,9720.0
2020-09-12,22:22:00,,56,Ethiopia,115504680,63888,521.0,996,10.0,24493,469.0,38399,330.0,553.0,9.0,1130850,9791.0
2020-09-13,22:01:00,,56,Ethiopia,115512484,64301,413.0,1013,17.0,24983,490.0,38305,342.0,557.0,9.0,1138012,9852.0
2020-09-14,22:04:00,,56,Ethiopia,115520288,64301,,1013,,24983,,38305,342.0,557.0,9.0,1138012,9851.0
2020-09-15,21:00:00,,56,Ethiopia,115528092,65486,700.0,1035,13.0,25988,655.0,38463,280.0,567.0,9.0,1157292,10017.0
2020-09-16,21:01:00,,56,Ethiopia,115535896,66224,738.0,1045,10.0,26665,677.0,38514,280.0,573.0,9.0,1165647,10089.0
2020-09-18,20:01:00,,56,Ethiopia,115551504,66913,,1060,,27085,,38768,300.0,579.0,9.0,1176252,10179.0
2020-09-19,21:00:00,,56,Ethiopia,115559308,68131,616.0,1089,17.0,27939,301.0,39103,294.0,590.0,9.0,1194795,10339.0
2020-09-20,22:31:00,,56,Ethiopia,115567112,68820,689.0,1096,7.0,28314,375.0,39410,290.0,595.0,9.0,1202818,10408.0
2020-09-21,21:01:00,,56,Ethiopia,115574916,69709,889.0,1108,12.0,28634,320.0,39967,290.0,603.0,10.0,1210933,10477.0
2020-09-22,21:01:00,,56,Ethiopia,115582719,70422,713.0,1127,19.0,28991,357.0,40304,251.0,609.0,10.0,1217746,10536.0
2020-09-23,19:58:00,,56,Ethiopia,115590523,71083,661.0,1141,14.0,29253,262.0,40689,269.0,615.0,10.0,1226297,10609.0
2020-09-24,21:00:00,,56,Ethiopia,115598327,71687,604.0,1148,7.0,29461,208.0,41078,267.0,620.0,10.0,1234645,10680.0
2020-09-25,21:00:00,,56,Ethiopia,115606131,71687,,1148,,29461,,41078,267.0,620.0,10.0,1234645,10680.0
2020-09-26,21:00:00,,56,Ethiopia,115613935,72700,527.0,1165,10.0,30029,166.0,41506,273.0,629.0,10.0,1249551,10808.0
2020-09-27,22:45:00,,56,Ethiopia,115621739,72700,,1165,,30029,,41506,273.0,629.0,10.0,1249551,10807.0
2020-09-28,22:00:00,,56,Ethiopia,115629543,73944,612.0,1177,7.0,30753,390.0,42014,247.0,639.0,10.0,1260929,10905.0
2020-09-29,21:35:00,,56,Ethiopia,115637347,74584,640.0,1191,14.0,30952,199.0,42441,271.0,645.0,10.0,1266213,10950.0
2020-09-30,22:00:00,,56,Ethiopia,115645151,75368,784.0,1198,7.0,31204,252.0,42966,269.0,652.0,10.0,1272352,11002.0
2020-10-01,21:31:00,,56,Ethiopia,115652955,76098,730.0,1205,7.0,31430,226.0,43463,255.0,658.0,10.0,1278827,11057.0
2020-10-02,22:36:00,,56,Ethiopia,115660759,76988,890.0,1208,3.0,31677,247.0,44103,296.0,666.0,10.0,1285743,11117.0
2020-10-03,22:24:00,,56,Ethiopia,115668563,77860,872.0,1214,6.0,32325,648.0,44321,278.0,673.0,10.0,1293469,11183.0
2020-10-04,21:01:00,,56,Ethiopia,115676367,77860,,1214,,32325,,44321,278.0,673.0,10.0,1293469,11182.0
2020-10-05,22:13:00,,56,Ethiopia,115684171,79437,618.0,1230,8.0,34016,956.0,44191,292.0,687.0,11.0,1307632,11303.0
2020-10-06,23:01:00,,56,Ethiopia,115691975,80003,566.0,1238,8.0,34960,944.0,43805,282.0,692.0,11.0,1312910,11348.0
2020-10-07,23:01:00,,56,Ethiopia,115699779,80895,892.0,1255,17.0,35670,710.0,43970,245.0,699.0,11.0,1321164,11419.0
2020-10-08,23:59:00,,56,Ethiopia,115707583,81797,902.0,1262,7.0,36434,764.0,44101,253.0,707.0,11.0,1327832,11476.0
2020-10-09,23:00:00,,56,Ethiopia,115715387,81797,,1262,,36434,,44101,253.0,707.0,11.0,1327832,11475.0
2020-10-10,23:00:00,,56,Ethiopia,115723191,83429,767.0,1277,6.0,37683,581.0,44469,239.0,721.0,11.0,1343250,11607.0
2020-10-12,23:10:00,,56,Ethiopia,115738799,85136,841.0,1301,14.0,38904,588.0,44931,230.0,736.0,11.0,1356630,11721.0
2020-10-13,23:01:00,,56,Ethiopia,115746603,85718,582.0,1305,4.0,39307,403.0,45106,237.0,741.0,11.0,1362974,11775.0
2020-10-14,23:01:00,,56,Ethiopia,115754407,86430,712.0,1312,7.0,40165,858.0,44953,230.0,747.0,11.0,1370095,11836.0
2020-10-15,14:09:00,11:06,56,Ethiopia,115762211,86430,,1312,,40165,,44953,230.0,747.0,11.0,1370095,11835.0
2020-10-16,22:08:00,19:06,56,Ethiopia,115770015,87834,665.0,1337,12.0,41628,640.0,44869,301.0,759.0,12.0,1383649,11952.0
2020-10-17,23:01:00,19:58,56,Ethiopia,115777819,88434,600.0,1346,9.0,42099,471.0,44989,299.0,764.0,12.0,1390197,12007.0
2020-10-18,22:05:00,19:03,56,Ethiopia,115785623,89137,703.0,1352,6.0,42649,550.0,45136,281.0,770.0,12.0,1397348,12068.0
2020-10-19,22:05:00,18:59,56,Ethiopia,115793427,89860,723.0,1365,13.0,43149,500.0,45346,269.0,776.0,12.0,1403894,12124.0
2020-10-20,22:05:00,19:04,56,Ethiopia,115801231,90490,630.0,1371,6.0,43638,489.0,45481,301.0,781.0,12.0,1410496,12180.0
2020-10-21,22:05:00,19:03,56,Ethiopia,115809035,91118,628.0,1384,13.0,44506,868.0,45228,303.0,787.0,12.0,1416829,12234.0
2020-10-22,22:05:00,19:04,56,Ethiopia,115816839,91118,,1384,,44506,,45228,303.0,787.0,12.0,1416829,12233.0
2020-10-23,22:05:00,19:02,56,Ethiopia,115824643,91693,,1396,,45260,,45037,306.0,792.0,12.0,1423505,12290.0
