Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,19,France,65286338,187919,,30265,,81500,,76154,371,2878,464.0,2982302,45680.0
2020-08-08 20:00:00,,2020-08-08,19,France,65288699,197921,10002.0,30324,59.0,82836,1336.0,84761,383,3031,464.0,4183143,64071.0
2020-08-12 20:00:00,,2020-08-12,19,France,65290273,204172,6251.0,30354,30.0,82836,0.0,90982,383,3127,465.0,5500000,84239.0
2020-08-16 20:00:00,,2020-08-16,19,France,65291847,215521,11349.0,30409,55.0,83848,1012.0,101264,367,3301,466.0,6000000,91895.0
2020-08-17 20:00:00,,2020-08-17,19,France,65292241,219029,3508.0,30429,20.0,83848,0.0,104752,367,3355,466.0,6000000,91895.0
2020-08-18 20:00:00,,2020-08-18,19,France,65292634,221267,2238.0,30429,0.0,84065,217.0,106773,384,3389,466.0,6000000,91894.0
2020-08-19 20:00:00,,2020-08-19,19,France,65293028,221267,0.0,30451,22.0,84065,0.0,106751,384,3389,466.0,6000000,91893.0
2020-08-20 17:53:00,,2020-08-20,19,France,65293421,225043,3776.0,30468,17.0,84065,0.0,110510,384,3447,467.0,6000000,91893.0
2020-08-23 21:09:00,,2020-08-23,19,France,65294602,242899,17856.0,30513,45.0,84950,885.0,127436,380,3720,467.0,6000000,91891.0
2020-08-24 17:10:00,,2020-08-24,19,France,65294995,242899,0.0,30513,0.0,84973,23.0,127413,383,3720,467.0,6000000,91891.0
2020-08-25 23:00:00,,2020-08-25,19,France,65295389,248158,5259.0,30544,31.0,85524,551.0,132090,410,3801,468.0,6000000,91890.0
2020-08-26 22:59:00,,2020-08-26,19,France,65295782,253587,5429.0,30544,0.0,85524,0.0,137519,410,3884,468.0,6000000,91890.0
2020-08-27 23:00:00,,2020-08-27,19,France,65296176,259698,6111.0,30576,32.0,85984,460.0,143138,381,3977,468.0,6000000,91889.0
2020-08-28 23:01:00,,2020-08-28,19,France,65296569,267077,7379.0,30596,20.0,86177,193.0,150304,387,4090,469.0,6030812,92360.0
2020-08-29 12:29:00,,2020-08-29,19,France,65296963,267077,0.0,30596,0.0,86177,0.0,150304,387,4090,469.0,6030812,92360.0
2020-08-30 23:00:00,,2020-08-30,19,France,65297356,277943,10866.0,30606,10.0,86177,0.0,161160,387,4257,469.0,6323472,96841.0
2020-08-31 18:58:00,,2020-08-31,19,France,65297750,277943,0.0,30606,0.0,86177,0.0,161160,402,4257,469.0,6323472,96841.0
2020-09-01 23:00:00,,2020-09-01,19,France,65298143,286007,8064.0,30661,55.0,86712,535.0,168634,424,4380,470.0,7500000,114858.0
2020-09-02 23:01:00,,2020-09-02,19,France,65298537,293024,7017.0,30686,25.0,86963,251.0,175375,446,4487,470.0,7500000,114857.0
2020-09-03 23:01:00,,2020-09-03,19,France,65298930,300181,7157.0,30706,20.0,87206,243.0,182269,464,4597,470.0,7500000,114856.0
2020-09-04 07:01:00,,2020-09-04,19,France,65299323,300181,0.0,30706,0.0,87206,0.0,182269,464,4597,470.0,7500000,114856.0
2020-09-05 23:31:00,,2020-09-05,19,France,65299717,317706,17525.0,30724,18.0,87206,0.0,199776,464,4865,471.0,8500000,130169.0
2020-09-06 18:30:00,,2020-09-06,19,France,65300110,317706,0.0,30724,0.0,87447,241.0,199535,473,4865,471.0,8500000,130168.0
2020-09-07 23:39:00,,2020-09-07,19,France,65300504,328980,11274.0,30726,2.0,87836,389.0,210418,537,5038,471.0,8500000,130167.0
2020-09-08 22:10:00,,2020-09-08,19,France,65300897,335524,6544.0,30764,38.0,88226,390.0,216534,574,5138,471.0,8500000,130167.0
2020-09-09 22:01:00,,2020-09-09,19,France,65301291,344101,8577.0,30794,30.0,88226,0.0,225081,574,5269,472.0,8500000,130166.0
2020-09-10 22:01:00,,2020-09-10,19,France,65301684,353944,9843.0,30813,19.0,88742,516.0,234389,615,5420,472.0,10000000,153135.0
2020-09-11 22:00:00,,2020-09-11,19,France,65302078,363350,9406.0,30893,80.0,89059,317.0,243398,635,5564,473.0,10000000,153134.0
2020-09-12 22:22:00,,2020-09-12,19,France,65302471,373911,10561.0,30910,17.0,89059,0.0,253942,635,5726,473.0,10000000,153134.0
2020-09-13 22:01:00,,2020-09-13,19,France,65302865,381094,7183.0,30916,6.0,89059,0.0,261119,635,5836,473.0,10000000,153133.0
2020-09-14 22:04:00,,2020-09-14,19,France,65303258,387252,6158.0,30950,34.0,89507,448.0,266795,712,5930,474.0,10000000,153132.0
2020-09-15 21:00:00,,2020-09-15,19,France,65303652,387252,0.0,30950,0.0,89507,0.0,266795,712,5930,474.0,10000000,153131.0
2020-09-16 21:01:00,,2020-09-16,19,France,65304045,404888,17636.0,31045,95.0,89891,384.0,283952,759,6200,475.0,10000000,153130.0
2020-09-18 20:01:00,,2020-09-18,19,France,65304832,415481,10593.0,31095,50.0,90840,949.0,293546,800,6362,476.0,10000000,153128.0
2020-09-19 21:00:00,,2020-09-19,19,France,65305226,442194,26713.0,31274,179.0,91574,734.0,319346,827,6771,479.0,10000000,153127.0
2020-09-20 22:31:00,,2020-09-20,19,France,65305619,442194,0.0,31274,0.0,91574,0.0,319346,827,6771,479.0,10000000,153126.0
2020-09-21 21:01:00,,2020-09-21,19,France,65306013,458061,15867.0,31338,64.0,91574,0.0,335149,827,7014,480.0,10000000,153125.0
2020-09-22 21:01:00,,2020-09-22,19,France,65306406,458061,0.0,31338,0.0,93008,1434.0,333715,919,7014,480.0,10000000,153124.0
2020-09-23 19:58:00,,2020-09-23,19,France,65306800,468069,10008.0,31416,78.0,93538,530.0,343115,951,7167,481.0,10000000,153123.0
2020-09-24 21:00:00,,2020-09-24,19,France,65307193,481141,13072.0,31459,43.0,93538,0.0,356144,951,7367,482.0,10000000,153122.0
2020-09-25 21:00:00,,2020-09-25,19,France,65307587,497237,16096.0,31511,52.0,94413,875.0,371313,1048,7614,483.0,10035395,153664.0
2020-09-26 21:00:00,,2020-09-26,19,France,65307980,527446,30209.0,31700,189.0,94891,478.0,400855,1098,8076,485.0,10218319,156464.0
2020-09-27 22:45:00,,2020-09-27,19,France,65308374,538569,11123.0,31727,27.0,94891,0.0,411951,1098,8247,486.0,10556474,161640.0
2020-09-28 22:00:00,,2020-09-28,19,France,65308767,542639,4070.0,31808,81.0,95426,535.0,415405,1118,8309,487.0,10712335,164026.0
2020-09-29 21:35:00,,2020-09-29,19,France,65309161,550690,8051.0,31893,85.0,96327,901.0,422470,1204,8432,488.0,10806709,165470.0
2020-09-30 22:00:00,,2020-09-30,19,France,65309554,563535,12845.0,31956,63.0,96797,470.0,434782,1238,8629,489.0,10841327,165999.0
2020-10-01 21:31:00,,2020-10-01,19,France,65309948,577505,13970.0,32019,63.0,96797,0.0,448689,1238,8843,490.0,10841327,165998.0
2020-10-02 22:36:00,,2020-10-02,19,France,65310341,589653,12148.0,32155,136.0,97778,981.0,459720,1276,9028,492.0,11174392,171097.0
2020-10-03 22:24:00,,2020-10-03,19,France,65310735,606625,16972.0,32198,43.0,97778,0.0,476649,1276,9288,493.0,11174392,171096.0
2020-10-04 21:01:00,,2020-10-04,19,France,65311128,606625,0.0,32198,0.0,97778,0.0,476649,1276,9288,493.0,11174392,171095.0
2020-10-05 22:13:00,,2020-10-05,19,France,65311522,624274,17649.0,32299,101.0,98680,902.0,493295,1415,9558,495.0,11616000,177855.0
2020-10-06 23:01:00,,2020-10-06,19,France,65311915,634763,10489.0,32365,66.0,99295,615.0,503103,1426,9719,496.0,11699517,179133.0
2020-10-07 23:01:00,,2020-10-07,19,France,65312309,653509,18746.0,32445,80.0,99793,498.0,521271,1416,10006,497.0,11723039,179492.0
2020-10-08 23:59:00,,2020-10-08,19,France,65312702,671638,18129.0,32521,76.0,100306,513.0,538811,1427,10283,498.0,11900095,182202.0
2020-10-09 23:00:00,,2020-10-09,19,France,65313096,691977,20339.0,32583,62.0,100828,522.0,558566,1448,10595,499.0,12061094,184666.0
2020-10-10 23:00:00,,2020-10-10,19,France,65313489,718873,26896.0,32637,54.0,100828,0.0,585408,1448,11007,500.0,12061094,184665.0
2020-10-12 23:10:00,,2020-10-12,19,France,65314276,743479,24606.0,32779,142.0,100828,0.0,609872,1448,11383,502.0,12394558,189768.0
2020-10-13 23:01:00,,2020-10-13,19,France,65314670,756472,12993.0,32942,163.0,102680,1852.0,620850,1642,11582,504.0,12679122,194124.0
2020-10-14 23:01:00,,2020-10-14,19,France,65315063,779063,22591.0,33037,95.0,103413,733.0,642613,1673,11928,506.0,12710074,194596.0
2020-10-15 14:09:00,11:06:00,2020-10-15,19,France,65315457,779063,0.0,33037,0.0,103413,0.0,642613,1673,11928,506.0,12710074,194595.0
2020-10-16 22:08:00,19:06:00,2020-10-16,19,France,65315850,834770,55707.0,33247,210.0,104082,669.0,697441,1750,12781,509.0,13128805,201005.0
2020-10-17 23:01:00,19:58:00,2020-10-17,19,France,65316244,867197,32427.0,33392,145.0,104696,614.0,729109,1800,13277,511.0,13336528,204184.0
2020-10-18 22:05:00,19:03:00,2020-10-18,19,France,65316637,897034,29837.0,33477,85.0,104696,0.0,758861,1800,13734,513.0,13550961,207466.0
2020-10-19 22:05:00,18:59:00,2020-10-19,19,France,65317031,910277,13243.0,33623,146.0,105935,1239.0,770719,2099,13936,515.0,13550961,207464.0
2020-10-20 22:05:00,19:04:00,2020-10-20,19,France,65317424,930745,20468.0,33885,262.0,106839,904.0,790021,2177,14250,519.0,13894126,212717.0
2020-10-21 22:05:00,19:03:00,2020-10-21,19,France,65317818,957421,26676.0,34048,163.0,107652,813.0,815721,2248,14658,521.0,13931849,213293.0
2020-10-22 22:05:00,19:04:00,2020-10-22,19,France,65318211,999043,41622.0,34210,162.0,108599,947.0,856234,2319,15295,524.0,14182285,217126.0
2020-10-23 22:05:00,19:02:00,2020-10-23,19,France,65318605,1041075,42032.0,34508,298.0,109486,887.0,897081,2441,15938,528.0,14406499,220557.0
2020-10-24 23:41:00,20:40:00,2020-10-24,19,France,65318998,1086497,45422.0,34645,137.0,109486,0.0,942366,2441,16634,530.0,14637427,224091.0
