scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,1969-12-31 23:59:59.999999999,90,French Guiana,299279,7857,,43,,6531,,1283,25,26253,144.0,39369,131546
2020-08-08,20:00:00,1969-12-31 23:59:59.999999999,90,French Guiana,299406,8204,,47,,7320,,837,23,27401,157.0,42101,140615
2020-08-12,20:00:00,1969-12-31 23:59:59.999999999,90,French Guiana,299491,8360,,49,,7632,,679,20,27914,164.0,43127,144001
2020-08-16,20:00:00,1969-12-31 23:59:59.999999999,90,French Guiana,299576,8588,,53,,7893,,642,15,28667,177.0,46077,153807
2020-08-17,20:00:00,1969-12-31 23:59:59.999999999,90,French Guiana,299597,8622,34.0,53,,7985,92.0,584,17,28779,177.0,46563,155419
2020-08-18,20:00:00,1969-12-31 23:59:59.999999999,90,French Guiana,299618,8622,,53,,7985,,584,17,28777,177.0,46563,155408
2020-08-19,20:00:00,1969-12-31 23:59:59.999999999,90,French Guiana,299639,8657,,53,,8054,,550,17,28891,177.0,46563,155397
2020-08-20,17:53:00,1969-12-31 23:59:59.999999999,90,French Guiana,299661,8711,,54,,8112,,545,15,29070,180.0,47767,159403
2020-08-23,21:09:00,1969-12-31 23:59:59.999999999,90,French Guiana,299724,8797,,55,,8307,,435,15,29350,184.0,49036,163604
2020-08-24,17:10:00,1969-12-31 23:59:59.999999999,90,French Guiana,299745,8797,,55,,8307,,435,15,29348,183.0,49036,163592
2020-08-25,23:00:00,1969-12-31 23:59:59.999999999,90,French Guiana,299767,8904,29.0,56,,8399,36.0,449,17,29703,187.0,50286,167750
2020-08-26,22:59:00,1969-12-31 23:59:59.999999999,90,French Guiana,299788,8904,,56,,8399,,449,17,29701,187.0,50286,167739
2020-08-27,23:00:00,1969-12-31 23:59:59.999999999,90,French Guiana,299809,8982,46.0,58,2.0,8508,47.0,416,12,29959,193.0,51485,171726
2020-08-28,23:01:00,1969-12-31 23:59:59.999999999,90,French Guiana,299830,9022,40.0,58,,8586,78.0,378,13,30090,193.0,52093,173742
2020-08-29,12:29:00,1969-12-31 23:59:59.999999999,90,French Guiana,299852,9022,,58,,8586,,378,13,30088,193.0,52093,173729
2020-08-30,23:00:00,1969-12-31 23:59:59.999999999,90,French Guiana,299873,9076,,58,,8620,,398,13,30266,193.0,52668,175634
2020-08-31,18:58:00,1969-12-31 23:59:59.999999999,90,French Guiana,299894,9076,,58,,8620,,398,13,30264,193.0,52668,175622
2020-09-01,23:00:00,1969-12-31 23:59:59.999999999,90,French Guiana,299915,9154,39.0,60,1.0,8707,53.0,387,10,30522,200.0,53809,179414
2020-09-02,23:01:00,1969-12-31 23:59:59.999999999,90,French Guiana,299936,9209,55.0,61,1.0,8739,32.0,409,8,30703,203.0,54370,181272
2020-09-03,23:01:00,1969-12-31 23:59:59.999999999,90,French Guiana,299958,9251,42.0,61,,8772,33.0,418,8,30841,203.0,55009,183389
2020-09-04,07:01:00,1969-12-31 23:59:59.999999999,90,French Guiana,299979,9251,,61,,8772,,418,8,30839,203.0,55009,183376
2020-09-05,23:31:00,1969-12-31 23:59:59.999999999,90,French Guiana,300000,9322,46.0,62,,8870,78.0,390,7,31073,207.0,56109,187030
2020-09-06,18:30:00,1969-12-31 23:59:59.999999999,90,French Guiana,300021,9322,,62,,8870,,390,7,31071,207.0,56109,187017
2020-09-07,23:39:00,1969-12-31 23:59:59.999999999,90,French Guiana,300043,9355,33.0,62,,8902,32.0,391,7,31179,207.0,56109,187003
2020-09-08,22:10:00,1969-12-31 23:59:59.999999999,90,French Guiana,300064,9355,,62,,8902,,391,7,31177,207.0,56109,186990
2020-09-09,22:01:00,1969-12-31 23:59:59.999999999,90,French Guiana,300085,9387,,62,,8946,,379,7,31281,207.0,57250,190779
2020-09-10,22:01:00,1969-12-31 23:59:59.999999999,90,French Guiana,300106,9462,44.0,63,1.0,8986,,413,9,31529,210.0,57783,192542
2020-09-11,22:00:00,1969-12-31 23:59:59.999999999,90,French Guiana,300127,9494,32.0,63,,9078,38.0,353,7,31633,210.0,58998,196577
2020-09-12,22:22:00,1969-12-31 23:59:59.999999999,90,French Guiana,300149,9494,,63,,9078,,353,7,31631,210.0,58998,196562
