scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,179,French Polynesia,281049,62,,,,62,,0,,221,,5390,19178
2020-08-08,20:00:00,,179,French Polynesia,281076,69,7.0,,,62,0.0,7,,245,,6140,21845
2020-08-12,20:00:00,,179,French Polynesia,281094,112,43.0,,,62,0.0,50,1.0,398,,6525,23213
2020-08-16,20:00:00,,179,French Polynesia,281111,166,54.0,,,64,2.0,102,1.0,591,,6525,23211
2020-08-17,20:00:00,,179,French Polynesia,281116,166,0.0,,,64,0.0,102,1.0,591,,6525,23211
2020-08-18,20:00:00,,179,French Polynesia,281120,211,45.0,,,68,4.0,143,1.0,751,,6525,23211
2020-08-19,20:00:00,,179,French Polynesia,281125,211,0.0,,,68,0.0,143,2.0,751,,9912,35258
2020-08-20,17:53:00,,179,French Polynesia,281129,211,0.0,,,68,0.0,143,2.0,751,,9912,35258
2020-08-23,21:09:00,,179,French Polynesia,281142,298,87.0,,,148,80.0,150,2.0,1060,,9912,35256
2020-08-24,17:10:00,,179,French Polynesia,281147,298,0.0,,,148,0.0,150,2.0,1060,,9912,35256
2020-08-25,23:00:00,,179,French Polynesia,281151,372,74.0,,,148,0.0,224,2.0,1323,,9912,35255
2020-08-26,22:59:00,,179,French Polynesia,281156,372,0.0,,,148,0.0,224,2.0,1323,,9912,35254
2020-08-27,23:00:00,,179,French Polynesia,281160,415,43.0,,,202,54.0,213,3.0,1476,,13488,47973
2020-08-28,23:01:00,,179,French Polynesia,281165,415,0.0,,,202,0.0,213,3.0,1476,,13488,47972
2020-08-29,12:29:00,,179,French Polynesia,281169,482,67.0,,,202,0.0,280,3.0,1714,,14029,49895
2020-08-30,23:00:00,,179,French Polynesia,281173,482,0.0,,,202,0.0,280,3.0,1714,,14029,49895
2020-08-31,18:58:00,,179,French Polynesia,281178,482,0.0,,,202,0.0,280,3.0,1714,,14029,49894
2020-09-01,23:00:00,,179,French Polynesia,281182,573,91.0,,,205,3.0,368,3.0,2038,,14029,49893
2020-09-02,23:01:00,,179,French Polynesia,281187,573,0.0,,,205,0.0,368,4.0,2038,,14463,51436
2020-09-03,23:01:00,,179,French Polynesia,281191,622,49.0,,,336,131.0,286,4.0,2212,,15272,54312
2020-09-04,07:01:00,,179,French Polynesia,281196,622,0.0,,,336,0.0,286,4.0,2212,,15272,54311
2020-09-05,23:31:00,,179,French Polynesia,281200,694,72.0,,,360,24.0,334,4.0,2468,,15272,54310
2020-09-06,18:30:00,,179,French Polynesia,281204,694,0.0,,,360,0.0,334,4.0,2468,,15272,54309
2020-09-07,23:39:00,,179,French Polynesia,281209,694,0.0,,,360,0.0,334,4.0,2468,,15272,54308
2020-09-08,22:10:00,,179,French Polynesia,281213,773,79.0,,,528,168.0,245,4.0,2749,,15272,54308
2020-09-10,22:01:00,,179,French Polynesia,281222,795,22.0,,,528,0.0,267,4.0,2827,,17171,61059
2020-09-11,22:00:00,,179,French Polynesia,281227,857,62.0,,,576,48.0,281,4.0,3047,,17171,61057
2020-09-12,22:22:00,,179,French Polynesia,281231,953,96.0,2.0,,642,66.0,309,4.0,3389,7.0,17171,61057
2020-09-13,22:01:00,,179,French Polynesia,281235,953,0.0,2.0,0.0,642,0.0,309,4.0,3389,7.0,17171,61056
2020-09-14,22:04:00,,179,French Polynesia,281240,953,0.0,2.0,0.0,642,0.0,309,4.0,3389,7.0,17171,61055
2020-09-15,21:00:00,,179,French Polynesia,281244,1099,146.0,2.0,0.0,672,30.0,425,3.0,3908,7.0,18802,66853
2020-09-16,21:01:00,,179,French Polynesia,281249,1099,0.0,2.0,0.0,672,0.0,425,3.0,3908,7.0,18802,66852
2020-09-18,20:01:00,,179,French Polynesia,281258,1099,0.0,2.0,0.0,672,0.0,425,3.0,3907,7.0,18802,66850
2020-09-19,21:00:00,,179,French Polynesia,281262,1209,110.0,2.0,0.0,966,294.0,241,4.0,4298,7.0,20484,72829
2020-09-20,22:31:00,,179,French Polynesia,281266,1271,62.0,2.0,0.0,1028,62.0,241,4.0,4519,7.0,20484,72828
2020-09-21,21:01:00,,179,French Polynesia,281271,1271,0.0,2.0,0.0,1028,0.0,241,4.0,4519,7.0,20484,72827
2020-09-22,21:01:00,,179,French Polynesia,281275,1394,123.0,2.0,0.0,1170,142.0,222,4.0,4956,7.0,26355,93698
2020-09-23,19:58:00,,179,French Polynesia,281280,1394,0.0,2.0,0.0,1170,0.0,222,4.0,4956,7.0,26355,93697
2020-09-24,21:00:00,,179,French Polynesia,281284,1469,75.0,5.0,3.0,1237,67.0,227,5.0,5222,18.0,26355,93695
2020-09-25,21:00:00,,179,French Polynesia,281289,1469,0.0,5.0,0.0,1237,0.0,227,5.0,5222,18.0,26355,93694
2020-09-26,21:00:00,,179,French Polynesia,281293,1579,110.0,6.0,1.0,1335,98.0,238,8.0,5613,21.0,26355,93692
2020-09-27,22:45:00,,179,French Polynesia,281297,1579,0.0,6.0,0.0,1335,0.0,238,8.0,5613,21.0,26355,93691
2020-09-28,22:00:00,,179,French Polynesia,281302,1579,0.0,6.0,0.0,1335,0.0,238,8.0,5613,21.0,26355,93689
2020-09-29,21:35:00,,179,French Polynesia,281306,1728,149.0,7.0,1.0,1431,96.0,290,11.0,6143,25.0,26355,93688
2020-09-30,22:00:00,,179,French Polynesia,281311,1728,0.0,7.0,0.0,1431,0.0,290,11.0,6143,25.0,26355,93686
2020-10-01,21:31:00,,179,French Polynesia,281315,1852,124.0,7.0,0.0,1504,73.0,341,11.0,6583,25.0,26355,93685
2020-10-02,22:36:00,,179,French Polynesia,281320,1852,0.0,7.0,0.0,1504,0.0,341,11.0,6583,25.0,26355,93683
2020-10-03,22:24:00,,179,French Polynesia,281324,1964,112.0,8.0,1.0,1555,51.0,401,11.0,6981,28.0,26355,93682
2020-10-04,21:01:00,,179,French Polynesia,281328,1964,0.0,8.0,0.0,1555,0.0,401,11.0,6981,28.0,26355,93681
2020-10-05,22:13:00,,179,French Polynesia,281333,1964,0.0,8.0,0.0,1555,0.0,401,11.0,6981,28.0,26355,93679
2020-10-06,23:01:00,,179,French Polynesia,281337,2228,264.0,9.0,1.0,1769,214.0,450,7.0,7919,32.0,26355,93678
2020-10-07,23:01:00,,179,French Polynesia,281342,2228,0.0,9.0,0.0,1769,0.0,450,7.0,7919,32.0,26355,93676
2020-10-08,23:59:00,,179,French Polynesia,281346,2420,192.0,10.0,1.0,1857,88.0,553,7.0,8602,36.0,26355,93675
2020-10-09,23:00:00,,179,French Polynesia,281351,2420,0.0,10.0,0.0,1857,0.0,553,7.0,8601,36.0,26355,93673
2020-10-10,23:00:00,,179,French Polynesia,281355,2754,334.0,10.0,0.0,2019,162.0,725,7.0,9788,36.0,26355,93672
2020-10-12,23:10:00,,179,French Polynesia,281364,2754,0.0,10.0,0.0,2019,0.0,725,7.0,9788,36.0,26355,93669
2020-10-13,23:01:00,,179,French Polynesia,281368,3251,497.0,11.0,1.0,2138,119.0,1102,8.0,11554,39.0,26355,93667
2020-10-14,23:01:00,,179,French Polynesia,281373,3251,0.0,11.0,0.0,2138,0.0,1102,8.0,11554,39.0,26355,93666
2020-10-15,14:09:00,11:06:00,179,French Polynesia,281377,3573,322.0,13.0,2.0,2487,349.0,1073,8.0,12698,46.0,26355,93664
2020-10-16,22:08:00,19:06:00,179,French Polynesia,281382,3573,0.0,13.0,0.0,2487,0.0,1073,8.0,12698,46.0,26355,93663
2020-10-17,23:01:00,19:58:00,179,French Polynesia,281386,3797,224.0,14.0,1.0,2844,357.0,939,10.0,13494,50.0,26355,93661
2020-10-18,22:05:00,19:03:00,179,French Polynesia,281390,3797,0.0,14.0,0.0,2844,0.0,939,10.0,13494,50.0,26355,93660
2020-10-19,22:05:00,18:59:00,179,French Polynesia,281395,3797,0.0,14.0,0.0,2844,0.0,939,10.0,13493,50.0,26355,93658
2020-10-20,22:05:00,19:04:00,179,French Polynesia,281399,4548,751.0,16.0,2.0,3202,358.0,1330,20.0,16162,57.0,26355,93657
2020-10-21,22:05:00,19:03:00,179,French Polynesia,281404,4548,0.0,16.0,0.0,3202,0.0,1330,20.0,16162,57.0,26355,93655
2020-10-22,22:05:00,19:04:00,179,French Polynesia,281408,5161,613.0,19.0,3.0,3536,334.0,1606,18.0,18340,68.0,26355,93654
2020-10-23,22:05:00,19:02:00,179,French Polynesia,281413,5161,0.0,19.0,0.0,3536,0.0,1606,18.0,18340,68.0,26355,93652
2020-10-24,23:41:00,20:40:00,179,French Polynesia,281417,5797,636.0,20.0,1.0,3623,87.0,2154,17.0,20599,71.0,26355,93651
2020-10-25,23:00:00,20:58:00,179,French Polynesia,281421,5797,0.0,20.0,0.0,3623,0.0,2154,17.0,20599,71.0,26355,93650
2020-10-26,23:00:00,20:56:00,179,French Polynesia,281426,5859,62.0,20.0,0.0,3685,62.0,2154,17.0,20819,71.0,26355,93648
