scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,128,Gambia,2421823,498,,9,,68,,421,,206.0,4.0,4859,2006.0
2020-08-08,20:00:00,,128,Gambia,2422940,1090,,19,,146,,925,,450.0,8.0,5183,2139.0
2020-08-12,20:00:00,,128,Gambia,2423685,1346,,32,,227,,1087,,555.0,13.0,5484,2263.0
2020-08-16,20:00:00,,128,Gambia,2424430,1689,,54,,347,,1288,,697.0,22.0,6312,2603.0
2020-08-17,20:00:00,,128,Gambia,2424616,1872,,63,,401,,1408,,772.0,26.0,6312,2603.0
2020-08-18,20:00:00,,128,Gambia,2424802,2116,244.0,63,,415,14.0,1638,,873.0,26.0,6312,2603.0
2020-08-19,20:00:00,,128,Gambia,2424988,2116,,63,,415,,1638,,873.0,26.0,10472,4318.0
2020-08-20,17:53:00,,128,Gambia,2425175,2401,113.0,81,4.0,435,,1885,,990.0,33.0,10781,4445.0
2020-08-23,21:09:00,,128,Gambia,2425733,2437,,84,,455,,1898,,1005.0,35.0,10781,4444.0
2020-08-24,17:10:00,,128,Gambia,2425919,2685,,87,,490,,2108,,1107.0,36.0,10781,4444.0
2020-08-25,23:00:00,,128,Gambia,2426106,2686,101.0,90,3.0,601,111.0,1995,,1107.0,37.0,11925,4915.0
2020-08-26,22:59:00,,128,Gambia,2426292,2708,22.0,93,3.0,611,10.0,2004,,1116.0,38.0,11925,4915.0
2020-08-27,23:00:00,,128,Gambia,2426478,2743,35.0,93,,638,27.0,2012,,1130.0,38.0,12103,4988.0
2020-08-28,23:01:00,,128,Gambia,2426664,2797,54.0,96,3.0,743,105.0,1958,,1153.0,40.0,12103,4988.0
2020-08-29,12:29:00,,128,Gambia,2426851,2797,,96,,743,,1958,,1153.0,40.0,12103,4987.0
2020-08-30,23:00:00,,128,Gambia,2427037,2895,,96,,751,,2048,,1193.0,40.0,12460,5134.0
2020-08-31,18:58:00,,128,Gambia,2427223,2963,,96,,1032,,1835,,1221.0,40.0,13354,5502.0
2020-09-01,23:00:00,,128,Gambia,2427409,3029,66.0,96,,1032,,1901,,1248.0,40.0,13354,5501.0
2020-09-02,23:01:00,,128,Gambia,2427595,3067,38.0,97,1.0,1032,,1938,,1263.0,40.0,13354,5501.0
