Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,146,Georgia,3988472,1177,,17,,955,,205,5.0,295,4.0,225145,56449
2020-08-08 20:00:00,,2020-08-08,146,Georgia,3988347,1216,39.0,17,0.0,996,41.0,203,,305,4.0,258525,64820
2020-08-12 20:00:00,,2020-08-12,146,Georgia,3988264,1278,62.0,17,0.0,1058,62.0,203,,320,4.0,258525,64821
2020-08-16 20:00:00,,2020-08-16,146,Georgia,3988180,1336,58.0,17,0.0,1088,30.0,231,,335,4.0,301183,75519
2020-08-17 20:00:00,,2020-08-17,146,Georgia,3988160,1341,5.0,17,0.0,1092,4.0,232,,336,4.0,301183,75519
2020-08-18 20:00:00,,2020-08-18,146,Georgia,3988139,1351,10.0,17,0.0,1092,0.0,242,,339,4.0,301183,75520
2020-08-19 20:00:00,,2020-08-19,146,Georgia,3988118,1361,10.0,17,0.0,1098,6.0,246,,341,4.0,315142,79020
2020-08-20 17:53:00,,2020-08-20,146,Georgia,3988097,1370,9.0,17,0.0,1108,10.0,245,,344,4.0,315142,79021
2020-08-23 21:09:00,,2020-08-23,146,Georgia,3988035,1411,41.0,17,0.0,1132,24.0,262,,354,4.0,327436,82105
2020-08-24 17:10:00,,2020-08-24,146,Georgia,3988014,1421,10.0,18,1.0,1137,5.0,266,,356,5.0,341166,85548
2020-08-25 23:00:00,,2020-08-25,146,Georgia,3987993,1429,8.0,19,1.0,1150,13.0,260,,358,5.0,341166,85548
2020-08-26 22:59:00,,2020-08-26,146,Georgia,3987972,1436,7.0,19,0.0,1150,0.0,267,,360,5.0,341166,85549
2020-08-27 23:00:00,,2020-08-27,146,Georgia,3987951,1447,11.0,19,0.0,1190,40.0,238,,363,5.0,355486,89140
2020-08-28 23:01:00,,2020-08-28,146,Georgia,3987930,1455,8.0,19,0.0,1196,6.0,240,,365,5.0,355486,89140
2020-08-29 12:29:00,,2020-08-29,146,Georgia,3987910,1462,7.0,19,0.0,1196,0.0,247,,367,5.0,355486,89141
2020-08-30 23:00:00,,2020-08-30,146,Georgia,3987889,1469,7.0,19,0.0,1221,25.0,229,,368,5.0,355486,89141
2020-08-31 18:58:00,,2020-08-31,146,Georgia,3987868,1487,18.0,19,0.0,1240,19.0,228,,373,5.0,370858,92997
2020-09-01 23:00:00,,2020-09-01,146,Georgia,3987847,1510,23.0,19,0.0,1253,13.0,238,,379,5.0,370858,92997
