Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,20,Germany,83807610,211208,,9226,,193600,,8382,261,2520,110.0,8006135,95530
2020-08-08 20:00:00,,2020-08-08,20,Germany,83811990,216692,5484.0,9259,33.0,197400,3800.0,10033,236,2585,110.0,8586648,102451
2020-08-12 20:00:00,,2020-08-12,20,Germany,83814910,219530,2838.0,9268,9.0,199900,2500.0,10362,236,2619,111.0,8586648,102448
2020-08-16 20:00:00,,2020-08-16,20,Germany,83817831,224478,4948.0,9290,22.0,202900,3000.0,12288,224,2678,111.0,9265361,110542
2020-08-17 20:00:00,,2020-08-17,20,Germany,83818561,226351,1873.0,9293,3.0,202900,0.0,14158,224,2700,111.0,9265361,110541
2020-08-18 20:00:00,,2020-08-18,20,Germany,83819291,227868,1517.0,9305,12.0,202900,0.0,15663,224,2719,111.0,9265361,110540
2020-08-19 20:00:00,,2020-08-19,20,Germany,83820021,228105,237.0,9305,0.0,203900,1000.0,14900,224,2721,111.0,9265361,110539
2020-08-20 17:53:00,,2020-08-20,20,Germany,83820751,229826,1721.0,9315,10.0,203900,0.0,16611,224,2742,111.0,10197366,121657
2020-08-23 21:09:00,,2020-08-23,20,Germany,83822941,234225,4399.0,9332,17.0,208950,5050.0,15943,236,2794,111.0,10197366,121654
2020-08-24 17:10:00,,2020-08-24,20,Germany,83823671,235244,1019.0,9334,2.0,209600,650.0,16310,236,2806,111.0,10197366,121653
2020-08-25 23:00:00,,2020-08-25,20,Germany,83824401,237238,1994.0,9342,8.0,209600,0.0,18296,245,2830,111.0,10197366,121652
2020-08-26 22:59:00,,2020-08-26,20,Germany,83825131,238895,1657.0,9351,9.0,209600,0.0,19944,245,2850,112.0,11208091,133708
2020-08-27 23:00:00,,2020-08-27,20,Germany,83825861,240100,1205.0,9359,8.0,214233,4633.0,16508,245,2864,112.0,11208091,133707
2020-08-28 23:01:00,,2020-08-28,20,Germany,83826591,242101,2001.0,9360,1.0,215495,1262.0,17246,245,2888,112.0,11208091,133706
2020-08-29 12:29:00,,2020-08-29,20,Germany,83827321,242114,13.0,9360,0.0,217061,1566.0,15693,245,2888,112.0,11208091,133705
2020-08-30 23:00:00,,2020-08-30,20,Germany,83828051,243282,1168.0,9364,4.0,217484,423.0,16434,245,2902,112.0,11208091,133703
2020-08-31 18:58:00,,2020-08-31,20,Germany,83828781,243774,492.0,9366,2.0,217842,358.0,16566,245,2908,112.0,11208091,133702
2020-09-01 23:00:00,,2020-09-01,20,Germany,83829512,245984,2210.0,9381,15.0,219900,2058.0,16703,245,2934,112.0,11208091,133701
2020-09-02 23:01:00,,2020-09-02,20,Germany,83830242,247152,1168.0,9389,8.0,221800,1900.0,15963,245,2948,112.0,11208091,133700
2020-09-03 23:01:00,,2020-09-03,20,Germany,83830972,248722,1570.0,9398,9.0,223100,1300.0,16224,228,2967,112.0,12383035,147714
2020-09-04 07:01:00,,2020-09-04,20,Germany,83831702,248814,92.0,9399,1.0,224600,1500.0,14815,223,2968,112.0,12383035,147713
2020-09-05 23:31:00,,2020-09-05,20,Germany,83832432,251056,2242.0,9401,2.0,226208,1608.0,15447,223,2995,112.0,12383035,147712
2020-09-06 18:30:00,,2020-09-06,20,Germany,83833162,251130,74.0,9401,0.0,226208,0.0,15521,223,2996,112.0,12383035,147710
2020-09-07 23:39:00,,2020-09-07,20,Germany,83833892,253625,2495.0,9405,4.0,227000,792.0,17220,223,3025,112.0,12383035,147709
