scrap_date,scrap_time,update date,update time-GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-02,20:00:00,2020-08-02,,182,Gibraltar,33690,188,,,,183,1.0,5,,5580,,21702,644167,4
2020-08-08,20:00:00,2020-08-08,,182,Gibraltar,33690,197,7.0,,,184,,13,,5847,,24054,713980,4
2020-08-12,20:00:00,2020-08-12,,182,Gibraltar,33690,202,,,,187,,15,,5996,,25012,742416,4
2020-08-16,20:00:00,2020-08-16,,182,Gibraltar,33690,215,6.0,,,190,,25,,6382,,27328,811161,4
2020-08-17,20:00:00,2020-08-17,,182,Gibraltar,33690,217,2.0,,,194,4.0,23,,6441,,27458,815019,4
2020-08-18,20:00:00,2020-08-18,,182,Gibraltar,33690,222,5.0,,,195,1.0,27,,6589,,27865,827100,4
2020-08-19,20:00:00,2020-08-19,,182,Gibraltar,33690,222,,,,195,,27,,6589,,27865,827100,4
2020-08-20,17:53:00,2020-08-20,,182,Gibraltar,33690,223,,,,197,,26,,6619,,28366,841971,4
2020-08-23,21:09:00,2020-08-23,,182,Gibraltar,33690,246,7.0,,,201,,45,,7302,,30531,906233,4
2020-08-24,17:10:00,2020-08-24,,182,Gibraltar,33689,248,2.0,,,203,2.0,45,,7361,,30635,909347,4
2020-08-25,23:00:00,2020-08-25,,182,Gibraltar,33689,256,8.0,,,203,,53,,7599,,31240,927306,4
2020-08-26,22:59:00,2020-08-26,,182,Gibraltar,33689,270,14.0,,,203,,67,,8014,,31747,942355,4
2020-08-27,23:00:00,2020-08-27,,182,Gibraltar,33689,272,2.0,,,216,13.0,56,,8074,,32427,962540,4
2020-08-28,23:01:00,2020-08-28,,182,Gibraltar,33689,274,2.0,,,221,5.0,53,,8133,,32938,977708,4
2020-08-29,12:29:00,2020-08-29,,182,Gibraltar,33689,274,,,,221,,53,,8133,,32938,977708,4
2020-08-30,23:00:00,2020-08-30,,182,Gibraltar,33689,285,10.0,,,228,2.0,57,,8460,,34102,1012259,4
2020-08-31,18:58:00,2020-08-31,,182,Gibraltar,33689,288,3.0,,,232,4.0,56,,8549,,34188,1014812,4
2020-09-01,23:00:00,2020-09-01,,182,Gibraltar,33689,290,2.0,,,237,5.0,53,,8608,,34412,1021461,4
2020-09-02,23:01:00,2020-09-02,,182,Gibraltar,33689,295,5.0,,,240,3.0,55,,8757,,35256,1046514,4
2020-09-03,23:01:00,2020-09-03,,182,Gibraltar,33689,298,3.0,,,246,6.0,52,,8846,,35706,1059871,4
2020-09-04,07:01:00,2020-09-04,,182,Gibraltar,33689,298,,,,246,,52,,8846,,35706,1059871,4
2020-09-05,23:31:00,2020-09-05,,182,Gibraltar,33689,312,7.0,,,255,7.0,57,,9261,,36807,1092552,4
