scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,206,Greenland,56779,14,,,,13,,1,,247.0,,5856,103137.0
2020-08-08,20:00:00,,206,Greenland,56780,14,,,,14,,0,,247.0,,6026,106129.0
2020-08-12,20:00:00,,206,Greenland,56781,14,,,,14,,0,,247.0,,6137,108082.0
2020-08-16,20:00:00,,206,Greenland,56783,14,,,,14,,0,,247.0,,6296,110878.0
2020-08-17,20:00:00,,206,Greenland,56783,14,,,,14,,0,,247.0,,6340,111653.0
2020-08-18,20:00:00,,206,Greenland,56783,14,,,,14,,0,,247.0,,6340,111653.0
2020-08-19,20:00:00,,206,Greenland,56783,14,,,,14,,0,,247.0,,6384,112428.0
2020-08-20,17:53:00,,206,Greenland,56784,14,,,,14,,0,,247.0,,6417,113007.0
2020-08-23,21:09:00,,206,Greenland,56784,14,,,,14,,0,,247.0,,6464,113835.0
2020-08-24,17:10:00,,206,Greenland,56785,14,,,,14,,0,,247.0,,6464,113833.0
2020-08-25,23:00:00,,206,Greenland,56785,14,,,,14,,0,,247.0,,6591,116069.0
2020-08-26,22:59:00,,206,Greenland,56785,14,,,,14,,0,,247.0,,6591,116069.0
2020-08-27,23:00:00,,206,Greenland,56785,14,,,,14,,0,,247.0,,6662,117320.0
2020-08-28,23:01:00,,206,Greenland,56786,14,,,,14,,0,,247.0,,6662,117318.0
2020-08-29,12:29:00,,206,Greenland,56786,14,,,,14,,0,,247.0,,6662,117318.0
2020-08-30,23:00:00,,206,Greenland,56786,14,,,,14,,0,,247.0,,6727,118462.0
2020-08-31,18:58:00,,206,Greenland,56787,14,,,,14,,0,,247.0,,6727,118460.0
2020-09-01,23:00:00,,206,Greenland,56787,14,,,,14,,0,,247.0,,6727,118460.0
2020-09-02,23:01:00,,206,Greenland,56787,14,,,,14,,0,,247.0,,6727,118460.0
2020-09-03,23:01:00,,206,Greenland,56787,14,,,,14,,0,,247.0,,6946,122317.0
2020-09-04,07:01:00,,206,Greenland,56788,14,,,,14,,0,,247.0,,6946,122315.0
2020-09-05,23:31:00,,206,Greenland,56788,14,,,,14,,0,,247.0,,6946,122315.0
2020-09-06,18:30:00,,206,Greenland,56788,14,,,,14,,0,,247.0,,6946,122315.0
2020-09-07,23:39:00,,206,Greenland,56788,14,,,,14,,0,,247.0,,6946,122315.0
2020-09-08,22:10:00,,206,Greenland,56789,14,,,,14,,0,,247.0,,7105,125112.0
2020-09-10,22:01:00,,206,Greenland,56789,14,,,,14,,0,,247.0,,7223,127190.0
2020-09-11,22:00:00,,206,Greenland,56789,14,,,,14,,0,,247.0,,7252,127701.0
2020-09-12,22:22:00,,206,Greenland,56790,14,,,,14,,0,,247.0,,7252,127699.0
2020-09-13,22:01:00,,206,Greenland,56790,14,,,,14,,0,,247.0,,7252,127699.0
2020-09-14,22:04:00,,206,Greenland,56790,14,,,,14,,0,,247.0,,7252,127699.0
2020-09-15,21:00:00,,206,Greenland,56791,14,,,,14,,0,,247.0,,7252,127696.0
2020-09-16,21:01:00,,206,Greenland,56791,14,,,,14,,0,,247.0,,7252,127696.0
2020-09-18,20:01:00,,206,Greenland,56791,14,,,,14,,0,,247.0,,7421,130672.0
2020-09-19,21:00:00,,206,Greenland,56792,14,,,,14,,0,,247.0,,7421,130670.0
2020-09-20,22:31:00,,206,Greenland,56792,14,,,,14,,0,,247.0,,7421,130670.0
2020-09-21,21:01:00,,206,Greenland,56792,14,,,,14,,0,,247.0,,7421,130670.0
2020-09-22,21:01:00,,206,Greenland,56792,14,,,,14,,0,,247.0,,7505,132149.0
2020-09-23,19:58:00,,206,Greenland,56793,14,,,,14,,0,,247.0,,7505,132147.0
2020-09-24,21:00:00,,206,Greenland,56793,14,,,,14,,0,,247.0,,7505,132147.0
2020-09-25,21:00:00,,206,Greenland,56793,14,,,,14,,0,,247.0,,7505,132147.0
2020-09-26,21:00:00,,206,Greenland,56794,14,,,,14,,0,,247.0,,7505,132144.0
2020-09-27,22:45:00,,206,Greenland,56794,14,,,,14,,0,,247.0,,7505,132144.0
2020-09-28,22:00:00,,206,Greenland,56794,14,,,,14,,0,,247.0,,7505,132144.0
